date,open,high,low,close,volume,bar_count,vwap
2025-05-13,210.37,213.4,209.0,212.93,27999910.0,134017,211.607
2025-05-14,212.43,213.94,210.58,212.33,26661618.0,139865,212.261
2025-05-15,210.95,212.96,209.54,211.45,25684725.0,137734,211.27
2025-05-16,212.36,212.57,209.77,211.26,23524024.0,110805,211.33
2025-05-19,207.78,209.48,204.26,208.78,26756989.0,147381,207.322
2025-05-20,207.67,208.47,205.03,206.86,23605310.0,126482,207.032
2025-05-21,205.17,207.04,200.71,202.09,37401976.0,210840,203.65
2025-05-22,200.71,202.75,199.78,201.36,29211675.0,156962,201.392
2025-05-23,193.67,197.7,193.46,195.27,48786206.0,247632,196.006
2025-05-27,198.29,200.74,197.43,200.21,33512768.0,179779,199.389
2025-05-28,200.53,202.73,199.9,200.42,23931371.0,131400,200.937
2025-05-29,203.49,203.81,198.51,199.95,30417140.0,158389,200.453
2025-05-30,199.39,201.96,196.78,200.85,28569153.0,157681,199.318
2025-06-02,200.28,202.13,200.12,201.7,19744280.0,114789,201.106
2025-06-03,201.35,203.77,200.95,203.27,23887348.0,134895,202.694
2025-06-04,202.97,206.24,202.1,202.82,26306975.0,143367,203.849
2025-06-05,203.56,204.75,200.15,200.63,28592425.0,164788,202.311
2025-06-06,203.0,205.7,202.05,203.92,27399578.0,147904,204.156
2025-06-09,204.47,206.0,200.02,201.45,48642669.0,253345,202.631
2025-06-10,200.56,204.35,200.56,202.67,32190207.0,159441,202.524
2025-06-11,203.5,204.5,198.41,198.78,37388826.0,198484,200.696
2025-06-12,199.08,199.68,197.36,199.2,25793403.0,138455,198.55
2025-06-13,199.83,200.37,195.7,196.45,31398429.0,166921,197.094
2025-06-16,197.28,198.69,196.56,198.42,24685877.0,129960,197.764
2025-06-17,197.2,198.39,195.21,195.64,21647085.0,113238,196.723
2025-06-18,195.92,197.57,195.07,196.58,25443992.0,133388,196.419
2025-06-20,198.12,201.7,196.85,201.0,46551060.0,189648,199.236
2025-06-23,201.59,202.3,198.96,201.5,27831403.0,149048,201.035
2025-06-24,202.59,203.44,200.2,200.3,33599593.0,181056,201.598
2025-06-25,201.45,203.67,200.62,201.56,23483350.0,123313,201.85
