date,open,high,low,close,volume,bar_count,vwap
2013-09-26,10.0,10.09,9.37,10.0,909000.0,3204,9.83519
2013-09-27,10.44,10.44,10.0,10.1,250000.0,752,10.18752
2013-09-30,10.0,10.18,9.71,10.0,83400.0,241,9.9911
2013-10-01,9.95,10.02,9.92,10.0,42000.0,161,9.99438
2013-10-02,9.99,10.0,9.89,9.97,93500.0,79,9.96629
2013-10-03,10.0,10.01,9.8,10.0,71100.0,109,9.91131
2013-10-04,10.1,10.2,9.82,10.2,108300.0,286,10.0672
2013-10-07,10.4,10.4,10.06,10.18,50100.0,166,10.18784
2013-10-08,10.2,10.2,10.1,10.12,13700.0,32,10.13153
2013-10-09,10.14,10.21,10.14,10.15,14600.0,80,10.16712
2013-10-10,10.5,10.55,10.01,10.2,79800.0,94,10.20149
2013-10-11,10.31,10.41,10.15,10.18,23100.0,83,10.22468
2013-10-14,9.51,10.05,9.07,10.0,64000.0,331,9.88013
2013-10-15,9.78,10.29,9.77,10.18,9800.0,35,10.18214
2013-10-16,10.28,10.28,10.01,10.25,5000.0,30,10.1926
2013-10-17,10.09,10.55,10.0,10.44,60400.0,236,10.18752
2013-10-18,10.49,12.0,10.48,11.01,150300.0,574,10.99249
2013-10-21,12.98,13.0,11.55,12.9,244700.0,787,12.56328
2013-10-22,13.0,13.5,12.67,13.13,310300.0,871,13.02286
2013-10-23,12.99,13.41,12.9,13.11,62800.0,347,13.06172
2013-10-24,13.1,13.49,12.45,12.61,66300.0,285,12.87216
2013-10-25,12.45,12.8,12.26,12.36,129100.0,424,12.51778
2013-10-28,12.25,12.38,11.53,11.87,60000.0,296,11.95132
2013-10-29,11.91,13.18,11.91,13.06,141300.0,689,12.52944
2013-10-30,13.05,13.18,11.6,12.55,124200.0,482,12.55556
2013-10-31,12.65,13.02,12.55,12.68,86200.0,400,12.805
2013-11-01,12.87,12.95,12.29,12.76,44400.0,194,12.67306
2013-11-04,12.85,13.0,12.85,13.0,64900.0,369,12.98282
2013-11-05,12.85,13.0,12.75,13.0,27500.0,146,12.96
2013-11-06,12.5,13.31,12.5,13.12,97500.0,346,13.10906
2013-11-07,13.0,13.48,12.75,13.0,69900.0,166,12.98328
2013-11-08,12.9,12.99,12.42,12.8,87000.0,317,12.68161
2013-11-11,12.8,13.06,12.69,12.9,15100.0,75,12.89689
2013-11-12,12.92,13.1,12.86,13.0,11200.0,46,12.96232
2013-11-13,12.88,12.99,12.52,12.62,12900.0,65,12.74713
2013-11-14,12.51,12.58,12.21,12.39,15600.0,94,12.36949
2013-11-15,12.39,12.69,12.25,12.66,15800.0,73,12.47684
2013-11-18,12.52,12.78,12.2,12.215,78800.0,401,12.62014
2013-11-19,12.34,12.49,12.24,12.43,8500.0,36,12.35576
2013-11-20,12.49,12.57,12.31,12.5,20500.0,93,12.46493
2013-11-21,12.5,12.56,12.38,12.56,26500.0,128,12.48781
2013-11-22,12.58,12.58,12.31,12.57,38200.0,148,12.48251
2013-11-25,12.57,12.8,12.57,12.57,58000.0,255,12.74328
2013-11-26,12.64,12.64,12.23,12.63,44600.0,178,12.35601
2013-11-27,12.5,12.99,12.24,12.96,24400.0,164,12.51406
2013-11-29,12.96,13.24,12.25,13.19,51500.0,222,12.66718
2013-12-02,13.07,13.27,12.58,12.58,16600.0,127,13.01271
2013-12-03,12.61,13.0,12.2,12.31,45000.0,267,12.51818
2013-12-04,12.38,12.91,12.3,12.89,73100.0,236,12.47395
2013-12-05,12.75,13.2,12.75,13.12,123900.0,254,13.00061
2013-12-06,13.16,14.74,13.16,14.37,186700.0,830,14.20717
2013-12-09,14.71,15.84,14.5,14.88,205100.0,882,14.90803
2013-12-10,14.73,15.75,14.73,15.59,114800.0,672,15.4872
2013-12-11,15.6,16.61,15.51,15.81,147200.0,1166,15.94859
2013-12-12,16.0,16.1,14.69,15.14,110200.0,776,15.49512
2013-12-13,15.26,15.96,14.29,14.78,82600.0,674,14.98628
2013-12-16,15.1,15.87,14.71,15.48,111500.0,943,15.44399
2013-12-17,15.51,15.83,14.89,15.14,85600.0,721,15.28888
2013-12-18,15.15,15.43,14.85,15.2,83200.0,679,15.17637
2013-12-19,15.2,15.65,14.75,15.39,81800.0,642,15.32087
2013-12-20,15.13,15.32,14.44,14.8,213500.0,979,14.934
2013-12-23,14.72,15.21,14.56,14.93,32600.0,296,14.95294
2013-12-24,14.9,15.37,14.81,15.02,50000.0,272,14.99082
2013-12-26,15.02,15.05,14.85,14.97,28200.0,230,14.98745
2013-12-27,15.0,15.08,14.85,14.89,43700.0,373,14.97957
2013-12-30,14.85,15.01,14.67,14.98,41800.0,260,14.87115
2013-12-31,15.0,15.27,14.71,15.01,82900.0,452,14.98922
2014-01-02,14.88,15.0,14.61,14.63,28100.0,190,14.75103
2014-01-03,14.63,14.9,14.26,14.35,54100.0,331,14.4173
2014-01-06,14.35,14.49,14.1,14.33,57200.0,391,14.26703
2014-01-07,14.89,14.89,14.35,14.74,43800.0,240,14.67703
2014-01-08,14.75,14.82,14.5,14.66,30500.0,175,14.65518
2014-01-09,14.65,14.65,14.01,14.16,35500.0,245,14.2522
2014-01-10,14.16,14.32,13.58,14.0,41100.0,256,13.96088
2014-01-13,13.83,14.06,13.69,13.7,34400.0,255,13.81453
2014-01-14,13.72,14.13,13.59,13.88,88700.0,384,13.91483
2014-01-15,14.0,14.11,13.59,13.97,51400.0,279,13.88138
2014-01-16,13.9,14.56,13.85,14.29,65400.0,331,14.18839
2014-01-17,14.15,14.5,14.15,14.42,40400.0,139,14.33876
2014-01-21,14.35,14.48,14.1,14.15,11600.0,70,14.22621
2014-01-22,14.11,14.33,13.92,14.15,36700.0,213,14.11234
2014-01-23,13.84,14.36,13.6,13.73,34100.0,116,14.05323
2014-01-24,13.46,13.59,13.0,13.39,110900.0,414,13.24056
2014-01-27,13.5,13.81,13.4,13.72,27200.0,190,13.57239
2014-01-28,13.85,14.19,13.76,13.84,31700.0,167,13.96584
2014-01-29,13.63,13.82,13.57,13.61,9600.0,81,13.66833
2014-01-30,13.67,14.41,13.67,14.0,61000.0,404,13.93302
2014-01-31,13.88,13.96,13.4,13.63,30500.0,157,13.69282
2014-02-03,13.7,14.36,13.45,13.61,106100.0,660,13.70133
2014-02-04,13.69,13.86,13.6,13.68,22700.0,143,13.69824
2014-02-05,13.56,13.64,13.12,13.14,30300.0,191,13.31898
2014-02-06,13.23,13.33,13.11,13.16,23200.0,143,13.21948
2014-02-07,12.9,13.07,12.38,13.07,41100.0,241,12.78426
2014-02-10,13.12,13.25,12.75,13.12,26200.0,169,13.07595
2014-02-11,13.19,13.35,12.78,12.79,19200.0,140,13.02828
2014-02-12,12.87,12.99,12.49,12.52,33400.0,203,12.63602
2014-02-13,12.0,12.62,11.19,12.54,55000.0,324,12.08347
2014-02-14,12.5,14.19,12.5,14.0,72300.0,430,13.62639
2014-02-18,14.1,14.11,13.61,13.66,98200.0,529,13.9157
2014-02-19,13.52,15.16,13.5,15.02,92600.0,459,14.30964
