date,open,high,low,close,volume,bar_count,vwap
2001-05-18,27.54,28.03,27.12,27.82,371302.5707217382,1,27.816624
2001-05-21,27.48,29.61,27.47,29.47,1159836.506399914,1,29.47149
2001-05-22,29.75,29.89,29.29,29.84,1447778.8533935677,1,29.84337
2001-05-23,29.79,29.8,28.28,28.9,795632.9998924384,1,28.904373
2001-05-24,28.3,29.05,27.66,28.99,758954.5014520814,1,28.988046
2001-05-25,29.05,29.05,28.12,28.32,333763.57964934927,1,28.318662
2001-05-29,28.46,28.46,27.43,28.24,405507.15284500376,1,28.244286
2001-05-30,27.86,27.98,26.96,27.32,489512.746047112,1,27.323883
2001-05-31,27.2,28.63,27.19,28.14,349252.44702592236,1,28.142019
2001-06-01,28.17,29.53,28.09,29.48,350220.50123695814,1,29.480787
2001-06-04,29.7,30.14,29.38,29.92,336452.61912444874,1,29.917746
2001-06-05,30.14,33.47,30.13,33.39,2313111.7564805853,1,33.394824
2001-06-06,33.55,33.59,31.69,31.89,693449.4998386577,1,31.88871
2001-06-07,31.73,33.14,31.61,32.98,440141.98128428526,1,32.976459
2001-06-08,32.76,32.81,31.84,32.21,328493.06227815425,1,32.214105
2001-06-11,32.11,32.17,30.17,30.67,419812.8428525331,1,30.670803
2001-06-12,30.58,30.58,28.96,29.75,659137.3561363881,1,29.7504
2001-06-13,29.98,32.04,29.97,31.73,1054103.4742390017,1,31.730661
2001-06-14,31.6,31.66,30.77,30.96,1342691.1907066796,1,30.95901
2001-06-15,30.46,32.33,30.45,32.21,561041.1960847585,1,32.214105
2001-06-18,31.81,32.86,31.4,31.61,529848.3381736045,1,31.6098
2001-06-19,32.54,33.1,31.8,32.54,644508.9813918468,1,32.5395
2001-06-20,32.45,33.93,32.35,33.86,771001.398300527,1,33.859674
2001-06-21,34.07,35.1,33.93,34.4,861998.494137894,1,34.3989
2001-06-22,34.3,34.73,33.14,34.49,604173.3892653544,1,34.49187
2001-06-25,34.45,34.63,32.09,32.54,1032591.1584382058,1,32.5395
2001-06-26,32.53,32.63,31.44,31.64,655050.0161342368,1,31.637691
2001-06-27,31.62,31.83,30.96,31.53,409702.05442615895,1,31.526127
2001-06-28,31.83,33.66,31.79,32.68,759814.9940841132,1,32.678955
2001-06-29,32.82,33.22,32.33,32.63,691083.14510057,1,32.63247
2001-07-02,32.17,32.17,31.43,31.91,1139830.0527051736,1,31.907304
2001-07-03,32.11,32.87,31.84,32.79,246100.89276110573,1,32.790519
2001-07-05,32.39,32.53,30.54,30.62,522319.0276433258,1,30.624318
2001-07-06,30.7,30.7,28.82,29.34,491663.9776271916,1,29.341332
2001-07-09,29.57,30.4,29.2,30.22,362590.08282241586,1,30.21525
2001-07-10,30.35,30.49,28.59,28.87,564052.9202968699,1,28.867185
2001-07-11,28.96,28.96,26.78,26.85,1020974.507905776,1,26.849736
2001-07-12,26.83,26.85,26.06,26.65,1536086.9097558353,1,26.654499
2001-07-13,26.7,28.47,26.55,28.21,669785.9524577821,1,28.207098
