date,open,high,low,close,volume,bar_count,vwap
2015-01-02,2.7,2.73,2.64,2.69,7729200.0,10435,2.688
2015-01-05,2.67,2.7,2.64,2.66,8250600.0,15125,2.663
2015-01-06,2.65,2.66,2.55,2.63,11862700.0,19119,2.604
2015-01-07,2.63,2.65,2.54,2.58,11795300.0,21741,2.573
2015-01-08,2.59,2.65,2.56,2.61,9714500.0,14646,2.611
2015-01-09,2.63,2.64,2.58,2.63,8379600.0,14294,2.613
2015-01-12,2.62,2.64,2.55,2.63,9482500.0,10007,2.599
2015-01-13,2.64,2.68,2.6,2.66,15932300.0,20835,2.643
2015-01-14,2.6,2.66,2.58,2.63,9288600.0,15675,2.611
2015-01-15,2.62,2.65,2.49,2.52,16939000.0,27236,2.536
2015-01-16,2.52,2.53,2.39,2.39,29092300.0,43464,2.437
2015-01-20,2.39,2.43,2.19,2.24,51715000.0,72887,2.265
2015-01-21,2.18,2.45,2.14,2.45,45093300.0,55703,2.346
2015-01-22,2.42,2.5,2.37,2.47,35024900.0,50704,2.453
2015-01-23,2.48,2.5,2.43,2.45,10482000.0,20666,2.455
2015-01-26,2.44,2.64,2.44,2.61,35434200.0,44803,2.571
2015-01-27,2.58,2.84,2.56,2.7,50262000.0,58420,2.728
2015-01-28,2.71,2.75,2.6,2.63,23775300.0,28219,2.655
2015-01-29,2.63,2.69,2.51,2.61,17202100.0,25671,2.587
2015-01-30,2.56,2.6,2.51,2.57,12009800.0,18881,2.559
2015-02-02,2.69,2.75,2.65,2.67,24424800.0,42565,2.684
2015-02-03,2.7,2.8,2.68,2.76,21424900.0,33787,2.763
2015-02-04,2.78,2.92,2.76,2.85,27624600.0,31058,2.837
2015-02-05,2.88,3.37,2.87,3.31,70047800.0,77907,3.206
2015-02-06,3.2,3.21,3.0,3.03,36189800.0,50846,3.083
2015-02-09,3.03,3.07,2.93,3.04,23253200.0,33395,3.003
2015-02-10,3.07,3.1,3.01,3.04,13156900.0,17864,3.055
2015-02-11,3.03,3.1,3.0,3.07,11134400.0,16387,3.052
2015-02-12,3.08,3.15,3.05,3.12,12268000.0,20224,3.114
2015-02-13,3.13,3.18,3.11,3.15,8763300.0,14816,3.14
2015-02-17,3.16,3.17,3.08,3.11,8086600.0,12500,3.122
2015-02-18,3.11,3.14,3.06,3.08,6319700.0,16045,3.09
2015-02-19,3.06,3.08,3.01,3.06,6267500.0,10622,3.049
2015-02-20,3.03,3.13,3.02,3.06,9228600.0,13214,3.077
2015-02-23,3.05,3.1,3.03,3.06,5907300.0,13530,3.065
2015-02-24,3.06,3.12,3.02,3.11,10188400.0,10723,3.067
2015-02-25,3.08,3.14,3.06,3.1,5626600.0,9001,3.11
2015-02-26,3.1,3.13,3.06,3.08,8335300.0,12423,3.088
2015-02-27,3.07,3.12,3.07,3.11,6714500.0,12570,3.108
2015-03-02,3.13,3.23,3.11,3.21,13417200.0,20564,3.186
2015-03-03,3.2,3.23,3.13,3.14,8143900.0,15109,3.177
2015-03-04,3.14,3.14,3.01,3.05,11547200.0,19302,3.045
2015-03-05,3.1,3.1,2.98,2.98,10654100.0,18793,3.004
2015-03-06,2.96,2.99,2.83,2.92,16026800.0,24157,2.9
2015-03-09,2.92,2.98,2.9,2.93,11844600.0,18009,2.942
2015-03-10,2.97,2.98,2.92,2.92,9522700.0,15285,2.941
2015-03-11,2.92,2.95,2.8,2.84,10159600.0,16219,2.861
2015-03-12,2.76,2.79,2.71,2.76,13052900.0,18852,2.743
2015-03-13,2.74,2.78,2.71,2.75,7707800.0,12305,2.74
2015-03-16,2.75,2.81,2.75,2.76,5680200.0,11188,2.777
2015-03-17,2.75,2.8,2.73,2.77,7059800.0,10408,2.767
2015-03-18,2.77,2.82,2.72,2.75,10695300.0,15545,2.76
2015-03-19,2.76,2.78,2.73,2.74,8407200.0,12410,2.76
2015-03-20,2.76,2.8,2.74,2.8,8219400.0,12828,2.782
2015-03-23,2.81,2.85,2.8,2.84,5607200.0,10785,2.828
2015-03-24,2.85,2.85,2.76,2.79,7461300.0,11957,2.787
2015-03-25,2.78,2.79,2.56,2.63,25408800.0,34420,2.637
2015-03-26,2.59,2.7,2.53,2.65,27109700.0,39954,2.638
2015-03-27,2.7,2.8,2.63,2.72,15680600.0,21977,2.691
2015-03-30,2.73,2.76,2.65,2.7,7698100.0,13841,2.685
2015-03-31,2.66,2.7,2.65,2.68,5729800.0,11165,2.665
2015-04-01,2.66,2.75,2.65,2.69,10526900.0,17784,2.697
2015-04-02,2.66,2.7,2.65,2.69,6385700.0,11223,2.668
2015-04-06,2.68,2.73,2.68,2.7,6060000.0,11493,2.702
2015-04-07,2.7,2.74,2.69,2.7,4645700.0,8284,2.711
2015-04-08,2.68,2.74,2.68,2.71,4010600.0,9933,2.716
