date,open,high,low,close,volume,bar_count,vwap
2001-05-21,0.75,0.82,0.74,0.82,144678000.0,1,0.819
2001-05-22,0.84,0.85,0.8,0.81,146182000.0,1,0.8125
2001-05-23,0.81,0.84,0.76,0.78,179232000.0,1,0.78
2001-05-24,0.79,0.84,0.76,0.84,106748000.0,1,0.8375
2001-05-25,0.83,0.88,0.82,0.85,138588000.0,1,0.8545
2001-05-29,0.86,0.88,0.84,0.86,187996000.0,1,0.861
2001-05-30,0.83,0.85,0.78,0.78,177074000.0,1,0.783
2001-05-31,0.79,0.86,0.79,0.83,192688000.0,1,0.8345
2001-06-01,0.86,0.87,0.82,0.85,129392000.0,1,0.8475
2001-06-04,0.87,0.87,0.81,0.85,122882000.0,1,0.8455
2001-06-05,0.85,0.9,0.8,0.82,255296000.0,1,0.822
2001-06-06,0.83,0.84,0.77,0.8,194774000.0,1,0.7995
2001-06-07,0.79,0.81,0.78,0.81,68940000.0,1,0.8065
2001-06-08,0.81,0.82,0.78,0.78,50286000.0,1,0.785
2001-06-11,0.78,0.78,0.72,0.74,100616000.0,1,0.743
2001-06-12,0.73,0.74,0.72,0.73,86684000.0,1,0.732
2001-06-13,0.75,0.76,0.71,0.71,75694000.0,1,0.706
2001-06-14,0.71,0.71,0.66,0.66,101852000.0,1,0.6645
2001-06-15,0.65,0.67,0.62,0.62,153432000.0,1,0.6245
2001-06-18,0.62,0.64,0.58,0.59,114368000.0,1,0.5915
2001-06-19,0.62,0.63,0.56,0.57,122230000.0,1,0.568
2001-06-20,0.56,0.64,0.56,0.63,213064000.0,1,0.6265
2001-06-21,0.63,0.66,0.63,0.65,195852000.0,1,0.654
2001-06-22,0.66,0.66,0.62,0.62,126340000.0,1,0.62
2001-06-25,0.64,0.66,0.63,0.64,138940000.0,1,0.6405
2001-06-26,0.63,0.69,0.6,0.66,132790000.0,1,0.6625
2001-06-27,0.69,0.71,0.68,0.7,152522000.0,1,0.702
2001-06-28,0.71,0.73,0.69,0.72,110336000.0,1,0.718
2001-06-29,0.72,0.73,0.69,0.71,90890000.0,1,0.7075
2001-07-02,0.71,0.74,0.69,0.73,126716000.0,1,0.7265
2001-07-03,0.72,0.73,0.7,0.71,54022000.0,1,0.7065
2001-07-05,0.71,0.77,0.71,0.76,241790000.0,1,0.7635
2001-07-06,0.75,0.79,0.74,0.76,181898000.0,1,0.7635
2001-07-09,0.77,0.8,0.76,0.79,160038000.0,1,0.7905
2001-07-10,0.8,0.81,0.74,0.78,172928000.0,1,0.7805
2001-07-11,0.77,0.79,0.75,0.77,117154000.0,1,0.767
2001-07-12,0.78,0.83,0.78,0.82,119594000.0,1,0.8245
2001-07-13,0.81,0.85,0.81,0.85,136974000.0,1,0.849
2001-07-16,0.85,0.87,0.8,0.8,146360000.0,1,0.8005
2001-07-17,0.79,0.82,0.79,0.82,74128000.0,1,0.8175
2001-07-18,0.8,0.83,0.79,0.8,73464000.0,1,0.798
2001-07-19,0.81,0.84,0.81,0.82,106028000.0,1,0.8245
2001-07-20,0.83,0.86,0.82,0.85,74768000.0,1,0.849
2001-07-23,0.85,0.86,0.8,0.8,180266000.0,1,0.8015
2001-07-24,0.68,0.7,0.6,0.6,651954000.0,1,0.603
2001-07-25,0.61,0.62,0.55,0.58,251262000.0,1,0.5755
2001-07-26,0.58,0.64,0.56,0.62,210086000.0,1,0.6165
2001-07-27,0.62,0.62,0.59,0.61,181548000.0,1,0.6125
2001-07-30,0.61,0.64,0.6,0.63,103632000.0,1,0.6275
