date,open,high,low,close,volume,bar_count,vwap
2013-12-12,14.62,16.91,14.51,16.32,23869095.44258208,71504,15.4140088
2013-12-13,16.6,17.74,16.56,17.2,3102922.8424989614,10795,17.1819419
2013-12-16,17.33,17.33,16.43,17.11,819365.563097382,3677,16.8267671
2013-12-17,16.81,17.12,16.65,16.94,298240.75356697605,1292,16.870803
2013-12-18,16.92,17.34,16.68,17.33,636099.1827122871,1737,16.979088
2013-12-19,17.19,17.33,16.95,17.11,536500.9004017178,1122,17.1501783
2013-12-20,17.0,17.28,16.96,17.27,1141155.2846654663,2194,17.159563
2013-12-23,17.33,17.79,17.18,17.45,758138.2462945007,1274,17.4584296
2013-12-24,17.38,17.99,17.38,17.61,146003.60160687077,808,17.6280761
2013-12-26,17.8,18.5,17.68,18.41,561435.1018146558,1875,18.1658916
2013-12-27,18.59,19.11,18.44,18.75,479429.28383432614,1618,18.740524
2013-12-30,19.29,19.29,18.49,18.63,839867.0175924645,1255,18.6979319
2013-12-31,18.83,18.94,18.51,18.93,550491.7578611997,1584,18.6668902
2014-01-02,18.76,18.77,18.12,18.31,302119.40712009976,946,18.4568173
2014-01-03,18.63,18.7,18.3,18.44,325114.28175647603,1110,18.4683677
2014-01-06,18.3,18.47,17.58,17.61,689569.192408921,3364,17.9182799
2014-01-07,17.69,17.9,17.51,17.58,606039.6176755785,3146,17.6309637
2014-01-08,17.58,17.74,17.41,17.58,498961.0749411276,1587,17.5327853
2014-01-09,17.61,17.94,17.56,17.8,379276.90815902484,1508,17.7341954
2014-01-10,17.93,18.23,17.81,17.89,324006.0950270121,1396,17.917558
2014-01-13,17.79,18.29,17.74,18.03,312924.22773237294,1308,18.0749322
2014-01-14,18.03,18.03,17.83,17.97,82144.34132151268,438,17.9161142
2014-01-15,17.92,18.12,17.83,17.92,225100.4294223577,841,17.9428245
2014-01-16,18.03,18.05,17.71,17.92,350325.52985178004,1327,17.8728002
2014-01-17,17.96,18.01,17.61,17.69,269012.3285773653,1594,17.7024318
2014-01-21,17.97,19.0,17.86,17.96,825599.1134506165,3657,18.1666135
2014-01-22,17.76,18.25,17.69,17.98,731403.2414461838,3025,18.0424467
2014-01-23,18.23,18.23,17.72,18.03,186036.84720875468,990,17.9406588
2014-01-24,17.79,18.22,17.12,17.28,495913.56143510184,1663,17.4873056
2014-01-27,17.24,17.27,16.89,17.07,316802.88128549664,1505,17.0714912
2014-01-28,17.34,17.67,16.99,17.65,454218.0357390221,1467,17.2331968
2014-01-29,17.47,17.63,16.96,17.47,480537.47056379006,1937,17.4180032
2014-01-30,17.41,17.97,17.26,17.84,464745.80966892926,1593,17.6988223
2014-01-31,17.76,17.89,17.45,17.84,334395.34561573627,787,17.729864
2014-02-03,17.93,18.01,17.04,17.91,306690.6773791384,1575,17.8554746
2014-02-04,17.91,18.26,17.74,18.04,593295.4702867434,2038,18.0077955
2014-02-05,16.63,21.45,16.63,18.84,3394514.475689154,4900,18.9390465
2014-02-06,19.49,19.49,18.5,18.66,701759.2464330241,2129,18.7354707
2014-02-07,18.78,18.78,18.25,18.49,314447.9844853858,1659,18.509516
2014-02-10,18.58,19.17,18.05,19.09,353234.52001662285,900,18.6741092
2014-02-11,18.98,19.34,18.8,19.29,328992.9353095997,1363,19.231416
2014-02-12,19.41,20.21,19.25,19.95,1065937.110403103,1488,19.9569255
2014-02-13,19.91,20.28,19.52,20.21,609364.1778639702,1647,20.0312812
2014-02-14,20.34,20.53,20.14,20.25,851780.0249342015,2077,20.2218628
2014-02-18,20.55,20.78,20.29,20.48,452278.7089624602,2400,20.5561025
2014-02-19,20.38,20.54,20.36,20.49,291730.1565313756,1520,20.4470956
2014-02-20,20.57,20.63,20.36,20.43,619614.9051115114,2715,20.4478175
2014-02-21,20.43,20.44,20.36,20.39,468347.41653968696,2206,20.3994502
2014-02-24,20.36,20.46,20.32,20.4,1244493.6971879762,1225,20.3972845
2014-02-25,20.43,20.71,20.31,20.55,647596.6200304752,1880,20.4954629
2014-02-26,20.6,20.7,20.46,20.59,544535.2541903311,873,20.5755938
2014-02-27,20.55,20.75,20.32,20.36,479567.8071755091,1073,20.4824687
2014-02-28,20.39,20.57,20.28,20.33,975481.368610611,1717,20.3785151
2014-03-03,20.33,20.54,19.7,20.04,541072.1706607564,2059,19.982192
2014-03-04,20.19,20.75,20.1,20.55,1314863.554508935,2520,20.4507051
2014-03-05,20.57,20.75,20.37,20.57,1270813.1320127442,757,20.5763157
2014-03-06,20.62,20.75,20.56,20.6,435655.9080205015,1234,20.6557247
2014-03-07,20.72,21.17,20.54,21.07,405180.77296024386,1266,20.7495717
2014-03-10,21.14,21.58,20.96,21.34,315556.17121484975,1588,21.3523582
2014-03-11,21.41,21.54,20.83,20.87,486632.4975758416,2002,21.1884869
2014-03-12,20.7,20.99,20.51,20.67,1005402.4103061367,2991,20.7105891
2014-03-13,20.64,20.81,20.36,20.39,517938.77268319717,2077,20.523617
2014-03-14,20.39,20.55,19.75,19.77,527635.4065660065,2474,20.0702638
2014-03-17,19.82,19.97,19.65,19.82,206399.77836265412,1025,19.8139893
2014-03-18,19.83,20.27,19.68,20.18,254882.9477767004,1377,19.9525941
2014-03-19,20.45,20.65,20.03,20.23,389389.11206538306,1967,20.3149879
2014-03-20,20.19,21.05,19.87,20.84,467239.2298102231,1869,20.5828128
2014-03-21,20.96,21.64,20.74,21.58,1242138.8003878654,5075,21.3429735
2014-03-24,21.41,21.43,20.6,21.01,767834.88017731,2886,21.0267813
2014-03-25,21.13,21.13,20.45,20.45,281340.9059426514,1717,20.6903759
2014-03-26,20.54,20.54,20.02,20.12,348524.7264164012,2172,20.2312475
2014-03-27,20.13,20.75,19.93,20.64,415847.070231334,2528,20.4817468
2014-03-28,20.65,20.75,20.41,20.56,283418.7560603962,1615,20.5784814
2014-03-31,20.64,20.92,20.42,20.88,827815.4869095443,3332,20.7430746
2014-04-01,20.88,20.88,20.62,20.71,290899.0164842776,1410,20.711311
2014-04-02,20.76,20.96,20.7,20.85,713810.7771159441,3642,20.8910641
2014-04-03,20.86,20.91,20.5,20.7,337858.429145311,1767,20.6643875
2014-04-04,20.74,20.78,20.05,20.11,304889.87394375954,1840,20.2767272
2014-04-07,20.03,20.16,19.59,19.88,180080.34353788616,1064,19.8385339
2014-04-08,19.85,19.88,19.54,19.65,486632.4975758416,2849,19.693432
2014-04-09,19.69,20.21,19.61,20.18,89763.1250865771,580,19.9764168
2014-04-10,20.16,20.26,19.64,19.76,133675.02424158473,667,19.8204864
2014-04-11,19.66,19.89,19.43,19.65,239506.8569053886,1378,19.6602246
2014-04-14,19.82,20.1,19.65,19.99,583183.2663803851,1217,19.9157772
2014-04-15,20.1,20.34,19.9,20.14,482199.7506579859,2220,20.1063588
2014-04-16,20.3,20.31,19.98,20.13,155977.28217204602,888,20.1085245
2014-04-17,20.14,20.47,20.03,20.24,186729.46391466964,1157,20.1937087
2014-04-21,20.25,20.42,20.18,20.35,167890.2895137831,909,20.2702301
2014-04-22,20.42,20.67,20.21,20.56,420695.3871727387,1389,20.5387769
2014-04-23,20.55,20.79,20.36,20.49,314032.41446183686,1227,20.5929194
2014-04-24,20.61,20.76,20.18,20.38,515722.3992242694,1364,20.4203853
2014-04-25,20.36,20.37,19.92,20.2,199750.65798587064,1083,20.1244063
2014-04-28,20.22,20.55,19.75,20.05,266380.3850948885,1276,20.1366786
2014-04-29,20.16,20.38,19.9,20.18,260839.45144756895,1069,20.1085245
2014-04-30,20.1,20.35,19.94,20.35,181465.57694971605,891,20.1568918
2014-05-01,20.37,20.37,20.03,20.26,116636.65327607704,631,20.1857678
2014-05-02,20.23,20.55,20.18,20.3,83252.5280509766,510,20.3676866
2014-05-05,20.26,20.44,20.09,20.34,176617.26000831142,863,20.3056032
2014-05-06,20.34,20.41,20.04,20.24,100983.51572239924,589,20.2471293
2014-05-07,20.32,20.32,19.64,19.87,298240.75356697605,1729,19.9504284
2014-05-08,20.52,20.52,19.28,19.33,555201.5514614213,1638,19.5678214
2014-05-09,19.46,19.6,19.26,19.47,470009.6966338829,1447,19.4292166
2014-05-12,19.53,19.82,19.37,19.53,623355.0353234521,2051,19.5208979
2014-05-13,19.58,20.0,19.36,19.69,528882.1166366533,2106,19.6566151
2014-05-14,19.64,19.77,19.49,19.64,127441.4738883502,718,19.6515618
2014-05-15,19.43,19.64,19.1,19.47,151821.58193655632,714,19.3671332
2014-05-16,19.5,19.61,19.31,19.44,227732.37290483448,808,19.4617021
2014-05-19,18.85,19.11,18.62,19.05,171630.4197257238,888,18.928218
2014-05-20,19.12,19.22,18.79,19.0,223853.71935171078,1163,18.9376027
2014-05-21,19.08,19.2,18.91,19.06,443690.2618091149,2167,19.0415563
2014-05-22,19.12,19.18,18.97,19.04,132012.74414738885,774,19.0531067
2014-05-23,19.12,19.46,18.95,19.2,329962.59869788063,1400,19.2285284
2014-05-27,19.27,19.36,18.78,18.85,282310.5693309323,1657,19.043722
2014-05-28,18.72,19.89,18.56,19.37,1448538.5787505195,6288,19.3721865
2014-05-29,19.34,19.49,18.11,18.65,2433993.627926306,10849,18.6271857
2014-05-30,18.75,19.08,18.7,19.04,7957473.334256823,29295,18.8314834
2014-06-02,19.07,19.49,18.86,19.38,1053192.963014268,5215,19.3577485
2014-06-03,19.3,19.4,19.22,19.22,398393.12924227735,2267,19.3144345
2014-06-04,19.23,19.38,19.01,19.22,529297.6866602023,3104,19.1895458
2014-06-05,19.3,19.42,19.23,19.29,705222.3299625987,3918,19.3288725
2014-06-06,19.27,19.47,19.2,19.32,560742.4851087409,2874,19.3346477
2014-06-09,19.29,19.43,18.95,19.35,810223.0225793048,3897,19.3411448
2014-06-10,19.29,19.35,18.94,19.04,564898.1853442306,2498,19.079817
2014-06-11,19.04,19.07,18.6,18.85,689292.145726555,3239,18.7614591
2014-06-12,18.77,19.09,18.68,18.9,1172877.1297963709,2933,18.8177673
2014-06-13,18.94,18.94,18.71,18.78,696218.3127857045,2669,18.762181
2014-06-16,18.8,18.82,18.57,18.79,336196.14905111515,1632,18.7167013
2014-06-17,18.83,19.04,18.74,18.83,363069.67724061507,1931,18.8805726
2014-06-18,18.39,18.61,18.08,18.6,2362931.153899432,8300,18.3673017
