date,open,high,low,close,volume,bar_count,vwap
2001-05-18,28.65,29.92,28.47,29.91,2661633.27,1,29.91337608279897
2001-05-21,29.36,31.35,29.22,30.51,4861038.54,1,30.50961862976713
2001-05-22,31.39,31.44,30.39,30.42,2192471.85,1,30.41961975475307
2001-05-23,29.69,30.37,28.71,28.79,3692668.38,1,28.78839014512319
2001-05-24,28.74,28.96,28.12,28.6,3743335.68,1,28.5971425357183
2001-05-25,28.64,28.95,28.03,28.21,2164027.05,1,28.21464731690854
2001-05-29,27.67,27.74,26.99,27.11,1802066.97,1,27.11216109798628
2001-05-30,26.59,26.84,25.84,26.09,3898982.07,1,26.08842389470132
2001-05-31,26.04,26.54,25.65,26.17,2451852.87,1,26.16717291033862
2001-06-01,26.57,26.83,26.12,26.66,1404373.11,1,26.66216672291596
2001-06-04,26.67,26.97,26.39,26.47,1026768.39,1,26.47091911351108
2001-06-05,27.1,28.05,26.95,27.8,2909280.81,1,27.7984025199685
2001-06-06,27.81,27.91,26.56,27.18,3183239.79,1,27.17966025424682
2001-06-07,27.0,28.57,26.84,28.47,2535676.14,1,28.47339408257397
2001-06-08,28.63,28.69,28.14,28.57,2334251.4,1,28.57464281696479
2001-06-11,27.8,27.94,27.61,27.79,2108204.13,1,27.78715266059174
2001-06-12,26.38,27.96,26.17,27.36,1797355.8,1,27.35965800427495
2001-06-13,27.84,28.29,27.16,27.19,2270517.27,1,27.19091011362358
2001-06-14,26.19,26.34,25.44,25.72,2049181.17,1,25.71717853526831
2001-06-15,24.36,25.59,24.28,25.14,1946424.33,1,25.14343570705366
2001-06-18,25.18,25.67,24.9,24.96,1692998.94,1,24.96343795702554
2001-06-19,25.54,25.82,24.45,24.64,1561708.41,1,24.63719203509956
2001-06-20,22.88,23.4,22.48,23.31,2825368.65,1,23.30970862864214
2001-06-21,22.72,22.95,22.16,22.63,3305907.99,1,22.63471706603667
2001-06-22,23.65,24.95,23.52,24.39,3906448.83,1,24.38969512881089
2001-06-25,24.88,24.97,24.24,24.81,1099302.63,1,24.80593992575093
2001-06-26,23.76,24.91,23.76,24.76,1808733.72,1,24.7609404882439
2001-06-27,25.01,25.24,24.75,25.18,1833089.58,1,25.17718528518394
2001-06-28,24.3,25.53,24.3,25.03,3501288.21,1,25.03093711328608
2001-06-29,24.94,25.96,24.86,25.03,3315952.56,1,25.03093711328608
2001-07-02,25.03,25.87,24.94,25.3,2117626.47,1,25.30093373832827
2001-07-03,24.78,25.04,24.73,25.0,1003834.77,1,24.99718753515581
2001-07-05,21.79,24.18,21.78,23.4,6914930.88,1,23.3997075036562
2001-07-06,23.11,23.17,22.56,22.78,1974691.35,1,22.78096523793453
2001-07-09,23.08,23.79,22.85,23.5,3290174.46,1,23.50095623804702
2001-07-10,24.14,24.31,23.25,23.46,3252396.21,1,23.45595680053999
2001-07-11,23.1,23.57,22.78,23.34,1257437.94,1,23.34345820677242
2001-07-12,23.88,24.83,23.83,24.56,2059403.52,1,24.55844301946226
2001-07-13,24.07,24.81,23.85,23.95,1320638.73,1,23.95095061311734
2001-07-16,24.14,24.19,22.96,23.1,1197348.3,1,23.09596130048374
2001-07-17,22.11,23.57,21.82,23.47,3764847.06,1,23.46720665991675
2001-07-18,22.16,23.15,22.12,22.52,3446709.75,1,22.5222184722691
2001-07-19,22.83,23.06,22.38,22.42,6951109.11,1,22.42096973787828
2001-07-20,21.43,21.82,21.31,21.7,2168027.1,1,21.70097873776578
2001-07-23,21.97,22.08,21.46,21.51,1975846.92,1,21.5097311283609
2001-07-24,21.66,21.94,21.04,21.22,2170604.91,1,21.21723478456519
2001-07-25,21.23,21.37,20.29,20.99,2933103.33,1,20.99223759703004
2001-07-26,21.09,21.81,20.81,21.43,3309730.26,1,21.43098211272359
2001-07-27,21.77,22.0,21.32,21.96,1990691.55,1,21.95972550343121
2001-07-30,23.05,23.15,22.5,22.67,1166059.02,1,22.66846664416695
2001-07-31,23.3,23.74,22.98,23.03,2035936.56,1,23.0284621442232
2001-08-01,24.25,24.52,23.85,24.11,3556577.79,1,24.10844864439195
2001-08-02,24.75,24.75,23.22,23.79,4769304.06,1,23.79345258184273
2001-08-03,23.82,23.86,23.06,23.14,1446506.97,1,23.14096073799078
2001-08-06,22.9,22.97,22.56,22.84,889611.12,1,22.83721453481831
2001-08-07,22.23,22.43,21.89,22.35,2473542.03,1,22.35347058161773
2001-08-08,21.88,22.34,21.39,21.57,2089715.01,1,21.56598042524468
2001-08-09,22.0,22.22,21.69,22.13,2185538.43,1,22.12847339408257
2001-08-10,21.71,22.16,21.36,22.16,773165.22,1,22.16222297221285
2001-08-13,22.6,22.6,22.06,22.49,1101169.32,1,22.48846889413882
2001-08-14,22.68,22.84,22.12,22.32,1115480.61,1,22.31972100348746
2001-08-15,22.79,22.95,21.88,21.97,665963.88,1,21.97097536280796
2001-08-16,21.76,22.27,21.49,22.25,1161881.19,1,22.25222184722691
2001-08-17,21.21,21.53,20.92,21.1,576629.43,1,21.10473619079762
2001-08-20,21.32,21.54,21.04,21.28,1087746.93,1,21.28473394082574
2001-08-21,21.75,22.15,20.81,20.88,995656.89,1,20.87973900326246
2001-08-22,21.8,22.05,21.44,21.82,1478774.04,1,21.82472719091011
2001-08-23,22.11,22.33,21.9,22.05,1014946.02,1,22.04972437844527
2001-08-24,22.95,23.85,22.67,23.57,2436741.57,1,23.56845539430757
2001-08-27,23.67,24.05,23.61,23.74,1924112.94,1,23.73720328495894
2001-08-28,23.37,23.4,22.16,22.22,2714878.38,1,22.21847226909664
2001-08-29,22.32,22.39,21.31,21.41,1973091.33,1,21.40848239397008
2001-08-30,20.91,21.36,20.53,20.87,1623131.4,1,20.8684891438857
2001-08-31,20.32,20.54,19.95,20.45,2045447.79,1,20.45224434694566
2001-09-04,18.96,19.69,18.83,18.99,2791590.45,1,18.98976262796715
2001-09-05,18.57,18.85,17.95,18.65,2345451.54,1,18.65226684666442
2001-09-06,17.29,17.65,16.65,17.04,2488031.1,1,17.04353695578805
2001-09-07,16.73,17.4,16.67,17.08,4864771.92,1,17.07728653391833
2001-09-10,16.73,17.19,16.46,16.72,5860428.81,1,16.71729103386208
2001-09-17,13.95,15.3,13.85,14.67,2219494.41,1,14.66981662729216
2001-09-18,14.06,14.28,13.39,13.7,2771412.42,1,13.70232872089099
2001-09-19,14.04,14.12,12.69,13.21,6098031.78,1,13.20733490831365
2001-09-20,12.39,12.87,11.72,11.87,2617988.28,1,11.86860164247947
2001-09-21,11.19,11.81,10.7,11.35,3740135.64,1,11.35110811114861
2001-09-24,12.1,12.8,12.07,12.68,4355610.0,1,12.67859151760603
2001-09-25,14.06,14.49,13.45,13.7,6383013.12,1,13.70232872089099
2001-09-26,13.84,13.84,12.6,12.6,3455954.31,1,12.59984250196873
2001-09-27,11.99,12.43,11.64,12.43,2426252.55,1,12.43109461131736
2001-09-28,12.6,12.77,12.18,12.61,2566520.97,1,12.61109236134548
2001-10-01,12.21,12.59,12.09,12.28,1594864.38,1,12.28484643941951
2001-10-02,12.42,13.07,12.42,12.84,1603042.26,1,12.83608954888064
2001-10-03,12.27,13.74,12.26,13.56,3488221.38,1,13.55608054899314
2001-10-04,13.89,14.66,13.81,14.15,6307101.06,1,14.1523230959613
2001-10-05,14.16,14.74,13.61,14.49,2397274.41,1,14.48981887726403
2001-10-08,14.47,15.41,14.44,15.24,2672211.18,1,15.24355945550681
2001-10-09,15.31,15.47,14.57,14.69,2981903.94,1,14.69231634604567
2001-10-10,15.32,16.37,15.07,16.35,2474786.49,1,16.34604567442907
2001-10-11,16.71,17.43,16.65,17.16,1822067.22,1,17.15603554955563
2001-10-12,16.18,16.81,15.69,16.46,1874778.99,1,16.45854426819665
2001-10-15,15.85,15.87,15.3,15.78,1455307.08,1,15.78355270559118
2001-10-16,15.97,16.64,15.64,16.47,3833203.47,1,16.46979412757341
