date,open,high,low,close,volume,bar_count,vwap
2019-11-01,9.77,9.77,9.77,9.77,300000.0,1,9.77
2019-11-04,9.77,9.77,9.77,9.77,0.0,0,9.77
2019-11-05,9.77,9.77,9.77,9.77,0.0,0,9.77
2019-11-06,9.78,9.78,9.77,9.77,161190.0,2,9.77
2019-11-07,9.77,9.77,9.77,9.77,0.0,0,9.77
2019-11-08,9.77,9.77,9.77,9.77,0.0,0,9.77
2019-11-11,9.77,9.77,9.77,9.77,0.0,0,9.77
2019-11-12,9.78,9.78,9.78,9.78,1000.0,3,9.78
2019-11-13,9.78,9.79,9.78,9.78,143000.0,4,9.781
2019-11-14,9.78,9.78,9.78,9.78,0.0,0,9.78
2019-11-15,9.78,9.78,9.78,9.78,0.0,0,9.78
2019-11-18,9.79,9.82,9.79,9.79,1500100.0,8,9.79
2019-11-19,9.79,9.82,9.79,9.8,532700.0,41,9.798
2019-11-20,9.82,9.82,9.82,9.82,100.0,1,9.82
2019-11-21,9.82,9.83,9.82,9.83,523100.0,9,9.82
2019-11-22,9.85,9.85,9.83,9.83,248797.0,58,9.83
2019-11-25,9.84,9.84,9.82,9.83,882.0,3,9.831
2019-11-26,9.83,9.83,9.83,9.83,3608.0,7,9.83
2019-11-27,9.83,9.83,9.83,9.83,0.0,0,9.83
2019-11-29,9.81,9.82,9.81,9.82,1682.0,9,9.814
2019-12-02,9.82,9.84,9.82,9.83,6200.0,14,9.829
2019-12-03,9.83,9.83,9.83,9.83,0.0,0,9.83
2019-12-04,9.83,9.9,9.83,9.85,315996.0,102,9.832
2019-12-05,9.85,9.85,9.85,9.85,0.0,0,9.85
2019-12-06,9.85,9.85,9.84,9.85,450.0,1,9.85
2019-12-09,9.83,9.83,9.83,9.83,31596.0,60,9.83
2019-12-10,9.83,9.83,9.83,9.83,59200.0,1,9.83
2019-12-11,9.83,9.83,9.83,9.83,0.0,0,9.83
2019-12-12,9.83,9.84,9.83,9.84,155000.0,2,9.83
2019-12-13,9.84,9.84,9.84,9.84,0.0,0,9.84
2019-12-16,9.85,9.85,9.85,9.85,3950.0,9,9.85
2019-12-17,9.85,9.87,9.85,9.86,100300.0,4,9.85
2019-12-18,9.85,9.85,9.85,9.85,43300.0,3,9.85
2019-12-19,9.87,9.87,9.87,9.87,2600.0,4,9.87
2019-12-20,9.87,9.87,9.87,9.87,0.0,0,9.87
2019-12-23,9.87,9.87,9.87,9.87,0.0,0,9.87
2019-12-24,9.87,9.87,9.87,9.87,0.0,0,9.87
2019-12-26,9.87,9.87,9.87,9.87,0.0,0,9.87
2019-12-27,9.87,9.87,9.87,9.87,0.0,0,9.87
2019-12-30,9.87,9.87,9.87,9.87,0.0,0,9.87
2019-12-31,9.87,9.87,9.87,9.87,0.0,0,9.87
2020-01-02,9.87,9.87,9.87,9.87,0.0,0,9.87
2020-01-03,9.87,9.89,9.87,9.89,105000.0,5,9.871
2020-01-06,9.9,9.9,9.89,9.89,25300.0,4,9.9
2020-01-07,9.92,9.92,9.92,9.92,200.0,1,9.92
2020-01-08,9.92,9.92,9.92,9.92,0.0,0,9.92
2020-01-09,9.92,9.92,9.92,9.92,50000.0,1,9.92
2020-01-10,9.92,9.92,9.9,9.9,253200.0,50,9.92
2020-01-13,9.9,9.9,9.9,9.9,0.0,0,9.9
2020-01-14,9.92,9.94,9.92,9.94,49273.0,12,9.935
2020-01-15,9.95,9.96,9.94,9.94,35200.0,8,9.95
2020-01-16,9.95,9.95,9.95,9.95,154200.0,15,9.95
