date,open,high,low,close,volume,bar_count,vwap
2014-09-19,92.7,99.7,89.95,93.89,250591300.0,835579,92.855
2014-09-22,92.7,92.95,89.5,89.89,58213800.0,236358,90.571
2014-09-23,88.91,90.48,86.62,87.17,35105200.0,140094,87.753
2014-09-24,88.47,90.57,87.22,90.57,27692400.0,115063,88.588
2014-09-25,91.09,91.5,88.5,88.92,24874100.0,94960,89.601
2014-09-26,89.73,90.46,88.66,90.46,16817500.0,65745,89.536
2014-09-29,89.62,89.7,88.02,88.75,19723000.0,80676,88.863
2014-09-30,89.0,90.88,88.46,88.85,21663800.0,93810,89.517
2014-10-01,88.7,88.94,86.04,86.1,22168000.0,89271,86.639
2014-10-02,86.27,88.2,85.61,87.06,19674400.0,76607,86.7
2014-10-03,88.1,89.94,87.65,88.1,16484800.0,65467,88.651
2014-10-06,89.15,89.65,88.06,88.31,8442400.0,33672,88.59
2014-10-07,87.95,89.7,87.06,87.67,11878900.0,52318,88.28
2014-10-08,88.0,88.5,87.06,88.3,9573500.0,38590,87.804
2014-10-09,88.57,90.35,88.0,88.79,20312200.0,85221,89.296
2014-10-10,88.25,88.74,85.24,85.88,14054200.0,60680,86.97
2014-10-13,86.85,86.89,84.92,85.12,13403200.0,65539,85.461
2014-10-14,85.81,85.88,83.22,84.95,14306600.0,68436,84.649
2014-10-15,84.04,86.49,82.81,85.6,15625500.0,75127,85.047
2014-10-16,84.98,89.18,84.02,88.85,13786900.0,66360,87.199
2014-10-17,90.4,90.9,87.67,87.91,16002200.0,74145,89.261
2014-10-20,88.01,89.5,87.86,88.26,8994700.0,39276,88.456
2014-10-21,89.1,92.5,88.5,90.9,21384800.0,90330,90.68
2014-10-22,92.25,93.5,91.01,91.63,18578500.0,82188,92.489
2014-10-23,92.92,94.7,92.82,94.45,18737800.0,75363,93.955
2014-10-24,95.07,98.0,94.78,95.76,28766900.0,119842,96.634
2014-10-27,97.0,98.85,96.3,97.79,25606000.0,102998,97.78
2014-10-28,99.84,100.67,98.61,99.68,27903800.0,111223,99.827
2014-10-29,99.88,100.0,96.82,98.31,24819800.0,102689,98.463
2014-10-30,98.48,99.44,97.3,98.73,13574700.0,56763,98.562
2014-10-31,100.1,100.22,98.14,98.6,15597200.0,60664,99.064
2014-11-03,99.67,102.8,99.05,101.8,36931800.0,149747,101.519
2014-11-04,100.43,106.36,99.51,106.07,55193100.0,234423,103.807
2014-11-05,108.48,110.14,106.48,108.67,42490100.0,174851,109.08
2014-11-06,109.3,111.7,107.21,111.57,29230200.0,107577,109.496
2014-11-07,112.93,114.77,111.75,114.56,44082500.0,174474,113.567
2014-11-10,117.27,119.45,115.2,119.15,65960400.0,261271,117.215
2014-11-11,117.23,117.55,113.69,114.54,61525500.0,248968,115.487
2014-11-12,115.08,119.07,114.02,118.2,48567500.0,183733,117.269
2014-11-13,119.3,120.0,114.55,114.84,55403500.0,213907,116.943
2014-11-14,115.06,115.39,113.35,115.1,26340400.0,98057,114.753
2014-11-17,115.44,115.63,113.13,114.25,19740200.0,76742,114.33
2014-11-18,114.33,114.38,110.41,110.81,37050200.0,138440,111.748
2014-11-19,109.83,110.68,107.22,108.82,41938500.0,159791,108.794
2014-11-20,107.81,112.44,107.26,109.82,33290600.0,131354,110.668
2014-11-21,113.21,113.5,110.43,110.73,23281900.0,89232,111.48
2014-11-24,112.0,113.93,111.55,113.92,18262200.0,68182,112.515
2014-11-25,114.94,115.17,112.33,113.47,18361700.0,70607,113.958
2014-11-26,113.33,113.74,112.33,112.67,10260700.0,37385,112.875
2014-11-28,113.14,113.23,111.11,111.64,6865400.0,25079,112.262
2014-12-01,109.98,110.05,103.89,105.99,34081100.0,141758,106.67
2014-12-02,107.3,110.0,106.61,109.89,16843600.0,68980,108.549
2014-12-03,110.56,111.68,108.79,110.64,14406000.0,59399,110.324
2014-12-04,110.1,110.5,108.91,109.17,9731600.0,37123,109.628
2014-12-05,109.6,110.35,107.76,107.9,10927500.0,43766,108.683
2014-12-08,105.97,107.4,104.21,105.07,17092300.0,69046,105.481
2014-12-09,102.5,107.95,101.2,107.48,21854700.0,85616,104.848
2014-12-10,107.09,107.38,103.51,103.88,16471400.0,65397,105.305
2014-12-11,104.44,106.84,104.29,104.97,14136900.0,58030,105.71
2014-12-12,104.7,107.45,104.17,105.11,13206700.0,55141,105.902
2014-12-15,106.39,107.77,103.7,104.7,15110500.0,63107,105.429
2014-12-16,103.75,107.68,103.7,105.77,19549600.0,88395,106.37
2014-12-17,107.11,109.19,106.28,109.02,15537500.0,72020,108.047
2014-12-18,110.58,111.2,108.26,109.25,20084700.0,85561,109.798
2014-12-19,109.93,110.65,108.04,110.65,12214800.0,56392,109.178
2014-12-22,110.63,110.98,108.53,108.77,11366400.0,50020,109.562
2014-12-23,108.3,108.47,103.88,105.52,16454100.0,72745,105.84
2014-12-24,105.68,107.21,105.6,105.95,5178400.0,21466,106.383
2014-12-26,105.99,106.94,105.5,105.95,5825700.0,22288,106.188
2014-12-29,105.95,107.66,105.64,105.98,6718100.0,28279,106.53
2014-12-30,105.64,106.71,105.13,105.75,5954300.0,24554,105.814
2014-12-31,106.46,106.47,103.69,103.94,9247600.0,36804,104.662
2015-01-02,104.24,104.72,102.52,103.6,11208800.0,50645,103.382
2015-01-05,102.76,103.02,99.9,101.0,16304600.0,73938,101.326
2015-01-06,101.25,103.85,100.11,103.32,13995300.0,68901,101.826
2015-01-07,104.59,104.74,102.03,102.13,8965000.0,40271,103.124
2015-01-08,102.95,105.34,102.68,105.03,11436200.0,55809,104.431
2015-01-09,105.24,105.3,102.89,103.02,8930700.0,41319,103.847
2015-01-12,103.2,103.36,101.21,101.62,6681700.0,32485,101.875
2015-01-13,102.59,102.85,100.01,100.77,9976500.0,47621,101.388
2015-01-14,99.27,100.18,98.06,99.58,15503600.0,69431,99.011
2015-01-15,99.6,100.14,96.02,96.31,15514800.0,67452,97.461
2015-01-16,96.09,97.8,95.52,96.89,11918200.0,58579,96.628
2015-01-20,98.3,100.21,97.59,100.04,10782700.0,53476,99.047
2015-01-21,100.75,103.86,100.32,103.29,13306500.0,64120,102.615
2015-01-22,104.6,104.92,103.1,104.0,9949200.0,46032,103.975
2015-01-23,104.0,105.2,103.02,103.11,8225600.0,39969,104.053
2015-01-26,104.4,105.13,103.33,103.99,9324200.0,46541,104.052
2015-01-27,102.89,103.57,100.58,102.94,12619400.0,62334,102.139
2015-01-28,100.3,101.49,97.79,98.45,36807100.0,189485,99.466
2015-01-29,90.53,90.74,87.36,89.81,61008400.0,277015,89.087
2015-01-30,89.6,92.0,88.11,89.08,32367000.0,154285,89.977
2015-02-02,91.13,91.66,88.61,90.13,16404900.0,84383,89.767
2015-02-03,91.65,91.65,89.9,90.61,11811600.0,63522,90.513
2015-02-04,90.99,91.88,89.48,90.0,12938400.0,72808,90.592
2015-02-05,89.58,89.84,86.1,87.0,25968400.0,118213,87.462
2015-02-06,87.11,87.4,85.42,85.68,15907600.0,76571,86.18
2015-02-09,85.83,86.75,85.47,86.0,10617900.0,51108,86.047
2015-02-10,87.01,87.47,86.52,87.26,10527500.0,49589,87.064
2015-02-11,87.58,87.7,85.82,86.0,10645400.0,55838,86.369
2015-02-12,85.6,88.3,85.55,87.1,13517000.0,68760,87.005
2015-02-13,88.2,89.3,87.65,89.05,12971100.0,68869,88.707
2015-02-17,88.78,88.99,86.7,86.85,12454100.0,60904,87.535
2015-02-18,87.1,87.43,86.5,86.74,6405700.0,31668,86.887
2015-02-19,86.81,87.87,86.71,86.89,6092100.0,32377,87.253
2015-02-20,87.17,87.29,86.38,86.64,6092800.0,31377,86.75
2015-02-23,86.51,86.68,85.25,85.47,8166100.0,40764,85.885
2015-02-24,85.53,85.53,83.88,84.69,13902000.0,63532,84.529
2015-02-25,84.38,86.83,84.36,86.19,12334900.0,53892,86.129
2015-02-26,86.92,87.16,85.2,85.37,7052700.0,35277,86.056
2015-02-27,85.95,86.56,85.0,85.12,7397500.0,40127,85.742
2015-03-02,85.0,85.02,83.75,84.0,9979200.0,52244,84.215
2015-03-03,82.95,83.25,80.03,81.58,35971200.0,153519,81.308
2015-03-04,80.27,85.83,80.17,85.49,33104800.0,142298,83.835
2015-03-05,85.75,86.27,84.01,86.1,16519200.0,69727,85.158
2015-03-06,85.74,86.0,84.05,84.4,9533900.0,50475,84.958
2015-03-09,84.35,84.35,81.48,82.53,15816700.0,72313,82.548
2015-03-10,81.09,83.15,80.65,82.97,12706800.0,59383,82.071
2015-03-11,83.0,83.38,81.19,81.99,11630200.0,59279,81.836
2015-03-12,82.1,82.9,81.53,81.92,8797100.0,44363,82.19
2015-03-13,81.8,81.92,80.77,81.86,11626500.0,60188,81.267
2015-03-16,82.01,85.2,81.94,84.0,15303700.0,70689,83.951
2015-03-17,84.01,85.1,83.51,84.5,14825200.0,66771,84.419
2015-03-18,83.87,85.95,83.3,84.59,32228100.0,131081,84.358
2015-03-19,85.11,87.04,85.0,85.74,28481000.0,120150,85.82
2015-03-20,86.33,86.8,85.09,85.2,16627100.0,68346,85.559
2015-03-23,85.25,85.53,84.21,84.25,9893300.0,44550,84.68
2015-03-24,84.35,84.5,82.39,83.63,13409900.0,59461,83.408
2015-03-25,83.94,84.48,82.67,83.75,12434600.0,59555,83.685
2015-03-26,83.19,85.0,82.96,84.17,11030300.0,55556,84.335
2015-03-27,84.78,85.15,83.34,84.58,8836200.0,48103,84.298
2015-03-30,85.03,85.15,83.75,83.9,9143600.0,44607,84.236
2015-03-31,83.64,84.45,83.2,83.24,9795700.0,46161,83.817
2015-04-01,83.37,83.72,82.18,82.36,11331500.0,56765,82.718
2015-04-02,82.88,83.0,81.25,82.28,17485600.0,85550,81.983
2015-04-06,82.05,82.59,81.61,81.82,8529900.0,39568,81.931
2015-04-07,81.94,82.95,81.88,82.21,8365400.0,41202,82.401
2015-04-08,83.3,85.54,83.06,85.39,23963300.0,108058,84.908
2015-04-09,87.03,87.69,85.2,86.14,24663400.0,104471,86.571
2015-04-10,86.68,86.69,84.15,84.58,16639700.0,75323,84.949
2015-04-13,85.16,85.71,83.82,84.28,14659600.0,63800,84.628
2015-04-14,84.63,85.13,83.53,85.0,10429700.0,48927,84.474
2015-04-15,85.08,85.36,84.16,84.67,10793400.0,56652,84.715
2015-04-16,85.15,85.4,83.89,84.06,11123200.0,55723,84.542
2015-04-17,83.08,83.25,81.61,81.9,19293400.0,96646,82.091
2015-04-20,82.25,82.69,81.52,82.2,10784800.0,50928,82.161
2015-04-21,82.86,82.92,82.14,82.42,8984300.0,45135,82.445
2015-04-22,82.78,82.84,81.52,82.05,12112600.0,53757,81.972
2015-04-23,81.88,82.75,81.62,82.28,10010300.0,49514,82.164
2015-04-24,82.88,84.99,82.8,84.57,18518900.0,92311,84.418
2015-04-27,85.53,86.27,84.65,84.9,15629400.0,77029,85.511
2015-04-28,85.54,85.57,83.82,85.08,9959400.0,51944,84.856
2015-04-29,84.06,84.4,81.64,82.45,16956600.0,80791,82.603
2015-04-30,82.22,82.65,80.43,81.29,12751500.0,59812,81.526
2015-05-01,81.03,82.25,80.11,81.17,15374500.0,74449,81.021
2015-05-04,81.17,81.56,80.12,80.59,18809300.0,92842,80.639
2015-05-05,80.44,80.9,77.77,79.54,28218500.0,131914,79.014
2015-05-06,79.67,80.85,79.51,80.0,21127800.0,109177,79.968
2015-05-07,88.83,89.29,84.91,86.0,53916600.0,238377,86.398
2015-05-08,87.82,88.27,86.89,87.06,26368400.0,122941,87.561
2015-05-11,86.7,87.67,86.06,86.72,17837700.0,73773,86.876
2015-05-12,87.05,87.5,86.14,86.77,14454900.0,61631,86.74
2015-05-13,87.08,88.47,87.0,87.53,17010100.0,67805,87.742
2015-05-14,87.74,88.48,87.53,88.4,10825900.0,48585,88.098
2015-05-15,88.51,88.96,88.05,88.46,12206900.0,58467,88.593
2015-05-18,87.61,87.93,86.61,87.11,10683600.0,49111,87.034
2015-05-19,86.99,88.8,86.47,88.21,17616700.0,78137,87.435
2015-05-20,88.14,90.8,87.3,90.7,26425300.0,115922,89.095
2015-05-21,91.35,94.77,90.92,93.88,36355400.0,153006,93.253
2015-05-22,94.28,95.06,93.19,93.27,20181000.0,83318,94.038
