date,open,high,low,close,volume,bar_count,vwap
2001-05-21,56.45,56.77,56.0,56.49,4357700.0,1,56.49
2001-05-22,56.4,58.78,56.4,58.64,7756500.0,1,58.64
2001-05-23,58.05,59.32,57.97,58.61,6785700.0,1,58.61
2001-05-24,59.0,60.0,58.81,59.99,6073200.0,1,59.99
2001-05-25,60.0,60.0,58.56,58.71,4970800.0,1,58.71
2001-05-29,59.0,59.73,58.95,59.6,4978600.0,1,59.6
2001-05-30,59.05,59.85,58.28,58.78,5775500.0,1,58.78
2001-05-31,59.03,59.45,58.35,59.25,6018200.0,1,59.25
2001-06-01,59.5,59.5,58.0,58.1,5915700.0,1,58.1
2001-06-04,59.0,59.05,58.28,58.63,4785100.0,1,58.63
2001-06-05,59.0,60.2,58.79,59.95,7331500.0,1,59.95
2001-06-06,59.1,59.87,58.55,59.69,5606800.0,1,59.69
2001-06-07,58.9,59.85,58.07,59.6,5790100.0,1,59.6
2001-06-08,58.8,59.25,58.45,59.03,2593900.0,1,59.03
2001-06-11,58.75,59.4,58.46,58.74,2823500.0,1,58.74
2001-06-12,58.58,59.3,57.77,59.1,4680500.0,1,59.1
2001-06-13,58.95,59.9,58.85,59.1,4365000.0,1,59.1
2001-06-14,58.7,58.95,57.55,57.7,5119100.0,1,57.7
2001-06-15,57.15,58.58,57.14,58.02,9725600.0,1,58.02
2001-06-18,58.45,59.48,57.72,59.24,4560700.0,1,59.24
2001-06-19,59.8,59.98,58.73,59.72,5803300.0,1,59.72
2001-06-20,59.3,61.15,59.3,60.14,8487500.0,1,60.14
2001-06-21,60.2,61.49,60.19,61.38,8593900.0,1,61.38
2001-06-22,61.63,62.18,60.92,61.94,7472000.0,1,61.94
2001-06-25,61.94,62.0,60.78,61.2,4801100.0,1,61.2
2001-06-26,60.2,60.7,59.64,60.4,5849300.0,1,60.4
2001-06-27,60.45,61.15,60.07,60.32,5006700.0,1,60.32
2001-06-28,60.3,61.22,59.9,59.98,5020700.0,1,59.98
2001-06-29,60.05,60.2,59.05,60.03,6651000.0,1,60.03
2001-07-02,60.03,60.64,59.7,60.5,3910600.0,1,60.5
2001-07-03,60.35,60.5,59.84,60.49,2387200.0,1,60.49
2001-07-05,60.25,60.7,60.1,60.28,2156200.0,1,60.28
2001-07-06,60.29,60.29,58.0,58.36,4441500.0,1,58.36
2001-07-09,58.45,59.09,58.25,58.92,3415100.0,1,58.92
2001-07-10,58.85,58.85,56.85,56.98,5705600.0,1,56.98
2001-07-11,56.51,57.41,55.19,57.35,6848100.0,1,57.35
2001-07-12,57.85,59.58,57.55,59.43,5906100.0,1,59.43
2001-07-13,59.43,60.51,59.09,60.25,4650800.0,1,60.25
2001-07-16,61.5,62.49,61.25,61.38,9727400.0,1,61.38
2001-07-17,62.0,64.33,61.83,63.7,11779900.0,1,63.7
2001-07-18,63.25,64.3,63.05,64.08,12194500.0,1,64.08
2001-07-19,64.5,64.7,62.85,63.5,7916300.0,1,63.5
2001-07-20,63.18,63.2,62.28,62.85,4667600.0,1,62.85
2001-07-23,63.15,63.38,62.31,62.35,2588900.0,1,62.35
2001-07-24,62.6,62.87,61.7,62.01,4693000.0,1,62.01
2001-07-25,62.3,62.53,61.5,62.4,5692100.0,1,62.4
2001-07-26,62.5,63.3,62.31,63.11,3700200.0,1,63.11
2001-07-27,63.11,64.0,63.11,63.5,2865100.0,1,63.5
2001-07-30,63.2,63.63,63.0,63.55,2384400.0,1,63.55
