date,open,high,low,close,volume,bar_count,vwap
2001-05-18,0.2,0.21,0.19,0.2,38592500.0,1,0.1976
2001-05-21,0.2,0.23,0.2,0.23,222255000.0,1,0.2324
2001-05-22,0.24,0.24,0.22,0.22,129287500.0,1,0.2216
2001-05-23,0.22,0.22,0.21,0.21,90512500.0,1,0.21
2001-05-24,0.2,0.21,0.2,0.2,95797500.0,1,0.2044
2001-05-25,0.21,0.21,0.2,0.21,59855000.0,1,0.208
2001-05-29,0.21,0.22,0.2,0.2,35925000.0,1,0.2008
2001-05-30,0.2,0.2,0.19,0.19,51590000.0,1,0.1948
2001-05-31,0.19,0.22,0.19,0.22,98067500.0,1,0.216
2001-06-01,0.22,0.23,0.21,0.21,75905000.0,1,0.2116
2001-06-04,0.21,0.22,0.2,0.21,53062500.0,1,0.2124
2001-06-05,0.22,0.22,0.22,0.22,66155000.0,1,0.218
2001-06-06,0.25,0.29,0.24,0.28,785915000.0,1,0.2824
2001-06-07,0.27,0.33,0.27,0.31,651252500.0,1,0.308
2001-06-08,0.31,0.32,0.3,0.31,315917500.0,1,0.3084
2001-06-11,0.3,0.3,0.28,0.3,165700000.0,1,0.3
2001-06-12,0.28,0.3,0.28,0.29,120985000.0,1,0.2892
2001-06-13,0.29,0.32,0.29,0.31,220575000.0,1,0.3112
2001-06-14,0.31,0.32,0.29,0.32,145112500.0,1,0.3164
2001-06-15,0.31,0.34,0.3,0.32,216040000.0,1,0.3232
2001-06-18,0.33,0.34,0.31,0.32,124257500.0,1,0.3176
2001-06-19,0.33,0.33,0.29,0.31,136955000.0,1,0.3056
2001-06-20,0.29,0.3,0.28,0.29,151820000.0,1,0.2944
2001-06-21,0.29,0.3,0.29,0.3,78847500.0,1,0.2976
2001-06-22,0.3,0.33,0.29,0.31,142190000.0,1,0.3072
2001-06-25,0.31,0.31,0.3,0.31,102477500.0,1,0.306
2001-06-26,0.3,0.31,0.3,0.3,92892500.0,1,0.3024
2001-06-27,0.3,0.31,0.3,0.31,64655000.0,1,0.3124
2001-06-28,0.32,0.33,0.31,0.32,83705000.0,1,0.3232
2001-06-29,0.33,0.36,0.32,0.36,219675000.0,1,0.362
2001-07-02,0.36,0.41,0.35,0.4,309337500.0,1,0.3964
2001-07-03,0.39,0.39,0.37,0.38,86797500.0,1,0.378
2001-07-05,0.36,0.36,0.32,0.34,229530000.0,1,0.3352
2001-07-06,0.32,0.32,0.29,0.31,230452500.0,1,0.3132
2001-07-09,0.35,0.35,0.31,0.31,309805000.0,1,0.312
2001-07-10,0.32,0.32,0.31,0.31,146767500.0,1,0.3136
2001-07-11,0.31,0.32,0.3,0.31,69735000.0,1,0.3124
2001-07-12,0.33,0.33,0.31,0.32,97727500.0,1,0.32
2001-07-13,0.32,0.35,0.31,0.35,124005000.0,1,0.348
2001-07-16,0.36,0.37,0.32,0.35,229202500.0,1,0.3496
2001-07-17,0.33,0.37,0.33,0.36,125252500.0,1,0.3604
2001-07-18,0.35,0.37,0.34,0.35,92897500.0,1,0.3532
2001-07-19,0.36,0.36,0.32,0.34,120167500.0,1,0.3368
2001-07-20,0.33,0.34,0.32,0.34,74087500.0,1,0.3352
2001-07-23,0.33,0.34,0.33,0.34,49970000.0,1,0.338
2001-07-24,0.33,0.34,0.32,0.32,71152500.0,1,0.3172
2001-07-25,0.32,0.33,0.3,0.33,72572500.0,1,0.3308
2001-07-26,0.33,0.34,0.32,0.34,44715000.0,1,0.3352
2001-07-27,0.33,0.34,0.32,0.32,38902500.0,1,0.322
2001-07-30,0.33,0.34,0.32,0.34,123542500.0,1,0.3396
2001-07-31,0.35,0.36,0.33,0.35,333687500.0,1,0.3548
2001-08-01,0.41,0.41,0.36,0.38,844562500.0,1,0.3808
2001-08-02,0.37,0.38,0.36,0.36,302050000.0,1,0.3572
2001-08-03,0.35,0.35,0.34,0.35,115075000.0,1,0.3464
2001-08-06,0.34,0.35,0.34,0.35,59877500.0,1,0.3472
2001-08-07,0.34,0.36,0.34,0.36,60030000.0,1,0.36
2001-08-08,0.36,0.36,0.34,0.34,59382500.0,1,0.33876
2001-08-09,0.34,0.34,0.32,0.32,79285000.0,1,0.324
2001-08-10,0.32,0.32,0.3,0.31,66915000.0,1,0.308
2001-08-13,0.32,0.33,0.31,0.33,70180000.0,1,0.3316
2001-08-14,0.33,0.34,0.32,0.32,66325000.0,1,0.3224
2001-08-15,0.32,0.32,0.3,0.3,70907500.0,1,0.3012
2001-08-16,0.29,0.3,0.25,0.28,380140000.0,1,0.2804
