date,open,high,low,close,volume,bar_count,vwap
2012-03-23,540.0,540.0,540.0,540.0,0.0,0,540.0
2012-03-30,420.0,420.0,420.0,420.0,0.0,0,420.0
2012-04-04,420.0,420.0,420.0,420.0,0.0,0,420.0
2012-04-11,420.0,420.0,420.0,420.0,0.075,1,420.0
2012-04-19,420.0,420.0,420.0,420.0,4.425,1,420.0
2012-04-25,480.0,480.0,480.0,480.0,3.75,1,480.0
2012-04-26,480.0,480.0,480.0,480.0,0.3,1,480.0
2012-05-01,520.0,520.0,480.0,480.0,14.75,3,493.56
2012-05-02,520.0,680.0,520.0,680.0,9.725,6,583.12
2012-05-03,680.0,680.0,680.0,680.0,8.125,2,680.0
2012-05-04,720.0,840.0,720.0,836.0,14.95,16,773.92
2012-05-07,720.0,720.0,720.0,720.0,1.25,1,720.0
2012-05-08,840.0,1160.0,640.0,740.0,380.525,213,906.32
2012-05-09,680.0,680.0,400.0,520.0,34.3,25,531.16
2012-05-10,520.0,620.0,520.0,620.0,1.75,2,591.44
2012-05-11,640.0,640.0,640.0,640.0,0.25,1,640.0
2012-05-14,680.0,720.0,640.0,720.0,12.6,8,678.84
2012-05-15,640.0,640.0,640.0,640.0,2.5,3,640.0
2012-05-16,640.0,640.0,640.0,640.0,0.575,1,640.0
2012-05-17,640.0,640.0,640.0,640.0,3.75,3,640.0
2012-05-18,640.0,760.0,620.0,680.0,8.75,6,668.68
2012-05-21,980.0,980.0,680.0,700.0,64.575,82,708.68
2012-05-22,700.0,700.0,600.0,680.0,7.125,9,640.2
2012-05-24,580.0,680.0,540.0,680.0,24.05,13,589.64
2012-05-25,564.0,564.0,564.0,564.0,0.25,1,564.0
2012-05-29,560.0,700.0,560.0,560.0,2.0,4,612.52
2012-05-30,560.0,660.0,560.0,640.0,10.025,8,636.52
2012-05-31,728.0,752.0,644.0,679.6,196.725,157,700.36
2012-06-01,732.0,732.0,516.0,516.0,272.575,170,618.68
2012-06-04,480.0,600.0,440.0,440.0,29.775,36,502.4
2012-06-05,440.0,480.0,440.0,440.0,12.0,18,462.0
2012-06-06,440.0,460.0,400.0,420.0,43.125,31,429.6
2012-06-07,364.0,400.0,304.0,360.0,23.5,21,362.4
2012-06-08,322.0,400.0,322.0,324.0,31.75,14,397.4
2012-06-11,324.0,500.0,324.0,500.0,24.5,20,430.08
2012-06-12,420.0,560.0,404.0,440.0,291.925,117,518.44
2012-06-13,480.0,504.0,264.0,360.0,173.1,91,394.04
2012-06-14,332.0,360.0,296.0,320.0,15.05,9,315.56
2012-06-15,336.0,340.0,332.0,340.0,5.175,4,336.0
2012-06-18,340.0,340.0,300.0,320.0,6.275,6,309.24
