date,open,high,low,close,volume,bar_count,vwap
2001-05-18,8.25,8.25,8.06,8.12,699200.0,1,8.115
2001-05-21,7.84,8.0,7.81,7.84,514000.0,1,7.835
2001-05-22,7.73,7.85,7.64,7.71,236800.0,1,7.705
2001-05-23,7.68,7.81,7.5,7.7,267000.0,1,7.7
2001-05-24,7.7,7.78,7.65,7.73,251600.0,1,7.725
2001-05-25,7.68,7.75,7.58,7.7,266600.0,1,7.7
2001-05-29,7.65,7.7,7.61,7.68,290000.0,1,7.675
2001-05-30,7.73,8.0,7.73,7.89,296000.0,1,7.89
2001-05-31,7.75,7.93,7.73,7.88,204200.0,1,7.88
2001-06-01,7.88,7.97,7.81,7.87,147600.0,1,7.865
2001-06-04,7.85,8.0,7.83,7.9,229200.0,1,7.9
2001-06-05,7.9,7.9,7.81,7.9,151600.0,1,7.895
2001-06-06,7.83,7.83,7.64,7.65,227400.0,1,7.645
2001-06-07,7.45,7.55,7.35,7.51,808000.0,1,7.51
2001-06-08,7.53,7.93,7.5,7.57,262200.0,1,7.57
2001-06-11,7.45,7.53,7.4,7.49,244000.0,1,7.49
2001-06-12,7.42,7.68,7.42,7.62,302400.0,1,7.62
2001-06-13,7.58,7.78,7.54,7.65,266600.0,1,7.65
2001-06-14,7.55,7.57,7.38,7.43,184200.0,1,7.435
2001-06-15,7.48,7.68,7.47,7.54,234400.0,1,7.535
2001-06-18,7.51,7.63,7.45,7.53,390200.0,1,7.53
2001-06-19,7.61,7.75,7.55,7.55,166200.0,1,7.55
2001-06-20,7.68,7.91,7.61,7.79,171200.0,1,7.79
2001-06-21,7.71,8.13,7.71,7.83,189800.0,1,7.825
2001-06-22,7.83,8.0,7.68,7.77,261400.0,1,7.765
2001-06-25,7.88,8.1,7.83,7.86,255200.0,1,7.86
2001-06-26,7.85,8.0,7.74,7.74,167800.0,1,7.74
2001-06-27,7.92,8.0,7.78,7.83,205400.0,1,7.83
2001-06-28,7.93,8.11,7.92,8.1,133200.0,1,8.095
2001-06-29,8.04,8.04,7.79,7.9,351400.0,1,7.9
2001-07-02,7.78,7.95,7.7,7.85,151600.0,1,7.85
2001-07-03,7.7,7.79,7.62,7.71,277000.0,1,7.71
2001-07-05,7.72,7.9,7.64,7.7,242200.0,1,7.695
2001-07-06,7.63,7.78,7.6,7.66,199800.0,1,7.655
2001-07-09,7.76,7.98,7.76,7.83,166000.0,1,7.83
2001-07-10,7.77,7.95,7.77,7.83,194200.0,1,7.83
2001-07-11,7.89,8.1,7.89,7.98,148400.0,1,7.975
2001-07-12,7.93,8.0,7.84,7.88,267800.0,1,7.875
2001-07-13,7.88,7.93,7.82,7.82,230400.0,1,7.82
2001-07-16,7.87,7.95,7.76,7.82,204400.0,1,7.82
2001-07-17,7.68,7.95,7.68,7.88,286200.0,1,7.88
2001-07-18,7.89,8.0,7.84,7.92,122600.0,1,7.915
2001-07-19,7.89,8.13,7.85,8.07,271600.0,1,8.07
2001-07-20,8.06,8.15,8.0,8.06,268800.0,1,8.055
2001-07-23,7.99,8.08,7.91,7.98,247200.0,1,7.975
2001-07-24,7.86,8.07,7.86,8.01,155200.0,1,8.01
2001-07-25,7.91,8.02,7.87,7.89,226000.0,1,7.89
2001-07-26,8.03,8.2,8.02,8.08,175200.0,1,8.075
2001-07-27,8.05,8.22,8.01,8.13,190800.0,1,8.125
2001-07-30,8.1,8.22,8.05,8.19,179000.0,1,8.185
2001-07-31,8.06,8.37,8.0,8.31,246200.0,1,8.305
2001-08-01,8.27,8.38,8.2,8.35,340800.0,1,8.35
2001-08-02,8.3,8.32,8.05,8.19,422600.0,1,8.19
2001-08-03,8.18,8.24,8.05,8.13,136800.0,1,8.125
2001-08-06,8.1,8.25,8.01,8.08,192200.0,1,8.08
