date,open,high,low,close,volume,bar_count,vwap
2025-03-28,39.0,41.94,37.46,40.0,32350161.0,127777,39.504
2025-03-31,38.49,38.49,36.0,37.08,12915746.0,68917,36.821
2025-04-01,38.5,53.27,37.2,52.57,31630481.0,127739,44.592
2025-04-02,55.91,64.62,51.4,61.36,41951477.0,153871,57.434
2025-04-03,55.4,57.65,48.26,53.8,20674029.0,87545,53.363
2025-04-04,49.6,51.0,43.51,47.82,12020342.0,41721,47.374
2025-04-07,43.89,52.0,42.16,49.85,9832057.0,37268,47.558
2025-04-08,54.15,54.8,42.36,43.61,11618695.0,49063,47.373
2025-04-09,43.73,49.88,39.12,48.77,15276658.0,62665,44.311
2025-04-10,46.9,47.0,41.84,42.2,8055844.0,39145,43.9
2025-04-11,42.5,44.88,41.02,43.75,4518373.0,17055,42.959
2025-04-14,46.8,46.85,42.4,43.61,4059912.0,14011,44.456
2025-04-15,43.56,44.74,40.0,40.78,5650592.0,23611,41.196
2025-04-16,40.16,40.84,38.26,40.73,5466897.0,24962,39.332
2025-04-17,41.25,41.63,38.35,39.09,3945975.0,16125,39.696
2025-04-21,38.62,38.64,33.51,35.41,6944234.0,30803,35.41
2025-04-22,37.0,39.61,36.0,38.51,8139863.0,31180,38.018
2025-04-23,42.08,43.95,40.16,41.62,6157260.0,21633,41.992
2025-04-24,42.55,43.5,38.8,41.77,7893029.0,30167,41.394
2025-04-25,41.95,44.36,40.9,41.54,7364689.0,24782,42.29
2025-04-28,42.01,43.33,39.78,42.02,4413519.0,16650,41.081
2025-04-29,42.05,46.45,41.01,42.82,8777965.0,32490,44.081
2025-04-30,41.0,41.51,39.5,41.3,3782282.0,13852,40.712
2025-05-01,47.03,48.35,44.03,44.32,10094144.0,39594,46.186
2025-05-02,46.62,51.82,45.8,51.57,7530950.0,25088,49.399
2025-05-05,50.43,52.78,49.7,51.01,5079876.0,16763,51.472
2025-05-06,49.36,54.84,49.06,54.3,7654556.0,26341,53.116
2025-05-07,54.91,54.91,51.4,53.6,4577440.0,15137,52.931
2025-05-08,54.71,55.7,52.77,55.0,5078178.0,16165,54.35
2025-05-09,55.95,56.82,50.18,51.37,6220353.0,22436,52.059
2025-05-12,54.3,59.44,52.9,58.49,8351234.0,29145,57.013
2025-05-13,57.6,64.87,57.32,63.26,8173798.0,31554,61.334
2025-05-14,66.0,68.5,64.0,67.46,11955889.0,44382,66.259
2025-05-15,68.87,72.97,61.33,65.77,28205790.0,105488,67.363
2025-05-16,68.09,84.0,67.55,80.3,34664791.0,131896,78.538
2025-05-19,76.9,88.9,76.08,86.59,27212016.0,98834,84.188
2025-05-20,89.74,96.35,83.3,90.24,27877073.0,93923,90.269
2025-05-21,89.46,109.49,89.3,107.39,51417885.0,193786,102.986
2025-05-22,112.09,116.54,99.52,100.16,47987336.0,180377,108.968
2025-05-23,97.99,106.79,97.1,102.74,25549095.0,86917,102.97
2025-05-27,109.11,125.02,107.97,123.97,29694700.0,104708,118.173
2025-05-28,123.75,123.75,113.0,116.15,20283956.0,73174,116.9
2025-05-29,123.49,130.76,105.53,105.55,31109577.0,118655,118.394
2025-05-30,109.0,111.95,104.9,111.31,18465496.0,70267,108.726
2025-06-02,116.35,123.66,114.0,120.2,21227278.0,82278,118.214
2025-06-03,125.05,150.88,124.7,150.48,43909727.0,178206,140.573
