date,open,high,low,close,volume,bar_count,vwap
2001-05-18,14.54,14.73,14.54,14.63,53200.0,1,14.63
2001-05-21,14.9,15.36,14.9,15.36,326900.0,1,15.36
2001-05-22,15.15,15.19,15.0,15.0,30000.0,1,15.0
2001-05-23,15.37,15.37,15.0,15.24,4400.0,1,15.24
2001-05-24,15.15,15.3,15.15,15.29,13900.0,1,15.29
2001-05-25,15.26,15.26,15.05,15.05,24900.0,1,15.05
2001-05-29,15.33,15.44,15.2,15.27,19700.0,1,15.27
2001-05-30,15.25,15.39,14.85,14.85,34200.0,1,14.85
2001-05-31,15.08,15.08,15.03,15.07,4100.0,1,15.07
2001-06-01,15.0,15.0,14.82,14.82,14200.0,1,14.82
2001-06-04,14.98,14.98,14.7,14.91,6200.0,1,14.91
2001-06-05,14.29,14.69,14.29,14.54,14000.0,1,14.54
2001-06-06,14.54,15.05,14.48,14.5,38600.0,1,14.5
2001-06-07,14.56,14.78,14.56,14.78,2900.0,1,14.78
2001-06-08,15.25,15.25,14.92,15.07,6900.0,1,15.07
2001-06-11,14.85,14.87,14.79,14.79,4400.0,1,14.79
2001-06-12,14.56,14.56,14.56,14.56,400.0,1,14.56
2001-06-13,14.86,14.95,14.86,14.95,300.0,1,14.95
2001-06-14,14.8,14.8,14.45,14.45,1500.0,1,14.45
2001-06-15,14.7,14.85,14.7,14.82,4400.0,1,14.82
2001-06-18,14.51,14.67,14.51,14.61,1600.0,1,14.61
2001-06-19,14.52,14.68,14.15,14.15,11700.0,1,14.15
2001-06-20,14.31,14.31,14.21,14.25,7400.0,1,14.25
2001-06-21,14.3,14.4,14.3,14.3,2500.0,1,14.3
2001-06-22,14.39,14.39,14.2,14.2,10100.0,1,14.2
2001-06-25,13.98,14.2,13.98,14.2,300.0,1,14.2
2001-06-26,14.08,14.08,13.95,13.95,67900.0,1,13.95
2001-06-27,13.8,13.82,13.8,13.81,3000.0,1,13.81
2001-06-28,13.95,14.65,13.95,14.65,24400.0,1,14.65
2001-06-29,14.3,14.4,14.07,14.29,6500.0,1,14.29
2001-07-02,14.36,14.49,14.26,14.26,6500.0,1,14.26
2001-07-03,14.3,14.3,14.12,14.12,4600.0,1,14.12
2001-07-05,14.18,14.18,14.12,14.12,1100.0,1,14.12
2001-07-06,13.76,13.76,13.75,13.75,2900.0,1,13.75
2001-07-09,13.7,13.7,13.36,13.36,3300.0,1,13.36
2001-07-10,13.4,13.4,13.25,13.25,10600.0,1,13.25
2001-07-11,13.05,13.19,13.01,13.14,3900.0,1,13.14
2001-07-12,13.25,13.53,13.25,13.4,7800.0,1,13.4
2001-07-13,13.1,13.1,13.0,13.1,2400.0,1,13.1
2001-07-16,12.95,13.1,12.86,12.91,11800.0,1,12.91
2001-07-17,12.82,13.0,12.82,13.0,11300.0,1,13.0
2001-07-18,12.51,12.72,12.51,12.72,2000.0,1,12.72
2001-07-19,13.0,13.03,12.94,12.94,7100.0,1,12.94
2001-07-20,12.88,12.88,12.75,12.86,6300.0,1,12.86
2001-07-23,12.7,12.74,12.54,12.54,2400.0,1,12.54
2001-07-24,12.7,12.7,12.3,12.3,1200.0,1,12.3
2001-07-25,12.2,12.78,12.2,12.78,1000.0,1,12.78
2001-07-26,12.97,12.97,12.97,12.97,400.0,1,12.97
2001-07-27,12.95,13.18,12.95,13.18,900.0,1,13.18
2001-07-30,13.0,13.0,12.89,12.89,2900.0,1,12.89
2001-07-31,13.1,13.12,13.06,13.1,56400.0,1,13.1
2001-08-01,13.64,13.83,13.6,13.83,16300.0,1,13.83
2001-08-02,14.0,14.03,13.86,14.03,732700.0,1,14.03
2001-08-03,14.14,14.14,14.09,14.09,1300.0,1,14.09
2001-08-06,13.86,13.88,13.67,13.71,9500.0,1,13.71
2001-08-07,13.79,13.88,13.71,13.82,31700.0,1,13.82
2001-08-08,13.9,13.98,13.7,13.91,40300.0,1,13.91
2001-08-09,13.6,13.6,13.32,13.48,3000.0,1,13.48
2001-08-10,13.4,13.45,13.4,13.45,5200.0,1,13.45
2001-08-13,13.55,13.89,13.55,13.87,14400.0,1,13.87
2001-08-14,14.0,14.18,13.9,13.97,7400.0,1,13.97
2001-08-15,14.09,14.09,14.02,14.02,1100.0,1,14.02
2001-08-16,14.01,14.23,14.01,14.23,500.0,1,14.23
2001-08-17,14.13,14.13,13.84,13.84,1200.0,1,13.84
2001-08-20,13.94,13.94,13.74,13.94,18500.0,1,13.94
2001-08-21,13.98,13.98,13.61,13.61,36700.0,1,13.61
2001-08-22,13.73,14.04,13.73,13.94,16300.0,1,13.94
2001-08-23,13.7,14.0,13.7,13.8,17300.0,1,13.8
2001-08-24,13.85,13.89,13.85,13.89,1100.0,1,13.89
2001-08-27,14.3,14.3,13.96,13.96,362100.0,1,13.96
2001-08-28,13.96,14.04,13.76,14.03,3300.0,1,14.03
2001-08-29,13.58,13.58,13.58,13.58,1000.0,1,13.58
2001-08-30,13.57,13.57,13.54,13.54,3300.0,1,13.54
2001-08-31,13.4,13.4,13.2,13.2,3500.0,1,13.2
2001-09-04,13.8,13.88,13.4,13.4,69700.0,1,13.4
2001-09-05,13.44,13.44,13.18,13.43,2900.0,1,13.43
2001-09-06,13.3,13.35,13.2,13.2,22100.0,1,13.2
2001-09-07,13.3,13.54,13.2,13.21,4400.0,1,13.21
2001-09-10,13.55,13.57,13.36,13.53,107300.0,1,13.53
2001-09-17,11.25,11.66,11.05,11.3,60300.0,1,11.3
2001-09-18,11.74,11.74,11.53,11.53,7200.0,1,11.53
2001-09-19,11.75,11.75,11.2,11.56,12600.0,1,11.56
2001-09-20,11.27,11.3,10.81,10.81,11500.0,1,10.81
2001-09-21,10.45,10.95,10.32,10.95,13300.0,1,10.95
2001-09-24,11.1,11.5,11.1,11.49,2900.0,1,11.49
2001-09-25,11.0,11.14,10.92,10.95,10300.0,1,10.95
2001-09-26,11.0,11.0,10.91,10.96,3900.0,1,10.96
2001-09-27,10.97,11.07,10.75,10.85,24600.0,1,10.85
2001-09-28,11.25,11.29,11.0,11.01,14400.0,1,11.01
2001-10-01,11.03,11.1,11.03,11.07,4200.0,1,11.07
2001-10-02,11.12,11.24,11.01,11.13,6100.0,1,11.13
2001-10-03,11.23,11.5,11.23,11.5,17300.0,1,11.5
2001-10-04,11.5,11.75,11.43,11.73,15600.0,1,11.73
2001-10-05,11.66,11.66,11.36,11.59,9200.0,1,11.59
2001-10-08,11.48,11.67,11.44,11.44,9900.0,1,11.44
2001-10-09,11.7,11.79,11.61,11.61,43400.0,1,11.61
2001-10-10,11.64,11.8,11.22,11.8,9600.0,1,11.8
2001-10-11,12.36,12.36,12.3,12.3,1500.0,1,12.3
2001-10-12,12.25,12.25,12.25,12.25,400.0,1,12.25
2001-10-15,12.28,12.28,12.1,12.22,3200.0,1,12.22
2001-10-16,12.39,12.42,12.39,12.42,1100.0,1,12.42
2001-10-17,12.4,12.52,12.31,12.31,2700.0,1,12.31
2001-10-18,12.36,12.43,12.36,12.43,1000.0,1,12.43
2001-10-19,12.3,12.5,12.27,12.3,10000.0,1,12.3
2001-10-23,12.5,12.5,12.41,12.41,1500.0,1,12.41
2001-10-24,12.9,13.09,12.9,13.09,12700.0,1,13.09
2001-10-25,12.8,13.11,12.77,13.11,8600.0,1,13.11
2001-10-26,13.0,13.23,13.0,13.23,38000.0,1,13.23
2001-10-29,13.33,13.33,13.1,13.1,10900.0,1,13.1
2001-10-30,12.3,12.75,12.3,12.73,7700.0,1,12.73
2001-10-31,12.85,13.08,12.82,12.82,1400.0,1,12.82
2001-11-01,13.07,13.53,13.04,13.53,20000.0,1,13.53
2001-11-02,13.4,13.49,13.4,13.49,3300.0,1,13.49
2001-11-05,13.7,13.7,13.51,13.69,6200.0,1,13.69
2001-11-06,13.66,13.7,13.66,13.7,15200.0,1,13.7
2001-11-07,13.7,13.81,13.66,13.8,3000.0,1,13.8
2001-11-08,13.9,14.17,13.9,14.05,53700.0,1,14.05
2001-11-09,14.17,14.34,14.15,14.34,4800.0,1,14.34
2001-11-12,14.8,14.8,14.4,14.63,18600.0,1,14.63
2001-11-13,14.75,15.16,14.75,15.03,54100.0,1,15.03
2001-11-14,15.16,15.45,15.16,15.42,476300.0,1,15.42
2001-11-15,15.31,15.38,15.2,15.34,417400.0,1,15.34
2001-11-16,15.34,15.34,15.26,15.28,53100.0,1,15.275
2001-11-19,15.5,16.01,15.5,15.84,165600.0,1,15.84
2001-11-20,15.95,15.95,15.26,15.38,8300.0,1,15.38
2001-11-21,15.55,15.55,15.31,15.46,49900.0,1,15.46
2001-11-23,16.0,16.59,16.0,16.37,11000.0,1,16.37
2001-11-26,17.7,17.7,17.21,17.27,42400.0,1,17.27
2001-11-27,17.32,17.34,16.85,17.18,58400.0,1,17.18
2001-11-28,16.1,16.14,15.76,15.76,22400.0,1,15.76
2001-11-29,15.76,15.96,15.76,15.9,4800.0,1,15.9
2001-11-30,16.2,16.5,16.2,16.26,36000.0,1,16.26
2001-12-03,16.6,16.64,16.36,16.45,16600.0,1,16.45
2001-12-04,16.55,16.74,16.55,16.7,391400.0,1,16.7
2001-12-05,17.8,18.34,17.8,18.33,82300.0,1,18.33
2001-12-06,18.15,18.15,17.76,17.84,107500.0,1,17.84
2001-12-07,18.4,18.48,18.21,18.36,41100.0,1,18.36
2001-12-10,17.25,17.38,17.1,17.38,21700.0,1,17.38
2001-12-11,17.2,17.45,17.2,17.42,11400.0,1,17.42
2001-12-12,17.85,17.86,17.65,17.73,19400.0,1,17.73
2001-12-13,17.7,17.7,17.51,17.67,19100.0,1,17.67
2001-12-14,16.75,17.24,16.75,17.01,40100.0,1,17.01
2001-12-17,16.51,16.78,16.51,16.73,75300.0,1,16.73
2001-12-18,16.56,16.85,16.56,16.85,22000.0,1,16.85
2001-12-19,16.65,16.65,16.37,16.41,88200.0,1,16.41
2001-12-20,16.9,16.93,16.71,16.71,466800.0,1,16.71
2001-12-21,16.47,16.47,16.24,16.46,26600.0,1,16.46
2001-12-24,16.21,16.34,16.21,16.33,6200.0,1,16.33
2001-12-26,16.3,16.54,16.3,16.53,2900.0,1,16.53
2001-12-27,16.6,16.94,16.6,16.89,9400.0,1,16.89
2001-12-28,17.25,17.39,17.25,17.36,30100.0,1,17.36
2001-12-31,17.56,17.87,17.5,17.71,15500.0,1,17.71
2002-01-02,18.67,18.67,18.4,18.43,131500.0,1,18.43
2002-01-03,18.85,18.85,18.5,18.69,107400.0,1,18.69
2002-01-04,19.7,19.74,19.41,19.57,126400.0,1,19.57
2002-01-07,19.2,19.6,19.2,19.32,88200.0,1,19.32
2002-01-08,18.51,19.07,18.51,18.99,192200.0,1,18.99
2002-01-09,19.35,19.64,19.3,19.39,44500.0,1,19.39
2002-01-10,18.85,18.89,18.33,18.64,58000.0,1,18.64
2002-01-11,18.44,18.6,18.42,18.49,84700.0,1,18.49
2002-01-14,19.0,19.19,18.96,19.03,107600.0,1,19.03
2002-01-15,18.7,18.7,18.36,18.55,176500.0,1,18.55
2002-01-16,18.4,18.4,18.0,18.0,65600.0,1,18.0
2002-01-17,18.15,18.44,18.15,18.33,34300.0,1,18.33
2002-01-18,18.25,18.25,18.04,18.1,107100.0,1,18.1
2002-01-22,18.45,18.49,18.25,18.29,31100.0,1,18.29
2002-01-23,18.95,18.95,18.7,18.74,60500.0,1,18.74
2002-01-24,19.41,19.42,19.25,19.34,39100.0,1,19.34
2002-01-25,19.48,19.89,19.45,19.79,67900.0,1,19.79
2002-01-28,20.15,20.24,20.05,20.12,37800.0,1,20.12
2002-01-29,19.66,19.73,19.41,19.43,87800.0,1,19.43
2002-01-30,19.28,19.42,18.76,19.34,125300.0,1,19.34
2002-01-31,19.25,19.25,18.98,19.19,71200.0,1,19.19
2002-02-01,18.8,19.06,18.8,18.97,15600.0,1,18.97
2002-02-04,18.73,18.77,18.35,18.36,610100.0,1,18.36
2002-02-05,18.75,18.89,18.75,18.83,42700.0,1,18.83
2002-02-06,18.9,18.95,18.71,18.9,118500.0,1,18.9
2002-02-07,18.9,18.9,18.56,18.6,54000.0,1,18.6
2002-02-08,19.1,19.1,18.83,18.93,15000.0,1,18.93
2002-02-11,19.25,19.29,19.0,19.18,16000.0,1,19.18
2002-02-12,19.38,19.38,19.09,19.11,7600.0,1,19.11
2002-02-13,19.35,19.35,19.11,19.3,14700.0,1,19.3
2002-02-14,20.8,20.8,20.43,20.55,40400.0,1,20.55
2002-02-15,20.24,20.24,20.03,20.05,169200.0,1,20.05
2002-02-19,19.95,20.1,19.86,19.92,67400.0,1,19.92
2002-02-20,19.95,20.34,19.83,20.15,125700.0,1,20.15
2002-02-21,20.05,20.3,20.05,20.1,23400.0,1,20.1
2002-02-22,20.3,20.65,20.2,20.65,115100.0,1,20.65
2002-02-25,20.64,20.94,20.51,20.94,33500.0,1,20.94
2002-02-26,21.0,21.04,20.65,20.99,120500.0,1,20.99
2002-02-27,21.6,21.65,21.21,21.21,31700.0,1,21.21
2002-02-28,21.35,21.39,21.19,21.28,27800.0,1,21.28
2002-03-01,21.05,21.8,21.01,21.8,145500.0,1,21.8
2002-03-04,21.8,22.0,21.56,21.93,120700.0,1,21.93
2002-03-05,22.2,22.23,21.74,21.74,104500.0,1,21.74
2002-03-06,21.74,22.1,21.74,21.98,62900.0,1,21.98
2002-03-07,21.35,21.74,21.35,21.54,48400.0,1,21.54
2002-03-08,21.59,21.6,21.51,21.51,63100.0,1,21.51
2002-03-11,21.5,21.63,21.37,21.55,58700.0,1,21.55
2002-03-12,21.96,22.25,21.87,21.9,55900.0,1,21.9
2002-03-13,22.1,22.12,21.91,21.91,96800.0,1,21.91
2002-03-14,22.14,22.29,22.05,22.26,563100.0,1,22.26
2002-03-15,22.3,22.45,22.11,22.42,153200.0,1,22.42
2002-03-18,22.68,22.7,22.38,22.44,99600.0,1,22.44
2002-03-19,22.97,23.19,22.97,23.15,93600.0,1,23.15
