date,open,high,low,close,volume,bar_count,vwap
2013-08-15,25.1,25.1,24.83,24.94,11200.0,82,24.95
2013-08-16,25.25,25.25,24.99,24.99,8900.0,86,25.101
2013-08-19,25.21,25.21,25.01,25.05,3700.0,30,25.111
2013-08-20,25.21,25.21,24.91,25.02,4900.0,35,25.018
2013-08-21,24.99,24.99,24.8,24.91,3100.0,15,24.909
2013-08-22,24.96,25.02,24.94,24.99,16300.0,35,24.958
2013-08-23,25.09,25.22,25.08,25.21,5100.0,27,25.14
2013-08-26,25.06,25.06,24.96,24.96,14900.0,42,25.005
2013-08-27,24.71,24.73,24.48,24.49,7300.0,24,24.591
2013-08-28,24.52,24.6,24.51,24.52,9200.0,41,24.558
2013-08-29,24.54,24.59,24.5,24.55,4400.0,20,24.538
2013-08-30,24.37,24.37,24.24,24.24,1500.0,8,24.304
2013-09-03,24.74,24.74,24.58,24.59,5800.0,22,24.648
2013-09-04,24.65,24.85,24.65,24.84,6700.0,17,24.789
2013-09-05,24.83,24.87,24.77,24.77,15900.0,49,24.831
2013-09-06,24.97,24.97,24.85,24.85,12700.0,48,24.897
2013-09-09,25.22,25.33,25.18,25.33,11300.0,33,25.231
2013-09-10,25.67,25.67,25.6,25.65,5500.0,22,25.633
2013-09-11,25.62,25.62,25.55,25.62,11900.0,37,25.586
2013-09-12,25.59,25.62,25.4,25.43,61700.0,460,25.452
2013-09-13,25.56,25.56,25.51,25.54,6200.0,23,25.539
2013-09-16,26.0,26.0,25.85,25.85,14200.0,57,25.91
2013-09-17,25.85,25.92,25.8,25.86,13400.0,51,25.846
2013-09-18,25.83,26.6,25.83,26.55,43000.0,54,26.036
2013-09-19,26.6,27.17,26.32,26.44,4500.0,28,26.472
2013-09-20,26.3,26.3,26.16,26.18,3500.0,20,26.234
2013-09-23,26.18,26.2,26.08,26.14,6200.0,21,26.121
2013-09-24,26.16,26.29,26.16,26.28,1900.0,9,26.245
2013-09-25,26.18,26.2,26.18,26.2,1700.0,7,26.194
2013-09-26,26.35,26.37,26.28,26.36,9100.0,31,26.341
2013-09-27,26.26,26.34,26.24,26.31,1900.0,8,26.299
2013-09-30,26.42,26.42,26.14,26.3,3700.0,18,26.336
2013-10-01,26.43,26.43,26.31,26.31,500.0,4,26.35
2013-10-02,26.24,26.29,26.24,26.29,700.0,3,26.251
2013-10-03,26.1,26.16,26.05,26.08,33400.0,70,26.116
2013-10-04,26.06,26.15,26.04,26.08,6600.0,23,26.104
2013-10-07,26.0,26.01,25.76,25.8,12200.0,40,25.846
2013-10-08,25.82,25.82,25.68,25.7,5600.0,27,25.731
2013-10-09,25.94,25.95,25.7,25.85,19200.0,88,25.83
2013-10-10,26.2,26.35,26.14,26.35,18900.0,57,26.24
2013-10-11,26.44,26.45,26.35,26.45,6400.0,33,26.414
2013-10-14,26.41,26.57,26.37,26.53,3500.0,23,26.512
2013-10-15,26.81,26.81,26.42,26.42,8900.0,33,26.476
2013-10-16,26.5,26.55,26.4,26.55,21300.0,66,26.499
2013-10-17,26.74,26.88,26.71,26.88,20800.0,72,26.777
2013-10-18,27.57,27.57,27.0,27.14,41600.0,103,27.122
2013-10-21,27.41,27.41,27.08,27.16,18400.0,28,27.164
2013-10-22,27.29,27.35,27.24,27.35,7000.0,32,27.285
2013-10-23,27.09,27.09,26.94,26.99,6900.0,32,26.988
2013-10-24,27.33,27.33,27.14,27.24,6200.0,34,27.203
2013-10-25,27.2,27.2,27.05,27.11,11900.0,39,27.107
2013-10-28,27.16,27.16,27.03,27.08,5200.0,22,27.084
2013-10-29,27.15,27.15,27.07,27.11,8700.0,40,27.106
2013-10-30,27.23,27.23,27.0,27.12,10600.0,40,27.135
2013-10-31,27.11,27.13,27.0,27.04,24500.0,99,27.057
2013-11-01,26.86,26.86,26.71,26.8,20900.0,69,26.791
2013-11-04,26.94,26.94,26.81,26.9,16200.0,71,26.876
2013-11-05,26.8,26.8,26.65,26.74,10400.0,57,26.715
2013-11-06,27.0,27.01,26.94,27.01,12600.0,39,26.973
2013-11-07,26.61,26.71,26.53,26.53,10700.0,33,26.59
2013-11-08,26.25,26.73,26.25,26.73,11000.0,51,26.529
2013-11-11,26.8,26.8,26.68,26.71,3800.0,15,26.748
2013-11-12,26.73,26.73,26.64,26.71,6500.0,28,26.696
2013-11-13,26.65,26.83,26.52,26.82,8000.0,26,26.724
2013-11-14,26.89,26.93,26.81,26.93,4500.0,16,26.853
2013-11-15,27.33,27.33,27.05,27.14,6700.0,24,27.146
2013-11-18,27.26,27.26,27.1,27.1,8200.0,38,27.144
2013-11-19,26.96,27.05,26.91,27.02,6600.0,28,26.996
2013-11-20,26.95,26.97,26.8,26.8,7900.0,31,26.94
2013-11-21,26.91,26.97,26.86,26.95,8600.0,37,26.914
2013-11-22,27.01,27.01,26.83,26.99,5500.0,19,26.949
2013-11-25,26.98,26.98,26.85,26.88,6900.0,29,26.896
2013-11-26,26.91,26.98,26.85,26.98,9400.0,35,26.899
2013-11-27,27.06,27.06,26.95,26.98,3600.0,16,26.986
2013-11-29,26.83,27.09,26.83,27.09,2200.0,11,27.05
2013-12-02,26.98,26.99,26.92,26.93,8300.0,27,26.952
2013-12-03,26.77,26.77,26.64,26.64,12200.0,54,26.673
2013-12-04,26.49,26.6,26.39,26.59,9800.0,38,26.486
2013-12-05,26.59,26.59,26.41,26.47,5900.0,26,26.526
2013-12-06,26.76,26.78,26.64,26.75,11300.0,42,26.719
2013-12-09,26.82,26.82,26.69,26.78,8400.0,40,26.755
2013-12-10,26.71,26.82,26.7,26.8,9100.0,37,26.753
2013-12-11,26.82,26.82,26.6,26.61,13700.0,74,26.691
2013-12-12,26.53,26.56,26.38,26.5,13400.0,65,26.492
2013-12-13,26.47,26.48,26.38,26.46,5700.0,44,26.436
2013-12-16,26.6,26.6,26.52,26.54,7500.0,47,26.569
2013-12-17,26.52,26.55,26.46,26.53,6700.0,35,26.507
2013-12-18,26.65,26.92,26.58,26.9,11500.0,61,26.732
2013-12-19,26.71,26.77,26.65,26.75,12300.0,56,26.704
2013-12-20,26.72,26.91,26.72,26.87,15500.0,94,26.854
2013-12-23,26.8,26.96,26.78,26.95,19900.0,91,26.916
2013-12-24,26.8,26.95,26.76,26.88,7900.0,47,26.817
2013-12-26,27.01,27.1,27.0,27.06,8100.0,37,27.051
2013-12-27,27.24,27.29,27.22,27.24,14200.0,58,27.255
2013-12-30,27.36,27.47,27.34,27.46,9500.0,52,27.427
2013-12-31,27.56,27.6,27.43,27.53,22500.0,83,27.526
2014-01-02,27.35,27.35,27.05,27.05,23400.0,158,27.201
2014-01-03,27.21,27.29,27.18,27.25,14300.0,67,27.23
2014-01-06,27.3,27.33,27.26,27.29,7900.0,32,27.295
2014-01-07,27.32,27.39,27.31,27.37,10400.0,35,27.352
2014-01-08,27.48,27.48,27.36,27.36,23200.0,112,27.402
2014-01-09,27.37,27.38,27.27,27.35,21600.0,83,27.333
2014-01-10,27.45,27.68,27.44,27.66,13500.0,63,27.54
2014-01-13,27.61,27.63,27.41,27.48,13200.0,57,27.552
2014-01-14,27.52,27.64,27.43,27.64,10700.0,39,27.559
2014-01-15,27.61,27.74,27.61,27.69,10500.0,36,27.662
2014-01-16,27.66,27.68,27.56,27.68,7300.0,31,27.642
2014-01-17,27.72,27.76,27.68,27.68,9500.0,31,27.715
2014-01-21,27.74,27.81,27.65,27.77,18900.0,61,27.724
2014-01-22,27.85,27.85,27.64,27.76,13600.0,41,27.745
2014-01-23,27.67,27.67,27.39,27.45,7900.0,35,27.482
2014-01-24,27.17,27.17,26.91,26.91,20100.0,52,27.02
2014-01-27,26.85,26.85,26.54,26.73,20100.0,66,26.691
2014-01-28,26.84,27.02,26.84,27.02,10300.0,37,26.929
2014-01-29,26.83,26.96,26.82,26.93,10600.0,37,26.88
2014-01-30,26.92,26.95,26.8,26.89,38200.0,168,26.855
2014-01-31,26.47,26.71,26.44,26.61,20000.0,60,26.579
2014-02-03,26.51,26.51,26.09,26.09,23800.0,104,26.267
2014-02-04,26.01,26.2,25.64,26.19,3500.0,17,26.1
2014-02-05,26.21,26.27,26.1,26.25,12100.0,45,26.187
2014-02-06,26.44,26.7,26.44,26.7,6500.0,24,26.632
2014-02-07,26.82,27.01,26.79,27.01,7400.0,30,26.906
2014-02-10,26.92,26.92,26.87,26.89,6100.0,24,26.908
2014-02-11,26.99,27.29,26.99,27.25,10900.0,49,27.202
2014-02-12,27.22,27.29,27.22,27.29,4900.0,19,27.258
2014-02-13,27.03,27.36,27.03,27.35,9900.0,24,27.189
2014-02-14,27.3,27.46,27.3,27.46,7000.0,22,27.422
2014-02-18,27.58,27.71,27.58,27.71,11000.0,31,27.661
2014-02-19,27.59,27.73,27.47,27.47,9600.0,35,27.614
2014-02-20,27.38,27.51,27.38,27.51,2300.0,9,27.456
2014-02-21,27.63,27.69,27.59,27.59,1800.0,9,27.638
2014-02-24,27.74,27.99,27.74,27.84,9500.0,33,27.886
2014-02-25,27.83,27.85,27.74,27.79,13500.0,37,27.813
2014-02-26,27.76,27.76,27.66,27.66,4900.0,22,27.692
2014-02-27,27.67,27.73,27.66,27.73,2900.0,11,27.706
2014-02-28,27.9,28.1,27.9,28.01,8500.0,25,27.988
2014-03-03,27.55,27.55,27.37,27.41,21100.0,51,27.423
2014-03-04,27.87,27.91,27.85,27.91,4300.0,19,27.871
2014-03-05,27.9,27.91,27.87,27.9,3600.0,15,27.896
2014-03-06,28.31,28.31,28.13,28.13,2000.0,7,28.21
2014-03-07,28.25,28.25,28.02,28.09,11200.0,29,28.14
2014-03-10,28.07,28.07,27.88,27.92,3000.0,15,27.94
2014-03-11,27.93,27.93,27.76,27.76,4200.0,14,27.842
2014-03-12,27.54,27.58,27.53,27.56,3400.0,18,27.559
2014-03-13,27.66,27.66,27.19,27.19,10600.0,33,27.324
2014-03-14,27.06,27.17,27.06,27.1,2500.0,11,27.097
2014-03-17,27.39,27.44,27.31,27.43,4300.0,16,27.401
2014-03-18,27.5,27.66,27.49,27.65,7600.0,24,27.59
2014-03-19,27.67,27.67,27.34,27.34,8600.0,25,27.517
2014-03-20,27.13,27.17,27.02,27.13,8100.0,28,27.121
2014-03-21,27.27,27.27,27.01,27.01,1600.0,8,27.156
2014-03-24,27.1,27.2,26.99,27.15,6000.0,23,27.065
2014-03-25,27.38,27.38,27.18,27.33,18500.0,60,27.319
2014-03-26,27.54,27.54,27.35,27.35,5500.0,22,27.417
2014-03-27,27.48,27.5,27.43,27.49,4700.0,19,27.471
2014-03-28,27.84,27.84,27.72,27.75,7200.0,23,27.778
2014-03-31,27.91,27.93,27.86,27.87,16600.0,52,27.897
2014-04-01,28.11,28.11,28.01,28.07,16300.0,51,28.055
2014-04-02,28.02,28.14,28.02,28.14,11700.0,37,28.065
2014-04-03,28.12,28.12,27.91,28.03,5100.0,23,28.03
2014-04-04,28.11,28.16,27.89,27.96,20100.0,61,28.038
2014-04-07,27.83,27.9,27.75,27.86,2600.0,17,27.852
2014-04-08,27.65,27.68,27.63,27.68,10100.0,27,27.66
2014-04-09,27.93,28.02,27.82,28.02,9400.0,35,27.878
2014-04-10,27.94,27.94,27.59,27.6,4000.0,19,27.788
2014-04-11,27.51,27.51,27.39,27.4,5700.0,23,27.475
2014-04-14,27.5,27.5,27.33,27.39,5600.0,22,27.381
2014-04-15,27.43,27.43,27.25,27.34,5600.0,17,27.336
2014-04-16,27.67,27.72,27.56,27.71,9900.0,34,27.648
2014-04-17,27.74,27.83,27.73,27.83,5000.0,12,27.778
2014-04-21,27.96,27.96,27.82,27.89,11500.0,35,27.891
2014-04-22,27.91,27.91,27.81,27.86,9900.0,30,27.842
2014-04-23,27.94,27.94,27.86,27.87,6100.0,28,27.893
2014-04-24,28.02,28.02,27.8,27.84,11900.0,45,27.846
2014-04-25,27.93,27.93,27.8,27.85,12000.0,43,27.826
2014-04-28,27.89,27.89,27.73,27.88,7500.0,28,27.799
2014-04-29,27.99,28.05,27.91,27.98,29600.0,91,27.999
2014-04-30,27.88,27.98,27.85,27.98,3800.0,13,27.912
2014-05-01,27.98,28.11,27.98,28.08,7800.0,22,28.087
2014-05-02,28.12,28.14,28.05,28.09,5600.0,26,28.104
2014-05-05,27.99,28.08,27.92,28.07,3700.0,13,28.044
2014-05-06,28.17,28.17,28.06,28.06,15600.0,50,28.108
2014-05-07,28.04,28.04,27.94,27.96,12100.0,49,27.984
2014-05-08,28.04,28.07,27.93,27.93,5000.0,17,28.004
2014-05-09,27.99,27.99,27.82,27.89,17600.0,57,27.902
2014-05-12,28.02,28.08,28.02,28.08,2700.0,7,28.066
2014-05-13,28.07,28.08,27.99,28.07,2200.0,11,28.027
2014-05-14,28.05,28.05,28.03,28.03,14900.0,48,28.04
2014-05-15,27.94,27.94,27.69,27.8,7500.0,23,27.802
2014-05-16,27.73,27.73,27.62,27.7,4900.0,13,27.669
2014-05-19,27.59,27.71,27.59,27.71,6700.0,28,27.657
2014-05-20,27.59,27.59,27.53,27.58,7700.0,21,27.568
2014-05-21,27.75,27.78,27.67,27.78,4600.0,15,27.716
2014-05-22,27.99,27.99,27.86,27.93,7400.0,27,27.912
2014-05-23,28.09,28.09,27.97,28.09,8600.0,33,28.067
2014-05-27,28.33,28.33,28.22,28.27,6500.0,25,28.271
2014-05-28,28.29,28.31,28.23,28.29,7200.0,28,28.273
2014-05-29,28.47,28.47,28.37,28.47,12200.0,31,28.427
2014-05-30,28.62,28.62,28.46,28.54,13600.0,34,28.516
2014-06-02,28.59,28.63,28.59,28.63,2600.0,12,28.604
2014-06-03,28.65,28.65,28.5,28.54,4600.0,19,28.587
2014-06-04,28.62,28.63,28.44,28.63,5200.0,31,28.531
2014-06-05,28.62,28.76,28.62,28.76,2600.0,14,28.7
2014-06-06,28.82,28.93,28.8,28.91,4400.0,20,28.868
2014-06-09,28.82,28.93,28.82,28.93,9300.0,29,28.898
2014-06-10,28.81,28.81,28.71,28.8,4900.0,21,28.782
2014-06-11,28.79,28.79,28.68,28.71,4700.0,25,28.699
2014-06-12,28.85,28.85,28.72,28.75,8400.0,37,28.777
2014-06-13,28.8,28.8,28.66,28.72,4200.0,16,28.703
2014-06-16,28.69,28.7,28.64,28.69,1400.0,7,28.671
2014-06-17,28.73,28.73,28.61,28.69,26300.0,32,28.692
2014-06-18,28.84,29.02,28.77,29.02,7200.0,28,28.849
