date,open,high,low,close,volume,bar_count,vwap
2013-08-15,8.33,8.33,8.19,8.2,37800.0,53,8.204
2013-08-16,8.18,8.23,8.15,8.17,61800.0,70,8.184
2013-08-19,8.16,8.16,8.11,8.11,25800.0,25,8.149666666666667
2013-08-20,8.11,8.17,8.1,8.14,70500.0,40,8.148666666666667
2013-08-21,8.12,8.14,8.08,8.08,52800.0,39,8.108
2013-08-22,8.09,8.15,8.09,8.14,42900.0,26,8.130666666666666
2013-08-23,8.16,8.17,8.16,8.17,32100.0,13,8.162666666666667
2013-08-26,8.19,8.19,8.15,8.15,16200.0,11,8.171333333333333
2013-08-27,8.08,8.09,8.01,8.03,142800.0,60,8.043
2013-08-28,8.02,8.08,8.02,8.05,56400.0,57,8.063
2013-08-29,8.05,8.1,8.03,8.06,14700.0,19,8.078
2013-08-30,8.07,8.07,8.01,8.04,45300.0,40,8.043
2013-09-03,8.13,8.13,8.04,8.04,69000.0,37,8.060666666666666
2013-09-04,8.1,8.13,8.1,8.12,34200.0,26,8.124666666666666
2013-09-05,8.11,8.15,8.11,8.13,16800.0,20,8.142
2013-09-06,8.16,8.17,8.08,8.14,113400.0,74,8.154
2013-09-09,8.15,8.21,8.13,8.21,26400.0,31,8.18
2013-09-10,8.25,8.27,8.24,8.27,83700.0,71,8.254666666666667
2013-09-11,8.27,8.31,8.26,8.31,23400.0,45,8.287333333333333
2013-09-12,8.3,8.32,8.27,8.28,48900.0,32,8.302666666666667
2013-09-13,8.3,8.31,8.29,8.31,73200.0,43,8.306
2013-09-16,8.4,8.4,8.34,8.34,401700.0,76,8.373333333333333
2013-09-17,8.38,8.4,8.38,8.4,33000.0,41,8.393333333333333
2013-09-18,8.4,8.51,8.35,8.49,546600.0,126,8.493333333333332
2013-09-19,8.51,8.51,8.46,8.46,150600.0,93,8.472666666666667
2013-09-20,8.48,8.58,8.4,8.41,28800.0,33,8.439333333333334
2013-09-23,8.38,8.43,8.33,8.36,56100.0,55,8.363333333333333
2013-09-24,8.35,8.39,8.33,8.34,111600.0,68,8.364333333333333
2013-09-25,8.33,8.36,8.31,8.32,53700.0,39,8.339333333333332
2013-09-26,8.37,8.37,8.32,8.34,45000.0,31,8.334
2013-09-27,8.31,8.31,8.28,8.3,73800.0,63,8.300666666666666
2013-09-30,8.24,8.27,8.2,8.26,44700.0,55,8.243333333333332
2013-10-01,8.31,8.55,8.29,8.29,13800.0,25,8.369333333333334
2013-10-02,8.27,8.31,8.26,8.31,21900.0,19,8.287333333333333
2013-10-03,8.25,8.26,8.2,8.26,46200.0,41,8.231
2013-10-04,8.25,8.31,8.24,8.3,90900.0,51,8.278333333333332
2013-10-07,8.23,8.28,8.23,8.24,89700.0,66,8.259333333333332
