date,open,high,low,close,volume,bar_count,vwap
2001-05-21,20.95,22.79,20.9,22.65,13025600.0,1,22.65
2001-05-22,23.18,23.7,22.71,23.4,15431300.0,1,23.4
2001-05-23,23.15,23.15,22.37,22.37,8268100.0,1,22.37
2001-05-24,22.45,22.5,21.7,22.1,8755100.0,1,22.1
2001-05-25,22.42,22.42,21.55,21.55,5419200.0,1,21.55
2001-05-29,21.75,21.75,20.62,20.67,5952300.0,1,20.67
2001-05-30,20.01,20.15,18.96,18.96,13307600.0,1,18.96
2001-05-31,19.28,19.43,18.76,18.92,10013100.0,1,18.92
2001-06-01,19.5,19.67,18.74,19.28,7160500.0,1,19.28
2001-06-04,19.4,19.85,18.85,18.95,6874800.0,1,18.95
2001-06-05,19.16,20.2,19.16,20.05,11535600.0,1,20.05
2001-06-06,20.05,20.25,19.34,19.52,6970000.0,1,19.52
2001-06-07,19.15,19.64,18.86,19.4,9471400.0,1,19.4
2001-06-08,19.49,19.49,18.72,18.87,6742300.0,1,18.87
2001-06-11,18.79,18.85,18.36,18.55,7238200.0,1,18.55
2001-06-12,18.26,18.28,17.5,18.08,11683400.0,1,18.08
2001-06-13,18.14,18.43,17.35,17.35,8836300.0,1,17.35
2001-06-14,16.94,16.95,15.97,16.0,13756700.0,1,16.0
2001-06-15,14.5,15.0,14.25,14.5,25339400.0,1,14.5
2001-06-18,14.62,14.8,13.01,13.4,16061100.0,1,13.4
2001-06-19,13.8,14.1,13.05,13.19,14165700.0,1,13.19
2001-06-20,13.28,13.48,12.6,13.0,16371100.0,1,13.0
2001-06-21,13.0,14.86,12.9,14.49,25236400.0,1,14.49
2001-06-22,14.85,15.94,14.52,14.85,16796200.0,1,14.85
2001-06-25,15.5,15.54,14.71,14.97,10027900.0,1,14.97
2001-06-26,14.5,14.8,14.15,14.27,9587400.0,1,14.27
2001-06-27,14.35,15.08,14.28,14.65,10219600.0,1,14.65
2001-06-28,15.0,16.65,15.0,15.8,16611200.0,1,15.8
2001-06-29,15.95,16.81,15.81,16.71,14283300.0,1,16.71
2001-07-02,16.71,17.0,16.31,16.8,10763100.0,1,16.8
2001-07-03,16.79,17.0,16.27,17.0,5347300.0,1,17.0
2001-07-05,16.25,16.26,15.45,15.45,10144300.0,1,15.45
2001-07-06,15.45,15.45,14.55,15.13,8316500.0,1,15.13
2001-07-09,15.45,15.99,15.04,15.1,10640900.0,1,15.1
2001-07-10,15.25,15.4,14.01,14.12,15408800.0,1,14.12
2001-07-11,14.03,14.12,13.45,14.02,12021100.0,1,14.02
2001-07-12,14.55,14.78,14.25,14.55,10980900.0,1,14.55
2001-07-13,14.5,14.94,13.6,14.54,8361800.0,1,14.54
2001-07-16,14.48,14.59,14.0,14.01,5055000.0,1,14.01
2001-07-17,13.95,14.28,13.52,13.97,6627100.0,1,13.97
2001-07-18,13.52,14.0,13.5,13.58,5174900.0,1,13.58
2001-07-19,14.0,14.47,13.61,13.8,6135000.0,1,13.8
2001-07-20,13.8,13.99,13.53,13.63,5010400.0,1,13.63
2001-07-23,14.08,14.16,13.64,13.76,4162600.0,1,13.76
2001-07-24,13.9,13.95,13.26,13.51,6530500.0,1,13.51
2001-07-25,13.7,14.06,13.54,13.77,5897500.0,1,13.77
2001-07-26,14.5,15.8,14.31,15.56,13443500.0,1,15.56
2001-07-27,15.56,16.27,15.27,16.02,11175400.0,1,16.02
2001-07-30,16.1,16.39,15.71,15.83,5414600.0,1,15.83
2001-07-31,15.71,16.19,15.55,15.66,5230200.0,1,15.66
2001-08-01,16.0,16.34,15.82,15.99,5164700.0,1,15.99
2001-08-02,16.48,16.49,16.02,16.2,4417200.0,1,16.2
2001-08-03,16.45,16.85,16.14,16.68,5370500.0,1,16.68
2001-08-06,16.5,17.08,16.44,16.82,4882000.0,1,16.82
2001-08-07,16.8,16.9,16.07,16.22,5970800.0,1,16.22
2001-08-08,15.81,16.48,15.78,15.85,4086200.0,1,15.85
2001-08-09,16.0,16.0,15.52,15.86,3695200.0,1,15.86
2001-08-10,16.0,16.39,15.52,16.19,4144300.0,1,16.19
2001-08-13,16.45,16.5,16.06,16.48,3510800.0,1,16.48
2001-08-14,15.9,15.97,15.29,15.3,10248200.0,1,15.3
2001-08-15,15.48,15.65,14.91,14.92,5294300.0,1,14.92
2001-08-16,14.57,15.1,14.12,15.05,8182700.0,1,15.05
2001-08-17,14.7,15.02,14.56,14.96,4527600.0,1,14.96
2001-08-20,14.76,14.88,14.27,14.49,3816100.0,1,14.49
2001-08-21,14.99,15.04,14.29,14.4,4125800.0,1,14.4
2001-08-22,14.48,14.64,14.06,14.26,4312000.0,1,14.26
2001-08-23,14.47,14.81,14.32,14.59,5064900.0,1,14.59
2001-08-24,14.8,15.89,14.65,15.68,5883200.0,1,15.68
2001-08-27,15.53,16.14,15.38,15.83,4595200.0,1,15.83
2001-08-28,15.85,15.86,15.3,15.39,3548200.0,1,15.39
2001-08-29,15.3,15.45,14.6,14.6,5118600.0,1,14.6
2001-08-30,13.45,13.45,11.66,12.05,23817600.0,1,12.05
2001-08-31,12.05,12.35,11.9,12.01,9270500.0,1,12.01
2001-09-04,12.0,12.0,11.04,11.13,9832100.0,1,11.13
2001-09-05,11.0,11.01,10.07,10.65,12237900.0,1,10.65
2001-09-06,10.45,11.19,10.25,10.91,9348900.0,1,10.91
2001-09-07,10.52,11.3,10.52,10.95,7927100.0,1,10.95
2001-09-10,10.54,10.75,10.2,10.4,9466700.0,1,10.4
2001-09-17,10.0,10.94,9.56,10.2,11142700.0,1,10.2
2001-09-18,10.49,10.5,9.89,10.0,7247700.0,1,10.0
2001-09-19,10.2,10.28,9.53,10.12,9484300.0,1,10.12
2001-09-20,10.01,10.05,9.3,9.32,8071600.0,1,9.32
2001-09-21,8.82,9.34,8.61,9.12,9129900.0,1,9.12
2001-09-24,9.95,10.17,9.65,10.04,9996600.0,1,10.04
2001-09-25,9.85,10.09,9.42,9.63,9139100.0,1,9.63
2001-09-26,9.73,9.8,9.1,9.23,6084800.0,1,9.23
2001-09-27,9.05,9.2,8.23,8.35,8776700.0,1,8.35
2001-09-28,8.6,8.95,8.52,8.82,9671800.0,1,8.82
2001-10-01,9.0,9.0,8.41,8.65,6456700.0,1,8.65
2001-10-02,8.65,8.92,8.56,8.87,5608500.0,1,8.87
2001-10-03,8.87,9.5,8.46,9.0,14731000.0,1,9.0
2001-10-04,8.4,8.55,7.6,7.7,27225600.0,1,7.7
2001-10-05,7.8,7.94,7.58,7.68,11383500.0,1,7.68
2001-10-08,7.51,7.75,7.3,7.35,8951700.0,1,7.35
2001-10-09,7.35,7.48,6.98,7.01,9889200.0,1,7.01
2001-10-10,7.05,7.55,6.92,7.54,9198000.0,1,7.54
2001-10-11,8.04,9.1,7.9,8.92,17318900.0,1,8.92
2001-10-12,8.8,9.21,8.58,9.01,13294800.0,1,9.01
2001-10-15,9.11,9.12,8.6,9.0,6956500.0,1,9.0
2001-10-16,8.76,9.09,8.36,8.55,10200700.0,1,8.55
2001-10-17,8.8,9.8,8.16,8.16,8066600.0,1,8.16
2001-10-18,8.16,8.74,7.91,8.02,8277500.0,1,8.02
2001-10-19,8.02,8.22,7.62,7.9,10000700.0,1,7.9
2001-10-22,7.88,8.15,7.81,8.05,7822400.0,1,8.05
2001-10-23,8.21,8.48,8.05,8.27,6635100.0,1,8.27
2001-10-24,8.2,8.39,8.1,8.17,5066100.0,1,8.17
2001-10-25,8.05,8.72,7.9,8.72,8339600.0,1,8.72
2001-10-26,8.7,8.95,8.5,8.63,6508600.0,1,8.63
2001-10-29,8.48,8.7,8.28,8.6,6177500.0,1,8.6
2001-10-30,8.3,8.52,8.05,8.1,8368400.0,1,8.1
2001-10-31,8.1,8.35,7.91,8.06,7003500.0,1,8.06
2001-11-01,8.06,8.18,7.85,7.85,9549300.0,1,7.85
2001-11-02,7.91,8.04,7.66,7.85,6521800.0,1,7.85
2001-11-05,8.04,8.59,8.0,8.32,9219900.0,1,8.32
2001-11-06,8.3,8.75,8.15,8.55,9233400.0,1,8.55
2001-11-07,8.45,9.1,8.4,8.75,7959200.0,1,8.75
2001-11-08,8.75,9.0,7.52,7.74,50585100.0,1,7.74
2001-11-09,7.61,7.75,7.55,7.58,25488300.0,1,7.58
2001-11-12,7.69,7.75,7.33,7.7,14878000.0,1,7.7
2001-11-13,7.95,8.15,7.8,7.99,30432300.0,1,7.99
2001-11-14,8.25,8.74,8.05,8.66,28953800.0,1,8.66
2001-11-15,8.6,9.32,8.52,9.0,26864500.0,1,9.0
2001-11-16,9.2,10.25,9.03,10.05,26291400.0,1,10.05
2001-11-19,10.45,10.9,10.14,10.22,26285800.0,1,10.22
2001-11-20,10.13,10.2,9.55,9.55,12908500.0,1,9.55
2001-11-21,9.72,9.9,9.29,9.85,12563100.0,1,9.85
2001-11-23,9.85,10.31,9.71,10.23,5125900.0,1,10.23
2001-11-26,10.23,10.38,9.75,10.23,12040000.0,1,10.23
2001-11-27,10.06,10.48,9.85,10.21,15874000.0,1,10.21
2001-11-28,10.05,10.1,9.3,9.39,10985700.0,1,9.39
2001-11-29,9.5,9.7,9.1,9.4,9982100.0,1,9.4
2001-11-30,9.4,9.86,9.21,9.43,2806600.0,1,9.43
2001-12-03,9.16,9.45,8.9,8.95,9356200.0,1,8.95
2001-12-04,9.07,9.49,8.86,9.49,8015200.0,1,9.49
2001-12-05,9.69,10.25,9.65,10.1,15887200.0,1,10.1
2001-12-06,10.1,10.41,10.04,10.24,13650800.0,1,10.24
2001-12-07,10.25,10.25,9.63,9.71,8747500.0,1,9.71
2001-12-10,9.71,10.15,9.48,9.85,7427600.0,1,9.85
2001-12-11,9.85,10.3,9.85,10.3,9837800.0,1,10.3
2001-12-12,10.28,10.56,10.03,10.12,10296300.0,1,10.12
2001-12-13,9.75,9.76,8.95,8.95,17714800.0,1,8.95
2001-12-14,8.95,8.95,8.5,8.74,9062900.0,1,8.74
2001-12-17,8.53,9.07,8.51,8.51,8392300.0,1,8.51
2001-12-18,8.9,8.93,8.55,8.55,9848100.0,1,8.55
2001-12-19,8.5,8.81,8.31,8.5,10123700.0,1,8.5
