date,open,high,low,close,volume,bar_count,vwap
2002-02-13,2.41,2.52,2.38,2.51,76216000.0,1,2.5125
2002-02-14,2.54,2.55,2.48,2.5,11205600.0,1,2.5
2002-02-15,2.5,2.51,2.46,2.49,8389600.0,1,2.4875
2002-02-19,2.48,2.48,2.34,2.39,7410400.0,1,2.3875
2002-02-20,2.4,2.47,2.38,2.47,6892800.0,1,2.46875
2002-02-21,2.46,2.48,2.44,2.46,6976800.0,1,2.4625
2002-02-22,2.48,2.48,2.4,2.42,3525600.0,1,2.41875
2002-02-25,2.41,2.46,2.39,2.44,3453600.0,1,2.4375
2002-02-26,2.43,2.46,2.39,2.44,2761600.0,1,2.4375
2002-02-27,2.42,2.42,2.38,2.39,4091200.0,1,2.39375
2002-02-28,2.4,2.43,2.39,2.39,2751200.0,1,2.3875
2002-03-01,2.38,2.44,2.37,2.42,1913600.0,1,2.42125
2002-03-04,2.43,2.48,2.43,2.46,3180800.0,1,2.4625
2002-03-05,2.45,2.46,2.4,2.41,3444800.0,1,2.40625
2002-03-06,2.4,2.43,2.4,2.42,1316800.0,1,2.41875
2002-03-07,2.42,2.58,2.42,2.55,2700800.0,1,2.5525
2002-03-08,2.54,2.63,2.54,2.61,1600800.0,1,2.6125
2002-03-11,2.6,2.68,2.59,2.65,5462400.0,1,2.64625
2002-03-12,2.63,2.74,2.63,2.65,5819200.0,1,2.65
2002-03-13,2.65,2.69,2.58,2.63,5063200.0,1,2.6275
2002-03-14,2.63,2.65,2.61,2.63,1696800.0,1,2.625
2002-03-15,2.63,2.64,2.49,2.54,1708000.0,1,2.54375
2002-03-18,2.55,2.55,2.38,2.41,2207200.0,1,2.4125
2002-03-19,2.43,2.44,2.33,2.34,3229600.0,1,2.3375
2002-03-20,2.32,2.32,2.13,2.25,9236000.0,1,2.2525
2002-03-21,2.25,2.41,2.25,2.34,4672800.0,1,2.34375
2002-03-22,2.34,2.45,2.31,2.41,2494400.0,1,2.4125
2002-03-25,2.44,2.48,2.4,2.47,7571200.0,1,2.465
2002-03-26,2.5,2.51,2.47,2.5,1816800.0,1,2.4975
2002-03-27,2.5,2.63,2.49,2.58,1369600.0,1,2.575
2002-03-28,2.56,2.58,2.51,2.53,1714400.0,1,2.525
2002-04-01,2.51,2.51,2.38,2.38,1880000.0,1,2.38125
2002-04-02,2.38,2.38,2.29,2.33,2098400.0,1,2.33
2002-04-03,2.33,2.35,2.31,2.33,567200.0,1,2.325
2002-04-04,2.32,2.38,2.32,2.37,763200.0,1,2.36875
2002-04-05,2.37,2.43,2.31,2.31,837600.0,1,2.31125
2002-04-08,2.33,2.33,2.22,2.29,1558400.0,1,2.2875
2002-04-09,2.28,2.4,2.28,2.37,3562400.0,1,2.36875
2002-04-10,2.36,2.38,2.34,2.37,1302400.0,1,2.365
2002-04-11,2.36,2.36,2.31,2.31,1444000.0,1,2.3125
2002-04-12,2.33,2.33,2.26,2.28,1236000.0,1,2.28125
2002-04-15,2.28,2.32,2.27,2.32,1559200.0,1,2.32
2002-04-16,2.34,2.4,2.34,2.38,1225600.0,1,2.375
2002-04-17,2.41,2.53,2.41,2.48,3348800.0,1,2.47625
2002-04-18,2.48,2.52,2.47,2.48,984800.0,1,2.47625
2002-04-19,2.48,2.54,2.48,2.53,646400.0,1,2.53375
2002-04-22,2.52,2.52,2.48,2.5,772800.0,1,2.5
2002-04-23,2.49,2.53,2.44,2.44,824800.0,1,2.44375
2002-04-24,2.44,2.45,2.43,2.43,1064800.0,1,2.42625
2002-04-25,2.43,2.43,2.4,2.43,1727200.0,1,2.425
2002-04-26,2.41,2.45,2.41,2.41,1653600.0,1,2.40625
2002-04-29,2.39,2.39,2.35,2.36,2562400.0,1,2.3625
2002-04-30,2.34,2.41,2.34,2.38,6894400.0,1,2.38125
2002-05-01,2.41,2.56,2.41,2.56,1672000.0,1,2.5625
2002-05-02,2.55,2.62,2.55,2.6,3316000.0,1,2.60375
2002-05-03,2.6,2.6,2.57,2.6,463200.0,1,2.6
2002-05-06,2.6,2.82,2.6,2.72,2146400.0,1,2.71875
2002-05-07,2.71,2.75,2.68,2.69,452800.0,1,2.6875
2002-05-08,2.71,2.81,2.71,2.8,658400.0,1,2.8
2002-05-09,2.81,2.9,2.81,2.86,847200.0,1,2.85625
2002-05-10,2.88,2.93,2.75,2.76,696000.0,1,2.7575
2002-05-13,2.76,2.76,2.61,2.69,1929600.0,1,2.6875
2002-05-14,2.75,2.8,2.6,2.6,3958400.0,1,2.6
2002-05-15,2.59,2.63,2.48,2.48,5829600.0,1,2.48125
2002-05-16,2.48,2.59,2.48,2.58,5286400.0,1,2.575
2002-05-17,2.59,2.69,2.59,2.65,4351200.0,1,2.65375
2002-05-20,2.65,2.69,2.64,2.67,2336000.0,1,2.6725
2002-05-21,2.83,2.83,2.56,2.56,3872000.0,1,2.5625
2002-05-22,2.56,2.69,2.54,2.66,1847200.0,1,2.65625
2002-05-23,2.66,2.84,2.66,2.8,2157600.0,1,2.80125
2002-05-24,2.79,2.96,2.79,2.93,2212000.0,1,2.9325
2002-05-28,2.94,3.04,2.91,3.03,2082400.0,1,3.02625
2002-05-29,3.03,3.03,2.94,2.95,4728000.0,1,2.95
2002-05-30,2.95,2.95,2.89,2.91,3941600.0,1,2.9075
2002-05-31,2.91,3.04,2.91,3.02,2708000.0,1,3.02375
2002-06-03,3.02,3.02,2.89,2.91,1817600.0,1,2.90625
2002-06-04,2.9,2.99,2.86,2.93,1933600.0,1,2.92875
2002-06-05,2.94,2.96,2.89,2.91,1752000.0,1,2.90625
2002-06-06,2.91,2.96,2.9,2.91,1403200.0,1,2.90625
2002-06-07,2.88,2.9,2.82,2.87,1752000.0,1,2.86875
2002-06-10,2.87,2.91,2.79,2.81,854400.0,1,2.8125
2002-06-11,2.83,2.84,2.82,2.84,323200.0,1,2.84375
2002-06-12,2.81,2.82,2.73,2.8,532000.0,1,2.8
2002-06-13,2.8,2.89,2.76,2.87,1297600.0,1,2.87
2002-06-14,2.87,2.87,2.67,2.81,718400.0,1,2.81375
2002-06-17,2.83,2.93,2.83,2.88,936800.0,1,2.8775
2002-06-18,2.88,2.89,2.79,2.82,260000.0,1,2.815
2002-06-19,2.81,2.89,2.81,2.88,905600.0,1,2.875
2002-06-20,2.86,2.86,2.72,2.74,509600.0,1,2.7375
2002-06-21,2.72,2.72,2.61,2.63,1016000.0,1,2.625
2002-06-24,2.63,2.63,2.49,2.57,1092800.0,1,2.565
2002-06-25,2.57,2.6,2.5,2.5,829600.0,1,2.4975
2002-06-26,2.47,2.47,2.3,2.37,2882400.0,1,2.36875
2002-06-27,2.39,2.5,2.36,2.5,1632000.0,1,2.5
2002-06-28,2.49,2.67,2.48,2.62,4181600.0,1,2.62375
2002-07-01,2.61,2.62,2.46,2.47,1088000.0,1,2.4675
2002-07-02,2.47,2.47,2.23,2.35,1637600.0,1,2.345
2002-07-03,2.34,2.39,2.16,2.31,2226400.0,1,2.3125
2002-07-05,2.33,2.43,2.33,2.38,455200.0,1,2.37625
2002-07-08,2.39,2.54,2.37,2.48,1433600.0,1,2.47625
2002-07-09,2.46,2.55,2.4,2.44,2162400.0,1,2.4375
2002-07-10,2.44,2.51,2.37,2.4,2144000.0,1,2.4
2002-07-11,2.38,2.39,2.22,2.3,2443200.0,1,2.30375
2002-07-12,2.3,2.3,2.2,2.21,1052800.0,1,2.21125
2002-07-15,2.21,2.21,1.98,2.09,1300000.0,1,2.0875
2002-07-16,2.06,2.11,2.01,2.02,1246400.0,1,2.02375
2002-07-17,2.03,2.08,1.79,2.01,6398400.0,1,2.01125
2002-07-18,2.01,2.05,2.0,2.01,1261600.0,1,2.005
2002-07-19,1.99,2.0,1.96,1.97,1353600.0,1,1.9725
2002-07-22,1.97,2.06,1.95,1.98,999200.0,1,1.975
2002-07-23,1.99,2.05,1.91,2.0,2536000.0,1,2.0
2002-07-24,1.98,2.2,1.87,2.2,1784800.0,1,2.19875
2002-07-25,2.2,2.2,2.08,2.12,560800.0,1,2.1225
2002-07-26,2.12,2.21,2.12,2.19,668800.0,1,2.1925
2002-07-29,2.19,2.29,2.19,2.29,936000.0,1,2.2875
2002-07-30,2.29,2.3,2.21,2.24,716800.0,1,2.24375
2002-07-31,2.22,2.22,2.15,2.19,777600.0,1,2.1875
2002-08-01,2.18,2.18,2.03,2.09,1011200.0,1,2.08625
2002-08-02,2.07,2.07,1.86,1.89,1099200.0,1,1.8875
2002-08-05,1.89,1.96,1.89,1.92,702400.0,1,1.91875
2002-08-06,1.94,1.99,1.94,1.97,1688800.0,1,1.97375
2002-08-07,1.98,2.0,1.93,1.99,1560800.0,1,1.98625
2002-08-08,1.98,1.98,1.73,1.86,4937600.0,1,1.8625
2002-08-09,1.86,1.95,1.86,1.91,946400.0,1,1.90625
2002-08-12,1.91,2.03,1.9,2.03,926400.0,1,2.03125
2002-08-13,2.06,2.15,2.03,2.04,1760800.0,1,2.04375
2002-08-14,2.04,2.23,2.04,2.16,3224800.0,1,2.1625
2002-08-15,2.25,2.34,2.25,2.26,3407200.0,1,2.2625
2002-08-16,2.26,2.48,2.26,2.37,1723200.0,1,2.36625
2002-08-19,2.37,2.55,2.34,2.49,1722400.0,1,2.49375
2002-08-20,2.59,2.69,2.53,2.62,5432800.0,1,2.615
2002-08-21,2.62,2.69,2.57,2.68,1994400.0,1,2.68125
2002-08-22,2.65,2.69,2.55,2.56,3035200.0,1,2.5625
2002-08-23,2.56,2.56,2.47,2.47,1333600.0,1,2.46875
2002-08-26,2.47,2.59,2.47,2.58,2069600.0,1,2.5825
2002-08-27,2.59,2.63,2.56,2.58,1864800.0,1,2.57625
2002-08-28,2.57,2.66,2.55,2.61,2461600.0,1,2.6125
2002-08-29,2.6,2.68,2.56,2.68,1388000.0,1,2.67875
2002-08-30,2.7,2.75,2.6,2.6,778400.0,1,2.6
2002-09-03,2.6,2.6,2.44,2.5,1085600.0,1,2.5
2002-09-04,2.53,2.57,2.33,2.33,2308800.0,1,2.325
2002-09-05,2.31,2.44,2.3,2.4,1292800.0,1,2.3975
2002-09-06,2.41,2.48,2.41,2.45,1339200.0,1,2.45125
2002-09-09,2.46,2.51,2.33,2.51,1700000.0,1,2.50625
2002-09-10,2.52,2.56,2.48,2.55,1416800.0,1,2.55
2002-09-11,2.58,2.61,2.58,2.6,599200.0,1,2.6
2002-09-12,2.63,2.64,2.55,2.55,1172000.0,1,2.55
2002-09-13,2.53,2.53,2.45,2.45,288000.0,1,2.45
2002-09-16,2.45,2.53,2.45,2.53,484800.0,1,2.52625
2002-09-17,2.56,2.61,2.48,2.55,388800.0,1,2.5525
2002-09-18,2.54,2.55,2.48,2.51,408000.0,1,2.5125
2002-09-19,2.53,2.59,2.5,2.54,3078400.0,1,2.535
2002-09-20,2.61,2.61,2.48,2.51,737600.0,1,2.50625
2002-09-23,2.51,2.51,2.48,2.49,1595200.0,1,2.4875
2002-09-24,2.48,2.48,2.33,2.43,1099200.0,1,2.4275
2002-09-25,2.43,2.47,2.43,2.46,840000.0,1,2.45625
2002-09-26,2.48,2.58,2.47,2.58,1353600.0,1,2.58125
2002-09-27,2.58,2.77,2.58,2.66,2938400.0,1,2.66
2002-09-30,2.66,2.68,2.43,2.56,2290400.0,1,2.55625
2002-10-01,2.56,2.56,2.38,2.5,3411200.0,1,2.5
2002-10-02,2.48,2.5,2.41,2.48,1560000.0,1,2.475
2002-10-03,2.48,2.48,2.39,2.39,1212000.0,1,2.39375
2002-10-04,2.41,2.46,2.31,2.41,2060800.0,1,2.41375
2002-10-07,2.39,2.4,2.33,2.33,1420800.0,1,2.325
2002-10-08,2.35,2.41,2.35,2.36,1255200.0,1,2.3625
2002-10-09,2.35,2.36,2.18,2.18,1482400.0,1,2.18375
2002-10-10,2.19,2.34,2.16,2.29,2052800.0,1,2.28875
2002-10-11,2.3,2.34,2.3,2.32,1828000.0,1,2.32125
2002-10-14,2.31,2.36,2.29,2.34,673600.0,1,2.3425
2002-10-15,2.44,2.48,2.4,2.45,1840800.0,1,2.44875
2002-10-16,2.44,2.46,2.4,2.44,1138400.0,1,2.4375
2002-10-17,2.46,2.58,2.44,2.47,1288800.0,1,2.4725
2002-10-18,2.47,2.61,2.47,2.54,1427200.0,1,2.54375
2002-10-21,2.55,2.62,2.51,2.61,1616800.0,1,2.60625
2002-10-22,2.28,2.48,2.28,2.4,7187200.0,1,2.39625
2002-10-23,2.39,2.51,2.39,2.49,1198400.0,1,2.4925
2002-10-24,2.51,2.56,2.51,2.55,1300800.0,1,2.55
2002-10-25,2.54,2.63,2.53,2.54,2435200.0,1,2.54375
2002-10-28,2.56,2.56,2.32,2.32,4722400.0,1,2.31875
2002-10-29,2.32,2.32,2.23,2.25,4871200.0,1,2.25
2002-10-30,2.29,2.32,2.25,2.25,4926400.0,1,2.25
2002-10-31,2.27,2.27,2.23,2.24,1644000.0,1,2.2375
2002-11-01,2.24,2.24,2.15,2.2,2742400.0,1,2.20375
2002-11-04,2.23,2.29,2.23,2.26,1336800.0,1,2.26
2002-11-05,2.26,2.34,2.24,2.34,2224800.0,1,2.34375
2002-11-06,2.35,2.37,2.31,2.33,910400.0,1,2.325
2002-11-07,2.31,2.35,2.28,2.31,834400.0,1,2.30875
2002-11-08,2.31,2.31,2.13,2.13,2267200.0,1,2.12875
2002-11-11,2.14,2.19,2.11,2.18,1081600.0,1,2.175
2002-11-12,2.18,2.38,2.18,2.3,2532000.0,1,2.3
2002-11-13,2.3,2.4,2.25,2.38,3766400.0,1,2.375
2002-11-14,2.39,2.44,2.34,2.38,1755200.0,1,2.375
2002-11-15,2.39,2.55,2.39,2.52,2507200.0,1,2.52125
2002-11-18,2.61,2.62,2.48,2.53,4121600.0,1,2.53
2002-11-19,2.38,2.39,2.2,2.39,9400000.0,1,2.3875
2002-11-20,2.39,2.44,2.32,2.41,2154400.0,1,2.40625
2002-11-21,2.43,2.46,2.34,2.43,2915200.0,1,2.43
2002-11-22,2.43,2.43,2.29,2.31,3816800.0,1,2.3125
2002-11-25,2.34,2.37,2.31,2.32,1702400.0,1,2.32
2002-11-26,2.32,2.35,2.26,2.31,1786400.0,1,2.3125
2002-11-27,2.33,2.36,2.31,2.33,1418400.0,1,2.33375
2002-11-29,2.39,2.39,2.33,2.33,461600.0,1,2.325
2002-12-02,2.38,2.47,2.34,2.36,3728000.0,1,2.3625
2002-12-03,2.34,2.42,2.28,2.38,1670400.0,1,2.3825
2002-12-04,2.37,2.41,2.35,2.35,1547200.0,1,2.35
