date,open,high,low,close,volume,bar_count,vwap
2004-08-19,2.5,2.6,2.4,2.51,893226773.2267734,1,2.510883375
2004-08-20,2.54,2.73,2.52,2.71,456719280.7192808,1,2.71045775
2004-08-23,2.77,2.84,2.73,2.74,365242757.2427573,1,2.737735
2004-08-24,2.78,2.79,2.59,2.62,304983016.983017,1,2.62437175
2004-08-25,2.63,2.7,2.6,2.65,183780219.7802198,1,2.65265
2004-08-26,2.63,2.7,2.62,2.7,141902097.9020979,1,2.70044775
2004-08-27,2.71,2.72,2.64,2.66,124231768.23176825,1,2.65640375
2004-08-30,2.64,2.64,2.55,2.55,103960039.96003997,1,2.55280025
2004-08-31,2.56,2.6,2.56,2.56,98437562.43756245,1,2.56180925
2004-09-01,2.57,2.58,2.49,2.51,182797202.79720283,1,2.50875625
2004-09-02,2.48,2.56,2.48,2.54,302377622.3776224,1,2.54028775
2004-09-03,2.53,2.55,2.49,2.5,103044955.04495506,1,2.50275025
2004-09-07,2.53,2.55,2.49,2.54,116963036.96303698,1,2.5420395
2004-09-08,2.52,2.58,2.52,2.56,99708291.70829172,1,2.5600575
2004-09-09,2.57,2.57,2.53,2.56,81230769.23076925,1,2.56030775
2004-09-10,2.54,2.67,2.54,2.64,173978021.978022,1,2.63588325
2004-09-13,2.67,2.71,2.66,2.69,156935064.93506497,1,2.6901875
2004-09-14,2.69,2.8,2.67,2.79,219312687.31268734,1,2.79003725
2004-09-15,2.77,2.86,2.76,2.8,214281718.2817183,1,2.8028
2004-09-16,2.81,2.9,2.79,2.85,185322677.32267734,1,2.85209925
2004-09-17,2.86,2.94,2.84,2.94,189754245.7542458,1,2.94018725
2004-09-20,2.93,3.04,2.92,2.99,213086913.0869131,1,2.986984
2004-09-21,3.01,3.01,2.94,2.95,144571428.5714286,1,2.948946
2004-09-22,2.94,2.99,2.92,2.96,151620379.62037966,1,2.9624595
2004-09-23,2.97,3.07,2.93,3.02,170749250.74925077,1,3.0235205
2004-09-24,3.03,3.11,3.0,3.0,182485514.48551452,1,2.99874575
2004-09-27,2.99,3.03,2.95,2.96,141330669.33066934,1,2.9594565
2004-09-28,3.03,3.19,3.01,3.17,338701298.7012988,1,3.1746715
2004-09-29,3.17,3.38,3.16,3.28,610385614.3856145,1,3.280277
2004-09-30,3.25,3.31,3.23,3.24,275328671.3286714,1,3.24324
2004-10-01,3.27,3.36,3.23,3.32,302549450.5494506,1,3.3178145
2004-10-04,3.4,3.43,3.35,3.38,261410589.41058946,1,3.3798765
2004-10-05,3.37,3.47,3.31,3.46,299988011.988012,1,3.46270925
2004-10-06,3.45,3.46,3.4,3.43,267724275.72427577,1,3.430427
