date,open,high,low,close,volume,bar_count,vwap
2019-09-10,9.85,9.85,9.85,9.85,0.0,0,9.85
2019-09-11,9.74,9.74,9.74,9.74,0.0,0,9.74
2019-09-12,9.85,9.85,9.85,9.85,0.0,0,9.85
2019-09-13,9.78,9.8,9.78,9.8,300.0,2,9.793
2019-09-16,9.8,9.8,9.8,9.8,0.0,0,9.8
2019-09-17,9.8,9.8,9.8,9.8,0.0,0,9.8
2019-09-18,9.8,9.8,9.8,9.8,0.0,0,9.8
2019-09-19,9.95,9.95,9.95,9.95,613.0,1,9.95
2019-09-20,9.95,9.95,9.95,9.95,0.0,0,9.95
2019-09-23,9.95,9.95,9.95,9.95,0.0,0,9.95
2019-09-24,9.95,9.95,9.95,9.95,0.0,0,9.95
2019-09-25,9.95,9.95,9.95,9.95,0.0,0,9.95
2019-09-26,9.95,9.95,9.9,9.9,200.0,2,9.925
2019-09-27,9.87,9.87,9.86,9.87,100.0,1,9.87
2019-09-30,9.87,9.87,9.87,9.87,0.0,0,9.87
2019-10-01,9.87,9.87,9.87,9.87,0.0,0,9.87
2019-10-02,9.87,9.87,9.87,9.87,0.0,0,9.87
2019-10-03,9.86,9.86,9.86,9.86,100.0,1,9.86
2019-10-04,9.86,9.86,9.86,9.86,0.0,0,9.86
2019-10-07,9.85,9.85,9.85,9.85,500000.0,1,9.85
2019-10-08,9.85,9.85,9.85,9.85,50000.0,1,9.85
2019-10-09,9.85,9.85,9.85,9.85,0.0,0,9.85
2019-10-10,9.83,9.83,9.82,9.83,224998.0,4,9.825
2019-10-11,9.83,9.83,9.82,9.83,0.0,0,9.83
2019-10-14,9.83,9.83,9.82,9.83,0.0,0,9.83
2019-10-15,9.85,9.85,9.85,9.85,4500.0,13,9.85
2019-10-16,9.85,9.85,9.85,9.85,5100.0,15,9.85
2019-10-17,9.85,9.85,9.85,9.85,9600.0,13,9.85
2019-10-18,9.85,9.85,9.85,9.85,100.0,1,9.85
2019-10-21,9.85,9.85,9.85,9.85,5000.0,1,9.85
2019-10-22,9.85,9.85,9.85,9.85,0.0,0,9.85
2019-10-23,9.84,9.85,9.83,9.85,1400.0,4,9.845
2019-10-24,9.85,9.85,9.85,9.85,0.0,0,9.85
2019-10-25,9.81,9.85,9.81,9.85,1300.0,4,9.847
2019-10-28,9.85,9.85,9.85,9.85,0.0,0,9.85
2019-10-29,9.83,9.83,9.83,9.83,100000.0,1,9.83
2019-10-30,9.85,9.85,9.85,9.85,9900.0,2,9.85
2019-10-31,9.85,9.85,9.83,9.84,200.0,2,9.843
2019-11-01,9.84,9.84,9.83,9.84,0.0,0,9.84
2019-11-04,9.85,9.85,9.84,9.84,8000.0,3,9.85
2019-11-05,9.85,9.86,9.83,9.86,229500.0,95,9.845
2019-11-06,9.86,9.86,9.86,9.86,0.0,0,9.86
2019-11-07,9.86,9.86,9.86,9.86,100.0,1,9.86
2019-11-08,9.87,9.87,9.87,9.87,3174.0,1,9.87
2019-11-11,9.87,9.87,9.86,9.87,35000.0,6,9.867
2019-11-12,9.92,9.92,9.87,9.87,6300.0,4,9.91
2019-11-13,9.87,9.87,9.87,9.87,88900.0,3,9.87
2019-11-14,9.85,9.86,9.85,9.85,206808.0,21,9.853
2019-11-15,9.85,9.92,9.85,9.9,88001.0,109,9.87
2019-11-18,9.92,9.92,9.89,9.9,471300.0,89,9.9
2019-11-19,9.9,9.92,9.9,9.9,111899.0,124,9.901
2019-11-20,9.92,9.92,9.9,9.92,20100.0,49,9.903
2019-11-21,9.92,9.92,9.92,9.92,0.0,0,9.92
2019-11-22,9.81,9.92,9.81,9.91,3400.0,9,9.909
2019-11-25,9.91,9.91,9.91,9.91,0.0,0,9.91
2019-11-26,9.87,9.92,9.87,9.92,200.0,2,9.897
2019-11-27,9.92,9.92,9.92,9.92,0.0,0,9.92
2019-11-29,9.92,9.92,9.92,9.92,0.0,0,9.92
2019-12-02,9.92,9.92,9.92,9.92,0.0,0,9.92
2019-12-03,9.92,9.92,9.9,9.92,400.0,3,9.91
2019-12-04,9.91,9.92,9.85,9.85,291000.0,102,9.902
2019-12-05,9.91,9.91,9.85,9.9,11000.0,20,9.901
2019-12-06,9.9,9.9,9.9,9.9,100.0,1,9.9
2019-12-09,9.91,9.92,9.81,9.81,40695.0,2,9.91
2019-12-10,9.81,9.81,9.81,9.81,0.0,0,9.81
2019-12-11,9.81,9.81,9.81,9.81,0.0,0,9.81
2019-12-12,9.81,9.81,9.81,9.81,0.0,0,9.81
2019-12-13,9.87,9.87,9.86,9.86,177275.0,5,9.86
2019-12-16,9.9,9.9,9.9,9.9,100.0,1,9.9
2019-12-17,9.9,9.9,9.9,9.9,0.0,0,9.9
2019-12-18,9.88,9.88,9.86,9.86,89900.0,11,9.862
2019-12-19,9.86,9.86,9.86,9.86,0.0,0,9.86
2019-12-20,9.89,9.9,9.89,9.89,540.0,1,9.895
2019-12-23,9.89,9.9,9.89,9.89,0.0,0,9.89
2019-12-24,9.89,9.9,9.89,9.89,0.0,0,9.89
2019-12-26,9.89,9.9,9.89,9.89,0.0,0,9.89
2019-12-27,9.89,9.9,9.89,9.89,0.0,0,9.89
2019-12-30,9.9,9.9,9.9,9.9,200.0,1,9.9
2019-12-31,9.9,9.9,9.9,9.9,0.0,0,9.9
2020-01-02,9.9,9.9,9.9,9.9,275.0,1,9.9
2020-01-03,9.9,9.9,9.9,9.9,0.0,0,9.9
2020-01-06,9.9,9.9,9.9,9.9,0.0,0,9.9
2020-01-07,9.92,9.92,9.92,9.92,105000.0,1,9.92
2020-01-08,9.92,9.93,9.92,9.93,100275.0,3,9.93
2020-01-09,9.94,9.96,9.94,9.95,209024.0,7,9.946
2020-01-10,9.95,9.95,9.95,9.95,0.0,0,9.95
2020-01-13,9.95,9.95,9.95,9.95,0.0,0,9.95
2020-01-14,9.95,9.95,9.95,9.95,0.0,0,9.95
2020-01-15,9.99,10.0,9.99,10.0,100.0,1,9.994
2020-01-16,10.0,10.0,9.99,10.0,0.0,0,10.0
2020-01-17,10.05,10.05,10.05,10.05,25997.0,3,10.05
2020-01-21,10.07,10.08,10.07,10.07,1000.0,1,10.072
2020-01-22,10.1,10.1,10.07,10.07,1739.0,3,10.09
2020-01-23,10.07,10.07,10.07,10.07,2450.0,5,10.07
2020-01-24,10.05,10.06,10.05,10.05,40020.0,5,10.05
2020-01-27,10.06,10.06,10.03,10.05,4403.0,6,10.043
2020-01-28,10.05,10.06,10.05,10.05,0.0,0,10.05
2020-01-29,10.05,10.07,10.05,10.07,10400.0,3,10.064
2020-01-30,10.19,10.19,10.01,10.01,3800.0,4,10.071
2020-01-31,10.05,10.05,10.05,10.05,16389.0,11,10.05
2020-02-03,10.05,10.05,10.05,10.05,0.0,0,10.05
2020-02-04,10.05,10.05,10.05,10.05,100.0,1,10.05
2020-02-05,10.05,10.05,10.05,10.05,13300.0,2,10.05
2020-02-06,10.01,10.05,10.01,10.05,1200.0,3,10.026
2020-02-07,10.03,10.06,10.02,10.05,28013.0,54,10.046
2020-02-10,10.08,10.08,10.03,10.03,238.0,2,10.058
2020-02-11,10.05,10.06,10.01,10.01,400.0,2,10.031
2020-02-12,10.15,10.15,10.1,10.15,2506.0,3,10.146
2020-02-13,10.15,10.15,10.15,10.15,0.0,0,10.15
2020-02-14,10.06,10.15,10.06,10.1,30200.0,3,10.06
2020-02-18,10.1,10.1,10.1,10.1,0.0,0,10.1
2020-02-19,10.1,10.1,10.1,10.1,0.0,0,10.1
2020-02-20,10.1,10.1,10.1,10.1,223.0,1,10.1
2020-02-21,10.1,10.1,10.1,10.1,0.0,0,10.1
2020-02-24,10.1,10.1,10.1,10.1,0.0,0,10.1
2020-02-25,10.1,10.1,10.1,10.1,0.0,0,10.1
2020-02-26,10.1,10.1,10.1,10.1,0.0,0,10.1
2020-02-27,10.02,10.1,9.97,10.1,71050.0,18,10.011
2020-02-28,10.04,10.04,10.03,10.04,300.0,1,10.038
2020-03-02,10.04,10.04,10.04,10.04,0.0,0,10.04
2020-03-03,10.04,10.04,10.04,10.04,0.0,0,10.04
2020-03-04,10.11,10.11,10.11,10.11,100.0,1,10.11
2020-03-05,10.11,10.11,10.05,10.09,1400.0,4,10.089
