date,open,high,low,close,volume,bar_count,vwap
2007-04-11,104.35,104.39,104.35,104.35,1900.0,1,104.35
2007-04-12,104.42,104.42,104.35,104.42,6100.0,1,104.42
2007-04-13,104.39,104.49,104.23,104.23,3400.0,1,104.23
2007-04-16,104.27,104.27,104.15,104.19,7600.0,1,104.19
2007-04-17,104.15,104.4,104.14,104.14,28100.0,1,104.14
2007-04-18,104.19,104.27,104.15,104.17,6300.0,1,104.17
2007-04-19,104.2,104.57,104.06,104.53,47500.0,1,104.53
2007-04-20,104.54,104.54,104.45,104.47,4900.0,1,104.466
2007-04-23,104.59,104.66,104.45,104.53,1700.0,1,104.53
2007-04-24,104.59,105.31,104.42,105.25,398500.0,1,105.25
2007-04-25,105.28,105.41,105.28,105.41,16300.0,1,105.41
2007-04-26,105.43,105.6,105.29,105.6,48200.0,1,105.6
2007-04-27,105.51,105.6,105.51,105.6,8300.0,1,105.6
2007-04-30,105.56,105.63,105.33,105.61,15500.0,1,105.61
2007-05-01,105.27,105.43,105.27,105.33,8600.0,1,105.33
2007-05-02,105.35,105.39,105.2,105.29,4700.0,1,105.29
2007-05-03,105.37,105.48,105.2,105.3,17400.0,1,105.3
2007-05-04,105.35,105.44,105.21,105.43,4600.0,1,105.43
2007-05-07,105.32,105.42,105.3,105.42,4200.0,1,105.42
2007-05-08,105.54,105.55,105.45,105.5,16100.0,1,105.5
2007-05-09,105.59,105.6,105.16,105.22,9400.0,1,105.22
2007-05-10,105.7,105.81,105.51,105.6,17400.0,1,105.6
2007-05-11,105.64,105.78,105.56,105.66,12200.0,1,105.66
2007-05-14,105.69,105.7,105.55,105.65,11600.0,1,105.65
2007-05-15,105.7,105.93,105.57,105.57,39400.0,1,105.57
2007-05-16,105.83,105.86,105.82,105.85,78100.0,1,105.85
2007-05-17,105.89,105.93,105.69,105.82,14500.0,1,105.82
2007-05-18,105.95,105.95,105.85,105.85,5200.0,1,105.85
2007-05-21,105.94,105.96,105.85,105.95,14600.0,1,105.95
2007-05-22,106.08,106.09,105.73,105.96,10200.0,1,105.96
2007-05-23,105.92,106.11,105.7,105.88,22500.0,1,105.88
2007-05-24,106.04,106.04,105.85,105.91,17100.0,1,105.91
2007-05-25,105.97,106.47,105.8,106.06,7400.0,1,106.06
2007-05-29,105.7,105.72,105.58,105.64,4900.0,1,105.64
2007-05-30,105.87,105.94,105.75,105.88,4300.0,1,105.88
2007-05-31,105.89,105.89,105.65,105.71,6200.0,1,105.71
2007-06-01,105.11,105.13,104.95,105.11,13500.0,1,105.11
2007-06-04,105.2,105.22,105.02,105.2,21800.0,1,105.2
2007-06-05,105.21,105.21,105.05,105.05,4500.0,1,105.05
2007-06-06,105.0,105.06,104.88,104.92,74600.0,1,104.92
2007-06-07,104.74,104.74,104.2,104.43,12100.0,1,104.43
2007-06-08,104.21,104.27,103.92,104.15,17800.0,1,104.15
2007-06-11,103.9,104.07,103.6,103.93,2900.0,14,103.899
2007-06-12,103.77,103.78,103.07,103.07,32200.0,47,103.37
2007-06-13,103.63,103.81,102.87,103.57,24400.0,39,103.213
2007-06-14,103.34,103.62,103.16,103.57,17900.0,28,103.526
2007-06-15,103.5,103.68,103.5,103.55,13400.0,32,103.636
2007-06-18,103.91,103.91,103.4,103.7,14600.0,34,103.802
2007-06-19,103.84,103.84,103.36,103.73,19500.0,55,103.682
2007-06-20,103.84,103.84,102.91,102.91,16900.0,46,103.343
2007-06-21,103.0,103.43,103.0,103.1,13900.0,31,103.186
2007-06-22,103.22,103.36,102.84,103.08,27000.0,71,103.036
2007-06-25,103.3,103.34,102.65,102.7,29000.0,73,102.904
2007-06-26,102.94,103.19,102.7,102.7,42800.0,39,103.052
2007-06-27,102.79,102.8,102.48,102.64,6800.0,27,102.709
2007-06-28,102.55,102.64,101.93,102.1,9500.0,34,102.26
2007-06-29,102.1,102.5,101.81,101.81,14600.0,44,102.002
2007-07-03,101.9,101.9,101.6,101.81,11700.0,24,101.762
2007-07-05,101.85,101.86,100.98,101.44,14600.0,51,101.352
2007-07-06,101.43,101.79,101.11,101.55,8200.0,33,101.409
2007-07-09,101.43,101.98,101.39,101.84,7900.0,28,101.813
2007-07-10,101.48,101.75,101.0,101.59,18900.0,33,101.543
2007-07-11,101.62,101.63,100.56,100.83,18200.0,62,101.107
2007-07-12,101.0,101.13,100.71,101.13,8300.0,28,101.074
2007-07-13,101.3,101.56,101.0,101.55,5200.0,26,101.46
2007-07-16,101.37,101.81,101.26,101.59,17100.0,47,101.55
2007-07-17,101.7,101.71,101.22,101.71,10600.0,34,101.552
2007-07-18,101.67,101.67,100.8,100.85,15300.0,54,101.048
2007-07-19,101.03,101.06,101.03,101.06,6400.0,19,101.054
2007-07-20,100.98,101.32,100.59,100.85,18500.0,61,100.843
2007-07-23,100.7,100.71,100.5,100.58,9000.0,23,100.666
2007-07-24,100.5,100.51,99.86,99.92,41900.0,91,100.09
2007-07-25,99.9,99.9,98.68,98.84,24200.0,93,99.298
2007-07-26,98.5,99.5,96.39,97.65,42600.0,151,97.907
2007-07-27,97.0,97.0,95.49,96.06,41500.0,134,96.352
2007-07-30,96.99,97.02,96.35,96.85,23500.0,106,96.608
2007-07-31,97.0,98.2,97.0,97.28,34000.0,82,97.514
2007-08-01,96.84,96.84,95.26,96.39,32200.0,68,96.067
2007-08-02,96.99,97.33,96.99,97.0,28700.0,68,97.092
2007-08-03,97.35,97.35,96.38,96.38,18200.0,45,96.924
2007-08-06,98.75,98.75,96.05,96.79,30400.0,160,96.802
2007-08-07,99.25,99.25,96.8,97.48,55900.0,146,97.597
2007-08-08,99.0,100.5,98.0,98.61,29600.0,74,98.989
2007-08-09,98.62,98.92,98.01,98.53,12800.0,42,98.569
2007-08-10,98.2,98.37,97.75,98.33,18800.0,41,98.125
2007-08-13,99.02,99.05,98.4,99.05,21300.0,80,98.918
2007-08-14,99.32,99.32,98.17,98.28,12400.0,39,98.714
2007-08-15,98.35,99.04,98.28,98.83,9100.0,25,98.608
2007-08-16,100.0,100.0,97.98,98.1,14100.0,43,98.618
2007-08-17,99.0,100.0,98.6,99.7,29500.0,90,99.274
2007-08-20,100.0,100.0,98.75,98.75,48300.0,106,99.519
2007-08-21,99.25,99.85,98.06,98.24,33700.0,117,98.544
2007-08-22,98.6,99.2,98.1,99.0,52700.0,133,98.615
2007-08-23,99.17,99.8,99.0,99.6,59400.0,141,99.365
2007-08-24,99.7,99.85,99.16,99.85,11600.0,49,99.682
2007-08-27,100.0,100.5,99.9,100.5,11800.0,61,100.284
2007-08-28,100.5,100.9,100.0,100.15,55800.0,83,100.5
2007-08-29,100.0,100.9,99.67,100.55,18300.0,101,100.405
2007-08-30,100.74,101.04,100.22,100.76,42900.0,152,100.558
2007-08-31,101.48,101.68,101.01,101.67,11300.0,71,101.422
2007-09-04,101.97,101.97,101.0,101.75,13500.0,46,101.568
2007-09-05,101.65,101.88,101.23,101.79,14400.0,66,101.67
2007-09-06,101.49,101.74,101.49,101.73,16400.0,58,101.649
2007-09-07,101.9,101.9,100.45,100.57,50700.0,227,100.897
2007-09-10,101.5,101.5,100.61,101.1,9200.0,32,101.168
2007-09-11,101.48,102.0,101.0,101.83,24100.0,95,101.522
2007-09-12,102.0,102.5,101.38,101.73,31900.0,86,102.159
2007-09-13,102.25,102.25,101.22,101.93,10900.0,41,101.852
2007-09-14,101.95,102.94,101.22,102.89,33900.0,85,102.397
2007-09-17,103.0,103.5,102.36,103.36,20100.0,55,103.076
2007-09-18,103.75,104.36,102.98,104.1,31400.0,121,103.805
2007-09-19,104.25,106.1,104.2,106.09,85900.0,179,105.261
2007-09-20,106.04,106.04,103.0,103.5,266800.0,173,105.388
2007-09-21,104.99,105.4,102.1,103.75,105100.0,232,102.964
2007-09-24,102.68,104.45,102.65,104.45,45400.0,89,104.195
2007-09-25,103.0,104.7,103.0,104.49,121000.0,145,104.285
2007-09-26,104.7,104.7,104.13,104.32,25300.0,56,104.318
2007-09-27,104.5,104.55,101.16,104.0,49200.0,89,104.003
2007-09-28,104.47,104.48,103.6,104.0,46700.0,222,104.11
2007-10-01,104.47,104.5,103.33,103.75,50300.0,109,103.747
2007-10-02,102.53,103.99,102.53,103.95,71100.0,132,103.827
2007-10-03,104.0,104.47,103.32,103.4,35300.0,91,103.949
2007-10-04,103.8,103.95,103.29,103.84,17600.0,109,103.827
2007-10-05,103.97,104.0,103.52,103.9,22900.0,109,103.898
2007-10-08,104.22,104.39,103.86,104.25,18600.0,51,104.173
2007-10-09,104.32,104.34,104.0,104.33,14600.0,50,104.258
2007-10-10,104.48,104.48,104.15,104.24,21200.0,57,104.283
2007-10-11,104.49,104.5,104.0,104.39,22300.0,66,104.361
2007-10-12,104.42,104.6,104.42,104.5,68700.0,99,104.498
2007-10-15,105.2,105.2,104.5,104.7,21800.0,53,104.783
2007-10-16,104.5,104.68,104.1,104.6,60600.0,68,104.505
2007-10-17,104.03,104.65,103.31,103.31,15200.0,65,104.209
2007-10-18,104.23,104.25,103.25,103.26,13200.0,64,103.491
2007-10-19,103.25,103.94,102.0,102.8,40200.0,109,102.974
2007-10-22,102.8,102.8,101.85,101.85,64600.0,189,102.276
2007-10-23,102.19,102.7,101.95,102.7,27000.0,95,102.352
2007-10-24,102.6,102.75,102.3,102.7,22200.0,91,102.492
2007-10-25,102.99,102.99,102.64,102.85,16600.0,46,102.806
2007-10-26,102.7,103.09,102.6,103.09,10800.0,44,102.791
2007-10-29,103.49,103.5,103.06,103.4,19900.0,52,103.404
2007-10-30,103.3,103.3,102.7,103.2,10500.0,40,103.14
2007-10-31,103.61,104.0,103.04,103.85,12000.0,44,103.619
2007-11-01,102.71,102.9,102.0,102.5,29300.0,67,102.574
2007-11-02,102.49,102.5,101.92,102.25,32300.0,68,102.102
2007-11-05,106.0,106.0,101.5,102.2,13800.0,55,102.313
2007-11-06,102.2,103.15,102.2,102.73,35200.0,141,102.812
2007-11-07,101.82,103.1,101.82,102.6,12000.0,51,102.616
2007-11-08,102.85,102.85,100.41,101.3,120700.0,322,101.238
2007-11-09,101.57,101.75,100.51,101.75,38500.0,100,101.26
2007-11-12,103.02,103.02,101.9,102.2,41400.0,128,102.074
2007-11-13,102.95,102.95,101.56,101.75,15400.0,49,102.107
2007-11-14,102.75,102.75,101.7,102.0,7700.0,40,102.061
2007-11-15,101.99,102.34,101.68,101.97,15800.0,71,102.175
