date,open,high,low,close,volume,bar_count,vwap
2024-01-11,27.91,30.0,26.28,26.63,33715034.0,75110,27.611
2024-01-12,26.4,26.41,24.75,24.97,20058240.0,58740,25.454
2024-01-16,24.7,24.87,24.04,24.72,13346114.0,36865,24.609
2024-01-17,24.34,24.56,24.15,24.41,12780377.0,37246,24.333
2024-01-18,24.35,24.47,23.2,23.34,16431888.0,47538,23.878
2024-01-19,23.49,24.12,23.03,23.8,16563564.0,49272,23.55
2024-01-22,23.2,23.33,22.5,22.95,15371871.0,55495,23.054
2024-01-23,22.19,22.63,22.02,22.32,12272179.0,38708,22.314
2024-01-24,22.82,22.97,22.57,22.6,11160246.0,31198,22.816
2024-01-25,22.85,22.9,22.58,22.76,8211276.0,27325,22.75
2024-01-26,23.52,24.12,23.48,23.99,19022539.0,59311,23.817
2024-01-29,23.99,24.77,23.88,24.67,17491319.0,47706,24.364
2024-01-30,24.84,24.98,24.68,24.88,13539358.0,46403,24.819
2024-01-31,24.38,25.0,24.26,24.3,12394850.0,40616,24.638
2024-02-01,24.21,24.72,24.19,24.54,11584025.0,35181,24.444
2024-02-02,24.39,24.83,24.38,24.5,9542480.0,27978,24.599
2024-02-05,24.75,24.79,24.13,24.19,6289483.0,21292,24.436
2024-02-06,24.47,24.77,24.44,24.6,6877071.0,22415,24.624
2024-02-07,24.66,25.29,24.49,25.22,12927888.0,36098,24.914
2024-02-08,25.75,26.08,25.64,26.03,17009843.0,44700,25.874
2024-02-09,26.85,27.57,26.75,27.15,18732920.0,49515,27.107
2024-02-12,27.53,28.86,27.51,28.66,29985935.0,84127,28.357
2024-02-13,27.97,28.28,27.62,28.22,17646080.0,44845,27.942
2024-02-14,29.58,29.83,29.24,29.55,21440443.0,51989,29.583
2024-02-15,30.0,30.23,29.48,29.52,20887898.0,44429,29.875
2024-02-16,29.84,29.97,29.49,29.62,14481147.0,37335,29.691
2024-02-20,29.88,29.92,28.97,29.67,18902804.0,55480,29.54
2024-02-21,29.05,29.35,28.91,29.08,13864362.0,43309,29.134
2024-02-22,29.17,29.76,29.13,29.72,13468360.0,41870,29.467
2024-02-23,29.26,29.31,28.91,29.16,10229281.0,32816,29.127
2024-02-26,29.34,31.43,29.33,31.12,40468246.0,103833,30.475
2024-02-27,32.53,32.96,32.17,32.59,35744831.0,100463,32.6
2024-02-28,34.41,36.87,33.8,34.45,88936976.0,206265,34.943
2024-02-29,36.2,36.38,34.47,35.42,48337054.0,112315,35.459
2024-03-01,35.65,36.17,34.93,35.99,30052035.0,69631,35.474
2024-03-04,37.4,38.89,37.4,38.65,56979921.0,161761,38.179
2024-03-05,38.66,39.69,34.03,35.32,98818378.0,253136,37.046
2024-03-06,38.16,38.6,37.29,38.29,40573942.0,116560,38.137
2024-03-07,38.5,38.94,38.08,38.63,36892171.0,105109,38.594
2024-03-08,38.94,40.2,37.77,39.55,81658694.0,211880,39.055
2024-03-11,41.31,41.65,40.74,41.12,67149915.0,181011,41.279
2024-03-12,41.28,41.8,39.21,40.73,84150145.0,255225,40.649
2024-03-13,41.54,41.99,40.93,41.95,46757580.0,134649,41.553
2024-03-14,41.46,41.53,39.01,39.51,92466287.0,218902,40.348
2024-03-15,38.69,40.33,38.44,39.39,62351996.0,147154,39.178
2024-03-18,38.81,39.13,37.93,38.14,42408139.0,107122,38.366
2024-03-19,36.35,37.53,35.49,36.7,62738086.0,153435,36.436
2024-03-20,36.18,37.69,35.41,37.55,64330951.0,159694,36.621
2024-03-21,38.6,38.61,37.0,37.15,43581288.0,99028,37.914
