date,open,high,low,close,volume,bar_count,vwap
2001-07-13,10.48,10.51,10.32,10.48,603500.0,1,10.48
2001-07-16,10.37,10.37,10.03,10.03,301500.0,1,10.032
2001-07-17,10.15,10.15,10.13,10.13,1500.0,1,10.128
2001-07-18,9.75,9.75,9.69,9.69,1000.0,1,9.686
2001-07-19,9.55,9.55,9.55,9.55,500.0,1,9.55
2001-07-20,9.37,9.42,9.37,9.42,250500.0,1,9.424
2001-07-24,9.22,9.31,9.22,9.31,250000.0,1,9.31
2001-07-25,9.38,9.38,9.38,9.38,25000.0,1,9.376
2001-07-26,9.54,9.75,9.54,9.75,500000.0,1,9.75
2001-07-27,9.78,9.9,9.78,9.88,152000.0,1,9.88
2001-07-30,9.68,9.68,9.68,9.68,1500.0,1,9.68
2001-07-31,9.74,9.86,9.74,9.86,26000.0,1,9.86
2001-08-01,9.93,9.99,9.78,9.78,103500.0,1,9.78
2001-08-02,10.07,10.08,9.94,9.94,257000.0,1,9.94
2001-08-03,9.94,9.94,9.8,9.8,2000.0,1,9.8
2001-08-06,9.7,9.71,9.68,9.68,5500.0,1,9.68
2001-08-08,9.42,9.5,9.23,9.23,625500.0,1,9.23
2001-08-09,9.04,9.14,9.04,9.14,3000.0,1,9.14
2001-08-10,9.01,9.01,8.69,8.86,11000.0,1,8.86
2001-08-14,9.03,9.03,9.03,9.03,1000.0,1,9.03
2001-08-15,8.9,8.9,8.69,8.69,7500.0,1,8.69
2001-08-16,8.37,8.53,8.37,8.53,981000.0,1,8.53
2001-08-17,8.35,8.37,8.33,8.33,1500.0,1,8.33
2001-08-21,8.45,8.45,8.05,8.05,505500.0,1,8.05
2001-08-22,8.02,8.02,8.02,8.02,3500.0,1,8.02
2001-08-23,8.35,8.35,8.07,8.07,5500.0,1,8.07
2001-08-27,8.41,8.59,8.41,8.59,25500.0,1,8.59
2001-08-28,8.33,8.33,8.33,8.33,489500.0,1,8.326
2001-08-29,8.12,8.12,8.06,8.06,36500.0,1,8.06
2001-08-30,7.72,7.74,7.72,7.74,6500.0,1,7.738
2001-08-31,7.86,7.86,7.86,7.86,5000.0,1,7.86
2001-09-05,7.55,7.55,7.45,7.45,6000.0,1,7.45
2001-09-06,7.34,7.34,7.15,7.17,11500.0,1,7.17
