date,open,high,low,close,volume,bar_count,vwap
2001-05-21,28.37,30.01,28.19,29.9,44441500.0,1,29.9
2001-05-22,30.19,30.43,29.4,29.53,39668600.0,1,29.53
2001-05-23,29.37,30.25,28.56,28.8,53506500.0,1,28.8
2001-05-24,28.84,29.4,28.12,29.21,47219800.0,1,29.21
2001-05-25,29.44,29.56,28.68,29.1,29599600.0,1,29.1
2001-05-29,28.96,29.02,27.78,27.85,37800000.0,1,27.85
2001-05-30,27.34,27.7,26.4,26.6,47279100.0,1,26.6
2001-05-31,27.03,27.58,26.84,27.01,38765000.0,1,27.01
2001-06-01,27.26,29.07,27.19,28.74,60607700.0,1,28.74
2001-06-04,29.12,29.2,28.06,28.5,37911200.0,1,28.5
2001-06-05,28.86,29.95,28.85,29.73,51634700.0,1,29.73
2001-06-06,29.45,30.69,29.05,29.82,72674500.0,1,29.82
2001-06-07,29.72,31.23,29.67,31.14,75898100.0,1,31.14
2001-06-08,31.89,32.0,30.0,30.67,68338500.0,1,30.67
2001-06-11,30.17,30.51,29.42,30.33,41179700.0,1,30.33
2001-06-12,29.7,30.21,29.0,30.13,54092400.0,1,30.13
2001-06-13,29.88,30.13,29.0,29.06,41041800.0,1,29.06
2001-06-14,28.56,29.1,27.56,27.61,41928000.0,1,27.61
2001-06-15,27.34,28.3,27.11,27.68,54988000.0,1,27.68
2001-06-18,27.87,28.54,27.44,27.55,27884300.0,1,27.55
2001-06-19,28.53,28.79,26.15,26.67,60445400.0,1,26.67
2001-06-20,26.31,27.66,26.26,27.49,43075100.0,1,27.49
2001-06-21,27.35,28.09,26.95,27.27,45924400.0,1,27.27
2001-06-22,27.47,28.3,27.27,27.51,30370800.0,1,27.51
2001-06-25,28.0,28.69,27.47,28.58,28370300.0,1,28.58
2001-06-26,28.09,29.07,28.03,28.97,34784400.0,1,28.97
2001-06-27,29.0,29.21,28.35,28.65,33732800.0,1,28.65
2001-06-28,29.23,30.5,29.2,29.64,54526800.0,1,29.64
2001-06-29,29.81,30.77,28.75,29.25,50528100.0,1,29.25
2001-07-02,29.58,30.54,29.16,30.06,38618100.0,1,30.06
2001-07-03,29.94,30.69,29.65,30.46,22125300.0,1,30.46
2001-07-05,30.08,31.0,29.8,29.84,35646100.0,1,29.84
2001-07-06,29.14,29.85,28.3,28.43,37433400.0,1,28.43
2001-07-09,28.53,29.43,28.11,28.9,30142200.0,1,28.9
2001-07-10,29.23,29.4,27.46,27.79,41262500.0,1,27.79
2001-07-11,27.65,28.5,27.0,28.06,50500000.0,1,28.06
2001-07-12,29.35,30.19,29.05,30.1,49245000.0,1,30.1
2001-07-13,30.01,30.38,29.25,30.19,42797400.0,1,30.19
2001-07-16,30.03,30.75,28.77,29.13,65745900.0,1,29.13
2001-07-17,28.57,30.0,28.08,29.9,104794800.0,1,29.9
2001-07-18,28.87,30.15,28.52,28.89,71681500.0,1,28.89
2001-07-19,29.59,30.22,29.43,29.96,54696100.0,1,29.96
2001-07-20,29.41,30.03,28.93,29.93,50445900.0,1,29.93
2001-07-23,29.97,30.23,28.91,29.0,35058000.0,1,29.0
2001-07-24,28.71,29.59,28.43,28.88,38043200.0,1,28.88
2001-07-25,28.97,29.48,28.19,29.42,35546500.0,1,29.42
2001-07-26,29.1,29.9,28.8,29.78,46259200.0,1,29.78
2001-07-27,29.61,29.85,29.01,29.22,35491700.0,1,29.22
2001-07-30,29.51,29.74,28.8,29.04,30516100.0,1,29.04
2001-07-31,29.16,30.42,29.03,29.81,50205500.0,1,29.81
2001-08-01,30.62,30.98,30.28,30.75,45032400.0,1,30.75
2001-08-02,31.41,32.23,31.33,32.11,74146100.0,1,32.11
2001-08-03,32.05,32.08,31.25,31.68,35673800.0,1,31.68
