date,open,high,low,close,volume,bar_count,vwap
2021-01-04,11.13,11.25,10.5,10.8,142235.0,696,10.788
2021-01-05,10.85,11.83,10.75,11.11,147005.0,667,11.122
2021-01-06,11.5,11.5,11.0,11.05,163498.0,858,11.08
2021-01-07,11.5,11.5,11.05,11.11,89579.0,308,11.09
2021-01-08,11.65,12.35,11.0,11.01,126819.0,747,11.328
2021-01-11,11.8,11.8,10.8,11.17,149229.0,891,11.07
2021-01-12,11.8,11.8,11.07,11.18,195934.0,965,11.18
2021-01-13,11.34,11.37,10.97,11.2,357885.0,1401,11.198
2021-01-14,11.31,11.7,11.22,11.44,266697.0,1345,11.409
2021-01-15,11.57,11.79,11.11,11.22,247473.0,1170,11.364
2021-01-19,11.4,11.48,11.09,11.32,533665.0,1968,11.236
2021-01-20,11.33,11.45,11.25,11.32,414767.0,902,11.339
2021-01-21,11.39,11.72,11.24,11.5,370070.0,1556,11.441
2021-01-22,11.55,12.2,11.5,12.0,454681.0,1758,11.778
2021-01-25,12.5,12.58,11.8,12.09,549931.0,2903,12.128
2021-01-26,12.33,12.45,11.83,11.91,569035.0,1510,12.223
2021-01-27,11.52,11.68,11.26,11.45,761311.0,2809,11.476
2021-01-28,11.5,11.68,11.35,11.37,143833.0,905,11.451
2021-01-29,11.42,11.45,11.1,11.35,203317.0,999,11.347
2021-02-01,11.45,11.68,11.4,11.55,222086.0,1248,11.507
2021-02-02,11.77,12.12,11.72,11.9,139849.0,834,11.968
2021-02-03,11.98,12.21,11.96,12.0,148359.0,802,12.113
2021-02-04,12.15,12.21,11.93,11.99,128922.0,615,12.042
2021-02-05,12.2,12.2,11.74,11.76,150284.0,679,11.865
2021-02-08,11.98,11.98,11.58,11.78,489734.0,1664,11.778
2021-02-09,11.77,11.99,11.56,11.99,215586.0,1015,11.633
2021-02-10,11.86,11.91,11.65,11.88,137133.0,742,11.806
2021-02-11,11.88,11.94,11.56,11.77,70884.0,344,11.738
2021-02-12,11.65,11.8,11.61,11.8,96497.0,525,11.727
2021-02-16,11.8,11.89,11.61,11.7,243938.0,997,11.752
2021-02-17,11.85,11.85,11.67,11.81,146130.0,671,11.783
2021-02-18,12.27,12.46,12.11,12.24,409878.0,2372,12.252
2021-02-19,12.37,13.19,12.37,12.71,376268.0,1833,12.733
2021-02-22,12.66,13.29,12.55,12.75,470934.0,1621,12.876
2021-02-23,12.25,12.32,11.4,12.14,336555.0,1488,11.872
2021-02-24,14.05,15.39,13.61,14.44,5031051.0,25078,14.435
2021-02-25,14.0,14.56,13.03,13.12,1819319.0,8513,13.628
2021-02-26,13.34,14.8,12.6,14.47,1525762.0,6446,13.735
2021-03-01,14.61,14.84,13.7,14.6,823144.0,3978,14.181
2021-03-02,14.5,14.75,12.86,12.86,747434.0,2532,13.595
2021-03-03,13.0,13.15,11.73,11.87,963676.0,3686,12.306
2021-03-04,11.95,12.15,10.86,11.97,1174297.0,5152,11.373
2021-03-05,12.05,12.8,11.52,12.7,856919.0,3245,12.293
2021-03-08,12.15,12.29,10.76,10.9,5118511.0,22040,11.124
2021-03-09,11.32,11.5,10.91,11.31,1912832.0,7715,11.296
2021-03-10,11.7,11.88,10.8,11.08,1893525.0,7617,11.155
2021-03-11,11.2,11.36,11.0,11.2,1470869.0,6234,11.18
2021-03-12,11.07,11.6,11.05,11.51,1009528.0,3414,11.394
2021-03-15,11.92,11.93,11.2,11.53,1308537.0,4679,11.517
2021-03-16,11.38,11.58,10.96,11.02,1280908.0,3844,11.153
2021-03-17,10.94,11.22,10.9,11.0,1165564.0,5474,11.05
2021-03-18,10.95,11.15,10.78,10.81,800510.0,2705,10.899
2021-03-19,10.77,11.05,10.75,11.05,423381.0,2076,10.877
2021-03-22,11.25,11.25,10.86,10.94,459223.0,1518,11.01
2021-03-23,10.89,10.97,10.5,10.63,667833.0,1997,10.696
2021-03-24,10.65,10.78,10.5,10.52,893568.0,2577,10.53
2021-03-25,10.5,10.62,10.18,10.56,1087363.0,2297,10.395
2021-03-26,10.51,10.73,10.33,10.52,599477.0,2138,10.513
2021-03-29,10.57,10.79,10.46,10.73,276346.0,1238,10.637
2021-03-30,10.64,10.69,10.31,10.5,411204.0,2095,10.451
2021-03-31,10.52,10.77,10.41,10.77,337777.0,1419,10.533
2021-04-01,10.87,10.94,10.45,10.57,435536.0,1704,10.668
2021-04-05,10.77,10.79,10.6,10.69,303912.0,1263,10.688
2021-04-06,10.56,10.78,10.55,10.78,320011.0,1186,10.644
2021-04-07,10.78,10.96,10.62,10.69,383819.0,1889,10.819
2021-04-08,10.79,11.04,10.73,11.0,592862.0,2494,10.906
2021-04-09,10.97,11.09,10.92,11.03,254926.0,1163,11.011
2021-04-12,11.0,11.02,10.78,10.84,403258.0,1496,10.908
2021-04-13,10.75,10.9,10.7,10.75,422411.0,2076,10.795
2021-04-14,10.7,10.79,10.48,10.59,394181.0,1428,10.579
2021-04-15,10.49,10.63,10.45,10.54,259556.0,931,10.529
2021-04-16,10.5,10.58,10.25,10.37,512084.0,1274,10.362
2021-04-19,10.42,10.49,10.23,10.25,645730.0,1534,10.298
2021-04-20,10.25,10.37,10.12,10.3,474408.0,1572,10.218
2021-04-21,10.2,10.48,10.17,10.48,211242.0,1243,10.323
2021-04-22,10.38,10.61,10.13,10.39,453398.0,1683,10.336
2021-04-23,10.32,10.5,10.3,10.49,134381.0,646,10.403
2021-04-26,10.5,10.55,10.48,10.54,190000.0,927,10.514
2021-04-27,10.5,10.6,10.29,10.5,192286.0,832,10.428
2021-04-28,10.42,10.63,10.42,10.6,152310.0,792,10.528
2021-04-29,10.5,10.66,10.5,10.66,296527.0,806,10.585
2021-04-30,10.65,10.8,10.63,10.78,228073.0,1028,10.713
2021-05-03,10.85,10.85,10.66,10.81,239287.0,787,10.756
2021-05-04,10.78,10.78,10.5,10.63,121272.0,640,10.627
2021-05-05,10.63,10.68,10.35,10.4,134091.0,454,10.47
2021-05-06,10.34,10.37,10.25,10.26,176327.0,630,10.295
2021-05-07,10.28,10.34,9.99,10.21,357795.0,1365,10.149
2021-05-10,10.2,10.29,10.11,10.14,194839.0,813,10.176
2021-05-11,10.0,10.09,9.92,10.02,832285.0,1399,9.987
2021-05-12,9.95,10.1,9.94,10.02,733542.0,1348,10.017
2021-05-13,10.0,10.15,10.0,10.08,225162.0,935,10.085
2021-05-14,10.11,10.14,10.01,10.05,143678.0,555,10.073
2021-05-17,10.0,10.02,9.96,10.0,652996.0,1020,10.0
2021-05-18,10.03,10.03,9.94,9.95,325603.0,1170,9.958
2021-05-19,9.95,9.95,9.88,9.91,415270.0,667,9.894
2021-05-20,9.93,9.99,9.9,9.94,1653972.0,2443,9.916
2021-05-21,9.99,10.02,9.96,10.0,899291.0,496,10.0
2021-05-24,10.02,10.02,9.97,10.0,152194.0,542,9.996
2021-05-25,10.0,10.03,9.97,9.97,319702.0,1090,10.006
2021-05-26,9.99,10.03,9.95,10.0,215980.0,491,9.996
2021-05-27,10.0,10.04,9.92,9.93,55300.0,191,9.972
2021-05-28,9.96,10.03,9.96,9.98,245382.0,742,9.996
2021-06-01,10.0,10.02,9.96,9.98,327301.0,1073,9.987
2021-06-02,9.98,10.02,9.98,10.0,176118.0,460,10.0
2021-06-03,10.03,10.11,9.98,10.05,159164.0,392,10.048
2021-06-04,10.1,10.11,10.07,10.1,156860.0,374,10.095
2021-06-07,10.21,10.29,10.12,10.24,442945.0,1063,10.2
2021-06-08,10.34,10.47,10.23,10.44,905422.0,1540,10.3
2021-06-09,10.63,10.89,10.49,10.6,1065081.0,3283,10.727
2021-06-10,10.6,10.84,10.51,10.55,585648.0,2267,10.652
2021-06-11,10.76,10.89,10.54,10.57,312798.0,1172,10.697
2021-06-14,10.67,10.77,10.5,10.52,169412.0,650,10.621
2021-06-15,10.55,10.6,10.43,10.45,75564.0,368,10.537
2021-06-16,10.41,10.45,10.26,10.43,143526.0,504,10.352
2021-06-17,10.44,10.46,10.27,10.31,163188.0,457,10.355
2021-06-18,10.24,10.32,10.24,10.29,87646.0,411,10.281
2021-06-21,10.34,10.35,10.14,10.16,173974.0,599,10.254
2021-06-22,10.16,10.16,10.0,10.1,468259.0,2552,10.049
2021-06-23,10.11,10.13,10.08,10.11,105151.0,325,10.109
2021-06-24,10.16,10.31,10.15,10.3,643457.0,1561,10.246
2021-06-25,10.26,10.44,10.26,10.39,331288.0,694,10.377
2021-06-28,10.54,10.8,10.45,10.49,517512.0,1058,10.634
2021-06-29,10.49,10.58,10.31,10.55,257663.0,827,10.457
2021-06-30,10.7,10.8,10.35,10.69,371685.0,945,10.601
