date,open,high,low,close,volume,bar_count,vwap
2021-11-17,28.0,28.25,21.46,24.45,4987187.0,24313,24.71363
2021-11-18,24.31,25.06,21.68,23.4,933848.0,5715,22.82841
2021-11-19,23.77,25.13,23.05,24.8,828278.0,5270,24.54656
2021-11-22,25.0,25.21,22.08,22.64,471276.0,2771,23.6736
2021-11-23,22.5,24.0,20.88,21.0,396021.0,1814,22.21127
2021-11-24,21.0,21.05,18.83,20.07,359620.0,1871,19.62827
2021-11-26,19.45,20.92,18.83,18.99,182302.0,1217,19.97942
2021-11-29,19.2,19.92,18.91,19.06,240933.0,1158,19.29612
2021-11-30,19.16,19.31,17.13,18.15,522626.0,2463,18.10376
2021-12-01,17.85,19.3,17.85,18.47,268325.0,1726,18.60467
2021-12-02,18.24,19.0,16.93,17.26,132267.0,1007,17.56933
2021-12-03,17.13,17.5,15.06,15.43,352789.0,2447,15.61977
2021-12-06,15.2,16.04,14.28,15.36,312817.0,2329,14.99389
2021-12-07,15.82,16.73,15.67,16.18,317233.0,1287,16.06181
2021-12-08,16.69,16.87,14.82,15.52,254232.0,1485,15.48238
2021-12-09,15.61,16.0,13.9,14.86,318490.0,1559,14.71135
2021-12-10,14.75,15.2,13.12,14.4,506172.0,2889,13.94185
2021-12-13,14.52,14.52,13.5,13.52,472510.0,3064,13.78682
2021-12-14,13.5,13.54,12.5,12.99,256705.0,1346,12.96399
2021-12-15,12.6,13.85,12.6,13.78,281071.0,1785,13.06314
2021-12-16,13.94,14.19,13.26,14.02,146297.0,972,13.76375
2021-12-17,13.78,17.7,12.61,17.7,693190.0,3880,14.22486
2021-12-20,16.0,17.85,15.5,17.31,433684.0,2699,16.66383
2021-12-21,17.2,18.1,16.78,17.97,207285.0,1293,17.65445
2021-12-22,18.0,18.5,16.75,16.96,127704.0,871,17.41586
2021-12-23,16.75,17.33,16.11,17.16,203524.0,1176,16.89679
2021-12-27,17.2,17.51,15.55,15.84,109833.0,664,16.46284
2021-12-28,15.84,17.09,15.69,16.79,177301.0,1002,16.71324
2021-12-29,16.93,17.13,16.1,16.67,182514.0,1129,16.72067
2021-12-30,16.75,17.37,16.68,16.87,156846.0,1104,16.9411
2021-12-31,17.0,17.34,16.08,16.17,128514.0,792,16.61519
2022-01-03,16.25,16.51,15.16,15.23,122317.0,541,15.64136
2022-01-04,15.23,15.35,13.44,13.46,116682.0,537,13.90354
2022-01-05,13.9,13.9,12.99,12.99,109893.0,631,13.44528
2022-01-06,13.0,13.46,12.0,12.51,124250.0,703,12.58447
2022-01-07,12.57,12.87,11.72,11.99,147609.0,746,12.08407
2022-01-10,11.98,12.18,11.04,11.16,272854.0,1835,11.35682
2022-01-11,11.25,12.65,11.15,12.33,184556.0,1096,12.14527
2022-01-12,12.61,12.95,12.0,12.41,80787.0,340,12.43554
2022-01-13,12.58,12.88,12.0,12.07,47639.0,293,12.3208
2022-01-14,12.28,12.49,11.78,12.34,67761.0,422,12.07137
2022-01-18,12.55,12.94,11.03,11.24,97723.0,494,11.61125
2022-01-19,11.28,11.89,11.24,11.56,44635.0,332,11.55615
2022-01-20,11.76,12.1,11.34,11.4,45870.0,216,11.70604
2022-01-21,11.33,11.69,9.18,9.58,251508.0,1261,9.89143
2022-01-24,9.28,9.54,8.55,9.31,230489.0,1321,9.15052
2022-01-25,9.26,9.71,9.05,9.55,110834.0,735,9.4723
2022-01-26,10.0,11.49,9.89,10.75,178611.0,1098,10.65987
2022-01-27,11.34,11.61,10.01,10.15,102940.0,603,10.67982
2022-01-28,10.24,11.18,9.71,11.0,163813.0,1157,10.68094
2022-01-31,11.55,13.2,11.52,13.17,252715.0,1313,12.19553
2022-02-01,13.49,14.31,13.2,13.83,86990.0,550,13.79311
2022-02-02,13.99,14.19,12.24,12.49,62653.0,383,12.86529
2022-02-03,12.15,13.23,12.0,12.5,55279.0,268,12.4958
2022-02-04,12.57,13.45,12.09,13.15,64314.0,366,12.97042
2022-02-07,13.79,15.49,13.5,15.36,116825.0,690,14.6087
2022-02-08,15.56,15.56,14.08,14.36,86461.0,397,14.59992
2022-02-09,14.81,14.82,13.92,14.28,95988.0,611,14.36743
2022-02-10,13.84,15.49,13.84,14.74,79975.0,403,14.86185
2022-02-11,14.31,15.61,14.31,14.78,65689.0,344,15.11154
2022-02-14,15.15,15.24,13.52,14.1,102320.0,543,14.40426
2022-02-15,14.99,15.19,14.03,14.52,70849.0,411,14.53351
2022-02-16,14.54,15.23,13.97,14.78,85243.0,497,14.74861
2022-02-17,14.65,15.06,13.5,13.59,59726.0,369,14.17954
2022-02-18,13.62,14.45,13.45,13.54,79348.0,420,13.79685
2022-02-22,13.38,14.55,12.74,14.16,95668.0,572,13.87625
2022-02-23,14.17,14.9,13.2,13.39,87338.0,532,13.9437
2022-02-24,12.61,13.93,12.58,13.86,62239.0,416,13.5421
2022-02-25,14.06,14.69,14.0,14.47,71617.0,462,14.38961
2022-02-28,14.7,15.48,14.53,14.97,139515.0,1026,14.95404
2022-03-01,15.62,15.65,14.49,15.11,68521.0,293,15.23599
2022-03-02,15.31,15.62,14.72,15.41,38184.0,236,15.31548
2022-03-03,15.47,15.59,14.26,14.72,33246.0,194,14.84632
2022-03-04,14.45,14.85,13.67,14.42,35833.0,219,14.20617
2022-03-07,14.21,14.49,13.56,14.48,90564.0,670,14.18624
2022-03-08,14.71,15.21,13.83,14.99,31843.0,173,14.71968
2022-03-09,15.38,16.43,15.0,16.43,74377.0,481,16.03337
2022-03-10,16.35,17.88,16.01,17.78,97914.0,514,17.0201
2022-03-11,17.75,17.97,16.55,17.33,48462.0,351,17.29837
2022-03-14,17.3,17.3,15.04,15.34,99667.0,636,15.63289
2022-03-15,15.18,15.47,14.09,14.09,46215.0,343,14.58118
2022-03-16,14.51,15.29,14.11,14.64,49883.0,351,14.69795
2022-03-17,14.44,15.16,14.3,14.46,38946.0,249,14.55315
2022-03-18,14.46,15.16,13.17,13.17,192393.0,1253,14.10026
2022-03-21,13.8,14.49,12.97,13.07,152022.0,865,13.51621
2022-03-22,13.57,14.3,13.5,14.17,118395.0,733,13.95645
2022-03-23,14.36,15.04,13.77,14.43,97223.0,541,14.42368
2022-03-24,14.25,14.25,13.02,13.82,201945.0,1123,13.53063
2022-03-25,14.01,14.85,13.81,14.39,92912.0,500,14.38838
2022-03-28,14.65,15.26,13.34,13.86,214888.0,1456,14.0191
2022-03-29,13.93,15.62,13.91,15.61,207346.0,1016,14.90168
2022-03-30,15.75,15.94,15.15,15.9,116746.0,602,15.61879
2022-03-31,15.8,16.04,15.29,15.67,48877.0,335,15.80988
2022-04-01,15.76,15.88,15.55,15.8,23242.0,163,15.71497
2022-04-04,15.88,16.09,15.58,15.66,35850.0,199,15.75669
2022-04-05,15.83,15.83,14.75,15.19,52191.0,293,15.08426
