date,open,high,low,close,volume,bar_count,vwap
2001-05-21,100.85,102.9,100.7,102.9,188000.0,1,102.9
2001-05-22,103.2,103.8,102.3,103.4,448100.0,1,103.4
2001-05-23,102.65,102.95,101.0,101.0,329500.0,1,101.0
2001-05-24,101.6,102.35,100.32,102.05,270100.0,1,102.05
2001-05-25,102.1,102.2,101.3,101.3,169800.0,1,101.3
2001-05-29,101.5,101.5,100.0,100.0,376800.0,1,100.0
2001-05-30,99.9,99.9,98.3,98.7,424700.0,1,98.7
2001-05-31,99.15,100.2,98.8,99.1,486000.0,1,99.1
2001-06-01,99.75,100.5,98.5,100.27,269100.0,1,100.27
2001-06-04,100.75,101.58,100.3,101.58,208900.0,1,101.58
2001-06-05,101.6,103.45,101.45,103.0,595800.0,1,103.0
2001-06-06,103.0,103.25,102.15,102.35,540600.0,1,102.35
2001-06-07,102.0,103.15,102.0,102.78,131400.0,1,102.78
2001-06-08,102.5,102.6,101.05,101.9,272700.0,1,101.9
2001-06-11,101.9,101.9,100.5,100.55,256700.0,1,100.55
2001-06-12,100.0,101.5,99.46,100.8,345100.0,1,100.8
2001-06-13,101.25,102.0,100.4,100.66,379700.0,1,100.66
2001-06-14,99.75,100.05,98.15,98.15,432600.0,1,98.15
2001-06-15,98.0,99.15,97.85,98.75,408900.0,1,98.75
2001-06-18,98.5,99.0,97.5,98.0,342800.0,1,98.0
2001-06-19,99.0,99.1,97.18,97.7,381800.0,1,97.7
2001-06-20,97.0,99.1,97.0,98.85,430700.0,1,98.85
2001-06-21,98.65,99.6,98.55,98.99,388400.0,1,98.99
2001-06-22,99.25,99.25,97.0,97.2,336700.0,1,97.2
2001-06-25,97.7,97.77,96.25,96.52,928800.0,1,96.52
2001-06-26,96.0,98.1,95.85,98.0,503800.0,1,98.0
2001-06-27,98.2,99.2,97.9,98.95,494500.0,1,98.95
2001-06-28,99.5,100.75,99.5,100.2,461300.0,1,100.2
2001-06-29,100.9,102.4,100.45,101.9,1141600.0,1,101.9
2001-07-02,101.6,101.6,99.31,99.6,1071000.0,1,99.6
2001-07-03,99.25,99.54,98.6,99.0,542400.0,1,99.0
2001-07-05,98.0,98.99,97.55,97.7,424800.0,1,97.7
2001-07-06,97.1,97.45,95.55,95.9,294300.0,1,95.9
2001-07-09,96.25,96.95,95.25,96.8,447700.0,1,96.8
2001-07-10,97.1,97.1,94.58,95.0,387800.0,1,95.0
2001-07-11,94.8,95.24,93.49,95.0,551700.0,1,95.0
