date,open,high,low,close,volume,bar_count,vwap
2013-08-01,26.13,26.28,26.12,26.28,600.0,5,26.152
2013-08-02,26.5,26.5,26.31,26.31,1200.0,7,26.436
2013-08-05,33.69,33.69,33.69,33.69,0.0,0,33.69
2013-08-06,36.0,36.0,26.37,26.37,600.0,4,28.048
2013-08-07,25.91,25.91,25.91,25.91,100.0,1,25.91
2013-08-08,25.96,25.96,25.96,25.96,100.0,1,25.96
2013-08-12,26.42,26.43,26.42,26.43,500.0,4,26.428
2013-08-13,26.45,26.47,26.43,26.47,600.0,3,26.453
2013-08-14,26.72,26.72,26.6,26.6,200.0,2,26.66
2013-08-15,25.93,25.93,25.93,25.93,100.0,1,25.93
2013-08-16,25.85,26.02,25.85,26.02,300.0,2,25.907
2013-08-19,26.56,26.56,26.56,26.56,0.0,0,26.56
2013-08-20,26.31,26.31,26.31,26.31,100.0,1,26.31
2013-08-21,26.48,26.48,26.24,26.25,1700.0,6,26.435
2013-08-22,26.4,26.46,26.4,26.46,1900.0,6,26.416
2013-08-23,26.79,26.79,26.77,26.77,200.0,2,26.775
2013-08-26,26.94,27.05,26.94,26.94,1100.0,7,26.999
2013-08-28,26.4,26.5,26.4,26.5,600.0,4,26.468
2013-08-29,26.8,26.8,26.71,26.71,200.0,2,26.755
2013-08-30,26.16,26.16,26.16,26.16,0.0,0,26.16
2013-09-04,27.04,27.04,27.04,27.04,100.0,1,27.04
2013-09-05,27.55,27.55,27.55,27.55,100.0,1,27.55
2013-09-06,27.75,27.89,27.61,27.89,3300.0,3,27.703
2013-09-09,29.16,29.16,29.16,29.16,200.0,1,29.16
2013-09-10,28.85,28.85,28.82,28.82,600.0,2,28.835
2013-09-11,28.84,29.1,28.84,28.96,500.0,3,28.992
2013-09-12,29.36,29.36,29.06,29.06,1400.0,4,29.291
2013-09-13,28.75,28.75,28.75,28.75,100.0,1,28.75
2013-09-16,29.28,29.28,29.1,29.1,10000.0,8,29.269
2013-09-18,29.3,29.76,29.3,29.76,800.0,7,29.69
2013-09-19,30.57,30.57,30.12,30.12,600.0,5,30.275
2013-09-20,30.11,30.11,29.85,29.85,900.0,5,29.976
2013-09-23,29.46,29.46,29.46,29.46,100.0,1,29.46
2013-09-24,29.63,29.73,29.63,29.71,1200.0,6,29.672
2013-09-25,30.01,30.09,29.99,30.09,2400.0,6,30.023
2013-09-26,30.28,30.48,30.1,30.45,6000.0,17,30.303
2013-09-27,30.35,30.37,30.35,30.37,400.0,3,30.36
2013-09-30,30.51,30.51,30.51,30.51,300.0,1,30.51
2013-10-01,30.55,30.87,29.92,30.87,8900.0,17,30.513
2013-10-02,31.3,31.36,31.3,31.36,2700.0,3,31.358
2013-10-03,32.43,32.43,30.99,31.27,3600.0,15,31.339
2013-10-04,31.59,32.08,31.59,31.96,1300.0,5,31.868
2013-10-07,32.37,32.37,31.74,31.78,2400.0,9,31.866
2013-10-08,31.72,31.72,29.96,29.96,5000.0,11,30.941
2013-10-09,29.5,30.19,29.36,29.97,1700.0,15,29.884
2013-10-10,30.85,30.94,30.81,30.93,4700.0,14,30.905
2013-10-11,30.8,31.41,30.8,31.4,8800.0,9,31.391
2013-10-14,31.01,31.59,31.01,31.59,1600.0,5,31.522
2013-10-15,31.91,31.91,31.15,31.41,2800.0,8,31.464
2013-10-16,31.59,31.76,31.59,31.68,2500.0,11,31.681
2013-10-17,34.69,34.69,31.67,31.89,600.0,4,32.282
2013-10-18,33.07,33.37,32.77,33.27,9100.0,34,33.032
2013-10-21,33.55,33.59,33.45,33.45,5300.0,15,33.519
2013-10-22,33.7,33.7,32.87,33.26,22700.0,36,33.25
2013-10-23,33.1,33.1,31.55,31.59,6900.0,32,31.784
2013-10-24,32.14,32.62,31.84,32.02,9100.0,18,32.067
2013-10-25,31.53,31.53,31.17,31.17,13300.0,17,31.374
2013-10-28,30.33,30.33,29.75,29.76,8400.0,23,30.032
2013-10-29,29.54,30.31,29.54,30.31,4700.0,18,30.034
2013-10-30,30.91,31.15,30.1,30.1,3200.0,14,30.492
2013-10-31,30.1,30.1,30.03,30.03,400.0,2,30.065
2013-11-01,30.26,30.26,30.26,30.26,100.0,1,30.26
2013-11-04,30.75,30.75,30.4,30.75,3100.0,15,30.661
2013-11-05,30.3,30.3,30.3,30.3,500.0,1,30.3
2013-11-06,30.33,30.33,29.7,29.7,2000.0,8,29.839
2013-11-07,29.21,29.21,28.75,28.75,10900.0,20,29.138
2013-11-08,28.91,29.18,28.91,29.18,2100.0,7,28.923
2013-11-11,29.74,30.07,29.68,29.98,21200.0,96,29.919
2013-11-12,30.3,30.32,29.83,30.18,8800.0,37,30.099
