date,open,high,low,close,volume,bar_count,vwap
2015-07-23,18.6,18.6,17.0,17.0,75330.0,4,17.005
2015-07-24,17.0,17.0,17.0,17.0,0.0,0,17.0
2015-07-27,20.95,21.2,20.05,20.85,2085.0,6,20.881
2015-07-28,21.0,21.0,19.36,21.0,600.0,3,20.455
2015-07-29,20.95,21.01,19.26,21.0,1060.0,4,20.832
2015-07-30,21.0,21.0,21.0,21.0,700.0,4,21.0
2015-07-31,21.0,21.0,19.7,19.7,300.0,3,21.0
2015-08-03,26.88,26.88,20.0,23.45,37232.0,166,22.562
2015-08-04,24.25,25.48,19.24,21.15,1424158.0,8555,21.078
2015-08-05,21.0,21.36,20.13,20.56,618852.0,4222,20.768
2015-08-06,20.5,20.65,17.28,18.6,277673.0,2145,18.942
2015-08-07,18.34,19.58,17.67,19.3,517822.0,3373,18.622
2015-08-10,19.43,19.69,18.82,19.01,222631.0,1369,19.1
2015-08-11,18.79,19.94,18.79,19.56,691701.0,4356,19.506
2015-08-12,19.47,19.5,18.69,19.37,411690.0,2928,19.363
2015-08-13,19.8,20.78,19.38,20.6,428926.0,2752,20.113
2015-08-14,19.95,20.89,19.22,20.33,481081.0,2913,19.878
2015-08-17,19.93,21.71,19.93,21.07,532037.0,3054,21.003
2015-08-18,21.28,21.58,21.1,21.44,347257.0,1781,21.404
2015-08-19,21.08,21.81,20.31,21.39,254299.0,1662,21.486
2015-08-20,21.14,21.9,20.43,21.2,650706.0,2336,21.379
2015-08-21,20.95,21.36,20.61,21.25,319871.0,968,20.978
2015-08-24,19.99,21.45,19.75,21.01,342090.0,1738,20.78
2015-08-25,21.01,21.36,19.77,20.4,491629.0,2154,20.522
2015-08-26,20.0,20.94,20.0,20.41,331564.0,1656,20.435
2015-08-27,20.26,20.86,20.26,20.4,234402.0,1233,20.499
2015-08-28,20.2,20.25,18.82,19.92,173697.0,1102,19.798
2015-08-31,19.52,19.95,19.44,19.74,129903.0,914,19.699
2015-09-01,19.22,19.71,18.87,19.08,177539.0,930,19.274
2015-09-02,18.98,20.18,18.13,18.71,407272.0,2795,18.96
2015-09-03,18.49,19.47,18.3,19.31,276081.0,1997,19.264
