date,open,high,low,close,volume,bar_count,vwap
2014-07-28,100.0,101.6,96.4,97.2,17812.5,129,97.09064
2014-07-29,96.4,96.4,91.2,93.2,14300.0,98,93.49912
2014-07-30,94.88,97.44,92.0,92.0,1987.5,55,94.22944
2014-07-31,92.0,94.8,89.28,94.24,2087.5,62,93.45632
2014-08-01,92.8,93.12,89.28,93.12,2812.5,136,92.16712
2014-08-04,93.36,94.0,90.4,92.4,625.0,15,91.512
2014-08-05,90.0,91.6,85.6,90.0,3000.0,86,88.454
2014-08-06,88.64,91.2,88.64,90.52,225.0,9,89.00888
2014-08-07,90.0,91.2,89.92,90.8,1750.0,38,90.25544
2014-08-08,92.0,96.0,90.48,95.84,637.5,24,92.01568
2014-08-11,96.64,98.48,92.96,93.28,3150.0,99,95.61552
2014-08-12,92.32,94.8,92.32,94.24,1000.0,22,94.28304
2014-08-13,94.48,94.8,91.2,94.64,2812.5,39,92.71216
2014-08-14,93.68,94.8,92.4,94.64,2650.0,78,94.00072
2014-08-15,93.2,95.84,86.48,88.08,9362.5,141,91.5244
2014-08-18,85.76,89.76,85.76,88.88,1675.0,50,88.17848
2014-08-19,90.0,92.0,88.96,89.68,7137.5,79,90.0908
2014-08-20,91.2,98.32,91.2,92.0,32487.5,257,92.29824
2014-08-21,92.08,97.68,92.0,94.36,8387.5,105,95.02584
2014-08-22,94.08,94.08,92.24,92.4,2412.5,66,93.03584
2014-08-25,93.2,93.6,86.48,88.08,8862.5,173,90.3104
2014-08-26,88.0,90.32,86.4,90.24,4150.0,162,88.50864
2014-08-27,88.24,89.44,88.0,88.24,3175.0,42,88.3228
2014-08-28,88.24,94.32,88.0,90.0,3137.5,72,89.43008
2014-08-29,88.8,90.72,88.8,89.92,1787.5,59,89.39024
2014-09-02,90.0,90.96,88.72,90.32,3250.0,55,90.30616
2014-09-03,89.6,90.8,89.2,90.8,1812.5,63,90.02976
2014-09-04,90.88,90.88,87.92,89.6,2787.5,70,89.26136
