date,open,high,low,close,volume,bar_count,vwap
2001-05-18,8.02,8.19,7.45,7.48,7377200.0,1,7.475
2001-05-21,7.52,8.09,7.45,7.77,4750800.0,1,7.77
2001-05-22,7.61,8.1,7.49,8.08,13885600.0,1,8.0775
2001-05-23,8.0,8.01,7.68,7.89,8274400.0,1,7.89
2001-05-24,7.76,7.9,7.56,7.62,5672000.0,1,7.62
2001-05-25,7.61,7.81,7.53,7.63,1844400.0,1,7.6325
2001-05-29,7.57,7.57,6.73,6.85,6860800.0,1,6.85
2001-05-30,6.69,6.7,6.15,6.25,4416000.0,1,6.25
2001-05-31,6.27,6.42,6.08,6.17,4419600.0,1,6.1675
2001-06-01,6.34,6.44,5.93,5.98,4199600.0,1,5.9775
2001-06-04,6.04,6.1,5.8,6.06,3136800.0,1,6.0625
2001-06-05,6.18,6.66,6.13,6.57,11191200.0,1,6.5675
2001-06-06,6.68,7.01,6.43,6.69,12756400.0,1,6.69
2001-06-07,6.6,7.43,6.6,7.27,6662800.0,1,7.2675
2001-06-08,7.25,7.52,7.03,7.16,5442800.0,1,7.155
2001-06-11,7.1,7.1,6.25,6.64,4959200.0,1,6.6375
2001-06-12,6.49,6.5,6.14,6.31,6858800.0,1,6.3125
2001-06-13,6.33,6.68,6.01,6.32,5143600.0,1,6.3225
2001-06-14,6.14,6.31,5.9,6.05,3730400.0,1,6.045
2001-06-15,5.81,5.96,5.5,5.79,3055600.0,1,5.785
2001-06-18,5.78,6.02,5.72,5.84,1973200.0,1,5.8425
2001-06-19,6.02,6.18,5.73,6.01,3158000.0,1,6.0075
2001-06-20,6.0,6.0,5.24,5.59,5540800.0,1,5.59
2001-06-21,5.45,5.49,4.75,5.15,5626000.0,1,5.145
2001-06-22,5.15,5.34,4.81,5.1,4323600.0,1,5.1025
2001-06-25,5.08,5.12,4.76,5.01,1734800.0,1,5.01
2001-06-26,4.86,5.59,4.85,5.42,5748400.0,1,5.4225
2001-06-27,5.64,6.05,5.42,5.69,4921200.0,1,5.6875
2001-06-28,5.78,6.0,5.69,5.76,4994800.0,1,5.76
2001-06-29,5.73,7.0,5.6,6.73,4170400.0,1,6.725
2001-07-02,6.71,7.18,6.63,7.04,5725200.0,1,7.0425
2001-07-03,7.03,7.04,6.85,6.9,3016800.0,1,6.9
2001-07-05,6.8,7.08,6.76,6.98,3893600.0,1,6.975
2001-07-06,6.83,6.91,6.71,6.78,10161600.0,1,6.7825
2001-07-09,6.77,6.81,6.5,6.73,9950000.0,1,6.725
2001-07-10,6.73,6.99,6.08,6.1,4247200.0,1,6.1
2001-07-11,6.07,6.07,5.46,5.81,6657200.0,1,5.8075
2001-07-12,6.12,6.73,6.03,6.67,3520800.0,1,6.6675
2001-07-13,6.68,7.07,6.34,6.97,3159600.0,1,6.9725
2001-07-16,6.96,6.99,6.4,6.55,2565200.0,1,6.55
2001-07-17,6.49,7.01,6.21,6.87,4530800.0,1,6.87
2001-07-18,6.74,6.8,6.18,6.2,2767600.0,1,6.1975
2001-07-19,6.41,7.06,6.41,6.85,6410800.0,1,6.845
2001-07-20,6.69,6.91,6.33,6.84,5877200.0,1,6.84
2001-07-23,6.84,6.95,6.38,6.54,2855600.0,1,6.535
2001-07-24,6.56,6.66,6.19,6.26,3515200.0,1,6.2575
2001-07-25,6.39,6.49,5.5,5.89,6218400.0,1,5.8875
2001-07-26,5.89,6.98,5.78,6.96,5606000.0,1,6.9625
2001-07-27,6.81,7.35,6.73,7.0,5110400.0,1,7.0025
2001-07-30,6.94,7.56,6.93,7.48,5696800.0,1,7.48
2001-07-31,7.5,7.94,7.29,7.67,10629200.0,1,7.6725
2001-08-01,7.79,8.0,7.66,7.75,4544000.0,1,7.75
2001-08-02,7.79,8.31,7.78,8.14,6470000.0,1,8.1375
2001-08-03,8.08,8.35,7.94,8.33,1845600.0,1,8.33
2001-08-06,8.19,8.72,8.19,8.3,8884000.0,1,8.3
2001-08-07,8.22,8.35,7.82,8.06,5918800.0,1,8.065
2001-08-08,7.89,8.3,7.82,8.18,6636800.0,1,8.175
2001-08-09,8.13,8.19,7.64,7.88,3792000.0,1,7.875
2001-08-10,7.87,8.01,7.48,7.7,3248400.0,1,7.7
2001-08-13,7.83,8.11,7.8,7.99,2751600.0,1,7.9875
2001-08-14,8.0,8.32,7.96,8.18,4922800.0,1,8.18
2001-08-15,8.17,8.17,7.34,7.36,7715600.0,1,7.3625
2001-08-16,7.33,7.33,6.74,7.1,7536400.0,1,7.1025
2001-08-17,6.8,7.34,6.62,6.71,7267600.0,1,6.7125
2001-08-20,6.77,7.12,6.72,6.87,3429200.0,1,6.865
2001-08-21,6.87,6.91,5.89,5.97,4906400.0,1,5.97
2001-08-22,6.09,6.43,6.08,6.33,5504000.0,1,6.3275
2001-08-23,6.38,6.5,5.96,6.0,2313600.0,1,6.0
2001-08-24,6.1,6.96,6.03,6.79,15791600.0,1,6.7925
2001-08-27,6.77,6.98,6.66,6.68,5238800.0,1,6.68
2001-08-28,6.93,6.93,6.5,6.57,4321200.0,1,6.565
2001-08-29,6.64,6.67,6.25,6.43,5218800.0,1,6.43
2001-08-30,6.26,6.5,6.2,6.32,3965600.0,1,6.315
2001-08-31,6.25,6.38,6.2,6.26,5418800.0,1,6.2625
2001-09-04,6.29,6.59,6.14,6.32,6346400.0,1,6.315
2001-09-05,6.32,6.49,5.79,6.18,7985200.0,1,6.18
2001-09-06,6.16,6.21,5.75,5.89,4082800.0,1,5.885
2001-09-07,5.81,6.08,5.76,5.98,3179600.0,1,5.975
2001-09-10,5.91,6.04,5.76,5.81,4386000.0,1,5.81
2001-09-17,5.24,5.48,4.99,5.11,2885200.0,1,5.1125
2001-09-18,5.11,5.31,4.31,4.32,4378800.0,1,4.315
2001-09-19,4.43,4.56,4.03,4.52,10944400.0,1,4.515
