date,open,high,low,close,volume,bar_count,vwap
2001-05-21,0.42,0.43,0.4,0.41,5031000.0,1,0.413
2001-05-22,0.42,0.43,0.4,0.41,4875000.0,1,0.41
2001-05-23,0.41,0.41,0.4,0.4,4200000.0,1,0.404
2001-05-24,0.4,0.42,0.4,0.41,3324000.0,1,0.413
2001-05-25,0.41,0.42,0.4,0.4,3563000.0,1,0.401
2001-05-29,0.4,0.4,0.36,0.37,5018000.0,1,0.372
2001-05-30,0.38,0.38,0.33,0.34,5579000.0,1,0.338
2001-05-31,0.35,0.39,0.34,0.38,7720000.0,1,0.377
2001-06-01,0.4,0.4,0.36,0.37,2288000.0,1,0.371
2001-06-04,0.37,0.38,0.35,0.36,2909000.0,1,0.36
2001-06-05,0.36,0.36,0.35,0.35,3701000.0,1,0.351
2001-06-06,0.35,0.38,0.35,0.36,2802000.0,1,0.359
2001-06-07,0.37,0.38,0.36,0.37,2701000.0,1,0.366
2001-06-08,0.37,0.38,0.36,0.38,2279000.0,1,0.38
2001-06-11,0.38,0.38,0.36,0.37,1378000.0,1,0.367
2001-06-12,0.36,0.37,0.36,0.36,2087000.0,1,0.364
2001-06-13,0.37,0.37,0.36,0.36,2052000.0,1,0.36
2001-06-14,0.37,0.37,0.35,0.36,4550000.0,1,0.357
2001-06-15,0.37,0.38,0.35,0.38,2352000.0,1,0.375
2001-06-18,0.37,0.37,0.34,0.34,2380000.0,1,0.343
2001-06-19,0.35,0.35,0.32,0.32,2613000.0,1,0.317
2001-06-20,0.32,0.32,0.3,0.31,4230000.0,1,0.31
2001-06-21,0.31,0.32,0.31,0.32,2428000.0,1,0.317
2001-06-22,0.32,0.34,0.31,0.33,3085000.0,1,0.33
2001-06-25,0.37,0.37,0.31,0.32,2665000.0,1,0.316
2001-06-26,0.31,0.32,0.28,0.29,9439000.0,1,0.288
2001-06-27,0.29,0.29,0.28,0.28,3981000.0,1,0.281
2001-06-28,0.28,0.28,0.27,0.27,5112000.0,1,0.271
2001-06-29,0.28,0.3,0.28,0.28,13825000.0,1,0.28
2001-07-02,0.29,0.42,0.29,0.37,28585000.0,1,0.37
2001-07-03,0.38,0.38,0.33,0.34,7945000.0,1,0.34
2001-07-05,0.33,0.33,0.3,0.31,4427000.0,1,0.314
2001-07-06,0.31,0.31,0.3,0.31,3853000.0,1,0.305
2001-07-09,0.31,0.32,0.3,0.31,3174000.0,1,0.306
2001-07-10,0.31,0.34,0.31,0.33,5679000.0,1,0.332
2001-07-11,0.32,0.33,0.31,0.32,2143000.0,1,0.316
2001-07-12,0.32,0.34,0.32,0.33,3675000.0,1,0.333
2001-07-13,0.33,0.34,0.32,0.33,2606000.0,1,0.33
2001-07-16,0.32,0.33,0.32,0.33,1298000.0,1,0.325
2001-07-17,0.33,0.34,0.32,0.32,2838000.0,1,0.324
2001-07-18,0.31,0.32,0.3,0.3,1712000.0,1,0.295
2001-07-19,0.31,0.33,0.3,0.31,1365000.0,1,0.307
2001-07-20,0.31,0.31,0.3,0.31,1764000.0,1,0.306
2001-07-23,0.31,0.31,0.29,0.29,3945000.0,1,0.2941
2001-07-24,0.3,0.31,0.29,0.31,2215000.0,1,0.309
2001-07-25,0.3,0.31,0.29,0.29,1647000.0,1,0.289
2001-07-26,0.29,0.3,0.26,0.29,2827000.0,1,0.287
2001-07-27,0.29,0.29,0.27,0.28,2051000.0,1,0.278
2001-07-30,0.28,0.3,0.27,0.29,3056000.0,1,0.288
2001-07-31,0.3,0.32,0.29,0.32,5493000.0,1,0.324
2001-08-01,0.39,0.4,0.35,0.39,26070000.0,1,0.389
2001-08-02,0.4,0.4,0.34,0.35,7055000.0,1,0.35
2001-08-03,0.35,0.35,0.31,0.34,2899000.0,1,0.338
