date,open,high,low,close,volume,bar_count,vwap
2024-10-10,25.98,27.64,25.98,26.97,39996.0,157,26.928
2024-10-11,26.86,27.92,26.86,27.59,51017.0,89,27.594
2024-10-14,28.37,28.43,27.6,28.28,98499.0,265,27.91
2024-10-15,28.37,28.66,25.41,26.73,21412.0,59,27.05
2024-10-16,27.1,29.04,27.1,28.36,14462.0,48,28.077
2024-10-17,29.68,31.04,29.68,30.13,17177.0,56,30.213
2024-10-18,29.95,30.26,28.95,29.82,14397.0,54,29.542
2024-10-21,29.0,29.23,27.85,28.51,42028.0,118,28.387
2024-10-22,28.0,28.0,27.12,27.8,39754.0,93,27.488
2024-10-23,27.2,27.24,25.63,26.36,15903.0,47,26.46
2024-10-24,27.23,27.35,26.83,27.26,7668.0,34,27.073
2024-10-25,28.1,28.67,27.73,27.8,43952.0,106,28.018
2024-10-28,27.22,27.44,26.92,27.02,6233.0,10,27.124
2024-10-29,27.27,28.12,26.71,28.12,8738.0,42,27.095
2024-10-30,26.53,26.98,25.66,25.79,14853.0,57,26.175
2024-10-31,24.94,24.94,23.34,23.57,13031.0,56,23.664
2024-11-01,23.7,23.82,23.5,23.58,1675.0,9,23.67
2024-11-04,24.34,25.42,24.34,24.53,11766.0,48,24.962
2024-11-05,24.57,26.36,24.57,26.36,14033.0,33,25.391
2024-11-06,27.66,29.56,27.14,29.41,18288.0,77,28.564
2024-11-07,29.9,30.49,29.36,30.25,18495.0,64,30.061
2024-11-08,29.53,30.35,28.81,29.49,19857.0,74,29.388
2024-11-11,29.1,29.1,26.77,27.69,34827.0,118,27.315
2024-11-12,25.05,25.6,24.55,25.41,36270.0,104,25.103
2024-11-13,24.66,24.87,23.32,23.32,69326.0,216,23.789
2024-11-14,23.85,24.21,22.72,23.02,23949.0,93,23.64
2024-11-15,22.0,22.29,21.46,21.68,33264.0,83,21.796
2024-11-18,21.77,22.4,21.38,22.19,25764.0,74,22.161
2024-11-19,22.01,22.41,21.75,22.29,18363.0,55,22.191
2024-11-20,22.4,22.58,21.85,22.58,25282.0,77,22.071
2024-11-21,23.3,24.8,22.51,24.58,140671.0,511,23.619
2024-11-22,24.32,24.93,24.03,24.49,32570.0,139,24.524
2024-11-25,25.16,26.17,25.12,25.31,41534.0,130,25.556
2024-11-26,24.92,24.92,23.32,24.0,161064.0,505,23.674
2024-11-27,23.26,23.41,21.64,22.34,50268.0,151,22.227
2024-11-29,21.9,22.23,21.39,22.19,35782.0,93,21.931
2024-12-02,22.11,23.09,22.04,22.46,46987.0,149,22.624
2024-12-03,23.68,24.72,22.94,23.05,67690.0,297,23.811
2024-12-04,23.43,24.63,23.16,24.6,66652.0,184,23.939
2024-12-05,24.78,25.05,23.34,23.48,66555.0,244,24.19
2024-12-06,23.46,23.99,23.08,23.61,33646.0,117,23.57
2024-12-09,23.47,25.06,23.47,24.35,66621.0,295,24.413
2024-12-10,25.28,25.28,21.75,22.12,347912.0,865,22.432
2024-12-11,22.76,24.09,22.18,23.85,179947.0,454,23.264
2024-12-12,23.66,23.66,21.86,22.1,236816.0,707,22.625
2024-12-13,23.15,24.23,22.75,23.99,412909.0,1247,23.557
2024-12-16,25.52,27.99,24.97,26.63,1129152.0,3233,26.895
2024-12-17,27.44,27.71,26.34,26.82,669620.0,1927,26.962
2024-12-18,27.6,28.48,23.95,24.54,1182534.0,3627,26.815
2024-12-19,18.11,18.28,15.36,16.55,1217765.0,3233,16.417
2024-12-20,15.75,17.66,15.2,17.63,512930.0,1431,16.519
2024-12-23,17.6,17.97,16.96,17.5,247361.0,869,17.309
2024-12-24,17.36,17.4,16.91,17.26,180891.0,517,17.161
2024-12-26,16.96,17.8,16.85,17.45,212733.0,619,17.345
2024-12-27,17.13,17.31,16.59,16.98,196369.0,518,16.956
2024-12-30,16.33,16.33,15.48,15.79,234140.0,633,15.866
2024-12-31,15.84,16.16,15.31,15.31,153140.0,418,15.549
2025-01-02,15.65,16.6,15.55,16.46,126835.0,500,16.216
2025-01-03,16.67,17.52,16.56,17.41,191750.0,615,17.226
2025-01-06,19.56,21.91,19.56,21.03,434606.0,1504,20.955
2025-01-07,22.87,24.19,21.85,22.19,618203.0,2599,23.185
2025-01-08,22.59,22.78,20.61,21.09,283130.0,1205,21.218
2025-01-10,20.55,21.56,20.0,21.0,208020.0,654,20.809
2025-01-13,19.42,19.52,18.32,19.19,158579.0,460,18.95
2025-01-14,19.95,20.15,19.33,20.15,87063.0,353,19.69
2025-01-15,21.02,22.8,21.01,22.53,268702.0,898,22.405
2025-01-16,23.0,23.14,21.95,22.23,181408.0,590,22.493
2025-01-17,23.25,23.62,22.24,23.57,176888.0,571,22.858
2025-01-21,23.4,25.59,23.4,25.18,272003.0,800,24.868
2025-01-22,25.13,25.79,24.46,25.13,272308.0,774,25.251
2025-01-23,23.06,23.69,22.45,23.09,244568.0,768,23.07
2025-01-24,23.35,23.43,22.18,22.34,125924.0,375,22.618
2025-01-27,18.82,19.21,15.95,17.14,369568.0,1444,17.405
2025-01-28,17.62,17.95,15.98,16.06,320550.0,1106,16.395
2025-01-29,16.57,16.77,15.89,16.36,213282.0,910,16.233
2025-01-30,16.87,17.83,16.8,17.64,298849.0,1280,17.357
2025-01-31,17.15,18.23,17.06,17.13,236427.0,1092,17.716
2025-02-03,16.12,17.09,15.91,16.6,156736.0,555,16.519
2025-02-04,16.3,17.13,16.2,16.86,109925.0,381,16.777
2025-02-05,16.7,17.95,16.69,17.92,189225.0,717,17.313
2025-02-06,18.4,19.06,17.95,18.26,205128.0,909,18.507
2025-02-07,18.65,18.79,17.15,17.42,266422.0,1035,17.818
2025-02-10,17.71,18.88,17.71,18.74,754102.0,1898,18.49
2025-02-11,18.13,18.72,17.85,18.06,152425.0,590,18.266
2025-02-12,16.3,17.46,15.44,17.09,420592.0,1331,16.855
2025-02-13,17.36,18.73,17.36,18.62,299596.0,996,18.195
2025-02-14,19.62,20.5,19.55,20.09,635111.0,2387,19.872
2025-02-18,21.24,23.41,21.13,22.97,441720.0,1789,22.384
2025-02-19,22.59,23.12,21.62,21.95,270366.0,753,22.229
2025-02-20,21.75,22.12,21.1,21.47,122508.0,554,21.605
2025-02-21,21.48,21.55,19.17,19.62,191844.0,685,20.114
2025-02-24,20.1,20.3,18.22,18.27,226939.0,753,19.194
2025-02-25,18.25,18.39,17.26,17.4,208921.0,860,17.834
2025-02-26,18.46,19.8,18.27,19.1,586653.0,2913,19.02
2025-02-27,19.19,19.88,16.66,16.77,350098.0,1908,18.041
2025-02-28,16.53,17.68,16.05,17.45,214259.0,999,17.053
2025-03-03,18.2,18.33,15.84,16.25,152234.0,730,17.151
2025-03-04,16.12,17.34,14.99,16.51,203441.0,903,16.017
2025-03-05,16.9,17.86,16.24,17.64,203039.0,1057,17.127
2025-03-06,16.32,17.17,15.67,15.7,156571.0,610,16.273
2025-03-07,16.01,17.13,15.8,16.99,232108.0,854,16.621
2025-03-10,15.77,16.36,14.38,14.87,357203.0,1168,15.27
2025-03-11,15.05,16.13,14.57,15.51,162565.0,690,15.239
2025-03-12,16.69,18.27,16.68,17.79,274476.0,1180,17.593
2025-03-13,17.22,18.69,17.19,17.5,248966.0,1041,17.927
2025-03-14,18.99,20.4,18.97,19.68,280655.0,1420,19.683
2025-03-17,19.77,21.08,19.77,20.54,231712.0,1074,20.327
2025-03-18,20.13,20.59,19.5,20.0,194823.0,938,20.04
2025-03-19,19.73,20.68,19.57,20.15,134506.0,583,20.035
2025-03-20,19.92,21.17,19.9,20.92,467228.0,1856,20.69
2025-03-21,18.37,18.37,16.83,17.23,1007832.0,2993,17.321
2025-03-24,17.7,18.5,17.6,17.97,410627.0,1186,17.99
2025-03-25,17.58,17.62,16.51,16.86,610722.0,1381,16.943
2025-03-26,17.44,17.7,15.7,16.1,402838.0,1208,16.618
2025-03-27,15.7,16.11,15.25,15.76,208264.0,585,15.735
2025-03-28,15.56,15.64,14.53,14.82,301639.0,786,14.936
2025-03-31,14.07,14.36,13.43,14.32,330911.0,814,13.851
2025-04-01,14.86,14.97,14.12,14.94,159013.0,513,14.644
2025-04-02,14.36,15.25,14.25,14.88,237889.0,595,14.657
2025-04-03,12.95,13.09,10.04,10.09,1040909.0,2670,11.408
2025-04-04,9.1,9.24,7.24,7.47,788828.0,1957,7.883
2025-04-07,7.26,9.22,6.77,8.31,961332.0,1878,7.915
2025-04-08,9.06,9.4,7.12,7.61,629542.0,1548,8.603
2025-04-09,7.75,10.6,7.19,10.43,896767.0,2232,9.13
2025-04-10,9.07,9.14,7.7,8.36,639452.0,1484,8.403
2025-04-11,8.12,8.35,7.6,8.21,434216.0,952,8.003
2025-04-14,9.47,9.47,8.35,8.58,748257.0,2026,8.811
2025-04-15,8.62,9.0,8.46,8.58,381780.0,839,8.77
2025-04-16,7.84,8.41,7.66,8.16,358629.0,917,8.118
2025-04-17,8.43,8.43,7.6,8.03,323129.0,881,7.895
2025-04-21,7.75,7.84,7.29,7.55,492820.0,1125,7.468
2025-04-22,7.72,8.36,7.7,8.32,639945.0,1093,8.106
2025-04-23,9.15,9.52,8.86,8.93,690017.0,1232,9.18
2025-04-24,9.38,10.08,9.15,10.06,822364.0,1792,9.678
2025-04-25,10.1,10.79,9.98,10.67,378740.0,889,10.384
2025-04-28,10.34,10.59,9.89,10.32,476921.0,1014,10.25
2025-04-29,10.12,10.22,9.78,9.9,399214.0,732,9.973
2025-04-30,9.03,9.94,9.0,9.9,310878.0,720,9.469
2025-05-01,10.57,10.64,10.08,10.1,265977.0,604,10.379
2025-05-02,10.64,11.11,10.46,10.84,277322.0,665,10.819
2025-05-05,10.57,10.97,10.44,10.79,223977.0,475,10.727
2025-05-06,10.3,10.99,10.28,10.8,238151.0,481,10.621
2025-05-07,10.89,11.43,10.75,11.38,497476.0,1298,11.039
2025-05-08,11.83,12.35,11.6,12.06,880753.0,1772,12.009
2025-05-09,12.19,12.35,11.92,12.25,418786.0,888,12.154
2025-05-12,14.21,14.61,13.99,14.08,446294.0,1000,14.228
2025-05-13,14.19,15.63,14.19,15.5,413516.0,1015,15.243
2025-05-14,15.33,15.69,14.68,14.98,319447.0,747,15.242
2025-05-15,14.51,15.05,13.99,15.0,303221.0,717,14.627
2025-05-16,15.15,15.84,15.09,15.82,334166.0,701,15.681
2025-05-19,15.03,16.1,15.03,16.01,306619.0,771,15.725
2025-05-20,15.75,15.97,15.46,15.81,147085.0,307,15.786
2025-05-21,15.57,16.05,14.95,15.07,184792.0,499,15.54
2025-05-22,14.93,15.51,14.66,14.78,99888.0,297,15.108
2025-05-23,13.92,14.43,13.55,14.28,318091.0,853,13.844
2025-05-27,14.85,15.3,14.56,15.2,135548.0,311,15.103
2025-05-28,15.26,15.47,14.98,15.17,148523.0,310,15.197
2025-05-29,15.93,16.19,15.13,15.34,115306.0,363,15.431
2025-05-30,15.12,15.2,13.9,14.6,143351.0,466,14.509
2025-06-02,14.63,16.04,14.6,15.75,232884.0,599,15.475
2025-06-03,15.75,17.21,15.35,17.03,217947.0,636,16.619
2025-06-04,17.08,17.57,16.87,17.37,264838.0,655,17.277
2025-06-05,18.28,19.31,18.15,18.38,455451.0,1320,18.754
2025-06-06,19.09,20.01,19.09,19.17,406059.0,1183,19.614
2025-06-09,19.52,20.53,19.22,19.99,174870.0,677,19.945
2025-06-10,20.35,21.41,20.15,21.17,418901.0,1017,21.01
2025-06-11,21.66,22.27,21.43,21.85,285449.0,1097,21.814
2025-06-12,21.09,21.99,20.85,21.87,179011.0,646,21.559
2025-06-13,20.92,22.21,20.92,21.62,164698.0,521,21.742
2025-06-16,22.5,23.62,22.3,23.24,220352.0,598,22.923
2025-06-17,23.11,24.63,23.07,23.39,249276.0,734,24.015
2025-06-18,23.45,24.44,23.35,24.0,108548.0,489,23.974
2025-06-20,24.29,24.85,23.4,24.68,237241.0,739,24.184
2025-06-23,24.63,25.01,23.17,24.04,231305.0,723,24.18
