date,open,high,low,close,volume,bar_count,vwap
2009-12-30,10.35,10.79,10.2,10.64,20205600.0,57974,10.535
2009-12-31,10.75,10.87,10.56,10.56,20213200.0,48995,10.711
2010-01-04,10.56,11.04,10.56,10.85,34033900.0,89263,10.891
2010-01-05,11.03,11.29,10.63,11.17,60180700.0,155790,11.035
2010-01-06,11.08,11.34,10.99,11.22,31524600.0,76850,11.204
2010-01-07,11.12,11.25,10.56,10.84,46042800.0,117927,10.837
2010-01-08,10.74,11.17,10.62,11.1,31220200.0,91446,11.028
2010-01-11,11.3,11.32,10.75,10.9,28806100.0,79878,11.047
2010-01-12,10.86,10.9,10.14,10.26,45677200.0,101894,10.372
2010-01-13,10.37,10.56,9.97,10.46,32130400.0,88343,10.327
2010-01-14,10.64,10.95,10.43,10.73,32758600.0,73678,10.739
2010-01-15,10.7,10.7,10.04,10.13,29503700.0,72231,10.23
2010-01-19,10.11,10.3,9.64,10.28,18153000.0,50595,10.19
2010-01-20,9.92,10.28,9.73,9.98,41778900.0,84661,9.89
2010-01-21,10.04,10.24,9.75,9.8,37668700.0,100256,9.928
2010-01-22,9.7,9.71,9.09,9.13,43029800.0,115829,9.34
2010-01-25,9.28,9.42,9.17,9.33,22289700.0,62775,9.312
2010-01-26,9.32,9.74,9.26,9.44,24838500.0,77366,9.578
2010-01-27,9.55,9.75,9.35,9.72,21416000.0,63581,9.583
2010-01-28,9.8,9.8,9.1,9.4,30722400.0,84674,9.325
2010-01-29,9.45,9.5,8.57,8.72,40333500.0,97035,8.908
2010-02-01,8.88,9.2,8.84,9.17,17479300.0,52163,9.08
2010-02-02,9.27,9.5,9.2,9.35,21458200.0,56737,9.361
2010-02-03,9.45,9.45,8.93,9.02,25175500.0,67762,9.087
2010-02-04,9.04,9.23,8.55,8.61,25906200.0,71626,8.685
2010-02-05,8.62,8.71,8.27,8.7,35419800.0,87647,8.5
2010-02-08,8.77,9.05,8.59,8.91,19424300.0,54764,8.937
2010-02-09,9.0,9.28,8.84,9.08,20545600.0,57110,9.07
2010-02-10,8.81,8.87,8.18,8.54,67093100.0,141686,8.459
2010-02-11,8.6,8.78,8.42,8.53,48767600.0,102680,8.605
2010-02-12,8.42,8.74,8.32,8.44,42312700.0,106948,8.496
2010-02-16,8.5,8.71,8.44,8.63,24802100.0,67307,8.625
2010-02-17,8.71,8.8,8.56,8.73,18115700.0,59545,8.686
2010-02-18,8.75,8.78,8.59,8.76,22274400.0,62118,8.694
2010-02-19,8.76,9.14,8.66,8.9,25664200.0,68195,8.91
2010-02-22,9.07,9.11,8.91,8.94,14727400.0,46611,8.99
2010-02-23,9.0,9.0,8.42,8.61,27810600.0,72516,8.595
2010-02-24,8.57,9.23,8.57,9.09,33332700.0,78946,9.009
2010-02-25,9.0,9.2,8.72,9.07,20182700.0,57543,8.918
2010-02-26,9.09,9.15,8.87,9.06,18723300.0,51751,8.998
2010-03-01,9.24,9.79,9.2,9.77,38127300.0,85997,9.603
2010-03-02,9.59,9.77,9.51,9.57,38086500.0,81652,9.592
2010-03-03,9.62,9.7,9.39,9.45,24359600.0,61394,9.497
2010-03-04,9.4,9.46,9.17,9.41,19590200.0,52496,9.302
2010-03-05,9.52,9.58,9.32,9.46,14993800.0,44642,9.424
2010-03-08,9.47,9.65,9.36,9.59,25042600.0,58930,9.552
2010-03-09,9.55,9.6,9.34,9.41,33380300.0,66271,9.459
2010-03-10,9.56,9.96,9.56,9.87,38951500.0,93825,9.843
2010-03-11,9.99,9.99,9.62,9.8,19844300.0,53065,9.759
2010-03-12,10.07,10.25,9.7,9.97,32589900.0,80169,10.084
2010-03-15,9.91,9.94,9.6,9.73,20872400.0,52543,9.724
2010-03-16,9.79,10.25,9.77,10.21,23847600.0,65634,10.106
2010-03-17,10.26,10.51,10.21,10.4,26194900.0,60825,10.406
2010-03-18,10.43,10.43,10.05,10.16,19858900.0,51446,10.135
2010-03-19,10.27,10.27,9.95,9.95,17783500.0,48028,10.056
2010-03-22,9.84,10.36,9.75,10.33,17996500.0,51481,10.203
2010-03-23,10.4,10.59,10.34,10.54,21545300.0,59378,10.456
2010-03-24,10.57,10.75,10.35,10.43,17907200.0,50019,10.488
2010-03-25,10.65,10.79,10.35,10.38,24702600.0,67473,10.596
2010-03-26,10.54,10.73,10.26,10.49,24997500.0,67194,10.499
2010-03-29,10.66,10.79,10.58,10.63,21404900.0,58472,10.668
2010-03-30,10.76,10.9,10.61,10.79,36819100.0,89619,10.806
2010-03-31,10.86,10.86,10.36,10.37,38336800.0,98509,10.573
2010-04-01,10.76,11.17,10.11,10.17,126258100.0,274469,10.589
2010-04-05,10.35,10.64,10.25,10.6,51255500.0,122436,10.388
2010-04-06,10.66,10.66,9.52,10.23,42096900.0,103920,10.369
2010-04-07,10.23,10.65,10.13,10.56,43663000.0,115052,10.471
2010-04-08,10.63,10.68,10.37,10.58,32745200.0,82639,10.542
2010-04-09,10.71,10.82,10.65,10.73,21804900.0,55547,10.74
2010-04-12,10.74,10.95,10.58,10.82,32972200.0,78740,10.798
2010-04-13,10.75,10.95,10.63,10.76,27521100.0,87064,10.742
2010-04-14,10.89,11.4,10.76,11.3,49421200.0,101846,11.229
2010-04-15,11.3,11.38,10.76,11.18,28611700.0,72281,11.231
2010-04-16,11.09,11.1,10.69,10.92,35359200.0,96690,10.929
2010-04-19,10.81,11.0,10.48,10.79,25176300.0,67153,10.698
2010-04-20,10.83,10.97,10.67,10.75,22475100.0,63693,10.786
2010-04-21,10.8,11.08,10.55,10.74,35770200.0,78236,10.773
2010-04-22,10.8,11.01,10.41,10.93,30702900.0,81014,10.799
2010-04-23,10.98,11.01,10.75,11.0,23661100.0,55202,10.914
2010-04-26,10.97,11.03,10.88,10.97,17168300.0,46900,10.963
2010-04-27,10.89,10.9,10.28,10.34,31460700.0,80263,10.5
2010-04-28,10.31,10.52,9.72,10.24,65281400.0,136100,10.051
2010-04-29,10.3,10.43,10.05,10.21,23675400.0,68834,10.214
2010-04-30,10.11,10.15,9.33,9.35,49962900.0,123132,9.569
2010-05-03,9.43,9.94,9.42,9.89,43370600.0,105821,9.762
2010-05-04,9.89,9.97,9.31,9.52,49865000.0,115064,9.441
2010-05-05,9.5,9.5,8.98,9.26,36684600.0,107779,9.262
2010-05-06,9.3,9.52,7.32,8.75,65935900.0,167918,8.755
2010-05-07,8.8,8.8,8.04,8.57,62410700.0,182273,8.495
2010-05-10,9.2,9.25,8.83,9.09,33958200.0,114471,8.997
2010-05-11,8.8,9.09,8.72,8.82,38430400.0,102508,8.883
2010-05-12,8.82,9.42,8.82,9.33,40246100.0,104866,9.192
2010-05-13,9.36,9.46,9.08,9.14,32063200.0,86669,9.248
2010-05-14,8.91,9.07,8.75,8.94,40516900.0,99957,8.893
2010-05-17,8.94,9.21,8.78,9.17,38809000.0,109080,9.013
2010-05-18,9.2,9.42,8.95,9.08,47620600.0,120559,9.165
2010-05-19,9.0,9.24,8.7,8.96,29225100.0,94923,8.931
2010-05-20,8.9,9.02,8.48,8.74,37720100.0,118832,8.753
2010-05-21,8.42,9.03,8.37,8.93,37226000.0,112360,8.844
2010-05-24,8.98,9.24,8.77,8.79,28246200.0,79057,9.024
2010-05-25,8.61,8.96,8.32,8.8,32528300.0,100958,8.548
2010-05-26,8.9,9.15,8.63,8.69,35578700.0,97416,8.905
2010-05-27,9.01,9.46,8.9,9.44,36618800.0,100811,9.27
2010-05-28,9.4,9.4,8.81,9.09,41435100.0,116464,9.04
2010-06-01,9.0,9.09,8.65,8.66,41079600.0,118116,8.837
2010-06-02,8.84,9.22,8.66,9.18,42034600.0,113294,8.971
2010-06-03,9.3,9.46,9.06,9.24,42824800.0,121708,9.246
2010-06-04,8.97,9.38,8.81,8.86,31721300.0,100586,9.09
2010-06-07,8.99,8.99,8.36,8.38,34561200.0,105431,8.615
2010-06-08,8.42,8.65,8.27,8.54,33215400.0,102946,8.451
2010-06-09,8.65,8.9,8.47,8.53,28278500.0,86015,8.688
2010-06-10,8.61,8.83,8.53,8.77,23820300.0,73592,8.709
