date,open,high,low,close,volume,bar_count,vwap
2002-05-23,0.23,0.25,0.23,0.24,523950000.0,1,0.2392857142857143
2002-05-24,0.24,0.24,0.24,0.24,55524000.0,1,0.242
2002-05-28,0.24,0.25,0.23,0.23,33047000.0,1,0.2314285714285714
2002-05-29,0.23,0.23,0.22,0.22,33789000.0,1,0.2207142857142857
2002-05-30,0.22,0.22,0.21,0.21,50771000.0,1,0.2142857142857143
2002-05-31,0.22,0.22,0.21,0.22,42322000.0,1,0.2152857142857143
2002-06-03,0.22,0.23,0.22,0.23,15757000.0,1,0.2257142857142857
2002-06-04,0.23,0.23,0.22,0.22,15526000.0,1,0.2235714285714286
2002-06-05,0.22,0.23,0.22,0.23,7658000.0,1,0.2294285714285714
2002-06-06,0.23,0.25,0.23,0.24,11529000.0,1,0.2364285714285714
2002-06-07,0.24,0.24,0.22,0.22,6846000.0,1,0.2237142857142857
2002-06-10,0.23,0.24,0.23,0.23,2422000.0,1,0.2313
2002-06-11,0.23,0.24,0.23,0.23,5019000.0,1,0.2307142857142857
2002-06-12,0.23,0.24,0.22,0.22,8995000.0,1,0.2185714285714286
2002-06-13,0.22,0.22,0.22,0.22,12838000.0,1,0.2165714285714286
2002-06-14,0.22,0.22,0.2,0.2,23919000.0,1,0.1972857142857143
2002-06-17,0.2,0.21,0.18,0.18,24276000.0,1,0.1844285714285714
2002-06-18,0.19,0.19,0.17,0.18,54040000.0,1,0.1821428571428571
2002-06-19,0.18,0.2,0.18,0.19,27412000.0,1,0.1902857142857143
2002-06-20,0.19,0.21,0.19,0.19,30555000.0,1,0.1914285714285714
2002-06-21,0.2,0.2,0.19,0.2,11732000.0,1,0.1958571428571429
2002-06-24,0.2,0.2,0.19,0.2,12838000.0,1,0.1957142857142857
2002-06-25,0.2,0.2,0.19,0.19,19705000.0,1,0.1928571428571429
2002-06-26,0.19,0.2,0.18,0.2,14623000.0,1,0.1977142857142857
2002-06-27,0.2,0.2,0.19,0.19,19089000.0,1,0.1887142857142857
2002-06-28,0.19,0.2,0.19,0.2,50225000.0,1,0.1998571428571429
2002-07-01,0.2,0.21,0.2,0.21,22925000.0,1,0.2055714285714286
2002-07-02,0.21,0.24,0.21,0.23,45101000.0,1,0.2345714285714286
2002-07-03,0.24,0.24,0.22,0.24,24787000.0,1,0.2428571428571429
2002-07-05,0.24,0.26,0.24,0.26,10017000.0,1,0.2552857142857143
2002-07-08,0.25,0.25,0.23,0.24,9765000.0,1,0.2351428571428571
2002-07-09,0.24,0.24,0.22,0.23,14679000.0,1,0.2321428571428571
2002-07-10,0.23,0.24,0.23,0.23,7770000.0,1,0.2327142857142857
2002-07-11,0.23,0.26,0.23,0.25,12649000.0,1,0.2538571428571429
2002-07-12,0.26,0.26,0.24,0.24,14189000.0,1,0.2415714285714286
2002-07-15,0.25,0.25,0.22,0.23,21196000.0,1,0.2285714285714286
2002-07-16,0.23,0.23,0.22,0.23,9709000.0,1,0.2252857142857143
2002-07-17,0.23,0.23,0.22,0.22,6321000.0,1,0.2178571428571429
2002-07-18,0.22,0.23,0.22,0.23,14497000.0,1,0.2298571428571429
2002-07-19,0.23,0.23,0.22,0.23,8960000.0,1,0.232
2002-07-22,0.23,0.24,0.22,0.23,9968000.0,1,0.2341428571428571
2002-07-23,0.24,0.24,0.23,0.23,7889000.0,1,0.2292857142857143
2002-07-24,0.23,0.23,0.21,0.22,16793000.0,1,0.2228571428571429
2002-07-25,0.23,0.23,0.21,0.21,23779000.0,1,0.2072857142857143
2002-07-26,0.21,0.21,0.17,0.17,35238000.0,1,0.1742857142857143
2002-07-29,0.18,0.18,0.17,0.18,16310000.0,1,0.1752857142857143
2002-07-30,0.18,0.19,0.18,0.18,18886000.0,1,0.1828714285714286
2002-07-31,0.19,0.19,0.18,0.19,16667000.0,1,0.1907142857142857
2002-08-01,0.19,0.19,0.18,0.18,22645000.0,1,0.1782857142857143
2002-08-02,0.18,0.18,0.14,0.16,33278000.0,1,0.1555714285714286
2002-08-05,0.16,0.16,0.15,0.16,19040000.0,1,0.155
2002-08-06,0.16,0.16,0.15,0.15,16086000.0,1,0.1521428571428571
2002-08-07,0.15,0.16,0.15,0.16,13790000.0,1,0.1587142857142857
2002-08-08,0.16,0.16,0.15,0.16,11417000.0,1,0.1592857142857143
2002-08-09,0.16,0.16,0.16,0.16,7511000.0,1,0.1574285714285714
2002-08-12,0.16,0.16,0.15,0.15,10654000.0,1,0.1514285714285714
2002-08-13,0.15,0.16,0.15,0.15,8386000.0,1,0.1545714285714286
2002-08-14,0.16,0.17,0.15,0.17,20237000.0,1,0.1667142857142857
2002-08-15,0.17,0.18,0.17,0.18,16317000.0,1,0.1765714285714286
2002-08-16,0.18,0.18,0.17,0.18,9142000.0,1,0.1825714285714286
2002-08-19,0.19,0.2,0.18,0.2,10374000.0,1,0.1964285714285714
2002-08-20,0.2,0.2,0.18,0.19,12705000.0,1,0.1892857142857143
2002-08-21,0.19,0.19,0.18,0.19,13895000.0,1,0.1937142857142857
2002-08-22,0.19,0.2,0.19,0.2,14819000.0,1,0.1967142857142857
2002-08-23,0.2,0.2,0.19,0.2,12033000.0,1,0.1987142857142857
2002-08-26,0.2,0.2,0.19,0.19,13223000.0,1,0.1935714285714286
2002-08-27,0.19,0.19,0.17,0.17,24920000.0,1,0.1747142857142857
2002-08-28,0.17,0.18,0.17,0.17,11375000.0,1,0.1728571428571429
2002-08-29,0.17,0.18,0.16,0.18,11977000.0,1,0.1807142857142857
2002-08-30,0.18,0.19,0.18,0.19,10619000.0,1,0.1872857142857143
2002-09-03,0.19,0.19,0.18,0.19,7987000.0,1,0.1851285714285714
2002-09-04,0.19,0.19,0.18,0.19,1869000.0,1,0.1857142857142857
2002-09-05,0.18,0.19,0.18,0.18,1428000.0,1,0.1835714285714286
2002-09-06,0.19,0.19,0.18,0.18,3815000.0,1,0.1828571428571429
2002-09-09,0.18,0.19,0.18,0.18,7098000.0,1,0.1802857142857143
2002-09-10,0.18,0.19,0.18,0.19,23737000.0,1,0.189
2002-09-11,0.19,0.2,0.19,0.19,8148000.0,1,0.1922857142857143
2002-09-12,0.19,0.19,0.18,0.19,9716000.0,1,0.1850142857142857
2002-09-13,0.18,0.19,0.17,0.18,12453000.0,1,0.1757142857142857
2002-09-16,0.18,0.18,0.17,0.17,17563000.0,1,0.1714285714285714
2002-09-17,0.17,0.17,0.17,0.17,14322000.0,1,0.166
2002-09-18,0.17,0.17,0.16,0.16,7609000.0,1,0.1575714285714286
2002-09-19,0.16,0.16,0.14,0.14,24892000.0,1,0.1448571428571429
2002-09-20,0.15,0.15,0.14,0.14,17423000.0,1,0.1417
2002-09-23,0.14,0.15,0.14,0.14,24206000.0,1,0.1423
2002-09-24,0.14,0.14,0.14,0.14,18739000.0,1,0.1435714285714286
2002-09-25,0.14,0.15,0.14,0.15,7287000.0,1,0.1464285714285714
2002-09-26,0.15,0.16,0.15,0.16,20825000.0,1,0.1566857142857143
2002-09-27,0.16,0.16,0.14,0.14,25550000.0,1,0.144
2002-09-30,0.14,0.14,0.14,0.14,24192000.0,1,0.1385714285714286
2002-10-01,0.14,0.14,0.13,0.14,19250000.0,1,0.1357142857142857
2002-10-02,0.14,0.14,0.11,0.12,46578000.0,1,0.1157142857142857
2002-10-03,0.11,0.11,0.1,0.1,49189000.0,1,0.1035857142857143
2002-10-04,0.1,0.11,0.09,0.09,42168000.0,1,0.0937571428571429
2002-10-07,0.09,0.09,0.08,0.08,78680000.0,1,0.0824285714285714
2002-10-08,0.08,0.09,0.08,0.08,22666000.0,1,0.081
2002-10-09,0.08,0.08,0.07,0.07,29911000.0,1,0.0745714285714286
2002-10-10,0.08,0.11,0.07,0.1,67914000.0,1,0.1012857142857143
2002-10-11,0.1,0.11,0.09,0.09,66416000.0,1,0.0941428571428571
2002-10-14,0.09,0.11,0.09,0.11,26362000.0,1,0.1068571428571429
2002-10-15,0.11,0.12,0.11,0.11,20650000.0,1,0.11
2002-10-16,0.11,0.11,0.09,0.09,29029000.0,1,0.0918571428571429
2002-10-17,0.09,0.12,0.09,0.11,37471000.0,1,0.11
2002-10-18,0.12,0.15,0.12,0.14,124621000.0,1,0.1365714285714286
2002-10-21,0.13,0.13,0.12,0.13,48440000.0,1,0.1272857142857143
2002-10-22,0.13,0.13,0.12,0.13,21329000.0,1,0.1251285714285714
2002-10-23,0.13,0.13,0.12,0.12,17717000.0,1,0.1178571428571429
2002-10-24,0.12,0.12,0.11,0.12,12166000.0,1,0.1158571428571429
2002-10-25,0.12,0.14,0.11,0.13,32242000.0,1,0.1285714285714286
2002-10-28,0.13,0.14,0.13,0.14,28259000.0,1,0.1371428571428571
2002-10-29,0.13,0.14,0.13,0.13,10031000.0,1,0.1314285714285714
2002-10-30,0.13,0.13,0.13,0.13,7119000.0,1,0.1282857142857143
2002-10-31,0.13,0.13,0.12,0.13,8295000.0,1,0.1281571428571429
2002-11-01,0.13,0.13,0.12,0.13,10647000.0,1,0.1277142857142857
2002-11-04,0.13,0.14,0.13,0.13,17948000.0,1,0.1342857142857143
2002-11-05,0.13,0.14,0.13,0.13,5229000.0,1,0.1302857142857143
2002-11-06,0.13,0.13,0.12,0.13,35161000.0,1,0.1258571428571429
2002-11-07,0.13,0.13,0.12,0.12,12929000.0,1,0.1185714285714286
2002-11-08,0.12,0.12,0.11,0.12,25774000.0,1,0.1221428571428571
2002-11-11,0.12,0.12,0.12,0.12,1855000.0,1,0.1201428571428571
2002-11-12,0.12,0.12,0.11,0.12,10955000.0,1,0.1155714285714286
2002-11-13,0.12,0.13,0.11,0.13,15666000.0,1,0.1282857142857143
2002-11-14,0.13,0.13,0.12,0.12,4662000.0,1,0.1237142857142857
2002-11-15,0.13,0.13,0.12,0.13,10227000.0,1,0.13
2002-11-18,0.13,0.16,0.13,0.16,50358000.0,1,0.1557142857142857
2002-11-19,0.14,0.14,0.12,0.13,140987000.0,1,0.1328571428571429
2002-11-20,0.13,0.15,0.13,0.14,50442000.0,1,0.1434285714285714
2002-11-21,0.15,0.16,0.14,0.16,52591000.0,1,0.1571428571428571
2002-11-22,0.15,0.16,0.15,0.16,22470000.0,1,0.1572857142857143
2002-11-25,0.16,0.16,0.15,0.16,23870000.0,1,0.1585714285714286
2002-11-26,0.15,0.16,0.15,0.15,8897000.0,1,0.1498571428571429
2002-11-27,0.15,0.15,0.15,0.15,5348000.0,1,0.1503
2002-11-29,0.15,0.16,0.15,0.16,4662000.0,1,0.155
2002-12-02,0.15,0.16,0.14,0.15,10052000.0,1,0.1522857142857143
2002-12-03,0.15,0.16,0.15,0.15,5831000.0,1,0.1541428571428571
2002-12-04,0.15,0.15,0.14,0.14,12453000.0,1,0.1421285714285714
2002-12-05,0.17,0.17,0.15,0.16,63224000.0,1,0.1571428571428571
2002-12-06,0.16,0.16,0.15,0.16,19425000.0,1,0.1564428571428571
2002-12-09,0.16,0.16,0.15,0.16,20349000.0,1,0.1598571428571429
2002-12-10,0.16,0.17,0.16,0.17,16184000.0,1,0.1742857142857143
2002-12-11,0.17,0.19,0.17,0.18,24507000.0,1,0.1794285714285714
2002-12-12,0.18,0.18,0.18,0.18,12712000.0,1,0.1801428571428571
2002-12-13,0.18,0.18,0.17,0.18,6979000.0,1,0.1785714285714286
2002-12-16,0.18,0.19,0.17,0.18,10514000.0,1,0.1827142857142857
2002-12-17,0.18,0.19,0.18,0.18,8400000.0,1,0.1812857142857143
