date,open,high,low,close,volume,bar_count,vwap
2011-02-14,13.15,14.0,12.89,13.96,589900.0,737,13.663
2011-02-15,13.75,13.98,13.25,13.46,164300.0,270,13.371
2011-02-16,13.5,13.74,13.4,13.51,105000.0,449,13.502
2011-02-17,13.65,13.75,13.3,13.5,139900.0,571,13.417
2011-02-18,13.32,13.53,13.32,13.4,57300.0,338,13.386
2011-02-22,13.34,13.4,10.63,12.93,81000.0,528,12.993
2011-02-23,13.0,13.0,12.12,12.49,117600.0,491,12.611
2011-02-24,12.11,12.84,12.11,12.75,40500.0,134,12.541
2011-02-25,12.26,12.86,12.23,12.8,52200.0,290,12.778
2011-02-28,12.8,13.0,12.36,12.91,44100.0,263,12.805
2011-03-01,12.7,12.9,12.7,12.86,60900.0,212,12.801
2011-03-02,12.88,12.97,12.8,12.94,49600.0,218,12.932
2011-03-03,12.99,13.05,12.72,12.98,75200.0,201,13.024
2011-03-04,12.94,13.25,12.9,13.16,27100.0,158,13.084
2011-03-07,13.05,13.36,12.25,12.42,65300.0,337,12.655
2011-03-08,12.4,12.4,11.01,11.93,202900.0,801,11.883
2011-03-09,11.11,11.9,11.11,11.67,125900.0,462,11.624
2011-03-10,11.47,11.53,11.27,11.31,93200.0,492,11.354
2011-03-11,11.2,11.99,11.01,11.7,114800.0,641,11.419
2011-03-14,11.69,11.93,11.19,11.7,131700.0,827,11.766
2011-03-15,11.43,11.68,11.05,11.34,92300.0,523,11.253
2011-03-16,11.13,11.34,11.1,11.19,128800.0,554,11.216
2011-03-17,11.13,11.19,10.61,10.7,112400.0,586,10.945
2011-03-18,10.79,10.83,10.4,10.69,162300.0,620,10.705
2011-03-21,10.77,11.0,10.77,10.95,38300.0,121,10.971
2011-03-22,10.52,11.0,10.52,10.69,52300.0,336,10.672
2011-03-23,10.6,10.85,10.3,10.8,76800.0,411,10.568
2011-03-24,10.92,11.61,10.9,11.45,112900.0,585,11.188
2011-03-25,11.54,12.11,11.54,11.74,129500.0,690,11.806
2011-03-28,11.83,11.95,11.67,11.85,110100.0,587,11.856
2011-03-29,11.7,11.8,10.7,10.78,455900.0,1318,10.911
2011-03-30,10.8,10.96,10.53,10.59,106400.0,464,10.701
2011-03-31,10.59,10.6,9.76,10.3,439400.0,1653,10.034
2011-04-01,10.36,10.53,10.25,10.49,88200.0,403,10.431
2011-04-04,10.59,10.76,10.51,10.62,131300.0,640,10.587
2011-04-05,10.61,10.84,10.61,10.76,133700.0,687,10.739
2011-04-06,10.81,10.81,10.67,10.72,53000.0,354,10.698
2011-04-07,10.7,10.7,10.51,10.65,75500.0,367,10.629
2011-04-08,10.65,10.79,10.46,10.69,111300.0,603,10.599
2011-04-11,10.73,10.9,10.57,10.63,59200.0,408,10.713
2011-04-12,10.59,10.6,10.4,10.5,47100.0,256,10.515
2011-04-13,10.31,10.56,10.17,10.31,49700.0,265,10.301
2011-04-14,10.25,10.43,10.25,10.42,45600.0,289,10.379
2011-04-15,10.39,10.54,10.38,10.53,69800.0,335,10.496
2011-04-18,10.39,10.41,10.24,10.34,32600.0,197,10.322
2011-04-19,10.33,10.52,10.33,10.43,42500.0,196,10.419
2011-04-20,10.53,11.25,10.53,11.11,274600.0,1409,10.913
2011-04-21,11.19,11.44,10.95,11.04,63200.0,466,11.213
2011-04-25,11.06,11.09,10.82,10.94,61100.0,456,10.973
2011-04-26,10.95,11.22,10.93,10.99,98100.0,540,10.972
2011-04-27,10.94,11.33,10.92,11.2,108500.0,590,11.005
2011-04-28,11.2,11.49,11.2,11.28,119300.0,419,11.357
2011-04-29,11.27,11.58,11.25,11.35,137100.0,358,11.431
2011-05-02,11.42,11.5,11.25,11.41,99300.0,510,11.397
2011-05-03,11.4,11.4,11.0,11.11,73000.0,322,11.116
2011-05-04,11.1,11.5,11.0,11.23,80200.0,356,11.204
2011-05-05,11.19,11.58,11.08,11.37,122800.0,493,11.44
2011-05-06,11.41,11.88,11.4,11.55,70900.0,330,11.548
2011-05-09,11.63,11.63,11.43,11.52,44100.0,204,11.507
2011-05-10,11.52,11.65,11.3,11.63,493700.0,1012,11.509
2011-05-11,11.61,11.71,11.54,11.67,65100.0,325,11.617
2011-05-12,11.62,11.8,11.53,11.75,146100.0,777,11.733
2011-05-13,11.78,11.78,11.39,11.44,46000.0,275,11.622
2011-05-16,11.35,11.38,10.87,11.03,87200.0,358,11.16
2011-05-17,11.99,11.99,10.96,11.76,457500.0,1694,11.542
2011-05-18,11.76,11.84,11.19,11.64,72200.0,389,11.736
2011-05-19,11.69,11.74,11.51,11.6,74600.0,444,11.647
2011-05-20,11.53,11.65,11.49,11.53,101300.0,590,11.568
2011-05-23,11.52,11.78,10.94,11.7,71400.0,390,11.522
