date,open,high,low,close,volume,bar_count,vwap
2001-05-21,0.72,0.77,0.7,0.75,532836000.0,1,0.7516666666666668
2001-05-22,0.76,0.78,0.73,0.77,528660000.0,1,0.7741666666666668
2001-05-23,0.8,0.83,0.76,0.77,1123788000.0,1,0.7675833333333332
2001-05-24,0.76,0.8,0.74,0.78,840372000.0,1,0.7789166666666668
2001-05-25,0.76,0.77,0.75,0.76,473988000.0,1,0.7641666666666668
2001-05-29,0.76,0.76,0.72,0.73,460824000.0,1,0.7328333333333332
2001-05-30,0.72,0.75,0.71,0.72,1654968000.0,1,0.7191666666666668
2001-05-31,0.72,0.73,0.7,0.71,631536000.0,1,0.7134166666666668
2001-06-01,0.72,0.76,0.71,0.75,511344000.0,1,0.7529166666666668
2001-06-04,0.75,0.76,0.73,0.74,310788000.0,1,0.74125
2001-06-05,0.74,0.79,0.74,0.78,493728000.0,1,0.7801666666666668
2001-06-06,0.78,0.79,0.77,0.78,349500000.0,1,0.7835
2001-06-07,0.78,0.83,0.77,0.83,570840000.0,1,0.82775
2001-06-08,0.83,0.83,0.8,0.81,356616000.0,1,0.80625
2001-06-11,0.81,0.81,0.77,0.78,293328000.0,1,0.7826666666666668
2001-06-12,0.77,0.82,0.76,0.81,551448000.0,1,0.80875
2001-06-13,0.81,0.83,0.77,0.78,469356000.0,1,0.7815833333333332
2001-06-14,0.77,0.79,0.76,0.78,473196000.0,1,0.7799166666666668
2001-06-15,0.77,0.81,0.76,0.79,547320000.0,1,0.7920833333333333
2001-06-18,0.79,0.8,0.75,0.76,428556000.0,1,0.76075
2001-06-19,0.78,0.79,0.7,0.72,756684000.0,1,0.7191666666666668
2001-06-20,0.71,0.76,0.69,0.75,879696000.0,1,0.7500833333333332
2001-06-21,0.75,0.78,0.73,0.76,743208000.0,1,0.76425
2001-06-22,0.76,0.78,0.75,0.76,380592000.0,1,0.7608333333333333
2001-06-25,0.77,0.77,0.74,0.76,320016000.0,1,0.7593333333333332
2001-06-26,0.74,0.79,0.74,0.78,378960000.0,1,0.78125
2001-06-27,0.78,0.78,0.74,0.76,447948000.0,1,0.7570833333333332
2001-06-28,0.77,0.78,0.76,0.77,454872000.0,1,0.766
2001-06-29,0.77,0.79,0.76,0.77,370692000.0,1,0.7729166666666668
2001-07-02,0.74,0.75,0.73,0.74,520104000.0,1,0.7386666666666668
2001-07-03,0.73,0.76,0.73,0.75,203148000.0,1,0.7480833333333332
2001-07-05,0.74,0.74,0.69,0.69,510372000.0,1,0.6938333333333332
