date,open,high,low,close,volume,bar_count,vwap
2021-01-25,11.1,11.1,10.2,10.88,334195.0,1807,10.602
2021-01-26,11.3,11.3,10.59,10.63,256138.0,1272,10.828
2021-01-27,10.68,10.68,10.15,10.32,118623.0,508,10.315
2021-01-28,10.49,11.38,10.41,10.76,81223.0,432,10.659
2021-01-29,11.0,11.0,10.4,10.65,216117.0,1059,10.594
2021-02-01,10.88,10.95,10.57,10.8,78192.0,292,10.82
2021-02-02,10.95,11.02,10.7,10.95,277336.0,762,10.909
2021-02-03,10.91,11.0,10.76,10.95,167341.0,973,10.931
2021-02-04,10.98,11.03,10.7,10.99,170973.0,798,10.841
2021-02-05,11.2,11.95,11.1,11.66,281843.0,1219,11.482
2021-02-08,11.87,11.98,11.5,11.93,268149.0,1316,11.739
2021-02-09,11.88,11.9,11.25,11.58,118833.0,625,11.609
2021-02-10,11.88,11.88,11.53,11.65,193164.0,1035,11.711
2021-02-11,11.75,11.84,11.53,11.73,132783.0,822,11.633
2021-02-12,11.62,11.62,11.4,11.4,19373.0,134,11.495
2021-02-16,11.99,11.99,11.3,11.35,129117.0,465,11.442
2021-02-17,11.35,11.48,11.21,11.44,117917.0,349,11.408
2021-02-18,11.62,11.62,11.03,11.16,111004.0,437,11.166
2021-02-19,11.2,11.34,11.17,11.27,86545.0,395,11.277
2021-02-22,11.25,11.36,11.04,11.1,292205.0,930,11.134
2021-02-23,10.85,11.07,10.39,11.07,262999.0,889,10.638
2021-02-24,11.08,11.4,10.73,11.0,95784.0,564,10.999
2021-02-25,10.89,10.91,10.43,10.7,219981.0,1051,10.667
2021-02-26,10.65,10.71,10.31,10.47,182071.0,847,10.481
2021-03-01,10.51,10.69,10.4,10.68,270652.0,1006,10.548
2021-03-02,10.59,10.65,10.13,10.18,321233.0,1805,10.366
2021-03-03,10.2,10.4,10.18,10.29,507733.0,1127,10.275
2021-03-04,10.17,10.18,9.9,10.02,350133.0,900,10.044
2021-03-05,10.2,10.49,10.0,10.14,630780.0,1193,10.041
2021-03-08,10.13,10.17,9.95,10.08,231984.0,825,10.042
2021-03-09,10.09,10.13,10.02,10.08,156773.0,488,10.06
2021-03-10,10.05,10.11,10.03,10.1,138789.0,305,10.055
2021-03-11,10.07,10.32,10.07,10.27,48294.0,200,10.171
2021-03-12,10.22,10.22,10.08,10.13,51389.0,131,10.118
2021-03-15,10.08,10.2,10.08,10.2,60067.0,151,10.159
2021-03-16,10.08,10.14,10.07,10.13,50460.0,136,10.106
2021-03-17,10.05,10.11,9.97,10.1,20158.0,96,10.06
2021-03-18,10.05,10.2,10.05,10.18,47893.0,159,10.083
2021-03-19,10.1,10.17,10.05,10.17,16322.0,66,10.108
2021-03-22,10.1,10.2,10.1,10.18,86288.0,219,10.113
2021-03-23,10.15,10.19,9.91,9.96,313715.0,1058,10.077
2021-03-24,10.0,10.01,9.66,9.78,375580.0,1236,9.845
2021-03-25,9.8,9.87,9.7,9.8,215142.0,993,9.767
2021-03-26,9.8,10.01,9.74,9.95,83716.0,192,9.904
2021-03-29,10.1,10.1,9.79,9.88,133787.0,588,9.872
2021-03-30,9.9,9.93,9.72,9.83,313981.0,1243,9.837
2021-03-31,9.82,10.01,9.82,9.99,80453.0,279,9.96
2021-04-01,10.0,10.12,9.96,9.96,119323.0,318,10.025
2021-04-05,9.97,10.08,9.96,10.04,67638.0,122,10.053
2021-04-06,10.07,10.13,10.0,10.1,389587.0,2498,10.099
2021-04-07,10.04,10.15,10.04,10.13,371920.0,2802,10.108
2021-04-08,10.15,10.17,10.03,10.1,85044.0,275,10.126
2021-04-09,10.07,10.2,10.07,10.18,29898.0,94,10.164
2021-04-12,10.13,10.19,10.1,10.13,68283.0,218,10.122
2021-04-13,10.05,10.26,10.05,10.21,59418.0,86,10.144
2021-04-14,10.2,10.2,10.05,10.12,24963.0,93,10.117
2021-04-15,10.15,10.15,9.9,9.99,108560.0,307,9.992
