date,open,high,low,close,volume,bar_count,vwap
2001-05-18,16.01,16.35,15.88,16.28,29843000.0,1,16.28
2001-05-21,16.27,18.21,16.19,18.1,68843700.0,1,18.1
2001-05-22,18.35,18.52,17.46,17.58,61060300.0,1,17.58
2001-05-23,17.21,17.26,16.75,16.83,41615300.0,1,16.83
2001-05-24,16.86,17.4,16.32,17.3,30695500.0,1,17.3
2001-05-25,16.97,17.15,16.42,16.51,27635500.0,1,16.51
2001-05-29,16.37,16.43,15.44,15.61,44873200.0,1,15.61
2001-05-30,15.36,16.0,14.45,14.51,60895300.0,1,14.51
2001-05-31,14.65,15.89,14.6,15.3,77868700.0,1,15.3
2001-06-01,15.5,15.99,15.26,15.86,38975400.0,1,15.86
2001-06-04,16.53,16.54,15.93,16.06,34347900.0,1,16.06
2001-06-05,16.12,16.96,16.09,16.76,37528800.0,1,16.76
2001-06-06,16.94,17.24,16.8,17.0,43538700.0,1,17.0
2001-06-07,16.86,17.4,16.61,17.33,33703600.0,1,17.33
2001-06-08,17.28,17.5,16.92,17.01,21379300.0,1,17.01
2001-06-11,17.0,17.01,16.02,16.19,26158600.0,1,16.19
2001-06-12,16.01,16.36,15.34,16.14,35267300.0,1,16.139
2001-06-13,16.35,16.45,15.34,15.5,34243200.0,1,15.5
2001-06-14,15.36,15.37,14.7,14.85,45062500.0,1,14.85
2001-06-15,14.75,15.5,14.66,15.0,59629800.0,1,15.0
2001-06-18,15.23,15.3,14.62,14.84,51419000.0,1,14.84
2001-06-19,17.05,17.08,16.44,16.76,123132300.0,1,16.76
2001-06-20,16.52,17.77,16.44,17.52,64848800.0,1,17.52
2001-06-21,17.46,18.04,17.3,17.9,42898000.0,1,17.9
2001-06-22,17.8,17.97,17.35,17.48,29738200.0,1,17.48
2001-06-25,17.65,18.06,17.51,17.77,30607400.0,1,17.77
2001-06-26,17.35,19.0,17.01,18.44,58071400.0,1,18.44
2001-06-27,18.56,18.84,17.7,18.04,56799800.0,1,18.04
2001-06-28,18.39,19.63,18.29,19.18,72499100.0,1,19.18
2001-06-29,19.19,20.02,17.8,19.0,60090400.0,1,19.0
2001-07-02,19.24,20.0,19.07,19.58,29413600.0,1,19.58
2001-07-03,19.39,20.0,18.78,19.77,22039400.0,1,19.77
2001-07-05,19.38,19.91,18.9,18.93,29051400.0,1,18.93
2001-07-06,18.63,18.95,18.04,18.21,28647000.0,1,18.21
2001-07-09,18.18,19.33,18.1,18.91,32770400.0,1,18.91
2001-07-10,19.09,19.46,17.56,17.59,37848700.0,1,17.59
2001-07-11,17.57,18.1,17.46,18.0,35511200.0,1,18.0
2001-07-12,18.93,19.93,18.2,19.66,45614700.0,1,19.66
2001-07-13,19.26,19.9,19.1,19.54,31009700.0,1,19.54
2001-07-16,19.31,19.79,18.51,18.7,27119500.0,1,18.7
2001-07-17,18.52,19.58,18.46,19.5,30114100.0,1,19.5
2001-07-18,18.84,19.41,18.58,18.78,27427000.0,1,18.78
2001-07-19,19.04,19.69,18.57,19.17,32984700.0,1,19.17
2001-07-20,19.02,19.16,18.7,19.07,25359300.0,1,19.07
2001-07-23,19.13,19.3,18.1,18.13,25795800.0,1,18.13
2001-07-24,18.21,18.7,17.88,18.21,33028800.0,1,18.21
2001-07-25,18.39,19.34,18.31,19.26,36470800.0,1,19.26
2001-07-26,19.08,19.55,18.68,19.41,36148800.0,1,19.41
2001-07-27,19.14,20.0,18.75,19.06,28020000.0,1,19.06
2001-07-30,19.07,19.18,18.45,18.67,25210800.0,1,18.67
2001-07-31,18.6,18.96,18.04,18.08,43749700.0,1,18.08
2001-08-01,18.36,18.84,18.1,18.32,37145400.0,1,18.32
2001-08-02,18.67,18.85,17.98,18.31,33431000.0,1,18.31
2001-08-03,18.32,18.34,17.9,18.0,28608900.0,1,18.0
2001-08-06,17.68,18.01,17.31,17.46,24829900.0,1,17.46
2001-08-07,17.4,17.44,17.01,17.24,33877700.0,1,17.24
2001-08-08,17.04,17.6,16.15,16.3,47257900.0,1,16.3
2001-08-09,16.32,16.42,15.85,15.99,46391600.0,1,15.99
2001-08-10,15.78,15.92,15.0,15.16,61738800.0,1,15.16
2001-08-13,15.04,15.91,14.77,15.69,47255700.0,1,15.69
2001-08-14,15.93,16.32,15.46,15.55,37069400.0,1,15.55
2001-08-15,15.61,15.82,14.96,15.01,33463100.0,1,15.01
2001-08-16,14.82,15.35,14.67,15.31,38077500.0,1,15.31
2001-08-17,14.9,15.09,14.63,14.72,25901300.0,1,14.72
2001-08-20,14.7,14.92,14.42,14.81,25332300.0,1,14.81
2001-08-21,14.87,15.25,14.1,14.13,28536400.0,1,14.13
2001-08-22,14.38,14.78,14.02,14.64,28870500.0,1,14.64
2001-08-23,14.52,15.03,14.0,14.01,29312700.0,1,14.01
2001-08-24,14.41,15.29,14.11,15.19,33658100.0,1,15.19
2001-08-27,15.13,15.28,14.75,14.93,23745200.0,1,14.93
2001-08-28,14.94,15.0,13.98,14.01,36618900.0,1,14.01
2001-08-29,14.2,14.21,13.24,13.35,43939900.0,1,13.35
2001-08-30,13.08,13.4,11.82,12.0,76405700.0,1,12.0
2001-08-31,12.1,12.83,12.04,12.21,38723800.0,1,12.21
2001-09-04,12.53,13.03,12.01,12.08,45400800.0,1,12.08
2001-09-05,12.25,12.54,11.62,12.07,58220600.0,1,12.07
2001-09-06,11.82,12.05,10.85,10.92,74982200.0,1,10.92
2001-09-07,10.86,11.31,10.55,11.07,48172100.0,1,11.07
2001-09-10,10.89,11.52,10.85,11.46,53889500.0,1,11.46
2001-09-17,10.29,11.3,10.24,11.01,63861900.0,1,11.01
2001-09-18,10.95,11.63,10.7,11.38,77758800.0,1,11.38
2001-09-19,11.23,11.53,10.26,11.2,67253400.0,1,11.2
2001-09-20,10.79,11.54,10.74,11.31,57281700.0,1,11.31
2001-09-21,10.19,11.15,10.16,10.76,80169100.0,1,10.76
2001-09-24,11.3,12.74,11.25,12.52,76525500.0,1,12.52
2001-09-25,12.66,13.06,12.15,12.25,57355300.0,1,12.25
2001-09-26,12.49,12.54,11.92,12.2,39057600.0,1,12.2
2001-09-27,11.97,12.32,11.77,12.04,41609600.0,1,12.04
2001-09-28,12.17,12.74,12.07,12.58,44276500.0,1,12.58
2001-10-01,12.47,12.7,12.18,12.58,30206800.0,1,12.58
2001-10-02,12.52,12.84,12.34,12.6,42296100.0,1,12.6
