date,open,high,low,close,volume,bar_count,vwap
2020-09-30,10.0,11.42,9.11,9.5,325542765.0,486416,10.32226
2020-10-01,9.69,10.1,9.23,9.46,111240354.0,218022,9.5726
2020-10-02,9.06,9.28,8.94,9.2,50744458.0,106666,9.1307
2020-10-05,9.43,9.49,8.92,9.03,33619001.0,72246,9.09707
2020-10-06,9.04,10.18,8.9,9.9,74241335.0,174020,9.64315
2020-10-07,10.04,10.49,9.99,10.0,51087841.0,120324,10.25825
2020-10-08,10.29,10.4,9.99,10.0,32119219.0,72512,10.19648
2020-10-09,10.13,10.19,9.89,9.95,17720447.0,34014,10.01725
2020-10-12,10.04,10.05,9.66,9.89,19052907.0,37438,9.93336
2020-10-13,9.87,9.88,9.41,9.47,20479266.0,46561,9.5584
2020-10-14,9.6,9.66,9.29,9.34,12347601.0,30591,9.43687
2020-10-15,9.27,9.91,9.18,9.91,11557688.0,23617,9.53018
2020-10-16,9.94,9.95,9.66,9.71,9999879.0,24616,9.75902
2020-10-19,9.79,9.82,9.53,9.57,8319102.0,22127,9.63785
2020-10-20,9.6,9.66,9.27,9.27,9844017.0,20259,9.42966
2020-10-21,9.3,9.48,9.2,9.2,8444994.0,21338,9.29418
2020-10-22,9.37,9.75,9.22,9.68,16452420.0,43215,9.55873
2020-10-23,9.71,9.83,9.47,9.49,11687738.0,29559,9.61076
2020-10-26,9.72,9.97,9.6,9.95,21743057.0,49398,9.79934
2020-10-27,10.0,11.04,9.92,10.95,50881550.0,105060,10.57395
2020-10-28,10.66,10.985,10.1,10.85,27826931.0,57345,10.5936
2020-10-29,10.9,11.1,10.56,10.75,18900011.0,41478,10.89222
2020-10-30,10.61,10.68,9.85,10.13,18214820.0,39373,10.19432
2020-11-02,10.23,10.56,10.23,10.54,10774193.0,25047,10.4206
2020-11-03,10.57,10.94,10.44,10.5,20461247.0,52518,10.68966
2020-11-04,10.82,10.92,10.55,10.72,14282332.0,36075,10.75091
2020-11-05,10.9,12.13,10.85,11.88,45879177.0,104313,11.69823
2020-11-06,12.22,14.96,12.05,13.83,84140298.0,213568,13.85116
2020-11-09,14.96,15.9,14.11,14.67,53125337.0,124328,15.08536
2020-11-10,14.99,15.01,13.18,14.0,35131096.0,72203,13.95732
2020-11-11,14.57,15.97,14.4,15.96,41979459.0,93081,15.20733
2020-11-12,16.66,17.06,14.41,14.58,80847989.0,189161,15.28262
