date,open,high,low,close,volume,bar_count,vwap
2022-03-02,8.2,8.2,7.0,7.515,19876.0,41,7.43378
2022-03-03,7.6,8.05,7.6,7.83,17346.0,44,7.85158
2022-03-04,8.023,8.023,7.81,7.85,12767.0,29,7.87657
2022-03-07,8.21,8.72,7.8052,8.52,57870.0,137,8.3769
2022-03-08,8.9,8.9,8.21,8.415,22123.0,58,8.40892
2022-03-09,8.68,8.99,8.44,8.832,33656.0,65,8.7087
2022-03-10,8.88,9.39,8.6,9.254,35269.0,90,8.91832
2022-03-11,9.5,10.1,9.5,9.7933,75808.0,192,9.87798
2022-03-14,11.0,11.0,8.65,8.85,89038.0,319,9.70165
2022-03-15,8.85,8.85,7.75,8.13,74159.0,340,8.12495
2022-03-16,8.06,8.65,7.93,8.09,29871.0,138,8.22006
2022-03-17,8.1,8.16,7.86,8.1,24941.0,86,7.99512
2022-03-18,8.1,8.2,7.88,8.0,50179.0,205,7.99043
2022-03-21,8.0,8.0,7.48,7.48,22717.0,127,7.66057
2022-03-22,7.4,7.85,7.28,7.58,23009.0,101,7.62281
2022-03-23,7.6,7.83,7.38,7.5,26867.0,133,7.56541
2022-03-24,7.74,7.74,7.2,7.28,93195.0,443,7.38337
2022-03-25,7.58,7.6,7.19,7.51,32278.0,158,7.40512
2022-03-28,7.23,7.36,6.9,7.01,41710.0,245,7.09845
2022-03-29,6.9,7.35,6.86,7.2,38673.0,168,7.15425
2022-03-30,7.2,7.33,6.98,7.135,69830.0,245,7.14087
2022-03-31,7.2,7.83,7.2,7.26,93039.0,319,7.37489
2022-04-01,7.2,7.25,6.86,6.9,27392.0,123,7.03066
2022-04-04,6.82,7.02,6.66,6.91,29062.0,127,6.90847
2022-04-05,6.92,7.0,6.86,6.87,7145.0,35,6.94081
2022-04-06,6.89,7.0,6.81,6.98,8942.0,57,6.92176
2022-04-07,6.77,7.0,6.6,6.89,19371.0,82,6.79587
2022-04-08,6.91,6.93,6.67,6.79,5491.0,28,6.7321
2022-04-11,6.78,6.79,6.61,6.66,7860.0,27,6.6618
2022-04-12,6.7,6.7,6.08,6.35,42075.0,129,6.39925
2022-04-13,6.4,6.51,6.24,6.3,15077.0,56,6.3919
2022-04-14,6.25,6.25,5.84,6.03,29956.0,137,6.04782
2022-04-18,6.12,6.39,5.88,5.99,25742.0,100,6.17443
2022-04-19,6.14,6.25,6.0,6.12,20237.0,88,6.12249
2022-04-20,6.07,6.45,6.06,6.36,14227.0,59,6.27151
2022-04-21,6.33,6.35,6.14,6.14,17949.0,72,6.19092
2022-04-22,6.14,6.41,6.14,6.33,6925.0,37,6.29517
2022-04-25,6.45,7.38,6.27,7.16,96957.0,359,6.92879
2022-04-26,7.2,7.2,6.68,7.08,32124.0,129,6.89305
2022-04-27,7.01,7.12,6.36,6.46,34311.0,184,6.73822
2022-04-28,6.6,6.77,6.28,6.53,8984.0,50,6.3611
2022-04-29,6.44,6.72,6.42,6.56,13920.0,79,6.50939
2022-05-02,6.5,6.5,6.28,6.33,18455.0,72,6.33173
2022-05-03,6.28,6.51,6.28,6.42,8911.0,46,6.3689
2022-05-04,6.4,6.61,6.4,6.56,21702.0,35,6.48397
2022-05-05,6.61,6.71,6.56,6.6,10270.0,57,6.59776
2022-05-06,6.5,6.61,6.32,6.32,6640.0,37,6.44303
2022-05-09,6.3,6.31,5.93,6.04,17564.0,91,6.1662
2022-05-10,6.38,6.38,5.95,6.09,11430.0,55,6.10567
2022-05-11,5.96,6.19,5.82,5.82,29373.0,124,6.03021
2022-05-12,5.82,5.82,5.48,5.48,26301.0,126,5.60576
2022-05-13,5.4,5.97,5.34,5.97,16652.0,82,5.67348
2022-05-16,6.25,6.25,5.86,6.0,5013.0,25,5.98443
2022-05-17,6.0,6.19,5.87,6.19,7911.0,46,5.99037
2022-05-18,5.99,6.1,5.97,5.98,5067.0,23,6.01657
2022-05-19,5.85,6.17,5.85,6.13,15171.0,53,6.06322
2022-05-20,5.96,6.19,5.96,6.03,8334.0,67,6.05453
2022-05-23,6.1,6.19,6.0,6.05,3101.0,27,6.06752
2022-05-24,6.04,6.04,5.64,5.67,7582.0,31,5.77074
2022-05-25,5.96,5.96,5.67,5.72,29645.0,99,5.78623
2022-05-26,5.77,5.79,5.6,5.67,11611.0,60,5.7153
2022-05-27,5.7,5.75,5.57,5.645,13025.0,57,5.639
2022-05-31,5.55,5.69,5.54,5.69,9193.0,45,5.65599
2022-06-01,5.63,5.66,5.33,5.42,14065.0,55,5.49233
2022-06-02,5.91,5.91,5.31,5.505,14064.0,48,5.49752
2022-06-03,5.51,5.54,5.34,5.395,6765.0,41,5.40623
2022-06-06,5.41,5.5,5.28,5.28,10843.0,45,5.34527
2022-06-07,5.35,5.37,5.28,5.35,11274.0,42,5.3485
2022-06-08,5.4,5.41,5.29,5.36,18412.0,61,5.34476
2022-06-09,5.35,5.7,5.28,5.63,12182.0,48,5.53477
2022-06-10,5.63,5.69,5.37,5.52,11926.0,52,5.54012
2022-06-13,5.66,5.66,4.81,5.12,41878.0,240,5.08555
2022-06-14,5.12,5.29,4.81,4.97,23438.0,86,5.01706
2022-06-15,5.05,5.44,4.95,5.1,44259.0,200,5.17426
2022-06-16,5.1,5.21,5.01,5.15,32581.0,107,5.09751
2022-06-17,5.14,5.2,5.07,5.19,13301.0,76,5.15921
2022-06-21,5.3,5.3,5.1,5.14,7132.0,49,5.17383
2022-06-22,5.13,5.18,5.04,5.07,2391.0,13,5.09527
2022-06-23,5.05,5.11,4.99,5.0,8273.0,23,5.03884
2022-06-24,5.0,5.38,5.0,5.26,8588.0,27,5.17707
2022-06-27,5.26,5.28,5.15,5.28,7537.0,25,5.25134
2022-06-28,5.24,5.25,5.0,5.085,3700.0,11,5.15901
2022-06-29,5.25,5.37,5.2,5.2,5346.0,23,5.27831
2022-06-30,5.22,5.34,5.14,5.22,1975.0,17,5.23464
2022-07-01,5.39,5.39,5.22,5.225,2798.0,9,5.30474
2022-07-05,5.23,5.23,5.1,5.18,5674.0,23,5.19974
2022-07-06,5.38,5.38,5.11,5.22,25408.0,80,5.21751
2022-07-07,5.21,5.35,5.19,5.27,5096.0,23,5.20969
2022-07-08,5.32,5.33,5.15,5.16,7930.0,27,5.23413
2022-07-11,5.12,5.14,4.76,5.0,44390.0,183,4.96471
