date,open,high,low,close,volume,bar_count,vwap
2005-12-19,10.0,10.0,9.89,9.89,1857000.0,1,9.894
2005-12-20,9.93,9.95,9.91,9.92,88000.0,1,9.92
2005-12-21,10.0,10.0,9.93,9.95,90000.0,1,9.948
2005-12-22,9.99,10.0,9.95,10.0,891000.0,1,9.996
2005-12-23,10.0,10.0,9.98,10.0,77500.0,1,9.998
2005-12-27,10.03,10.03,9.91,9.92,262500.0,1,9.916
2005-12-28,9.93,9.94,9.91,9.93,752000.0,1,9.926
2005-12-29,9.94,9.94,9.91,9.91,362500.0,1,9.908
2005-12-30,9.86,9.88,9.85,9.86,242500.0,1,9.86
2006-01-03,9.86,10.01,9.83,10.01,84500.0,1,10.006
2006-01-04,10.01,10.05,10.0,10.04,145500.0,1,10.038
2006-01-05,10.05,10.06,10.03,10.05,106500.0,1,10.048
2006-01-06,10.09,10.14,10.06,10.13,99000.0,1,10.132
2006-01-09,10.17,10.27,10.16,10.18,258500.0,1,10.184
2006-01-10,10.16,10.18,10.14,10.18,121000.0,1,10.178
2006-01-11,10.19,10.22,10.18,10.21,61500.0,1,10.214
2006-01-12,10.19,10.2,10.17,10.17,39000.0,1,10.172
2006-01-13,10.17,10.17,10.14,10.15,75500.0,1,10.152
2006-01-17,10.11,10.12,10.07,10.11,239500.0,1,10.108
2006-01-18,10.09,10.1,10.03,10.08,207500.0,1,10.082
2006-01-19,10.12,10.15,10.09,10.13,190000.0,1,10.128
2006-01-20,10.12,10.12,9.96,9.96,306000.0,1,9.964
2006-01-23,10.0,10.03,9.98,9.99,563000.0,1,9.992
2006-01-24,10.02,10.06,10.01,10.04,365000.0,1,10.04
2006-01-25,10.09,10.09,10.01,10.04,369000.0,1,10.04
2006-01-26,10.1,10.12,10.07,10.12,77500.0,1,10.12
2006-01-27,10.13,10.2,10.12,10.19,727500.0,1,10.19
2006-01-30,10.2,10.21,10.18,10.2,190500.0,1,10.198
2006-01-31,10.18,10.2,10.15,10.17,169000.0,1,10.17
2006-02-01,10.15,10.18,10.14,10.18,115000.0,1,10.176
2006-02-02,10.17,10.17,10.07,10.1,146500.0,1,10.096
2006-02-03,10.05,10.1,10.02,10.05,185500.0,1,10.05
2006-02-06,10.06,10.07,10.03,10.07,129500.0,1,10.066
2006-02-07,10.06,10.06,9.98,10.0,144500.0,1,10.0
2006-02-08,10.01,10.08,10.0,10.08,214000.0,1,10.084
2006-02-09,10.08,10.12,10.07,10.07,92000.0,1,10.07
2006-02-10,10.06,10.09,9.99,10.08,180000.0,1,10.084
2006-02-13,10.08,10.08,10.02,10.04,125500.0,1,10.038
2006-02-14,10.05,10.16,10.04,10.16,120500.0,1,10.16
2006-02-15,10.16,10.26,10.15,10.26,215000.0,1,10.264
2006-02-16,10.22,10.27,10.2,10.27,134500.0,1,10.272
2006-02-17,10.28,10.28,10.24,10.26,122000.0,1,10.258
2006-02-21,10.29,10.29,10.22,10.23,238000.0,1,10.234
2006-02-22,10.24,10.31,10.24,10.31,44000.0,1,10.308
2006-02-23,10.3,10.31,10.26,10.28,87500.0,1,10.276
