date,open,high,low,close,volume,bar_count,vwap
2020-12-11,7.0489,7.4959,6.877,6.9801,163102.827945,392,6.99248280590565
2020-12-14,7.2827,7.2827,6.9801,6.987,510307.618488,2046,7.035807591190077
2020-12-15,7.0489,7.0833,6.9251,6.9526,252236.818446,804,6.982167380837929
2020-12-16,6.987,7.0489,6.9457,6.9732,505168.712466,378,7.0041736209824
2020-12-17,6.987,7.0695,6.987,7.0145,157593.118008,613,7.045435321253283
2020-12-18,7.1108,7.1589,7.0145,7.0351,126073.3311,256,7.079820071479019
2020-12-21,7.0764,7.152,7.0489,7.0833,225949.002072,686,7.083946241506107
2020-12-22,7.2208,7.2896,7.0626,7.097,176547.741663,672,7.129334111804078
2020-12-23,7.1795,7.2346,7.0833,7.1314,306246.226332,840,7.121769466754417
2020-12-24,7.2552,7.2964,7.152,7.2208,278286.157008,906,7.205668257305212
2020-12-28,7.4615,7.6128,7.1864,7.2896,810860.914125,2250,7.339081088181067
2020-12-29,7.3583,7.3652,7.1727,7.2552,619481.015862,2304,7.224236022427109
2020-12-30,7.2896,7.2964,7.0833,7.152,440536.863015,1244,7.155466521975638
2020-12-31,7.1727,7.2208,7.0901,7.1589,220956.963483,717,7.157529606989182
2021-01-04,7.1864,7.2827,7.1314,7.207,389504.06538,1158,7.193977442228462
2021-01-05,7.2208,7.2208,7.1176,7.1727,375278.282241,998,7.160280387007241
2021-01-06,7.152,7.1727,7.0489,7.0558,302167.383267,762,7.120394076745387
2021-01-07,7.0558,7.1383,7.0558,7.1245,249876.760587,585,7.102514006628004
2021-01-08,7.1658,7.2483,7.1039,7.152,329404.74849,941,7.167845032056903
2021-01-11,7.1658,7.2346,7.152,7.2208,285379.417782,587,7.202917477287153
2021-01-12,7.3102,7.3927,7.2139,7.2346,546120.006012,1043,7.286128572833434
2021-01-13,7.3446,7.3721,7.3033,7.3583,414038.197356,911,7.341831868199126
2021-01-14,7.4615,7.5578,7.3996,7.4752,949199.85708,1885,7.493124769192364
2021-01-15,7.5784,7.5922,7.3308,7.379,565835.141226,1239,7.382405873465495
2021-01-19,7.4271,7.4546,7.3033,7.3583,294834.190548,936,7.360399633321024
2021-01-20,7.3583,7.3652,7.2552,7.3583,446174.536656,1304,7.339768783185582
2021-01-21,7.3927,7.4546,7.2896,7.4546,876414.683898,1723,7.371402753393259
