date,open,high,low,close,volume,bar_count,vwap
2001-05-18,47.64,48.38,47.09,48.04,41095100.0,1,48.04
2001-05-21,48.17,51.15,47.65,51.05,85426900.0,1,51.05
2001-05-22,51.31,51.95,50.18,50.9,77237400.0,1,50.9
2001-05-23,50.45,50.45,48.64,48.65,65618000.0,1,48.65
2001-05-24,48.97,49.99,48.27,49.9,61792800.0,1,49.9
2001-05-25,49.96,50.02,48.02,48.99,36191100.0,1,48.99
2001-05-29,48.5,48.5,46.1,46.12,66609600.0,1,46.12
2001-05-30,45.44,45.85,44.08,44.43,81397400.0,1,44.43
2001-05-31,44.54,45.85,44.3,44.73,68018300.0,1,44.73
2001-06-01,45.54,46.23,44.33,46.05,61874300.0,1,46.05
2001-06-04,46.34,46.9,45.29,45.83,41696100.0,1,45.83
2001-06-05,46.3,48.36,46.2,47.85,68147500.0,1,47.85
2001-06-06,48.08,48.89,47.07,47.48,61170400.0,1,47.48
2001-06-07,47.14,49.49,47.08,48.7,65400200.0,1,48.7
2001-06-08,48.72,48.77,46.95,47.35,56391400.0,1,47.35
2001-06-11,46.9,47.76,45.49,46.05,48874400.0,1,46.05
2001-06-12,44.87,46.8,44.23,45.8,78450500.0,1,45.8
2001-06-13,46.27,46.75,44.52,44.55,68535400.0,1,44.55
2001-06-14,44.02,44.4,42.0,42.25,91050300.0,1,42.25
2001-06-15,41.8,43.1,41.28,42.6,84589400.0,1,42.6
2001-06-18,42.64,43.17,41.4,42.03,63539100.0,1,42.03
2001-06-19,43.32,43.56,41.26,41.82,73386900.0,1,41.82
2001-06-20,41.3,42.97,41.28,42.77,83591600.0,1,42.77
2001-06-21,42.67,44.23,42.3,43.35,67212600.0,1,43.35
2001-06-22,43.62,44.2,42.59,43.25,51870400.0,1,43.25
2001-06-25,43.61,43.8,42.65,43.36,39212100.0,1,43.36
2001-06-26,42.54,43.89,42.48,43.51,55155100.0,1,43.51
2001-06-27,43.68,44.15,43.0,43.79,53289400.0,1,43.79
2001-06-28,44.4,46.36,44.35,44.35,89985900.0,1,44.35
2001-06-29,45.09,46.52,44.7,45.7,59719600.0,1,45.7
2001-07-02,45.65,46.48,45.19,45.45,50884300.0,1,45.45
2001-07-03,45.25,45.69,44.8,45.64,24758400.0,1,45.64
2001-07-05,44.87,45.19,43.45,43.45,44409800.0,1,43.45
2001-07-06,43.01,43.11,41.49,41.65,53437400.0,1,41.65
2001-07-09,41.9,42.69,41.5,42.01,45547500.0,1,42.01
2001-07-10,42.76,42.88,40.4,40.5,58620000.0,1,40.5
2001-07-11,40.42,41.1,39.87,41.0,77843600.0,1,41.0
2001-07-12,42.63,43.83,42.3,43.6,70367600.0,1,43.6
2001-07-13,43.38,44.43,42.9,43.15,62477800.0,1,43.15
2001-07-16,43.37,43.86,41.9,42.35,53390800.0,1,42.35
2001-07-17,41.83,43.4,41.54,43.3,59813000.0,1,43.3
2001-07-18,42.28,42.85,41.14,41.65,64797200.0,1,41.65
2001-07-19,42.46,43.35,41.75,42.64,76590200.0,1,42.64
2001-07-20,41.49,42.14,41.36,41.65,49012800.0,1,41.65
2001-07-23,42.24,42.4,40.55,40.61,55330500.0,1,40.61
2001-07-24,40.38,40.9,39.31,40.15,70428900.0,1,40.15
2001-07-25,40.14,40.72,39.4,40.5,68860900.0,1,40.5
2001-07-26,40.45,41.89,39.98,41.1,69221800.0,1,41.1
2001-07-27,41.64,42.26,40.9,41.95,47486200.0,1,41.95
2001-07-30,42.13,42.3,41.4,41.7,39459400.0,1,41.7
2001-07-31,41.84,42.78,41.5,41.76,55732500.0,1,41.76
2001-08-01,42.64,43.5,42.41,43.1,53861000.0,1,43.1
2001-08-02,43.8,44.0,42.82,43.91,53187300.0,1,43.91
2001-08-03,43.53,43.53,42.56,43.18,51513700.0,1,43.18
2001-08-06,42.54,42.85,42.35,42.5,31105700.0,1,42.5
2001-08-07,42.1,42.82,41.94,42.28,38407500.0,1,42.28
2001-08-08,41.85,42.65,40.3,40.5,76070200.0,1,40.5
2001-08-09,40.41,40.88,39.98,40.67,66861400.0,1,40.67
2001-08-10,40.43,40.75,39.23,40.28,68491900.0,1,40.28
2001-08-13,40.59,41.34,40.2,41.1,48425700.0,1,41.1
2001-08-14,41.49,41.7,40.54,40.6,51267600.0,1,40.6
2001-08-15,40.62,40.93,39.07,39.1,58811300.0,1,39.1
2001-08-16,38.65,39.59,38.04,39.56,68227300.0,1,39.56
2001-08-17,38.44,38.8,37.71,37.76,56649300.0,1,37.76
2001-08-20,37.85,38.65,37.52,38.28,49921300.0,1,38.28
2001-08-21,38.29,38.65,36.65,36.69,56170200.0,1,36.69
2001-08-22,37.45,37.84,36.54,37.69,65235400.0,1,37.69
2001-08-23,37.68,38.46,37.3,37.32,52914500.0,1,37.32
2001-08-24,37.86,39.39,37.75,39.3,58450700.0,1,39.3
2001-08-27,39.28,39.9,38.83,39.35,50822500.0,1,39.35
2001-08-28,39.32,39.44,38.01,38.12,65275500.0,1,38.12
2001-08-29,38.37,38.45,37.13,37.56,59060500.0,1,37.56
2001-08-30,36.8,37.31,35.75,36.17,65844000.0,1,36.17
2001-08-31,36.04,37.03,35.94,36.63,54301000.0,1,36.63
2001-09-04,36.52,37.5,35.35,35.47,74032600.0,1,35.47
2001-09-05,35.49,35.91,34.15,35.33,94906200.0,1,35.33
2001-09-06,34.74,35.52,33.78,33.9,87705400.0,1,33.9
2001-09-07,33.62,35.1,33.35,33.7,95525000.0,1,33.7
2001-09-10,33.49,34.32,33.34,34.1,80371300.0,1,34.1
2001-09-17,31.25,32.8,31.09,31.2,97086700.0,1,31.2
2001-09-18,31.53,32.5,30.37,30.5,65944800.0,1,30.5
2001-09-19,30.64,31.0,28.26,29.97,116615300.0,1,29.97
2001-09-20,29.3,30.09,28.8,28.97,90688400.0,1,28.97
2001-09-21,27.41,28.97,27.2,28.19,112115900.0,1,28.19
2001-09-24,29.08,30.0,28.59,29.61,85686500.0,1,29.61
2001-09-25,29.71,30.43,28.95,29.7,83803900.0,1,29.7
2001-09-26,29.95,30.0,28.41,28.67,59257500.0,1,28.67
2001-09-27,28.4,28.79,27.42,28.48,70050700.0,1,28.48
2001-09-28,28.84,29.92,28.31,28.98,84810800.0,1,28.98
2001-10-01,28.85,28.98,27.85,28.73,53462000.0,1,28.73
2001-10-02,28.65,29.41,28.4,28.82,74183400.0,1,28.82
2001-10-03,28.43,31.61,28.33,31.0,136224000.0,1,31.0
2001-10-04,31.65,33.2,30.94,31.3,127398200.0,1,31.3
2001-10-05,31.0,31.9,30.26,31.76,96562600.0,1,31.76
2001-10-08,31.13,32.35,30.96,31.86,67789600.0,1,31.86
2001-10-09,31.86,32.02,30.87,31.09,57464200.0,1,31.09
2001-10-10,30.87,32.54,30.75,32.5,73844600.0,1,32.5
2001-10-11,33.19,35.25,33.14,34.7,117265300.0,1,34.7
2001-10-12,34.33,34.8,33.14,34.55,111902800.0,1,34.55
