date,open,high,low,close,volume,bar_count,vwap
2022-03-02,9.75,11.37,8.84,9.43,344288.0,1468,10.17873
2022-03-03,10.0,10.0,8.24,8.27,531624.0,2015,8.79033
2022-03-04,8.44,8.75,7.43,7.45,526159.0,1903,8.00873
2022-03-07,7.5,7.5,6.69,6.87,453450.0,1725,6.92823
2022-03-08,6.94,7.64,6.71,6.82,458906.0,1818,6.95282
2022-03-09,7.76,7.88,7.3,7.62,438220.0,1563,7.50701
2022-03-10,7.8,8.24,7.25,7.39,384378.0,1631,7.76951
2022-03-11,7.56,7.75,6.53,6.94,461433.0,2317,6.87858
2022-03-14,7.0,7.15,6.25,6.35,190896.0,682,6.65275
2022-03-15,6.46,6.69,5.91,5.92,437289.0,1946,6.26793
2022-03-16,6.0,6.32,6.0,6.28,321633.0,1526,6.11867
2022-03-17,6.24,6.72,6.13,6.63,254761.0,1147,6.47352
2022-03-18,6.74,6.86,6.5,6.83,321226.0,1406,6.66651
2022-03-21,7.07,7.1,6.12,6.37,339069.0,1605,6.543
2022-03-22,6.52,6.9,6.51,6.75,284496.0,1244,6.73724
2022-03-23,6.68,7.86,6.62,7.14,582719.0,2647,7.16732
2022-03-24,7.23,8.01,7.19,7.63,411687.0,2249,7.61058
2022-03-25,7.77,7.85,7.03,7.31,299913.0,1233,7.42671
2022-03-28,7.29,7.36,6.85,6.93,296657.0,1377,7.01488
2022-03-29,7.06,7.06,6.57,6.79,218884.0,834,6.74041
2022-03-30,6.8,6.98,6.61,6.67,149923.0,767,6.80834
2022-03-31,6.84,6.86,6.25,6.3,173696.0,967,6.50901
2022-04-01,6.56,6.56,6.15,6.22,219296.0,1080,6.24004
2022-04-04,6.3,6.53,6.22,6.52,145630.0,745,6.39856
2022-04-05,6.43,6.43,5.94,5.96,312603.0,1268,6.08364
2022-04-06,5.9,5.99,5.61,5.83,355171.0,1175,5.77243
2022-04-07,6.0,6.51,5.97,6.22,313277.0,1346,6.22663
