date,open,high,low,close,volume,bar_count,vwap
2020-11-17,9.6,9.6,9.6,9.6,0.0,0,9.6
2020-11-18,9.6,9.6,9.6,9.6,0.0,0,9.6
2020-11-19,7.64,7.64,7.64,7.64,0.0,0,7.64
2020-11-20,9.65,9.65,9.65,9.65,0.0,0,9.65
2020-11-23,9.7,9.7,9.7,9.7,0.0,0,9.7
2020-11-24,9.75,9.75,9.74,9.75,900.0,2,9.747
2020-11-25,9.75,9.75,9.74,9.75,0.0,0,9.75
2020-11-27,9.8,9.82,9.8,9.82,4500.0,3,9.802
2020-11-30,9.82,10.8,9.72,9.95,52749.0,39,9.858
2020-12-01,9.87,9.97,9.87,9.97,1800.0,12,9.953
2020-12-02,10.11,10.11,9.97,10.05,78500.0,30,10.055
2020-12-03,10.05,10.05,10.05,10.05,1100.0,4,10.05
2020-12-04,10.04,10.19,9.99,10.06,77986.0,248,10.045
2020-12-07,10.1,10.25,10.05,10.2,186030.0,105,10.185
2020-12-08,10.12,10.2,9.9,10.19,14097.0,21,10.148
2020-12-09,10.21,11.39,10.2,10.3,209488.0,824,10.383
2020-12-10,10.18,10.25,10.16,10.25,267200.0,716,10.21
2020-12-11,10.35,11.04,10.13,10.35,252748.0,420,10.343
2020-12-14,10.49,11.04,10.14,10.3,61006.0,460,10.441
2020-12-15,10.22,10.46,10.0,10.34,100854.0,227,10.249
2020-12-16,10.5,10.57,10.25,10.44,3548.0,28,10.282
2020-12-17,10.28,10.5,10.2,10.3,7540.0,30,10.272
2020-12-18,10.2,10.34,10.15,10.34,27813.0,61,10.215
2020-12-21,10.2,10.33,10.2,10.23,410545.0,93,10.201
2020-12-22,10.25,10.28,10.15,10.24,41494.0,144,10.206
2020-12-23,10.1,10.33,10.1,10.25,66554.0,218,10.292
2020-12-24,10.35,10.5,10.28,10.3,2800.0,14,10.377
2020-12-28,10.41,10.46,10.32,10.32,262167.0,953,10.433
2020-12-29,10.38,10.61,9.97,10.29,70224.0,358,10.302
2020-12-30,10.44,10.69,10.29,10.42,127746.0,74,10.487
2020-12-31,10.68,10.68,10.11,10.11,96333.0,247,10.437
2021-01-04,10.3,10.65,10.22,10.3,56061.0,57,10.363
2021-01-05,10.44,10.6,10.35,10.35,14293.0,65,10.408
2021-01-06,10.45,10.45,10.22,10.38,6075.0,24,10.366
2021-01-07,10.42,10.42,10.37,10.41,500.0,4,10.407
2021-01-08,10.35,10.42,10.3,10.42,3676.0,16,10.352
2021-01-11,10.45,10.45,10.3,10.4,2894.0,20,10.392
2021-01-12,10.48,10.67,10.27,10.31,197619.0,314,10.416
2021-01-13,10.6,10.6,10.27,10.52,418221.0,136,10.457
2021-01-14,10.33,10.6,10.31,10.5,155765.0,156,10.51
2021-01-15,10.45,10.48,10.25,10.35,541844.0,961,10.379
2021-01-19,10.49,10.49,10.33,10.4,331182.0,549,10.368
2021-01-20,10.33,10.49,10.33,10.43,53482.0,178,10.468
2021-01-21,10.49,10.59,10.34,10.42,16342.0,74,10.462
2021-01-22,10.51,10.68,10.46,10.5,74654.0,267,10.525
2021-01-25,10.59,10.72,10.43,10.46,91041.0,419,10.481
2021-01-26,10.47,10.57,10.35,10.45,273571.0,573,10.415
2021-01-27,10.3,10.38,10.2,10.3,315554.0,1070,10.255
2021-01-28,10.4,10.42,10.3,10.39,315338.0,235,10.357
2021-01-29,10.35,10.39,10.3,10.38,54972.0,150,10.314
2021-02-01,10.38,10.44,10.32,10.35,47694.0,109,10.373
2021-02-02,10.37,10.5,10.36,10.5,48913.0,191,10.454
2021-02-03,10.51,10.63,10.46,10.62,67139.0,452,10.553
2021-02-04,10.59,10.75,10.45,10.51,59117.0,385,10.529
2021-02-05,10.47,10.54,10.46,10.52,46049.0,274,10.489
2021-02-08,10.51,10.53,10.45,10.45,63138.0,316,10.481
2021-02-09,10.5,10.5,10.37,10.39,47699.0,146,10.421
2021-02-10,10.45,10.45,10.35,10.43,78811.0,391,10.424
2021-02-11,10.45,11.21,10.4,10.52,362960.0,1051,10.595
2021-02-12,10.5,10.56,10.41,10.46,279537.0,684,10.52
2021-02-16,10.49,10.55,10.41,10.48,103807.0,489,10.487
2021-02-17,10.6,10.8,10.5,10.76,184197.0,780,10.7
2021-02-18,10.75,10.99,10.63,10.98,278913.0,1329,10.821
2021-02-19,10.75,10.98,10.73,10.8,158300.0,613,10.805
2021-02-22,10.75,10.79,10.6,10.7,208898.0,809,10.726
2021-02-23,10.56,10.56,10.05,10.45,146086.0,757,10.403
2021-02-24,10.45,10.66,10.33,10.44,90264.0,314,10.445
2021-02-25,10.51,10.58,10.2,10.32,102232.0,430,10.349
2021-02-26,10.41,10.52,10.22,10.25,90508.0,340,10.288
2021-03-01,13.38,15.15,12.71,13.95,29768129.0,109345,13.786
2021-03-02,14.5,15.15,13.01,13.14,9166725.0,34514,14.11
2021-03-03,13.8,14.1,12.5,12.59,4328135.0,14153,13.302
2021-03-04,12.5,12.63,11.06,11.33,6206117.0,19018,11.631
2021-03-05,12.2,12.55,11.3,12.5,3256302.0,10967,11.935
2021-03-08,13.03,13.2,11.91,12.0,2090175.0,7148,12.597
2021-03-09,12.5,12.7,12.06,12.29,1493187.0,4855,12.369
2021-03-10,12.55,12.96,11.8,12.41,1808702.0,5968,12.225
2021-03-11,12.81,12.81,12.12,12.41,1744321.0,4872,12.465
2021-03-12,12.3,12.45,12.04,12.22,1064311.0,3823,12.223
2021-03-15,12.44,12.58,12.08,12.31,936050.0,3338,12.336
2021-03-16,12.35,12.4,11.55,11.87,1348468.0,3824,11.999
2021-03-17,11.7,12.18,11.5,11.99,1070386.0,3317,11.933
2021-03-18,11.85,12.04,11.31,11.47,1256555.0,3972,11.64
2021-03-19,11.51,12.06,11.29,11.6,723001.0,2404,11.641
2021-03-22,12.25,13.17,12.01,12.51,2124261.0,8254,12.601
2021-03-23,12.77,12.95,11.91,12.08,1656164.0,5200,12.358
2021-03-24,12.35,12.39,11.3,11.35,1715298.0,6158,11.698
2021-03-25,11.13,11.89,10.8,11.89,2758613.0,9707,11.126
2021-03-26,12.18,12.19,11.36,11.68,1069201.0,3468,11.741
2021-03-29,12.1,12.6,11.71,11.85,1377517.0,4356,11.981
2021-03-30,11.71,11.79,11.35,11.4,828477.0,2654,11.544
2021-03-31,11.47,11.87,11.44,11.84,665323.0,2702,11.636
2021-04-01,11.95,12.0,11.23,11.48,1005259.0,4048,11.504
2021-04-05,11.79,11.79,10.92,11.03,1287174.0,3840,11.131
2021-04-06,11.09,11.09,10.89,10.99,631665.0,2358,11.003
2021-04-07,11.0,11.32,10.6,10.78,1107955.0,3885,10.952
2021-04-08,10.79,11.13,10.68,11.11,923619.0,2751,10.903
2021-04-09,11.15,11.25,10.9,11.1,704820.0,2333,11.036
2021-04-12,11.0,11.16,10.7,10.84,594910.0,1906,10.864
2021-04-13,10.79,10.87,10.6,10.81,627884.0,1737,10.735
2021-04-14,11.21,11.21,10.64,10.74,658243.0,1664,10.893
2021-04-15,10.86,10.86,10.5,10.53,892897.0,2804,10.553
2021-04-16,10.55,11.11,10.26,10.9,964232.0,2871,10.599
2021-04-19,11.06,11.06,10.4,10.74,816662.0,2374,10.603
2021-04-20,10.49,10.79,10.27,10.55,806192.0,2406,10.438
2021-04-21,10.5,10.79,10.37,10.55,303612.0,1107,10.566
2021-04-22,10.65,10.69,10.45,10.56,549104.0,2457,10.548
2021-04-23,10.69,10.85,10.49,10.75,633640.0,1990,10.665
2021-04-26,10.67,10.8,10.65,10.7,485524.0,1651,10.706
2021-04-27,10.75,10.82,10.61,10.68,275399.0,796,10.69
2021-04-28,10.7,10.71,10.5,10.52,501817.0,1697,10.606
2021-04-29,10.68,10.7,10.47,10.49,457151.0,1064,10.525
2021-04-30,10.51,10.54,10.43,10.46,192156.0,815,10.487
2021-05-03,10.56,10.64,10.39,10.47,318968.0,1364,10.471
2021-05-04,10.51,10.51,10.2,10.35,828326.0,2518,10.311
2021-05-05,10.46,10.47,10.18,10.27,646186.0,1988,10.258
2021-05-06,10.25,10.27,10.08,10.14,954439.0,2904,10.144
2021-05-07,10.1,10.13,9.95,9.99,1962098.0,4432,10.031
2021-05-10,10.05,10.06,9.86,9.9,1555842.0,4520,9.919
2021-05-11,9.83,9.97,9.77,9.9,1117138.0,1857,9.885
2021-05-12,9.92,10.05,9.86,9.92,842780.0,1282,9.905
2021-05-13,10.0,10.0,9.82,9.91,760089.0,2178,9.899
2021-05-14,9.97,10.0,9.9,9.94,440600.0,1108,9.951
2021-05-17,9.79,10.02,9.79,10.0,744233.0,2509,9.934
2021-05-18,10.02,10.08,9.98,10.01,668271.0,2131,10.018
2021-05-19,9.91,10.0,9.9,9.99,451540.0,1231,9.934
2021-05-20,10.03,10.03,9.91,9.96,626415.0,1883,9.952
2021-05-21,9.95,10.03,9.95,10.0,316325.0,1086,9.986
2021-05-24,9.98,10.0,9.92,9.94,373859.0,1426,9.944
2021-05-25,9.94,9.99,9.89,9.9,972686.0,2723,9.909
2021-05-26,9.91,9.97,9.89,9.9,1442652.0,3668,9.905
2021-05-27,9.91,9.91,9.89,9.91,555571.0,1731,9.899
2021-05-28,9.92,10.08,9.91,9.98,618903.0,1809,9.991
2021-06-01,10.1,10.2,10.01,10.04,589215.0,1957,10.099
2021-06-02,10.11,10.13,9.98,10.07,432009.0,1691,10.024
2021-06-03,10.04,10.17,9.98,10.09,372728.0,1440,10.094
2021-06-04,10.15,10.27,10.05,10.15,421424.0,1332,10.167
2021-06-07,10.25,10.29,10.06,10.07,529731.0,1728,10.104
2021-06-08,10.21,10.6,10.13,10.47,1195311.0,4464,10.331
2021-06-09,10.86,10.9,10.5,10.63,638924.0,2249,10.66
2021-06-10,10.66,10.72,10.45,10.52,473230.0,1703,10.556
2021-06-11,10.55,10.6,10.45,10.47,382372.0,1258,10.507
2021-06-14,10.55,10.6,10.17,10.22,422724.0,1306,10.372
2021-06-15,10.44,10.53,10.12,10.35,597118.0,1805,10.265
2021-06-16,10.35,10.53,10.21,10.27,648635.0,1892,10.387
2021-06-17,10.28,10.42,10.23,10.34,451292.0,1554,10.319
2021-06-18,10.36,10.42,10.24,10.4,321471.0,1077,10.318
2021-06-21,10.45,10.55,10.39,10.41,345377.0,1217,10.457
2021-06-22,10.48,10.5,10.3,10.35,325243.0,892,10.376
2021-06-23,10.35,10.39,10.29,10.31,276659.0,1052,10.326
2021-06-24,10.32,10.34,10.26,10.29,328439.0,806,10.303
2021-06-25,10.38,10.65,10.27,10.51,929980.0,3074,10.435
2021-06-28,10.72,10.98,10.62,10.95,851572.0,2379,10.828
2021-06-29,11.01,11.09,10.81,10.9,671979.0,2373,10.928
2021-06-30,11.08,11.45,10.85,10.89,1436186.0,5016,11.123
2021-07-01,11.0,11.13,10.6,10.96,672780.0,1977,10.919
2021-07-02,11.1,12.28,11.03,11.39,3610824.0,9946,11.609
2021-07-06,11.69,11.87,10.89,10.92,1402429.0,5315,11.386
2021-07-07,11.04,11.23,10.71,11.1,763928.0,2409,10.94
2021-07-08,10.78,11.15,10.59,11.13,1367723.0,3797,10.825
2021-07-09,11.12,11.49,11.12,11.45,941365.0,2712,11.348
2021-07-12,11.67,11.69,11.33,11.6,975603.0,2825,11.46
2021-07-13,11.53,11.57,10.97,10.97,893075.0,2599,11.155
2021-07-14,11.1,11.1,10.48,10.62,1320019.0,3855,10.729
2021-07-15,10.54,10.79,10.3,10.4,811139.0,2970,10.477
2021-07-16,10.47,10.89,10.3,10.8,674078.0,2498,10.66
2021-07-19,10.36,10.78,10.27,10.71,505772.0,1415,10.488
2021-07-20,10.71,10.75,10.42,10.6,275529.0,838,10.612
2021-07-21,10.68,10.75,10.5,10.75,221575.0,901,10.646
2021-07-22,11.0,11.05,10.76,10.96,501096.0,1756,10.932
2021-07-23,10.99,11.05,10.62,10.77,477002.0,1043,10.889
2021-07-26,10.82,10.85,10.52,10.56,426211.0,1251,10.62
2021-07-27,10.53,10.57,10.35,10.46,412898.0,1367,10.454
2021-07-28,10.5,10.68,10.17,10.28,588958.0,2055,10.34
2021-07-29,10.41,10.53,10.12,10.31,867030.0,3449,10.294
2021-07-30,10.37,10.37,10.12,10.17,896570.0,4149,10.163
2021-08-02,10.23,10.25,10.0,10.02,770762.0,2792,10.073
2021-08-03,10.06,10.06,9.96,10.0,716562.0,2009,9.992
2021-08-04,10.0,10.13,10.0,10.11,386477.0,1342,10.055
2021-08-05,10.12,10.3,10.1,10.22,535682.0,1743,10.217
2021-08-06,10.3,10.47,10.06,10.12,518709.0,1866,10.202
2021-08-09,10.22,10.42,10.15,10.36,435016.0,1332,10.27
2021-08-10,10.42,10.81,10.35,10.57,706668.0,2457,10.607
2021-08-11,10.76,11.25,10.6,11.18,795288.0,2703,10.918
2021-08-12,11.2,11.28,10.5,10.54,941484.0,3283,10.763
2021-08-13,10.65,10.79,10.35,10.62,622183.0,2462,10.538
2021-08-16,10.69,10.69,10.15,10.21,694151.0,2849,10.342
2021-08-17,10.1,10.18,9.9,10.03,1089982.0,3362,9.99
2021-08-18,10.0,10.33,9.96,10.1,431471.0,1287,10.082
2021-08-19,10.08,10.1,9.91,10.01,539959.0,1803,9.99
2021-08-20,10.0,10.65,9.9,10.47,1239123.0,3650,10.266
2021-08-23,10.95,11.07,10.65,11.07,966590.0,2758,10.917
2021-08-24,11.31,11.9,11.11,11.57,1094288.0,3546,11.538
2021-08-25,11.58,11.6,9.98,10.43,5119773.0,18607,10.362
2021-08-26,11.0,11.04,9.96,9.96,2853144.0,9142,10.221
2021-08-27,10.31,10.5,9.5,10.35,2522432.0,7225,10.018
2021-08-30,10.5,10.51,9.8,10.03,1956301.0,6178,9.999
2021-08-31,10.02,10.2,9.66,10.03,1920700.0,7298,9.949
2021-09-01,10.18,10.3,9.98,10.14,1771502.0,6640,10.145
2021-09-02,10.2,12.27,10.0,11.63,3821205.0,11676,11.036
2021-09-03,11.75,14.34,11.01,13.52,9153339.0,28813,13.041
2021-09-07,14.9,16.46,14.07,14.5,14462989.0,47239,15.372
2021-09-08,14.74,15.7,14.51,15.09,5663521.0,27269,15.193
2021-09-09,16.27,21.34,16.23,20.72,39446481.0,131395,19.302
2021-09-10,20.28,20.87,17.81,18.69,11832590.0,41545,18.7
2021-09-13,18.38,18.41,15.03,15.4,7754363.0,25577,16.037
2021-09-14,15.89,16.97,15.13,15.78,4810404.0,14104,15.83
2021-09-15,16.04,16.05,14.62,15.39,3321753.0,10515,15.268
2021-09-16,15.58,16.59,14.91,15.89,2952117.0,11788,15.566
2021-09-17,16.15,16.15,15.28,15.41,3050479.0,12782,15.654
2021-09-20,14.78,15.1,14.03,14.81,2752970.0,9569,14.577
2021-09-21,14.86,15.09,14.29,14.47,1999590.0,7667,14.61
2021-09-22,15.0,15.4,14.5,14.54,1829825.0,6935,14.848
2021-09-23,14.54,14.77,14.05,14.15,1832237.0,7258,14.248
2021-09-24,14.18,14.25,13.46,14.05,1696836.0,6086,13.88
2021-09-27,14.3,15.33,14.16,14.32,2789956.0,9022,14.7
2021-09-28,14.25,15.63,14.25,15.56,3355697.0,11920,15.083
2021-09-29,15.97,16.39,14.59,14.66,2755147.0,9505,15.149
2021-09-30,15.36,16.19,15.02,16.13,3020555.0,12869,15.556
2021-10-01,15.9,16.43,14.93,15.98,3901896.0,12896,15.783
2021-10-04,15.97,16.04,14.36,14.79,3471809.0,10657,14.755
2021-10-05,14.83,14.98,14.05,14.59,2300363.0,8684,14.457
2021-10-06,14.4,14.68,13.8,14.0,2512474.0,8488,14.084
2021-10-07,15.25,15.91,14.65,15.46,7949405.0,28457,15.36
2021-10-08,14.0,16.1,13.82,14.71,13750138.0,62638,14.816
2021-10-11,14.66,14.68,14.0,14.05,2853921.0,11615,14.228
2021-10-12,14.11,14.24,13.48,13.5,3495251.0,15167,13.888
2021-10-13,13.53,13.88,12.88,13.25,4101421.0,15473,13.293
2021-10-14,13.4,13.7,13.03,13.57,2409064.0,9510,13.4
2021-10-15,13.65,13.75,12.7,12.8,4610961.0,15551,13.079
2021-10-18,12.8,12.88,12.2,12.4,4686383.0,15595,12.416
2021-10-19,12.68,12.7,12.3,12.36,3964979.0,11722,12.402
2021-10-20,12.42,13.14,12.31,12.72,4386162.0,15568,12.641
2021-10-21,12.73,13.08,12.48,12.66,2969685.0,8586,12.684
2021-10-22,12.64,13.05,12.3,13.0,2019327.0,6332,12.607
2021-10-25,13.0,13.13,12.77,12.99,1512134.0,4638,12.997
2021-10-26,13.05,13.82,12.95,13.22,2526418.0,7786,13.401
2021-10-27,13.19,13.22,12.73,12.84,1131519.0,3705,12.956
2021-10-28,12.97,13.55,12.66,13.37,1868177.0,5845,13.146
2021-10-29,13.29,14.14,13.24,14.05,1698831.0,5403,13.83
2021-11-01,14.43,14.57,13.95,14.26,1662431.0,5497,14.318
2021-11-02,14.45,14.49,14.02,14.25,1218996.0,4337,14.205
2021-11-03,14.16,14.98,14.16,14.91,2336112.0,8113,14.747
2021-11-04,15.2,16.24,14.91,15.74,3766467.0,14489,15.62
2021-11-05,15.94,16.15,15.4,15.51,1566541.0,5044,15.662
2021-11-08,15.79,15.84,14.89,14.94,1385413.0,4645,15.245
2021-11-09,14.87,15.05,14.13,14.84,2208231.0,8434,14.635
2021-11-10,14.68,15.27,14.32,14.59,1982388.0,8626,14.725
2021-11-11,14.2,14.58,13.91,14.23,1372134.0,5296,14.345
2021-11-12,14.29,14.48,14.08,14.37,1677324.0,5843,14.298
2021-11-15,14.48,14.7,14.06,14.29,1923848.0,8272,14.347
2021-11-16,14.69,15.71,14.49,15.48,5325209.0,21735,15.299
2021-11-17,15.7,16.75,15.4,16.28,6074356.0,23649,16.121
2021-11-18,16.2,16.33,14.71,15.48,5524364.0,19710,15.169
2021-11-19,15.28,16.2,15.26,15.5,2431764.0,10070,15.727
2021-11-22,15.57,16.36,15.26,15.91,3902151.0,14815,15.78
2021-11-23,15.81,15.83,14.11,14.55,4113794.0,14452,14.602
2021-11-24,14.25,15.58,14.2,15.51,2608529.0,10443,15.084
2021-11-26,14.82,15.59,14.76,15.45,1584550.0,7017,15.294
2021-11-29,15.51,15.79,15.12,15.46,3026726.0,12852,15.49
2021-11-30,15.83,16.41,14.99,15.86,6617705.0,28495,15.6
2021-12-01,15.91,16.97,15.16,15.19,7184638.0,25255,16.204
2021-12-02,15.15,15.22,14.07,14.81,3988909.0,17987,14.603
2021-12-03,15.0,15.11,12.74,13.0,7224658.0,27239,13.356
2021-12-06,12.95,13.11,12.0,12.28,5063311.0,20222,12.521
2021-12-07,12.62,13.12,12.55,12.9,2639884.0,9583,12.858
2021-12-08,13.12,13.22,12.81,12.94,2544807.0,10832,13.023
2021-12-09,12.99,13.15,12.42,12.53,2487190.0,9126,12.747
2021-12-10,12.5,13.03,12.5,12.76,2263080.0,10778,12.794
2021-12-13,12.71,13.01,11.68,11.76,3769228.0,14625,12.083
2021-12-14,11.59,12.8,11.55,12.57,2655280.0,11376,12.474
2021-12-15,12.55,12.85,12.04,12.63,1936222.0,9072,12.376
2021-12-16,12.79,13.15,12.24,12.39,2363036.0,9461,12.724
2021-12-17,12.24,12.75,11.48,12.18,2774389.0,13316,12.233
2021-12-20,11.91,12.18,11.62,11.89,1745157.0,7331,11.844
2021-12-21,12.02,12.36,11.81,12.19,1177197.0,4991,12.094
