date,open,high,low,close,volume,bar_count,vwap
2009-12-14,3.21,3.22,3.19,3.21,882400.0,241,3.20675
2009-12-15,3.2,3.22,3.2,3.2,469600.0,116,3.20975
2009-12-16,3.22,3.23,3.21,3.21,577600.0,125,3.21675
2009-12-17,3.22,3.22,3.18,3.18,864000.0,204,3.194875
2009-12-18,3.2,3.21,3.18,3.2,196800.0,63,3.193625
2009-12-21,3.22,3.25,3.21,3.24,259200.0,95,3.238125
2009-12-22,3.25,3.28,3.25,3.26,1926400.0,926,3.2535
2009-12-23,3.27,3.28,3.25,3.27,3348800.0,1165,3.2695
2009-12-24,3.28,3.29,3.28,3.29,333600.0,134,3.286625
2009-12-28,3.3,3.3,3.29,3.29,590400.0,189,3.294625
2009-12-29,3.3,3.3,3.29,3.29,368000.0,130,3.29175
2009-12-30,3.28,3.29,3.27,3.29,344800.0,89,3.28125
2009-12-31,3.3,3.3,3.25,3.25,669600.0,165,3.27725
2010-01-04,3.28,3.31,3.28,3.31,411200.0,130,3.29875
2010-01-05,3.31,3.32,3.3,3.32,350400.0,119,3.311375
2010-01-06,3.32,3.33,3.31,3.31,280000.0,88,3.3165
2010-01-07,3.31,3.32,3.3,3.32,485600.0,145,3.31525
2010-01-08,3.32,3.35,3.31,3.34,428000.0,159,3.329875
2010-01-11,3.36,3.36,3.33,3.35,658400.0,222,3.34275
2010-01-12,3.32,3.32,3.29,3.3,717600.0,211,3.3025
2010-01-13,3.31,3.34,3.29,3.33,229600.0,112,3.312375
2010-01-14,3.33,3.34,3.32,3.34,508800.0,134,3.33075
2010-01-15,3.34,3.34,3.29,3.3,609600.0,208,3.311
2010-01-19,3.31,3.35,3.3,3.34,917600.0,209,3.32875
2010-01-20,3.33,3.33,3.28,3.31,735200.0,230,3.29225
2010-01-21,3.31,3.32,3.25,3.26,702400.0,255,3.272
2010-01-22,3.25,3.25,3.17,3.18,846400.0,387,3.222625
2010-01-25,3.2,3.21,3.18,3.19,496800.0,140,3.19875
2010-01-26,3.18,3.22,3.16,3.18,587200.0,240,3.20375
2010-01-27,3.18,3.2,3.15,3.2,204000.0,90,3.17
2010-01-28,3.2,3.2,3.13,3.15,292000.0,106,3.152875
2010-01-29,3.16,3.17,3.1,3.11,312000.0,114,3.145375
2010-02-01,3.12,3.15,3.12,3.15,200800.0,90,3.132875
2010-02-02,3.16,3.19,3.15,3.19,2222400.0,690,3.168875
2010-02-03,3.18,3.19,3.17,3.18,276000.0,90,3.17975
2010-02-04,3.15,3.15,3.07,3.08,476000.0,139,3.1055
2010-02-05,3.09,3.09,3.03,3.09,1057600.0,342,3.05825
2010-02-08,3.09,3.11,3.08,3.08,427200.0,111,3.093625
2010-02-09,3.11,3.14,3.09,3.11,452800.0,90,3.116
2010-02-10,3.11,3.12,3.08,3.1,264800.0,75,3.104
2010-02-11,3.1,3.15,3.09,3.15,684000.0,161,3.141
2010-02-12,3.12,3.15,3.11,3.15,201600.0,89,3.1295
2010-02-16,3.18,3.2,3.16,3.19,180000.0,72,3.17975
2010-02-17,3.21,3.22,3.2,3.22,256000.0,116,3.2085
2010-02-18,3.21,3.24,3.21,3.23,1052800.0,297,3.232
2010-02-19,3.23,3.25,3.22,3.24,168000.0,79,3.2375
2010-02-22,3.26,3.26,3.23,3.23,324800.0,141,3.2455
2010-02-23,3.23,3.23,3.19,3.19,367200.0,116,3.201875
2010-02-24,3.21,3.22,3.2,3.22,287200.0,91,3.216
2010-02-25,3.18,3.22,3.17,3.22,418400.0,166,3.19475
2010-02-26,3.23,3.23,3.21,3.23,260000.0,92,3.2285
2010-03-01,3.24,3.28,3.24,3.28,235200.0,97,3.266
2010-03-02,3.29,3.3,3.28,3.28,414400.0,151,3.290875
2010-03-03,3.29,3.31,3.28,3.29,230400.0,72,3.294125
2010-03-04,3.3,3.3,3.28,3.29,253600.0,80,3.2905
2010-03-05,3.32,3.34,3.31,3.34,370400.0,133,3.33175
2010-03-08,3.34,3.35,3.34,3.34,271200.0,90,3.342875
2010-03-09,3.33,3.36,3.33,3.35,384000.0,149,3.345
2010-03-10,3.35,3.37,3.34,3.36,165600.0,85,3.357875
2010-03-11,3.36,3.37,3.34,3.37,257600.0,82,3.35525
2010-03-12,3.39,3.39,3.36,3.38,332800.0,130,3.3745
2010-03-15,3.37,3.37,3.34,3.37,232800.0,76,3.354125
2010-03-16,3.38,3.4,3.37,3.4,288000.0,128,3.386125
2010-03-17,3.4,3.42,3.4,3.41,429600.0,183,3.411875
2010-03-18,3.41,3.42,3.4,3.41,314400.0,143,3.40525
2010-03-19,3.42,3.42,3.38,3.38,465600.0,157,3.38225
2010-03-22,3.37,3.41,3.35,3.4,355200.0,150,3.395
2010-03-23,3.41,3.43,3.4,3.42,428800.0,200,3.40825
2010-03-24,3.41,3.41,3.4,3.4,388800.0,136,3.40475
2010-03-25,3.43,3.44,3.39,3.4,292000.0,102,3.4245
2010-03-26,3.41,3.41,3.38,3.39,184800.0,99,3.39775
2010-03-29,3.41,3.42,3.41,3.42,252800.0,122,3.416
2010-03-30,3.43,3.44,3.41,3.43,429600.0,170,3.426125
