date,open,high,low,close,volume,bar_count,vwap
2019-10-10,24.96,24.96,24.92,24.92,3584.0,11,24.9365
2019-10-11,24.83,24.86,24.83,24.85,14456.0,12,24.8575
2019-10-14,24.91,24.91,24.89,24.9,1054.0,3,24.9015
2019-10-15,24.91,24.91,24.86,24.86,4004.0,9,24.886
2019-10-16,24.89,24.9,24.88,24.9,10548.0,13,24.8885
2019-10-17,24.91,24.95,24.91,24.92,13248.0,16,24.9245
2019-10-18,24.94,24.97,24.94,24.94,2008.0,7,24.949
2019-10-21,24.93,24.93,24.9,24.9,1272.0,6,24.915
2019-10-22,24.93,24.94,24.91,24.93,6642.0,28,24.9225
2019-10-23,24.97,24.97,24.95,24.95,7000.0,18,24.959
2019-10-24,24.98,25.0,24.97,24.97,9350.0,46,24.985
2019-10-25,24.98,24.98,24.93,24.93,2212.0,2,24.976
2019-10-28,24.89,24.9,24.88,24.9,9600.0,22,24.885
2019-10-29,24.89,24.91,24.89,24.9,3466.0,15,24.8985
2019-10-30,24.92,24.96,24.89,24.95,41198.0,100,24.9155
2019-10-31,25.01,25.07,25.01,25.06,4486.0,6,25.0255
2019-11-01,25.03,25.06,25.0,25.03,17702.0,66,25.025
2019-11-04,24.98,24.98,24.93,24.95,33154.0,101,24.958
2019-11-05,24.9,24.9,24.84,24.86,14838.0,31,24.8685
2019-11-06,24.92,24.94,24.91,24.92,3210682.0,74,24.93
2019-11-07,24.85,24.85,24.75,24.81,38618.0,32,24.8
2019-11-08,24.79,24.82,24.75,24.77,19326.0,29,24.8025
2019-11-11,24.78,24.78,24.74,24.75,26148.0,13,24.752
2019-11-12,24.78,24.84,24.77,24.79,126982.0,56,24.8085
2019-11-13,24.85,24.85,24.82,24.84,9764.0,13,24.838
2019-11-14,24.91,24.92,24.9,24.91,13462.0,18,24.914
2019-11-15,24.9,24.92,24.89,24.9,15172.0,30,24.9075
2019-11-18,24.93,24.95,24.92,24.92,25760.0,56,24.94
2019-11-19,24.95,24.99,24.94,24.96,220126.0,125,24.9815
2019-11-20,24.99,25.0,24.98,25.0,12704.0,25,24.994
2019-11-21,25.0,25.0,24.95,24.96,38666.0,29,24.9785
2019-11-22,25.0,25.0,24.96,24.98,21090.0,22,24.979
2019-11-25,25.0,25.02,24.99,25.01,40660.0,75,25.0
2019-11-26,25.06,25.07,25.04,25.06,20058.0,49,25.0475
2019-11-27,25.04,25.05,25.02,25.04,56678.0,110,25.044
2019-11-29,25.0,25.02,25.0,25.0,7012.0,24,25.005
2019-12-02,24.96,24.96,24.87,24.92,25976.0,36,24.9155
2019-12-03,25.01,25.09,25.01,25.06,17076.0,17,25.0675
2019-12-04,25.05,25.05,24.99,25.02,7826.0,11,25.005
2019-12-05,25.0,25.01,24.99,25.0,9914.0,12,25.001
2019-12-06,24.95,24.99,24.93,24.98,13392.0,18,24.9695
2019-12-09,25.02,25.02,24.98,24.99,19128.0,21,25.0045
2019-12-10,25.02,25.02,24.97,24.99,17558.0,31,24.9945
2019-12-11,25.02,25.07,25.0,25.06,39606.0,80,25.024
2019-12-12,25.02,25.02,24.93,24.94,24608.0,55,24.952
2019-12-13,25.0,25.08,24.97,25.07,31716.0,79,25.015
2019-12-16,25.06,25.06,25.0,25.01,39642.0,27,25.016
2019-12-17,25.04,25.04,25.0,25.01,9664.0,11,25.0165
2019-12-18,25.02,25.02,24.97,25.0,20356.0,23,24.992
2019-12-19,24.95,24.98,24.93,24.97,10954.0,27,24.962
