date,open,high,low,close,volume,bar_count,vwap
2020-11-23,10.0,10.0,9.68,9.75,234637.0,103,9.689
2020-11-24,9.75,9.82,9.7,9.75,125540.0,393,9.727
2020-11-25,9.8,9.85,9.72,9.75,71647.0,287,9.736
2020-11-27,9.82,9.85,9.7,9.73,99049.0,462,9.736
2020-11-30,10.24,10.24,9.73,9.75,201892.0,867,9.77
2020-12-01,9.81,9.83,9.72,9.78,56980.0,235,9.769
2020-12-02,9.82,9.88,9.8,9.83,23451.0,95,9.838
2020-12-03,9.8,9.87,9.75,9.85,50686.0,263,9.808
2020-12-04,9.87,10.0,9.84,9.95,293520.0,648,9.899
2020-12-07,10.1,10.1,9.85,9.9,165028.0,253,9.986
2020-12-08,9.95,9.95,9.85,9.93,132780.0,681,9.927
2020-12-09,9.97,10.0,9.85,9.89,401253.0,700,9.939
2020-12-10,10.05,10.05,9.86,9.93,526762.0,825,9.933
2020-12-11,9.95,10.12,9.95,10.02,288377.0,753,10.007
2020-12-14,10.3,10.5,10.03,10.12,488481.0,1199,10.149
2020-12-15,10.2,10.24,10.05,10.07,202528.0,734,10.105
2020-12-16,10.1,10.14,10.05,10.1,87848.0,212,10.098
2020-12-17,10.08,10.16,10.08,10.12,96467.0,376,10.119
2020-12-18,10.09,10.17,10.09,10.1,87545.0,272,10.121
2020-12-21,10.1,10.14,10.05,10.08,51382.0,221,10.084
2020-12-22,10.07,10.19,10.06,10.12,128647.0,457,10.096
2020-12-23,10.15,10.19,10.1,10.19,212431.0,922,10.132
2020-12-24,10.38,10.39,10.16,10.18,128637.0,473,10.212
2020-12-28,10.37,10.37,10.13,10.35,326302.0,1269,10.297
2020-12-29,10.45,10.48,10.25,10.28,248016.0,936,10.325
2020-12-30,10.2,10.36,10.2,10.25,403472.0,677,10.276
2020-12-31,10.25,10.27,10.12,10.12,149444.0,742,10.18
2021-01-04,10.18,10.25,10.17,10.24,251297.0,635,10.208
2021-01-05,10.27,10.3,10.2,10.2,71987.0,355,10.273
2021-01-06,10.37,10.37,10.16,10.16,181432.0,685,10.214
2021-01-07,10.43,10.46,10.21,10.35,502516.0,958,10.343
2021-01-08,10.45,10.5,10.35,10.42,65223.0,237,10.407
2021-01-11,10.6,10.6,10.46,10.5,237341.0,1064,10.507
2021-01-12,10.61,10.8,10.6,10.69,437144.0,1772,10.717
2021-01-13,10.8,10.8,10.6,10.69,442438.0,2302,10.727
2021-01-14,10.77,10.77,10.52,10.56,447791.0,1624,10.608
2021-01-15,10.66,10.75,10.44,10.49,232450.0,1078,10.593
2021-01-19,10.58,10.62,10.36,10.42,245731.0,875,10.438
2021-01-20,10.45,10.5,10.35,10.5,389786.0,1046,10.414
2021-01-21,10.58,10.59,10.43,10.49,313796.0,965,10.511
2021-01-22,10.48,10.64,10.47,10.51,257220.0,921,10.508
2021-01-25,10.55,10.64,10.42,10.44,466985.0,1420,10.513
2021-01-26,10.5,10.53,10.36,10.43,229427.0,708,10.432
2021-01-27,10.36,10.38,10.1,10.15,397393.0,1136,10.255
2021-01-28,10.15,10.3,10.11,10.24,211672.0,430,10.211
2021-01-29,10.23,10.31,10.12,10.25,144511.0,358,10.214
2021-02-01,10.21,10.33,10.18,10.19,311476.0,783,10.216
2021-02-02,10.22,10.43,10.22,10.38,212327.0,921,10.322
2021-02-03,10.41,10.47,10.35,10.36,171995.0,732,10.405
2021-02-04,10.39,10.49,10.32,10.45,172721.0,821,10.383
2021-02-05,10.44,10.58,10.35,10.46,322945.0,1113,10.45
2021-02-08,10.52,10.53,10.4,10.4,270457.0,995,10.438
2021-02-09,10.42,10.42,10.36,10.41,289767.0,561,10.395
2021-02-10,10.43,10.44,10.32,10.43,144168.0,587,10.388
2021-02-11,10.4,10.46,10.31,10.32,183481.0,752,10.396
2021-02-12,10.35,10.4,10.31,10.36,147792.0,581,10.34
2021-02-16,10.47,10.49,10.38,10.43,173437.0,552,10.433
2021-02-17,10.44,10.53,10.39,10.44,192992.0,422,10.456
2021-02-18,10.38,10.47,10.35,10.4,133067.0,320,10.4
2021-02-19,10.37,10.49,10.37,10.48,229694.0,857,10.449
2021-02-22,10.48,10.54,10.39,10.42,298325.0,511,10.452
2021-02-23,10.33,10.39,10.01,10.34,688714.0,1022,10.271
2021-02-24,10.3,10.45,10.25,10.27,557656.0,862,10.289
2021-02-25,10.29,10.33,10.2,10.22,356777.0,1237,10.243
2021-02-26,10.3,10.31,10.18,10.22,503694.0,743,10.224
2021-03-01,10.33,10.33,10.18,10.24,226706.0,919,10.236
2021-03-02,10.24,10.75,10.1,10.3,1290873.0,4154,10.336
2021-03-03,10.06,10.15,10.0,10.02,774425.0,2170,10.044
2021-03-04,10.0,10.02,9.85,9.89,662417.0,1400,9.95
2021-03-05,9.97,10.07,9.89,10.04,1033310.0,1809,9.959
2021-03-08,10.07,10.13,9.94,10.0,200198.0,781,10.008
2021-03-09,10.04,10.04,9.96,10.0,107042.0,439,9.998
2021-03-10,10.01,10.04,9.95,10.0,154250.0,354,10.007
2021-03-11,10.02,10.09,9.95,10.03,536701.0,1134,10.001
2021-03-12,10.01,10.08,9.99,10.03,113115.0,521,10.03
2021-03-15,10.05,10.08,9.96,9.98,75726.0,281,10.013
2021-03-16,10.0,10.05,9.96,10.01,145785.0,402,10.009
2021-03-17,9.98,10.01,9.95,9.99,118507.0,215,9.971
2021-03-18,10.01,10.03,9.9,10.02,120779.0,447,9.955
2021-03-19,10.01,10.03,9.9,9.97,285178.0,471,9.966
2021-03-22,9.96,9.99,9.91,9.93,43747.0,239,9.954
2021-03-23,9.95,9.96,9.78,9.82,177697.0,978,9.858
2021-03-24,9.8,9.87,9.71,9.75,255764.0,877,9.774
2021-03-25,9.66,9.76,9.59,9.71,360370.0,755,9.693
2021-03-26,9.7,9.96,9.7,9.94,63046.0,279,9.85
2021-03-29,9.95,9.95,9.8,9.89,57684.0,154,9.854
2021-03-30,9.83,9.93,9.77,9.8,322686.0,159,9.804
2021-03-31,9.81,9.82,9.75,9.77,29180.0,71,9.806
2021-04-01,9.82,9.83,9.78,9.81,97956.0,412,9.816
2021-04-05,9.85,9.9,9.77,9.86,242429.0,807,9.818
2021-04-06,9.87,9.96,9.87,9.93,162611.0,465,9.908
2021-04-07,9.93,9.98,9.92,9.96,45972.0,136,9.944
2021-04-08,9.98,10.0,9.89,9.91,220073.0,563,9.931
2021-04-09,9.95,10.0,9.9,9.94,449454.0,1169,9.94
2021-04-12,9.93,10.0,9.92,9.99,170387.0,670,9.958
2021-04-13,9.96,10.0,9.9,9.96,82236.0,246,9.936
2021-04-14,9.94,9.96,9.91,9.95,24502.0,107,9.936
2021-04-15,9.94,9.97,9.9,9.93,60866.0,217,9.937
2021-04-16,9.95,9.97,9.88,9.94,254416.0,690,9.911
2021-04-19,9.9,9.95,9.86,9.94,179722.0,610,9.91
2021-04-20,9.96,9.98,9.8,9.85,159224.0,225,9.837
2021-04-21,9.84,9.86,9.81,9.83,159260.0,999,9.833
2021-04-22,9.85,9.88,9.77,9.81,160573.0,806,9.815
2021-04-23,9.84,9.87,9.76,9.78,388864.0,1103,9.808
2021-04-26,10.58,10.85,10.15,10.22,14705540.0,48515,10.421
2021-04-27,10.27,10.42,10.13,10.23,3486188.0,9195,10.26
2021-04-28,10.23,10.37,10.18,10.28,3030577.0,5121,10.277
2021-04-29,10.34,10.4,10.24,10.27,1591749.0,2603,10.284
2021-04-30,10.39,10.39,10.27,10.36,2264696.0,3977,10.324
2021-05-03,10.43,10.45,10.32,10.36,1894575.0,4660,10.403
2021-05-04,10.43,10.48,10.2,10.28,1264484.0,4316,10.27
2021-05-05,10.41,10.44,10.19,10.22,2216876.0,2841,10.239
2021-05-06,10.27,10.3,10.17,10.21,1413127.0,3321,10.211
2021-05-07,10.19,10.3,10.11,10.13,824757.0,2393,10.208
2021-05-10,10.19,10.22,10.07,10.13,1019140.0,2648,10.137
2021-05-11,9.99,10.14,9.96,10.07,668448.0,2468,10.036
2021-05-12,10.04,10.16,10.02,10.11,1611918.0,2936,10.102
2021-05-13,10.09,10.12,9.99,10.0,714573.0,1650,10.064
2021-05-14,10.02,10.15,10.01,10.12,721671.0,1864,10.082
2021-05-17,10.33,10.45,10.2,10.3,1664638.0,5709,10.314
2021-05-18,10.36,10.44,10.32,10.37,600590.0,2090,10.373
2021-05-19,10.2,10.35,10.12,10.31,616572.0,2275,10.242
2021-05-20,10.33,10.35,10.26,10.31,460969.0,1257,10.322
2021-05-21,10.32,10.38,10.25,10.27,438927.0,1460,10.308
2021-05-24,10.31,10.32,10.18,10.18,343836.0,1410,10.247
2021-05-25,10.21,10.23,10.1,10.1,448512.0,1609,10.145
2021-05-26,10.11,10.21,10.01,10.11,893221.0,2185,10.117
2021-05-27,10.12,10.19,10.03,10.04,549201.0,1912,10.083
2021-05-28,10.08,10.15,10.05,10.06,698438.0,2040,10.104
2021-06-01,10.14,10.15,10.03,10.04,757259.0,2049,10.076
2021-06-02,10.07,10.11,10.04,10.07,818773.0,1874,10.067
2021-06-03,10.11,10.18,10.02,10.05,676830.0,2415,10.077
2021-06-04,10.05,10.12,10.04,10.06,320659.0,1227,10.081
2021-06-07,10.06,10.1,10.05,10.07,758431.0,1172,10.079
2021-06-08,10.1,10.12,10.06,10.11,482516.0,1177,10.092
2021-06-09,10.12,10.13,10.09,10.12,496197.0,1034,10.114
2021-06-10,10.1,10.26,10.08,10.19,626093.0,2224,10.137
2021-06-11,10.17,10.27,10.17,10.26,493897.0,1232,10.233
2021-06-14,10.25,10.3,10.22,10.24,547652.0,1678,10.259
2021-06-15,10.28,10.3,10.18,10.2,273671.0,992,10.208
2021-06-16,10.17,10.23,10.14,10.2,267726.0,866,10.188
2021-06-17,10.21,10.23,10.14,10.17,458790.0,1326,10.186
2021-06-18,10.16,10.19,10.08,10.12,426431.0,1680,10.113
2021-06-21,10.18,10.19,10.05,10.09,463764.0,1918,10.08
2021-06-22,10.15,10.16,10.1,10.11,333718.0,764,10.13
2021-06-23,10.14,10.14,10.1,10.12,233433.0,641,10.115
2021-06-24,10.13,10.13,10.09,10.11,523721.0,1605,10.116
2021-06-25,10.12,10.16,10.09,10.11,336555.0,1341,10.12
2021-06-28,10.12,10.13,10.08,10.1,751055.0,1038,10.102
2021-06-29,10.09,10.11,10.08,10.1,194626.0,423,10.086
