date,open,high,low,close,volume,bar_count,vwap
2006-04-28,12.9,13.98,12.87,13.81,23431000.0,1,13.812
2006-05-01,13.92,14.18,13.75,13.87,14835000.0,1,13.87
2006-05-02,14.24,14.4,14.1,14.37,12511000.0,1,14.365
2006-05-03,14.45,14.46,13.41,13.93,15141000.0,1,13.925
2006-05-04,13.95,14.29,13.68,14.0,11076000.0,1,14.0
2006-05-05,14.0,14.03,13.75,13.99,6586000.0,1,13.995
2006-05-08,13.8,14.0,13.51,14.0,9453000.0,1,14.0
2006-05-09,14.1,14.63,14.06,14.5,11054000.0,1,14.5
2006-05-10,14.29,14.58,14.25,14.53,13913000.0,1,14.526
2006-05-11,15.08,15.25,14.8,14.86,12533000.0,1,14.86
2006-05-12,14.89,14.9,14.22,14.46,10129000.0,1,14.464
2006-05-15,13.39,13.78,13.2,13.27,12581000.0,1,13.27
2006-05-16,13.51,13.68,13.28,13.58,7200000.0,1,13.58
2006-05-17,13.56,13.75,12.92,13.09,7821000.0,1,13.09
2006-05-18,13.22,13.37,12.6,12.6,8020000.0,1,12.602
2006-05-19,12.29,12.68,12.17,12.6,8460000.0,1,12.6
2006-05-22,12.4,12.6,12.25,12.52,5949000.0,1,12.515
2006-05-23,12.99,13.25,12.89,13.04,8188000.0,1,13.045
2006-05-24,12.7,12.9,12.42,12.55,5349000.0,1,12.545
2006-05-25,12.56,12.79,12.44,12.69,4998000.0,1,12.685
2006-05-26,12.77,12.78,12.49,12.67,3477000.0,1,12.67
2006-05-30,13.2,13.36,13.03,13.1,6204000.0,1,13.097
2006-05-31,13.07,13.13,12.37,12.63,6342000.0,1,12.628
2006-06-01,11.83,12.26,11.81,12.04,8007000.0,1,12.04
2006-06-02,12.19,12.31,12.0,12.18,3807000.0,1,12.175
2006-06-05,12.28,12.38,12.08,12.09,4317000.0,1,12.092
2006-06-06,11.87,11.95,11.68,11.83,6764000.0,1,11.835
2006-06-07,11.6,12.04,11.53,11.87,6712000.0,1,11.87
2006-06-08,11.69,11.7,11.13,11.24,6754000.0,1,11.235
2006-06-09,11.5,11.55,11.1,11.19,4203000.0,1,11.192
2006-06-12,11.26,11.32,10.92,10.93,5380000.0,1,10.93
2006-06-13,10.37,10.45,9.56,9.63,20729000.0,1,9.625
2006-06-14,9.88,9.99,9.55,9.67,9620000.0,1,9.67
2006-06-15,10.14,10.35,10.03,10.26,8796000.0,1,10.264
2006-06-16,10.17,10.34,9.86,10.29,4103000.0,1,10.29
2006-06-19,10.0,10.09,9.92,9.95,3696000.0,1,9.947
2006-06-20,10.06,10.35,9.97,10.29,2978000.0,1,10.286
2006-06-21,10.26,10.63,10.25,10.5,3908000.0,1,10.5
2006-06-22,10.4,10.49,10.25,10.26,2434000.0,1,10.257
2006-06-23,10.21,10.47,10.19,10.35,5332000.0,1,10.353
2006-06-26,10.42,10.45,10.13,10.32,2010000.0,1,10.317
2006-06-27,10.5,10.69,10.21,10.21,5217000.0,1,10.214
2006-06-28,10.38,10.39,10.19,10.25,2816000.0,1,10.245
2006-06-29,10.41,10.8,10.41,10.78,6411000.0,1,10.782
2006-06-30,11.01,11.15,10.93,11.14,7536000.0,1,11.139
2006-07-03,11.32,11.47,11.27,11.38,2103000.0,1,11.38
2006-07-05,11.5,11.53,11.25,11.47,3619000.0,1,11.47
2006-07-06,11.42,11.68,11.33,11.6,3919000.0,1,11.599
2006-07-07,11.5,11.51,11.3,11.33,3436000.0,1,11.325
2006-07-10,11.16,11.26,11.05,11.08,2749000.0,1,11.084
2006-07-11,11.32,11.62,11.29,11.57,2909000.0,1,11.57
2006-07-12,11.73,11.83,11.38,11.59,5695000.0,1,11.592
2006-07-13,11.66,11.66,11.36,11.65,4515000.0,1,11.65
2006-07-14,11.65,11.71,11.47,11.5,2867000.0,1,11.499
2006-07-17,11.26,11.3,10.86,10.9,6461000.0,1,10.897
2006-07-18,11.07,11.08,10.47,10.6,4719000.0,1,10.595
2006-07-19,10.68,11.17,10.66,11.14,2368000.0,1,11.139
2006-07-20,11.0,11.29,10.89,10.9,2429000.0,1,10.9
2006-07-21,11.24,11.24,10.72,10.84,2633000.0,1,10.838
2006-07-24,10.8,10.92,10.63,10.92,3195000.0,1,10.918
2006-07-25,10.97,11.0,10.78,10.99,2733000.0,1,10.993
2006-07-26,10.94,11.18,10.87,11.11,2060000.0,1,11.107
2006-07-27,11.46,11.49,11.27,11.38,2943000.0,1,11.375
2006-07-28,11.35,11.43,11.3,11.4,1826000.0,1,11.4
2006-07-31,11.42,11.46,11.24,11.42,2537000.0,1,11.415
2006-08-01,11.41,11.77,11.4,11.76,2751000.0,1,11.76
2006-08-02,11.9,12.25,11.9,12.17,4575000.0,1,12.17
2006-08-03,12.12,12.22,12.0,12.08,2456000.0,1,12.08
2006-08-04,12.48,12.58,12.29,12.38,3716000.0,1,12.383
2006-08-07,12.47,12.47,12.16,12.31,3070000.0,1,12.31
2006-08-08,12.23,12.36,12.2,12.26,1655000.0,1,12.26
2006-08-09,12.43,12.65,12.43,12.52,3686000.0,1,12.518
2006-08-10,12.33,12.4,12.06,12.12,3909000.0,1,12.121
2006-08-11,12.27,12.37,11.78,11.92,4086000.0,1,11.919
2006-08-14,11.91,12.22,11.84,12.05,3472000.0,1,12.048
2006-08-15,12.02,12.13,11.95,12.11,1557000.0,1,12.105
2006-08-16,12.33,12.43,12.25,12.32,2334000.0,1,12.324
2006-08-17,12.21,12.21,11.9,11.97,2984000.0,1,11.967
2006-08-18,12.08,12.12,11.85,12.06,2293000.0,1,12.06
2006-08-21,12.37,12.44,12.32,12.41,2415000.0,1,12.412
2006-08-22,12.18,12.32,12.1,12.3,2165000.0,1,12.295
2006-08-23,12.6,12.63,12.41,12.5,3628000.0,1,12.5
2006-08-24,12.57,12.6,12.29,12.36,2887000.0,1,12.36
2006-08-25,12.35,12.44,12.29,12.42,1733000.0,1,12.42
2006-08-28,12.41,12.41,11.98,12.03,4205000.0,1,12.032
2006-08-29,12.06,12.29,11.85,12.28,3214000.0,1,12.275
2006-08-30,12.44,12.53,12.34,12.51,2982000.0,1,12.511
2006-08-31,12.66,12.92,12.62,12.91,4310000.0,1,12.908
2006-09-01,12.83,12.98,12.68,12.96,4296000.0,1,12.96
2006-09-05,13.18,13.22,12.94,12.97,6456000.0,1,12.975
2006-09-06,13.07,13.22,12.97,12.99,3501000.0,1,12.988
2006-09-07,12.8,12.84,12.39,12.57,5737000.0,1,12.57
2006-09-08,12.12,12.24,12.0,12.13,7386000.0,1,12.13
2006-09-11,11.65,11.7,11.06,11.08,12051000.0,1,11.075
2006-09-12,11.12,11.28,10.96,11.02,5852000.0,1,11.019
2006-09-13,11.19,11.28,11.0,11.19,3693000.0,1,11.185
2006-09-14,11.22,11.25,10.66,10.7,7086000.0,1,10.7
2006-09-15,10.69,10.94,10.46,10.8,6357000.0,1,10.799
2006-09-18,10.8,11.21,10.8,11.17,6093000.0,1,11.17
2006-09-19,11.11,11.19,10.73,10.79,5779000.0,1,10.788
2006-09-20,11.0,11.15,10.85,10.89,3960000.0,1,10.886
2006-09-21,10.89,11.2,10.84,11.19,3542000.0,1,11.185
2006-09-22,11.36,11.37,11.06,11.15,2708000.0,1,11.151
2006-09-25,11.08,11.28,11.03,11.19,2775000.0,1,11.188
2006-09-26,11.28,11.47,11.2,11.39,2550000.0,1,11.389
2006-09-27,11.58,11.65,11.45,11.62,2676000.0,1,11.622
2006-09-28,11.66,11.68,11.5,11.54,2479000.0,1,11.541
2006-09-29,11.43,11.49,11.2,11.45,2786000.0,1,11.451
2006-10-02,11.63,11.67,11.41,11.44,2158000.0,1,11.435
2006-10-03,11.14,11.14,10.79,10.81,4700000.0,1,10.81
2006-10-04,10.93,10.93,10.54,10.8,6287000.0,1,10.8
2006-10-05,11.09,11.1,10.9,11.08,3305000.0,1,11.078
2006-10-06,10.96,11.14,10.78,11.1,2112000.0,1,11.095
2006-10-09,11.4,11.41,11.21,11.28,1821000.0,1,11.278
2006-10-10,11.14,11.27,11.06,11.12,1644000.0,1,11.118
2006-10-11,11.28,11.42,11.15,11.17,2093000.0,1,11.173
2006-10-12,11.11,11.35,11.11,11.29,1273000.0,1,11.291
2006-10-13,11.51,11.64,11.45,11.64,2600000.0,1,11.64
2006-10-16,11.78,11.85,11.74,11.85,5365000.0,1,11.845
2006-10-17,11.9,11.9,11.56,11.69,4617000.0,1,11.688
2006-10-18,11.81,11.88,11.67,11.72,2932000.0,1,11.722
2006-10-19,11.91,12.07,11.9,12.07,2959000.0,1,12.07
2006-10-20,11.98,12.06,11.8,11.88,1949000.0,1,11.877
2006-10-23,11.63,11.73,11.56,11.64,2789000.0,1,11.639
2006-10-24,11.39,11.82,11.22,11.79,3779000.0,1,11.789
2006-10-25,11.75,11.92,11.67,11.9,3547000.0,1,11.895
2006-10-26,12.06,12.2,12.04,12.11,4263000.0,1216,12.1259
2006-10-27,12.12,12.13,11.94,12.01,1911000.0,741,12.0312
2006-10-30,12.12,12.23,12.07,12.11,2960000.0,1009,12.1576
2006-10-31,12.02,12.27,12.0,12.27,3419000.0,1162,12.1562
2006-11-01,12.49,12.51,12.29,12.43,3985000.0,1499,12.4302
2006-11-02,12.5,12.6,12.49,12.53,3427000.0,1100,12.5479
2006-11-03,12.48,12.61,12.41,12.55,3392000.0,987,12.5059
2006-11-06,12.52,12.74,12.5,12.61,3102000.0,1042,12.6117
2006-11-07,12.63,12.72,12.56,12.57,3489000.0,1095,12.644
2006-11-08,12.6,12.69,12.38,12.42,3488000.0,1154,12.5386
2006-11-09,12.75,13.04,12.71,13.01,6109000.0,1669,12.8793
2006-11-10,12.98,13.07,12.83,12.98,3636000.0,1206,12.956
2006-11-13,12.72,12.9,12.69,12.89,3291000.0,1040,12.8046
2006-11-14,12.96,12.97,12.7,12.77,3706000.0,1100,12.8313
2006-11-15,12.59,12.92,12.57,12.86,4920000.0,1726,12.7329
2006-11-16,13.09,13.13,12.74,12.75,5323000.0,1729,12.933
2006-11-17,12.72,12.84,12.67,12.77,2958000.0,978,12.7349
2006-11-20,12.91,12.96,12.7,12.71,3307000.0,965,12.8558
2006-11-21,13.01,13.07,12.75,13.03,3945000.0,1047,13.0135
