date,open,high,low,close,volume,bar_count,vwap
2024-11-19,25.09,25.18,25.07,25.07,3275.0,28,25.117
2024-11-20,25.02,25.09,25.02,25.05,1500.0,8,25.036
2024-11-21,25.1,25.14,25.08,25.11,10257.0,61,25.11
2024-11-22,25.15,25.23,25.09,25.14,22856.0,141,25.131
2024-11-25,25.43,25.43,25.28,25.37,17648.0,92,25.334
2024-11-26,25.4,25.4,25.21,25.28,11637.0,82,25.277
2024-11-27,25.45,25.45,25.3,25.36,5721.0,36,25.358
2024-11-29,25.42,25.48,25.4,25.43,6520.0,38,25.439
2024-12-02,25.45,25.47,25.31,25.4,6016.0,28,25.392
2024-12-03,25.5,25.5,25.37,25.37,1563.0,7,25.437
2024-12-04,25.31,25.45,25.3,25.45,5632.0,20,25.412
2024-12-05,25.52,25.52,25.41,25.47,1976.0,8,25.478
2024-12-06,25.57,25.57,25.5,25.54,855.0,7,25.533
2024-12-09,25.53,25.55,25.47,25.48,3199.0,28,25.493
2024-12-10,25.43,25.49,25.42,25.47,12573.0,33,25.456
2024-12-11,25.48,25.49,25.39,25.39,1700.0,6,25.441
2024-12-12,25.35,25.38,25.29,25.29,5490.0,11,25.352
2024-12-13,25.27,25.27,25.17,25.21,6243.0,55,25.204
2024-12-16,25.39,25.39,25.19,25.21,5183.0,12,25.25
2024-12-17,25.21,25.24,25.19,25.2,6425.0,19,25.223
2024-12-18,25.22,25.28,25.0,25.01,11743.0,41,25.145
2024-12-19,24.95,24.97,24.89,24.96,6535.0,38,24.95
2024-12-20,24.96,24.99,24.92,24.95,12557.0,83,24.968
2024-12-23,24.97,24.97,24.82,24.85,7036.0,47,24.886
2024-12-24,24.78,24.82,24.77,24.82,1900.0,4,24.785
2024-12-26,24.84,24.87,24.75,24.87,1854.0,3,24.779
2024-12-27,24.88,24.9,24.84,24.84,1938.0,9,24.879
2024-12-30,24.97,24.97,24.94,24.94,1900.0,4,24.968
2024-12-31,24.99,24.99,24.92,24.93,2905.0,10,24.957
2025-01-02,24.95,24.96,24.87,24.91,14828.0,46,24.923
2025-01-03,25.06,25.06,24.88,24.89,14297.0,40,24.937
2025-01-06,24.92,24.92,24.83,24.85,4752.0,20,24.87
2025-01-07,25.0,25.0,24.69,24.78,19994.0,48,24.761
2025-01-08,24.72,24.8,24.72,24.8,4465.0,6,24.728
2025-01-10,24.65,24.69,24.61,24.65,3822.0,16,24.659
2025-01-13,24.8,24.8,24.59,24.59,3291.0,11,24.693
2025-01-14,24.57,24.64,24.57,24.61,2111.0,8,24.596
2025-01-15,24.87,24.89,24.84,24.89,493902.0,47,24.851
2025-01-16,24.89,25.0,24.84,24.98,21271.0,161,24.954
2025-01-17,24.95,24.97,24.93,24.95,25042.0,161,24.95
2025-01-21,25.12,25.12,24.96,25.0,7640.0,37,24.998
2025-01-22,24.98,24.99,24.91,24.96,24805.0,41,24.966
2025-01-23,24.94,24.96,24.88,24.93,27045.0,186,24.917
2025-01-24,25.05,25.05,24.9,24.92,12579.0,32,24.941
2025-01-27,25.02,25.07,25.0,25.06,3286.0,22,25.038
2025-01-28,25.13,25.13,25.0,25.01,31217.0,85,25.048
2025-01-29,25.01,25.07,25.0,25.05,6451.0,22,25.045
2025-01-30,25.1,25.12,25.05,25.09,17976.0,50,25.102
2025-01-31,25.1,25.14,25.03,25.03,4417.0,17,25.102
2025-02-03,24.94,25.07,24.92,24.93,58399.0,182,24.973
2025-02-04,24.92,25.1,24.89,24.98,120034.0,184,24.996
2025-02-05,25.05,25.14,25.05,25.09,16196.0,70,25.097
2025-02-06,25.05,25.16,25.02,25.05,31875.0,101,25.089
2025-02-07,25.01,25.02,24.98,25.0,7449.0,33,25.002
2025-02-10,25.05,25.07,25.03,25.04,12166.0,60,25.045
2025-02-11,25.0,25.0,24.95,24.96,40644.0,135,24.986
2025-02-12,24.98,24.98,24.79,24.85,13628.0,27,24.86
2025-02-13,24.94,25.01,24.93,24.97,7061.0,24,24.982
2025-02-14,25.12,25.17,25.09,25.11,20897.0,181,25.122
2025-02-18,25.2,25.2,24.99,24.99,4998.0,22,25.093
2025-02-19,24.99,25.07,24.98,25.04,22731.0,63,25.004
2025-02-20,25.1,25.1,25.05,25.09,10913.0,10,25.074
2025-02-21,25.16,25.22,25.15,25.21,7932.0,41,25.199
2025-02-24,25.18,25.25,25.18,25.22,6234.0,30,25.225
2025-02-25,25.36,25.41,25.35,25.39,31996.0,78,25.37
2025-02-26,25.4,25.48,25.35,25.44,26476.0,144,25.418
2025-02-27,25.4,25.45,25.4,25.43,21971.0,33,25.414
2025-02-28,25.48,25.53,25.48,25.52,11453.0,30,25.503
2025-03-03,25.39,25.49,25.33,25.46,11404.0,47,25.406
2025-03-04,25.48,25.53,25.39,25.39,15232.0,51,25.495
2025-03-05,25.4,25.55,25.28,25.29,13977.0,44,25.329
2025-03-06,25.24,25.31,25.19,25.31,14687.0,47,25.252
2025-03-07,25.39,25.39,25.25,25.25,22717.0,42,25.328
2025-03-10,25.4,25.45,25.37,25.41,11689.0,26,25.418
2025-03-11,25.34,25.4,25.3,25.3,3117.0,15,25.368
2025-03-12,25.28,25.29,25.24,25.27,7241.0,16,25.27
2025-03-13,25.24,25.35,25.23,25.34,27098.0,129,25.29
2025-03-14,25.25,25.3,25.25,25.25,9294.0,35,25.277
2025-03-17,25.3,25.36,25.28,25.3,7858.0,42,25.33
2025-03-18,25.24,25.34,25.24,25.32,5594.0,23,25.305
2025-03-19,25.28,25.38,25.25,25.37,2460.0,13,25.268
2025-03-20,25.47,25.49,25.38,25.39,21621.0,60,25.431
2025-03-21,25.44,25.44,25.39,25.39,11959.0,22,25.426
2025-03-24,25.38,25.38,25.26,25.28,9777.0,37,25.322
2025-03-25,25.29,25.33,25.28,25.32,1607.0,10,25.307
2025-03-26,25.25,25.28,25.24,25.27,2299.0,9,25.26
2025-03-27,25.24,25.28,25.23,25.24,4400.0,17,25.25
2025-03-28,25.35,25.42,25.32,25.41,21976.0,47,25.372
2025-03-31,25.46,25.46,25.37,25.45,11177.0,47,25.396
2025-04-01,25.4,25.47,25.4,25.44,15159.0,56,25.439
2025-04-02,25.43,25.43,25.33,25.35,5374.0,17,25.344
2025-04-03,25.55,25.59,25.51,25.53,2461.0,13,25.534
2025-04-04,25.67,25.73,25.56,25.57,16378.0,23,25.618
2025-04-07,25.58,25.58,25.3,25.32,18615.0,35,25.419
2025-04-08,25.21,25.34,25.16,25.16,7165.0,28,25.269
2025-04-09,24.95,25.52,24.65,25.14,99260.0,91,24.825
2025-04-10,25.17,25.17,24.94,24.94,10299.0,50,25.027
2025-04-11,24.69,24.92,24.65,24.87,143346.0,60,24.698
2025-04-14,25.05,25.11,25.02,25.09,4544.0,24,25.047
2025-04-15,25.1,25.17,25.07,25.13,3511.0,11,25.135
2025-04-16,25.14,25.25,25.1,25.2,9724.0,31,25.176
2025-04-17,25.18,25.18,25.09,25.09,12548.0,10,25.141
2025-04-21,25.07,25.08,24.96,24.99,13230.0,53,25.038
2025-04-22,25.07,25.07,25.0,25.04,17497270.0,27,25.05
2025-04-23,25.18,25.26,25.05,25.1,277455.0,132,25.073
2025-04-24,25.18,25.29,25.15,25.29,181405.0,107,25.18
2025-04-25,25.26,25.33,25.26,25.32,165095.0,170,25.294
2025-04-28,25.29,25.36,25.28,25.36,199457.0,43,25.322
2025-04-29,25.34,25.42,25.31,25.42,221224.0,65,25.402
2025-04-30,25.4,25.43,25.35,25.42,168164.0,72,25.368
2025-05-01,25.36,25.43,25.28,25.3,213883.0,76,25.303
2025-05-02,25.2,25.29,25.13,25.17,257153.0,129,25.164
2025-05-05,25.17,25.17,25.08,25.11,255090.0,228,25.129
2025-05-06,25.13,25.21,25.1,25.18,2077556.0,272,25.131
2025-05-07,25.21,25.3,25.21,25.27,183476.0,145,25.252
2025-05-08,25.29,25.29,25.12,25.12,254925.0,268,25.2
2025-05-09,25.07,25.25,25.07,25.12,222630.0,168,25.204
2025-05-12,25.11,25.13,25.02,25.02,305623.0,142,25.107
2025-05-13,25.12,25.12,25.01,25.07,258952.0,97,25.032
2025-05-14,25.0,25.03,24.87,24.87,237271.0,160,24.956
2025-05-15,25.03,25.1,24.99,25.06,203641.0,235,25.093
2025-05-16,25.2,25.21,25.1,25.12,240443.0,141,25.131
2025-05-19,25.04,25.13,24.91,25.13,299974.0,128,25.02
2025-05-20,25.02,25.03,24.92,24.92,255862.0,193,25.01
2025-05-21,24.84,24.94,24.82,24.82,295062.0,197,24.9
2025-05-22,24.79,24.87,24.78,24.85,268495.0,217,24.859
2025-05-23,24.89,24.93,24.85,24.9,278095.0,129,24.918
2025-05-27,24.98,25.03,24.92,25.03,248392.0,156,25.011
2025-05-28,25.02,25.02,24.95,24.98,257836.0,114,24.978
2025-05-29,25.01,25.11,25.01,25.02,196546.0,100,25.095
2025-05-30,25.12,25.16,25.09,25.13,234086.0,281,25.143
2025-06-02,24.96,25.04,24.94,24.98,260810.0,371,24.992
2025-06-03,24.99,25.02,24.93,24.95,264894.0,179,24.951
2025-06-04,25.02,25.13,25.02,25.1,200589.0,142,25.122
2025-06-05,25.12,25.13,25.03,25.05,192895.0,112,25.086
2025-06-06,24.95,25.1,24.91,24.93,282702.0,889,24.956
2025-06-09,24.94,25.02,24.94,24.98,211011.0,415,24.995
2025-06-10,25.05,25.07,25.02,25.02,225568.0,294,25.037
2025-06-11,25.12,25.16,25.09,25.14,306859.0,663,25.127
