date,open,high,low,close,volume,bar_count,vwap
2007-03-29,0.885,1.4,0.866,0.875,61512000.0,9694,0.8962
2007-03-30,0.876,0.9,0.855,0.898,4123000.0,1035,0.8879
2007-04-02,0.9,1.059,0.899,1.038,7436000.0,2858,0.9877
2007-04-03,1.07,1.166,1.04,1.058,8203000.0,3139,1.1054
2007-04-04,1.04,1.099,1.003,1.016,3107000.0,1035,1.0557
2007-04-05,1.002,1.025,0.952,0.98,4184000.0,1204,0.9827
2007-04-09,0.995,1.036,0.988,1.0,1721000.0,473,1.0042
2007-04-10,0.996,1.012,0.966,0.98,1048000.0,332,0.9819
2007-04-11,0.971,0.986,0.95,0.954,1054000.0,337,0.9607
2007-04-12,0.95,0.997,0.95,0.985,873000.0,248,0.972
2007-04-13,0.998,0.998,0.966,0.974,632000.0,150,0.9774
2007-04-16,0.97,1.025,0.96,1.015,1329000.0,397,0.9941
2007-04-17,1.025,1.04,1.006,1.025,899000.0,349,1.0248
2007-04-18,1.043,1.05,1.004,1.037,984000.0,342,1.0353
2007-04-19,1.019,1.029,0.982,0.988,693000.0,216,1.0024
2007-04-20,1.007,1.007,0.979,0.979,1319000.0,295,0.9862
2007-04-23,0.977,1.007,0.977,0.985,767000.0,179,0.9896
2007-04-24,0.99,1.0,0.973,0.983,704000.0,217,0.9794
2007-04-25,0.98,1.049,0.98,1.035,1567000.0,454,1.015
2007-04-26,1.047,1.047,1.012,1.03,737000.0,227,1.0272
2007-04-27,1.011,1.04,0.999,1.02,1140000.0,247,1.0198
2007-04-30,1.02,1.106,1.02,1.041,2688000.0,761,1.0657
2007-05-01,1.05,1.09,1.01,1.049,1223000.0,388,1.0402
2007-05-02,1.053,1.064,1.04,1.04,609000.0,179,1.0507
2007-05-03,1.041,1.05,1.031,1.043,733000.0,179,1.0404
2007-05-04,1.04,1.06,1.037,1.058,723000.0,188,1.0475
2007-05-07,1.076,1.105,1.04,1.057,1732000.0,347,1.0628
2007-05-08,1.05,1.06,1.045,1.05,1454000.0,304,1.0503
2007-05-09,1.089,1.135,1.05,1.124,3843000.0,941,1.1089
2007-05-10,1.087,1.087,0.996,1.01,4846000.0,1302,1.0444
2007-05-11,1.022,1.05,1.0,1.04,2674000.0,816,1.0283
2007-05-14,1.044,1.05,1.02,1.043,2076000.0,619,1.032
2007-05-15,1.02,1.043,1.02,1.024,1320000.0,520,1.0298
2007-05-16,1.02,1.039,1.0,1.01,851000.0,345,1.0124
2007-05-17,1.0,1.008,1.0,1.002,1099000.0,259,1.0044
2007-05-18,1.0,1.01,0.974,1.004,1848000.0,515,1.0002
2007-05-21,1.001,1.009,0.992,1.004,2106000.0,238,1.0
2007-05-22,0.995,1.011,0.995,1.0,609000.0,232,1.0023
2007-05-23,0.996,1.012,0.996,1.0,641000.0,241,1.0046
2007-05-24,0.997,1.008,0.993,0.999,593000.0,267,0.9979
2007-05-25,0.992,1.005,0.992,1.004,477000.0,203,1.0011
2007-05-29,1.0,1.006,0.992,1.003,555000.0,331,1.0003
2007-05-30,1.001,1.003,0.995,1.003,726000.0,238,0.9995
2007-05-31,1.003,1.008,0.996,1.006,1056000.0,231,1.0023
2007-06-01,1.011,1.011,1.001,1.004,816000.0,233,1.0054
2007-06-04,1.005,1.067,1.002,1.056,2197000.0,611,1.0379
2007-06-05,1.13,1.185,1.103,1.143,8901000.0,2523,1.1367
2007-06-06,1.15,1.154,1.1,1.12,3405000.0,1090,1.1226
2007-06-07,1.13,1.134,1.11,1.116,1814000.0,682,1.1218
2007-06-08,1.133,1.133,1.017,1.065,3428000.0,1273,1.0591
2007-06-11,1.055,1.08,1.025,1.051,1326000.0,430,1.0411
2007-06-12,1.041,1.113,1.041,1.073,1435000.0,574,1.0796
2007-06-13,1.099,1.099,1.055,1.062,783000.0,261,1.0673
2007-06-14,1.08,1.092,1.07,1.08,1486000.0,583,1.0797
2007-06-15,1.1,1.1,1.068,1.074,934000.0,324,1.0819
2007-06-18,1.089,1.089,1.05,1.075,1183000.0,661,1.0696
2007-06-19,1.086,1.135,1.072,1.09,1607000.0,626,1.0983
2007-06-20,1.097,1.13,1.091,1.097,2184000.0,769,1.1009
2007-06-21,1.11,1.111,1.086,1.1,1408000.0,525,1.0977
2007-06-22,1.099,1.114,1.052,1.063,953000.0,401,1.0801
2007-06-25,1.053,1.08,1.028,1.048,2091000.0,983,1.0522
2007-06-26,1.049,1.051,1.02,1.024,1029000.0,575,1.0319
2007-06-27,1.02,1.049,1.02,1.037,1029000.0,577,1.0365
2007-06-28,1.039,1.039,0.991,1.011,2147000.0,569,1.0056
2007-06-29,1.01,1.027,1.0,1.001,885000.0,515,1.0129
2007-07-02,1.008,1.022,1.0,1.004,757000.0,501,1.0069
2007-07-03,1.003,1.052,1.003,1.04,1500000.0,651,1.0379
2007-07-05,1.039,1.052,1.019,1.027,929000.0,356,1.0323
2007-07-06,1.038,1.038,1.01,1.017,833000.0,425,1.0171
2007-07-09,1.014,1.027,1.005,1.018,755000.0,378,1.0135
2007-07-10,1.025,1.025,0.999,1.0,3828000.0,871,1.0022
2007-07-11,1.016,1.02,0.995,1.005,2374000.0,978,1.0038
2007-07-12,1.0,1.004,0.98,0.991,3196000.0,910,0.9899
2007-07-13,0.987,0.991,0.934,0.944,3010000.0,985,0.9636
2007-07-16,0.94,0.989,0.937,0.976,1335000.0,554,0.9686
2007-07-17,0.968,0.99,0.968,0.985,710000.0,310,0.9821
2007-07-18,0.985,0.993,0.98,0.993,1896000.0,355,0.984
2007-07-19,0.992,0.999,0.99,0.999,507000.0,151,0.9937
2007-07-20,0.997,1.0,0.963,0.995,786000.0,370,0.9869
2007-07-23,1.0,1.009,0.993,1.0,464000.0,251,1.001
2007-07-24,1.0,1.005,0.994,1.0,904000.0,493,0.9996
2007-07-25,1.004,1.005,0.985,1.003,767000.0,348,0.9986
2007-07-26,0.987,1.0,0.95,0.972,1188000.0,583,0.9725
2007-07-27,0.971,0.974,0.932,0.934,813000.0,353,0.946
2007-07-30,0.932,0.933,0.855,0.89,1764000.0,718,0.8977
2007-07-31,0.9,0.915,0.895,0.895,612000.0,259,0.9039
2007-08-01,0.89,0.934,0.89,0.91,785000.0,457,0.9153
2007-08-02,0.914,0.939,0.896,0.914,1648000.0,742,0.9224
