date,open,high,low,close,volume,bar_count,vwap
2011-12-21,15.05,15.05,14.61,14.83,1301000.0,4086,14.7895
2011-12-22,14.92,15.28,14.89,15.22,2508400.0,7891,15.135
2011-12-23,15.28,15.33,15.14,15.33,615200.0,2245,15.257
2011-12-27,15.31,15.44,15.26,15.33,911400.0,2675,15.361
2011-12-28,15.29,15.34,15.12,15.13,1073400.0,3321,15.224
2011-12-29,15.19,15.31,15.14,15.28,959400.0,3354,15.255
2011-12-30,15.26,15.36,15.21,15.22,1257600.0,3006,15.2675
2012-01-03,15.52,15.66,15.37,15.43,1428200.0,3151,15.4965
2012-01-04,15.34,15.47,15.26,15.44,2375000.0,5346,15.3615
2012-01-05,15.42,15.64,15.39,15.63,2818800.0,4589,15.535
2012-01-06,15.54,15.65,15.47,15.61,2762200.0,5888,15.5855
2012-01-09,15.72,15.9,15.67,15.86,3643000.0,8811,15.838
2012-01-10,16.05,16.05,15.9,15.97,2012800.0,3985,15.9725
2012-01-11,15.94,15.99,15.86,15.96,1680800.0,3637,15.923
2012-01-12,16.03,16.13,15.93,16.1,2571200.0,4935,16.001
2012-01-13,15.97,15.97,15.77,15.8,3186600.0,4896,15.811
2012-01-17,15.93,15.97,15.79,15.81,2106800.0,3824,15.8755
2012-01-18,16.09,16.49,16.08,16.45,6671400.0,9680,16.328
2012-01-19,16.57,16.75,16.55,16.72,4811000.0,8322,16.6545
2012-01-20,16.77,16.84,16.66,16.84,3243600.0,6316,16.7575
2012-01-23,16.85,16.95,16.75,16.84,3914600.0,6117,16.845
2012-01-24,16.79,16.95,16.78,16.9,2341200.0,4514,16.8795
2012-01-25,16.86,17.0,16.72,16.95,2949800.0,6331,16.8475
2012-01-26,16.99,17.18,16.79,16.85,3269600.0,7421,16.9845
2012-01-27,16.8,16.95,16.77,16.88,3309800.0,5959,16.869
2012-01-30,16.75,16.82,16.59,16.77,2738800.0,5917,16.6925
2012-01-31,16.91,16.95,16.68,16.76,2567600.0,6082,16.786
2012-02-01,16.91,17.15,16.9,17.04,3968200.0,8250,17.0635
2012-02-02,17.06,17.18,16.99,17.05,1336800.0,3819,17.0675
2012-02-03,17.22,17.38,17.17,17.31,1817800.0,4315,17.288
2012-02-06,17.24,17.24,17.05,17.13,1278000.0,3948,17.1165
2012-02-07,17.09,17.22,17.0,17.18,4186600.0,7754,17.1235
2012-02-08,17.21,17.47,17.21,17.34,1408800.0,3509,17.345
2012-02-09,17.43,17.44,17.28,17.41,1930400.0,4671,17.3755
2012-02-10,17.25,17.26,17.02,17.09,2234400.0,4962,17.1165
2012-02-13,17.25,17.27,16.95,17.15,14194600.0,7570,17.0925
2012-02-14,17.08,17.21,17.05,17.2,3037000.0,5345,17.1135
2012-02-15,17.27,17.43,17.22,17.24,5320200.0,10660,17.321
2012-02-16,17.21,17.66,17.21,17.6,4692200.0,8702,17.5455
2012-02-17,17.74,17.75,17.51,17.57,5326200.0,7310,17.5735
2012-02-21,17.58,17.6,17.29,17.36,2444600.0,3619,17.4395
2012-02-22,17.32,17.44,17.21,17.26,4922000.0,8023,17.304
2012-02-23,17.2,17.28,17.06,17.22,3082000.0,6210,17.168
2012-02-24,17.29,17.33,17.18,17.2,1219200.0,2723,17.258
2012-02-27,17.11,17.37,17.0,17.27,4519200.0,6637,17.2065
2012-02-28,17.28,17.59,17.28,17.52,2205400.0,5982,17.4975
2012-02-29,17.54,17.54,17.23,17.25,3600200.0,7989,17.355
