date,open,high,low,close,volume,bar_count,vwap
2022-05-03,10.7,10.74,9.81,10.55,717080.0,2525,10.2069
2022-05-04,10.31,10.58,9.8,10.4,920182.0,2640,10.23523
2022-05-05,10.41,10.46,9.63,9.94,589864.0,1820,9.96233
2022-05-06,9.84,10.61,9.4,10.61,625675.0,2278,10.01916
2022-05-09,10.59,10.72,10.05,10.53,739834.0,2335,10.34134
2022-05-10,10.71,10.8,9.93,10.3,554472.0,2048,10.25374
2022-05-11,10.15,10.29,10.06,10.19,397537.0,1279,10.17079
2022-05-12,10.0,10.0,9.31,9.84,581094.0,2091,9.69761
2022-05-13,10.03,10.12,9.5,9.62,481013.0,1912,9.82335
2022-05-16,9.7,10.0,9.66,9.78,284554.0,1120,9.78105
2022-05-17,9.91,10.06,9.77,9.85,337891.0,1317,9.9141
2022-05-18,9.77,9.84,9.31,9.6,373177.0,1409,9.59188
2022-05-19,9.65,9.9,9.59,9.84,291197.0,895,9.78214
2022-05-20,10.0,10.24,9.75,9.9,483991.0,1864,9.98015
2022-05-23,10.07,10.07,9.63,9.67,246127.0,975,9.74875
2022-05-24,9.68,9.7,8.87,8.96,751218.0,2456,9.07716
2022-05-25,9.1,9.77,8.97,9.52,364276.0,1835,9.46026
2022-05-26,9.48,9.64,9.37,9.46,182095.0,898,9.46132
2022-05-27,9.53,9.97,9.5,9.9,412742.0,1802,9.80063
2022-05-31,10.05,10.13,9.75,9.79,313769.0,1336,9.9486
2022-06-01,9.92,9.96,9.32,9.6,394503.0,1744,9.5726
2022-06-02,9.5,9.89,9.31,9.48,391545.0,1908,9.61414
2022-06-03,9.51,9.61,9.23,9.44,429624.0,2136,9.37514
2022-06-06,9.89,10.08,9.76,9.85,577971.0,3239,9.91632
2022-06-07,9.69,10.15,9.64,10.14,472930.0,2447,9.89946
2022-06-08,10.07,10.15,9.9,10.13,248593.0,1401,10.04771
2022-06-09,10.1,10.63,9.92,9.96,551415.0,2842,10.15986
2022-06-10,9.93,10.43,9.73,9.99,356033.0,1535,10.01405
2022-06-13,9.59,9.9,9.2,9.71,575627.0,2519,9.5022
2022-06-14,9.71,9.84,9.52,9.75,284188.0,1658,9.69849
2022-06-15,9.75,10.35,9.74,10.35,345875.0,2173,10.11363
2022-06-16,10.05,10.12,9.76,9.98,424220.0,2423,9.94961
2022-06-17,10.02,10.41,9.95,10.32,494473.0,2369,10.21038
