date,open,high,low,close,volume,bar_count,vwap
2025-02-13,35.06,44.0,34.99,36.0,353023.0,599,37.67
2025-02-14,37.0,38.25,35.5,36.65,205174.0,430,36.269
2025-02-18,40.53,47.15,39.0,47.15,414158.0,1185,41.824
2025-02-19,46.51,48.5,45.5,46.0,190054.0,978,46.879
2025-02-20,48.98,49.49,46.71,48.26,406767.0,1678,47.715
2025-02-21,48.99,50.69,48.0,50.37,1121088.0,2550,49.918
2025-02-24,52.0,53.0,46.21,50.37,7529541.0,30039,49.493
2025-02-25,48.3,55.01,47.81,48.16,5775187.0,23955,50.073
2025-02-26,46.15,49.91,45.3,46.58,6145693.0,29334,47.458
2025-02-27,46.04,47.87,41.58,45.16,7804194.0,28247,45.086
2025-02-28,45.23,48.7,43.75,46.85,4924045.0,23440,46.548
2025-03-03,48.49,50.88,47.6,50.31,2620816.0,12631,49.112
2025-03-04,46.69,50.1,45.09,48.69,4490109.0,22339,47.653
2025-03-05,47.6,49.4,46.5,48.47,3483892.0,15394,48.279
2025-03-06,47.41,49.06,45.24,46.5,2596700.0,15188,46.781
2025-03-07,49.2,51.13,47.16,51.0,5535943.0,28030,49.465
2025-03-10,50.49,53.67,49.55,53.0,3265360.0,19368,52.473
2025-03-11,51.84,53.19,49.82,52.16,2067939.0,12034,51.858
2025-03-12,53.0,53.1,50.38,50.44,1114702.0,7062,51.601
2025-03-13,50.0,50.87,47.86,48.44,1430166.0,7959,49.216
2025-03-14,49.43,54.94,49.43,54.82,3240469.0,16517,53.451
2025-03-17,54.8,58.36,54.74,55.65,1871367.0,9610,56.528
2025-03-18,55.43,57.89,54.57,56.42,1621528.0,8162,56.266
2025-03-19,56.3,57.61,55.67,56.33,1246308.0,6022,56.465
2025-03-20,56.51,57.17,54.92,56.21,1272361.0,6534,56.038
2025-03-21,55.1,55.45,51.91,53.96,2737108.0,15437,54.03
2025-03-24,54.61,55.69,51.84,52.99,1592170.0,11048,52.996
2025-03-25,52.51,53.18,51.76,52.2,1568673.0,7010,52.359
2025-03-26,53.53,53.7,51.98,52.62,772892.0,4021,52.602
2025-03-27,51.95,54.24,51.71,52.88,952998.0,5184,53.01
2025-03-28,52.21,52.89,48.45,48.97,2668153.0,16193,49.792
2025-03-31,47.41,48.4,47.02,47.61,1165292.0,7987,47.697
2025-04-01,47.55,49.36,46.58,48.11,1366720.0,8129,47.883
2025-04-02,47.15,48.71,46.51,47.67,1113789.0,7575,47.65
2025-04-03,44.8,44.8,37.55,38.26,5552232.0,32753,39.896
2025-04-04,35.72,35.87,28.36,30.11,8437761.0,45333,30.621
2025-04-07,29.22,32.98,27.88,31.48,3942210.0,24472,30.614
2025-04-08,32.77,35.84,31.65,32.35,3715905.0,20266,33.638
2025-04-09,31.92,39.65,31.26,36.58,4152555.0,25384,35.871
2025-04-10,34.61,35.03,30.51,31.07,2900328.0,16954,32.378
2025-04-11,30.56,32.05,28.27,31.97,3744354.0,20133,30.049
2025-04-14,33.75,36.17,32.48,33.55,2694186.0,17751,34.05
2025-04-15,33.3,34.56,32.89,33.23,1250409.0,6918,33.326
2025-04-16,32.3,33.12,30.75,32.03,1527404.0,7211,32.021
2025-04-17,31.75,32.66,30.39,31.29,1247770.0,7999,31.145
2025-04-21,31.07,31.07,28.94,29.81,1594600.0,9386,29.445
2025-04-22,30.26,31.12,29.31,29.62,1943647.0,9038,30.16
2025-04-23,31.99,32.78,30.2,30.36,1712274.0,9965,31.344
2025-04-24,30.81,32.98,30.31,32.29,1741483.0,10253,32.298
2025-04-25,32.26,33.37,31.6,32.85,685488.0,4511,32.596
2025-04-28,32.63,33.0,31.66,32.27,676571.0,4645,32.229
2025-04-29,31.39,33.04,31.39,32.94,638798.0,4428,32.638
2025-04-30,31.86,32.47,31.01,32.11,1208767.0,6313,32.003
2025-05-01,32.48,34.19,32.48,32.59,980513.0,6670,33.105
2025-05-02,33.04,35.41,33.04,34.4,1485475.0,7047,34.478
2025-05-05,33.83,35.23,33.52,34.61,1295060.0,7265,34.765
2025-05-06,34.02,34.43,33.46,33.83,673679.0,3621,33.978
2025-05-07,34.0,35.56,33.37,34.97,2103364.0,13746,34.649
2025-05-08,34.97,37.76,33.13,36.66,2749032.0,15815,36.268
2025-05-09,37.96,38.79,37.28,37.74,1320415.0,8459,37.936
2025-05-12,41.14,42.24,40.0,41.27,4058073.0,21745,41.03
2025-05-13,41.85,43.8,41.3,42.0,1357718.0,9436,42.667
2025-05-14,42.0,43.43,41.01,41.93,1202899.0,6893,41.752
2025-05-15,41.17,41.87,39.75,40.54,1205768.0,7720,40.409
2025-05-16,40.65,41.0,39.92,40.44,1177188.0,7037,40.555
2025-05-19,39.33,39.5,38.53,38.78,996790.0,7104,38.947
2025-05-20,38.78,41.12,38.45,40.18,1081991.0,7351,40.16
2025-05-21,40.04,40.48,38.35,38.6,1071423.0,7965,39.361
2025-05-22,38.4,39.29,37.77,37.84,845510.0,5607,38.432
2025-05-23,36.19,37.57,35.79,37.28,632698.0,4803,37.098
2025-05-27,37.95,38.62,37.5,38.18,637126.0,4363,38.112
2025-05-28,38.4,38.91,37.8,38.58,509974.0,3484,38.467
2025-05-29,39.04,39.23,37.68,38.6,864326.0,5994,38.29
2025-05-30,38.22,38.45,36.68,37.69,1910400.0,8674,37.505
2025-06-02,37.54,37.88,36.2,37.33,930776.0,5571,37.191
2025-06-03,37.41,39.24,36.87,38.64,788733.0,5716,38.558
2025-06-04,38.64,40.27,38.35,39.82,1334159.0,6501,39.597
2025-06-05,39.38,40.45,37.33,39.12,3750010.0,23662,39.144
2025-06-06,39.7,40.16,38.53,39.15,6088534.0,34315,39.394
2025-06-09,40.36,42.24,39.55,41.82,4524439.0,30164,41.257
2025-06-10,41.79,42.66,40.75,41.59,1886072.0,13975,41.477
2025-06-11,42.38,43.23,39.89,40.23,2572488.0,15884,41.414
2025-06-12,39.74,41.83,39.44,41.3,1198742.0,7994,41.025
2025-06-13,41.0,42.83,40.78,42.5,1744466.0,12335,42.199
2025-06-16,43.37,44.85,42.56,44.21,1954098.0,13530,44.055
2025-06-17,44.23,44.56,43.53,44.09,1303278.0,8944,43.989
2025-06-18,45.0,47.43,44.86,46.62,2098365.0,13251,46.312
2025-06-20,46.98,48.21,44.76,46.58,2369985.0,14187,46.703
2025-06-23,46.36,48.25,45.8,46.95,998951.0,6819,46.933
2025-06-24,47.18,48.75,46.71,47.34,1042237.0,7514,47.933
2025-06-25,47.34,48.16,47.05,47.25,1522655.0,9793,47.534
2025-06-26,49.59,49.82,47.07,47.44,2034305.0,11982,47.923
2025-06-27,47.25,47.74,46.19,47.15,1347264.0,8941,46.878
2025-06-30,47.23,47.34,45.33,45.35,1342489.0,8244,46.036
2025-07-01,45.7,45.92,44.3,44.96,1443894.0,8552,45.158
2025-07-02,44.52,46.24,44.17,46.21,1847575.0,11003,45.396
2025-07-03,46.09,47.32,45.89,46.41,649492.0,4028,46.415
2025-07-07,47.14,47.24,45.09,45.22,1385714.0,8668,45.949
2025-07-08,46.12,47.25,45.61,46.17,979802.0,6038,46.433
2025-07-09,46.12,47.09,45.98,46.2,947220.0,5672,46.526
2025-07-10,47.37,47.75,46.62,46.95,763799.0,4983,47.062
2025-07-11,46.29,47.42,45.82,46.09,595181.0,4128,46.597
2025-07-14,44.63,44.85,41.46,42.48,3533806.0,20833,42.582
2025-07-15,42.8,43.45,42.51,42.72,1526390.0,8956,42.858
2025-07-16,42.76,42.96,40.3,41.36,1402145.0,8679,41.286
2025-07-17,41.4,42.26,41.04,41.52,701058.0,4560,41.593
2025-07-18,41.53,42.29,40.84,42.19,835861.0,5125,41.693
2025-07-21,41.47,42.28,40.55,41.61,1527049.0,8370,41.698
2025-07-22,41.51,41.98,40.89,41.36,927734.0,6556,41.447
2025-07-23,41.06,43.65,41.06,43.0,819943.0,5112,42.958
2025-07-24,43.08,43.5,42.03,42.06,834535.0,5222,42.443
2025-07-25,42.48,42.61,41.5,42.48,452520.0,2764,42.08
2025-07-28,43.08,43.24,41.57,41.89,432652.0,3182,41.98
2025-07-29,42.26,43.19,41.67,42.93,678591.0,4409,42.691
