date,open,high,low,close,volume,bar_count,vwap
2020-11-30,11.0,13.94,10.1,10.48,168190.0,784,10.607
2020-12-01,10.6,10.74,10.46,10.6,420771.0,882,10.589
2020-12-02,10.65,10.71,10.4,10.55,276028.0,1365,10.518
2020-12-03,10.55,10.56,10.4,10.42,360833.0,1805,10.48
2020-12-04,10.58,10.65,10.37,10.41,463831.0,1581,10.471
2020-12-07,10.6,10.8,10.44,10.62,614731.0,3304,10.645
2020-12-08,10.8,11.0,10.7,10.87,1384694.0,3175,10.846
2020-12-09,11.04,11.25,10.75,10.99,1282921.0,3571,11.018
2020-12-10,11.0,11.13,10.75,10.91,546152.0,2260,10.955
2020-12-11,10.99,11.27,10.8,11.06,1164856.0,4873,10.988
2020-12-14,11.2,11.36,10.9,11.11,1290520.0,4158,11.162
2020-12-15,11.15,11.2,10.81,11.08,1045720.0,5398,10.993
2020-12-16,11.06,11.06,10.81,10.99,1065420.0,3040,10.977
2020-12-17,11.07,11.1,10.94,11.03,348166.0,1044,11.007
2020-12-18,11.11,11.42,10.99,11.22,705136.0,2814,11.201
2020-12-21,11.58,11.59,11.13,11.4,2180138.0,7865,11.274
2020-12-22,11.95,12.14,11.4,11.62,1766518.0,7430,11.674
2020-12-23,11.98,12.2,11.74,12.05,2018859.0,9474,11.946
2020-12-24,12.42,12.45,12.05,12.4,908497.0,3535,12.25
2020-12-28,12.89,13.04,12.45,12.66,2259905.0,6861,12.685
2020-12-29,12.77,12.78,12.07,12.3,1613768.0,6934,12.341
2020-12-30,12.0,12.52,11.9,12.46,1131203.0,3771,12.276
2020-12-31,12.45,12.5,12.16,12.44,741170.0,2578,12.324
2021-01-04,12.59,12.59,11.8,12.2,1230237.0,4395,12.217
2021-01-05,12.15,12.28,12.09,12.15,1212480.0,3887,12.194
2021-01-06,12.15,12.2,11.89,12.12,1015955.0,4007,12.059
2021-01-07,12.2,22.0,12.05,19.14,59126116.0,217260,18.388
2021-01-08,21.46,22.0,17.89,18.74,28883421.0,102286,19.389
2021-01-11,19.37,19.75,18.65,18.99,9357924.0,31425,19.141
2021-01-12,18.98,19.19,18.25,18.45,5669406.0,20689,18.667
2021-01-13,18.9,19.59,18.53,19.11,7250139.0,25213,18.989
2021-01-14,19.4,19.45,18.92,19.16,6629142.0,23736,19.095
2021-01-15,19.32,21.05,19.11,20.16,11563272.0,41517,19.948
2021-01-19,21.9,24.22,21.06,22.59,18925980.0,67368,22.692
2021-01-20,23.86,24.62,22.11,22.37,8666830.0,31776,23.584
2021-01-21,23.0,23.05,21.5,22.39,5713932.0,18560,22.231
