date,open,high,low,close,volume,bar_count,vwap
2010-03-11,0.64,0.66,0.64,0.66,3690000.0,40,0.6553833333333333
2010-03-12,0.66,0.67,0.64,0.64,4536000.0,324,0.6519
2010-03-15,0.63,0.64,0.61,0.62,516000.0,30,0.622
2010-03-16,0.63,0.68,0.63,0.67,1248000.0,73,0.6566833333333333
2010-03-17,0.7,0.71,0.69,0.7,2574000.0,70,0.69795
2010-03-18,0.7,0.7,0.67,0.68,1566000.0,35,0.68205
2010-03-19,0.67,0.67,0.64,0.65,1566000.0,48,0.6499333333333333
2010-03-22,0.64,0.7,0.63,0.7,3768000.0,105,0.6816166666666666
2010-03-23,0.71,0.75,0.71,0.74,6072000.0,185,0.7252666666666667
2010-03-24,0.74,0.74,0.7,0.7,1998000.0,98,0.7176666666666667
2010-03-25,0.73,0.74,0.7,0.7,1974000.0,88,0.7323166666666667
2010-03-26,0.72,0.72,0.67,0.69,2286000.0,105,0.7054833333333334
2010-03-29,0.71,0.71,0.7,0.71,1344000.0,67,0.7067833333333333
2010-03-30,0.72,0.73,0.7,0.72,1914000.0,66,0.71495
2010-03-31,0.72,0.73,0.7,0.71,1068000.0,48,0.7137833333333333
2010-04-01,0.73,0.76,0.7,0.71,1626000.0,72,0.7411166666666666
2010-04-05,0.74,0.77,0.69,0.77,1464000.0,80,0.7599666666666667
2010-04-06,0.76,0.77,0.75,0.76,1962000.0,98,0.75525
2010-04-07,0.76,0.78,0.74,0.77,3366000.0,102,0.7649
2010-04-08,0.75,0.75,0.71,0.74,4428000.0,162,0.72705
2010-04-09,0.75,0.76,0.73,0.76,1242000.0,52,0.7458666666666667
2010-04-12,0.77,0.8,0.76,0.78,2346000.0,101,0.78325
2010-04-13,0.78,0.88,0.77,0.79,2880000.0,91,0.7809833333333333
2010-04-14,0.85,0.9,0.84,0.89,6360000.0,284,0.8744833333333333
2010-04-15,0.91,0.92,0.89,0.9,12540000.0,486,0.9072333333333333
2010-04-16,0.89,0.89,0.83,0.87,4326000.0,240,0.8571666666666667
2010-04-19,0.84,0.87,0.79,0.84,5646000.0,300,0.8191
2010-04-20,0.85,0.89,0.85,0.88,2844000.0,152,0.8763
2010-04-21,0.89,0.91,0.81,0.85,5658000.0,271,0.8488666666666667
2010-04-22,0.84,0.9,0.8,0.9,6480000.0,314,0.8567666666666667
2010-04-23,0.92,0.92,0.87,0.91,3504000.0,166,0.8940833333333333
2010-04-26,0.91,0.94,0.91,0.91,3768000.0,165,0.91995
2010-04-27,0.88,0.91,0.82,0.82,5028000.0,301,0.8462666666666667
2010-04-28,0.84,0.88,0.79,0.84,6780000.0,333,0.8298666666666668
2010-04-29,0.84,0.87,0.83,0.86,5754000.0,206,0.8460833333333333
2010-04-30,0.84,0.84,0.75,0.75,9912000.0,436,0.7814166666666666
2010-05-03,0.76,0.81,0.76,0.8,4818000.0,235,0.7936
2010-05-04,0.79,0.79,0.66,0.7,18858000.0,921,0.6902833333333332
2010-05-05,0.65,0.71,0.64,0.67,7698000.0,355,0.673
2010-05-06,0.67,0.7,0.0,0.62,17148000.0,873,0.6207666666666667
2010-05-07,0.6,0.62,0.51,0.58,12210000.0,607,0.5831
2010-05-10,0.68,0.7,0.65,0.68,7080000.0,352,0.66965
2010-05-11,0.64,0.7,0.64,0.67,27624000.0,690,0.6729833333333333
2010-05-12,0.68,0.72,0.68,0.72,42258000.0,1880,0.7124333333333333
2010-05-13,0.7,0.73,0.66,0.66,28854000.0,2276,0.69675
2010-05-14,0.65,0.65,0.57,0.6,15594000.0,1101,0.5932333333333333
2010-05-17,0.59,0.63,0.57,0.63,18936000.0,1564,0.6120166666666667
2010-05-18,0.64,0.66,0.57,0.58,15948000.0,1200,0.5978
2010-05-19,0.57,0.6,0.55,0.59,21126000.0,1641,0.57525
2010-05-20,0.54,0.58,0.5,0.54,10488000.0,708,0.54035
2010-05-21,0.52,0.6,0.5,0.57,11100000.0,751,0.5664333333333333
2010-05-24,0.56,0.58,0.54,0.54,10872000.0,617,0.56575
2010-05-25,0.48,0.55,0.48,0.55,10746000.0,649,0.5051666666666667
2010-05-26,0.56,0.6,0.55,0.55,14148000.0,1183,0.5895
2010-05-27,0.59,0.63,0.58,0.63,10422000.0,780,0.6157166666666667
2010-05-28,0.64,0.64,0.58,0.6,8958000.0,637,0.60285
2010-06-01,0.65,0.65,0.56,0.56,4476000.0,312,0.5952333333333333
2010-06-02,0.58,0.62,0.56,0.62,11010000.0,790,0.5923333333333333
2010-06-03,0.63,0.65,0.62,0.65,8904000.0,551,0.6349833333333333
2010-06-04,0.61,0.63,0.55,0.56,13500000.0,767,0.5903166666666667
2010-06-07,0.57,0.58,0.5,0.5,18132000.0,1207,0.53635
2010-06-08,0.52,0.52,0.46,0.49,12348000.0,904,0.4802666666666667
2010-06-09,0.49,0.54,0.48,0.48,8526000.0,651,0.5081166666666667
2010-06-10,0.51,0.54,0.48,0.54,9372000.0,558,0.5268666666666667
2010-06-11,0.52,0.56,0.51,0.56,6324000.0,403,0.5442333333333333
2010-06-14,0.59,0.6,0.57,0.57,6606000.0,482,0.5873666666666667
2010-06-15,0.58,0.67,0.58,0.67,14232000.0,807,0.6398166666666667
2010-06-16,0.64,0.69,0.63,0.67,13956000.0,890,0.6684333333333333
2010-06-17,0.69,0.69,0.64,0.67,8610000.0,569,0.66205
2010-06-18,0.67,0.68,0.66,0.67,4584000.0,273,0.6707166666666667
2010-06-21,0.7,0.71,0.64,0.65,8796000.0,705,0.6773166666666667
2010-06-22,0.67,0.68,0.6,0.61,9720000.0,664,0.63765
2010-06-23,0.62,0.64,0.59,0.62,7956000.0,504,0.6135333333333333
2010-06-24,0.61,0.61,0.56,0.57,11490000.0,834,0.5780666666666667
2010-06-25,0.57,0.57,0.54,0.57,8580000.0,565,0.5567833333333333
2010-06-28,0.56,0.59,0.55,0.57,4164000.0,322,0.5756166666666667
2010-06-29,0.54,0.54,0.49,0.5,23652000.0,1185,0.5033833333333333
2010-06-30,0.5,0.51,0.47,0.47,10638000.0,743,0.49325
2010-07-01,0.48,0.49,0.43,0.47,10578000.0,755,0.4664
2010-07-02,0.47,0.48,0.44,0.47,6852000.0,481,0.4647
2010-07-06,0.5,0.51,0.45,0.47,16380000.0,1286,0.48125
2010-07-07,0.47,0.54,0.47,0.54,13404000.0,903,0.5098166666666667
2010-07-08,0.56,0.57,0.51,0.54,14484000.0,816,0.5373833333333333
