date,open,high,low,close,volume,bar_count,vwap
2001-05-18,129.09,129.74,128.1,129.74,6683300.0,1,129.74
2001-05-21,129.84,131.84,129.15,131.65,11532100.0,1,131.65
2001-05-22,131.83,132.09,131.07,131.48,8343200.0,1,131.48
2001-05-23,131.05,131.05,129.25,129.25,12331000.0,1,129.25
2001-05-24,129.47,130.0,128.55,129.63,7906300.0,1,129.63
2001-05-25,129.65,129.7,127.9,128.1,7425000.0,1,128.1
2001-05-29,128.23,128.35,126.9,127.08,9012300.0,1,127.08
2001-05-30,126.59,127.09,125.0,125.3,10041800.0,1,125.3
2001-05-31,125.43,126.76,125.26,125.95,9875200.0,1,125.95
2001-06-01,126.2,127.1,125.12,126.73,8848300.0,1,126.73
2001-06-04,126.8,127.43,126.08,127.34,5634700.0,1,127.34
2001-06-05,127.49,129.23,127.27,128.8,9115900.0,1,128.8
2001-06-06,128.83,128.83,127.36,127.73,12067600.0,1,127.73
2001-06-07,127.05,128.35,127.0,128.19,7358900.0,1,128.19
2001-06-08,127.7,127.87,126.14,127.0,8170600.0,1,127.0
2001-06-11,126.71,126.99,125.41,126.1,7012200.0,1,126.1
2001-06-12,124.86,126.74,124.04,125.88,9369200.0,1,125.88
2001-06-13,126.17,126.58,124.65,124.8,7629600.0,1,124.8
2001-06-14,124.18,124.3,121.75,122.0,12603300.0,1,122.0
2001-06-15,120.91,122.4,120.4,121.85,16821300.0,1,121.85
2001-06-18,121.65,122.44,120.91,121.26,11376600.0,1,121.26
2001-06-19,122.38,122.89,120.89,121.79,7732300.0,1,121.79
2001-06-20,121.19,122.86,121.1,122.43,8787200.0,1,122.43
2001-06-21,122.22,124.31,122.15,123.82,12259100.0,1,123.82
2001-06-22,123.49,123.6,122.16,122.85,12212000.0,1,122.85
2001-06-25,123.28,123.44,121.5,121.72,8406800.0,1,121.72
2001-06-26,120.9,122.39,120.57,121.55,8006900.0,1,121.55
2001-06-27,121.6,122.24,120.91,121.48,10105100.0,1,121.48
2001-06-28,122.0,123.94,121.93,122.15,10271000.0,1,122.15
2001-06-29,122.8,124.01,122.26,122.6,9824200.0,1,122.6
2001-07-02,122.8,124.32,122.62,124.13,8522400.0,1,124.13
2001-07-03,123.98,124.1,123.05,124.1,3303100.0,1,124.1
2001-07-05,123.07,123.65,121.66,121.68,5520900.0,1,121.68
2001-07-06,121.31,121.49,119.05,119.05,11666200.0,1,119.05
2001-07-09,119.49,120.54,119.2,119.7,8340500.0,1,119.7
2001-07-10,120.29,120.64,118.21,118.26,8631900.0,1,118.26
2001-07-11,118.1,118.89,117.09,118.38,15374000.0,1,118.38
2001-07-12,119.5,121.47,119.31,121.19,12004800.0,1,121.19
2001-07-13,120.84,122.32,120.62,122.24,10433800.0,1,122.24
2001-07-16,121.77,122.28,120.29,120.71,6915300.0,1,120.71
2001-07-17,120.2,121.95,119.83,121.84,7470300.0,1,121.84
2001-07-18,120.56,121.64,120.06,121.01,7710300.0,1,121.01
2001-07-19,122.18,122.98,120.76,122.07,10083000.0,1,122.07
2001-07-20,121.15,121.94,120.92,121.34,6705800.0,1,121.34
2001-07-23,121.8,121.88,118.95,118.95,8067200.0,1,118.95
2001-07-24,119.0,119.2,116.75,117.8,12271000.0,1,117.8
2001-07-25,117.92,119.48,117.46,119.1,12090900.0,1,119.1
2001-07-26,119.06,120.85,118.56,120.35,12930100.0,1,120.35
2001-07-27,120.83,121.35,119.91,120.81,8481800.0,1,120.81
2001-07-30,121.19,121.35,120.3,120.85,8547700.0,1,120.85
2001-07-31,121.0,122.68,120.8,121.35,11918600.0,1,121.35
2001-08-01,121.97,122.7,121.55,122.11,11941800.0,1,122.11
2001-08-02,123.23,123.25,121.89,122.61,11070200.0,1,122.61
2001-08-03,122.36,122.36,120.9,121.94,10817900.0,1,121.94
2001-08-06,121.35,121.51,120.1,120.3,8550400.0,1,120.3
2001-08-07,120.27,121.2,119.91,120.77,8865100.0,1,120.77
2001-08-08,120.12,121.16,118.43,118.53,15183800.0,1,118.53
2001-08-09,118.7,118.97,117.86,118.88,14118500.0,1,118.88
2001-08-10,118.8,119.84,117.34,119.29,11173300.0,1,119.29
2001-08-13,119.6,119.85,118.82,119.32,7435400.0,1,119.32
2001-08-14,120.14,120.35,118.8,119.27,13178100.0,1,119.27
2001-08-15,119.23,119.61,118.08,118.24,8520600.0,1,118.24
2001-08-16,117.8,118.75,117.0,118.65,10735800.0,1,118.65
2001-08-17,117.65,117.87,116.01,116.75,11604600.0,1,116.75
2001-08-20,116.8,117.9,116.55,117.83,10417400.0,1,117.83
2001-08-21,117.8,118.54,115.8,115.82,14420400.0,1,115.82
2001-08-22,116.75,117.43,115.78,117.02,11752900.0,1,117.02
2001-08-23,116.96,117.52,116.49,116.6,8707600.0,1,116.6
2001-08-24,117.21,119.13,116.74,119.02,11688900.0,1,119.02
2001-08-27,118.97,119.2,118.26,118.31,7428100.0,1,118.31
2001-08-28,118.28,118.49,116.58,116.58,12046600.0,1,116.58
2001-08-29,117.13,117.18,115.17,115.54,16181800.0,1,115.54
2001-08-30,114.85,115.74,112.04,113.32,17693300.0,1,113.32
2001-08-31,113.4,114.77,113.13,114.15,15985700.0,1,114.15
2001-09-04,113.85,116.17,113.37,113.42,24476400.0,1,113.42
2001-09-05,113.7,114.19,111.95,113.7,21477700.0,1,113.7
2001-09-06,112.65,113.3,110.77,110.77,21655500.0,1,110.77
2001-09-07,110.02,111.25,108.63,108.72,33133900.0,1,108.72
2001-09-10,107.7,110.35,107.7,110.05,23409000.0,1,110.05
2001-09-17,101.0,106.4,100.0,104.3,32393800.0,1,104.3
2001-09-18,104.33,105.3,103.36,104.05,22029200.0,1,104.05
2001-09-19,104.1,104.5,98.56,101.95,42772100.0,1,101.95
2001-09-20,100.4,101.81,98.57,98.71,36212800.0,1,98.71
2001-09-21,94.05,98.99,93.8,97.28,49783500.0,1,97.28
2001-09-24,99.73,101.16,99.06,100.7,25549900.0,1,100.7
2001-09-25,100.75,102.0,99.9,101.75,25466200.0,1,101.75
2001-09-26,102.35,102.4,100.43,101.39,18587700.0,1,101.39
2001-09-27,101.25,102.29,100.0,102.27,20536800.0,1,102.27
2001-09-28,102.98,104.6,102.5,104.44,21787700.0,1,104.44
2001-10-01,103.9,104.32,102.83,104.27,20457800.0,1,104.27
2001-10-02,104.0,105.58,103.65,105.58,19833600.0,1,105.58
2001-10-03,104.6,107.88,104.35,107.35,32070900.0,1,107.35
2001-10-04,108.29,108.97,106.75,107.44,32676200.0,1,107.44
2001-10-05,107.25,107.62,105.52,107.23,29830200.0,1,107.23
2001-10-08,106.28,107.3,105.87,106.53,12971200.0,1,106.53
2001-10-09,106.61,106.75,105.6,105.96,15976300.0,1,105.96
2001-10-10,105.8,108.55,105.52,108.32,19992400.0,1,108.32
2001-10-11,108.95,110.3,108.95,110.0,23011600.0,1,110.0
2001-10-12,109.15,109.89,107.3,109.5,31363500.0,1,109.5
2001-10-15,108.63,109.45,108.06,109.3,16875000.0,1,109.3
2001-10-16,109.8,110.62,108.95,109.99,15885900.0,1,109.99
2001-10-17,111.07,111.15,107.65,107.65,28601700.0,1,107.65
2001-10-18,107.82,108.16,106.75,107.42,16521100.0,1,107.42
2001-10-19,107.0,107.91,106.01,107.35,21916300.0,1,107.35
2001-10-22,107.3,109.57,107.21,109.47,17571200.0,1,109.47
2001-10-23,109.96,110.28,108.38,108.91,22064500.0,1,108.91
2001-10-24,108.98,109.45,108.22,108.62,16065400.0,1,108.62
2001-10-25,107.45,110.6,106.74,110.57,27504000.0,1,110.57
2001-10-26,109.95,111.79,109.67,110.32,18623700.0,1,110.32
2001-10-29,110.16,110.55,107.45,107.45,18743900.0,1,107.45
2001-10-30,107.35,107.7,105.56,106.16,26203400.0,1,106.16
2001-10-31,106.9,107.86,105.8,105.8,28132000.0,1,105.8
2001-11-01,106.6,109.01,105.7,108.51,29807300.0,1,108.51
2001-11-02,108.44,109.38,107.87,109.25,17577900.0,1,109.25
2001-11-05,110.12,111.09,109.95,110.68,16100900.0,1,110.68
2001-11-06,110.35,112.48,109.85,112.4,23248100.0,1,112.4
2001-11-07,111.77,113.12,111.64,112.25,19717800.0,1,112.25
2001-11-08,112.87,114.08,111.9,112.6,22749200.0,1,112.6
2001-11-09,112.25,112.96,111.44,112.72,15897500.0,1,112.72
2001-11-12,111.0,112.65,110.0,112.03,26096600.0,1,112.03
2001-11-13,113.44,114.55,113.18,114.55,15347100.0,1,114.55
2001-11-14,115.17,115.4,113.71,114.66,17595500.0,1,114.66
2001-11-15,114.37,115.18,113.93,114.87,19472500.0,1,114.87
2001-11-16,115.08,115.1,113.4,114.36,18135900.0,1,114.36
2001-11-19,114.92,115.85,114.45,115.77,13683800.0,1,115.77
2001-11-20,115.37,115.8,114.64,114.8,16223000.0,1,114.8
2001-11-21,114.5,114.67,113.51,114.04,11471100.0,1,114.04
2001-11-23,114.04,115.75,114.0,115.68,6716900.0,1,115.68
2001-11-26,115.75,116.34,115.07,115.93,13729700.0,1,115.93
2001-11-27,115.62,116.9,114.09,115.43,19266400.0,1,115.43
2001-11-28,114.74,115.17,113.25,113.34,20247200.0,1,113.34
2001-11-29,113.66,114.92,113.0,114.87,17267900.0,1,114.87
2001-11-30,114.4,114.91,114.02,114.05,13680400.0,1,114.05
2001-12-03,113.65,114.08,113.01,113.37,15220400.0,1,113.37
2001-12-04,113.92,115.3,113.35,115.29,17245800.0,1,115.29
2001-12-05,115.61,118.0,115.56,117.4,25204000.0,1,117.4
2001-12-06,117.35,117.94,116.93,117.34,17972900.0,1,117.34
2001-12-07,116.9,117.09,115.7,116.56,18908000.0,1,116.56
2001-12-10,115.85,116.39,114.35,114.38,13862800.0,1,114.38
2001-12-11,114.9,115.72,113.9,114.15,20833500.0,1,114.15
2001-12-12,114.55,114.78,113.11,114.28,16172400.0,1,114.28
2001-12-13,113.45,113.7,112.04,112.06,19037900.0,1,112.06
2001-12-14,112.33,113.49,112.0,113.13,16723100.0,1,113.13
2001-12-17,112.99,114.36,112.9,114.3,13947300.0,1,114.3
2001-12-18,114.63,115.15,114.34,114.98,13664000.0,1,114.98
2001-12-19,114.09,115.92,114.0,115.79,20147400.0,1,115.79
2001-12-20,115.5,115.8,114.55,114.65,14867900.0,1,114.65
2001-12-21,115.03,115.07,114.2,114.95,14042700.0,1,114.95
2001-12-24,114.83,115.04,114.61,114.73,5728800.0,1,114.73
2001-12-26,114.65,116.21,114.65,115.36,10307900.0,1,115.36
2001-12-27,115.3,116.08,115.26,116.06,9407300.0,1,116.06
2001-12-28,116.29,116.75,115.92,116.0,10593800.0,1,116.0
2001-12-31,116.15,116.39,114.23,114.3,14620200.0,1,114.3
2002-01-02,115.11,115.75,113.81,115.53,18652200.0,1,115.53
2002-01-03,115.65,116.95,115.54,116.84,15743100.0,1,116.84
2002-01-04,117.17,117.98,116.55,117.62,20140700.0,1,117.62
2002-01-07,117.7,117.99,116.56,116.79,13106500.0,1,116.79
2002-01-08,116.8,117.06,115.97,116.52,12687200.0,1,116.52
2002-01-09,116.68,117.78,115.34,115.57,16616900.0,1,115.57
2002-01-10,115.69,116.35,115.3,116.08,12823400.0,1,116.08
2002-01-11,116.21,116.28,114.7,114.94,13708500.0,1,114.94
2002-01-14,114.65,114.84,113.96,114.22,12304300.0,1,114.22
2002-01-15,114.55,115.39,113.9,115.15,20221400.0,1,115.15
2002-01-16,114.3,114.4,112.69,112.82,17077200.0,1,112.82
2002-01-17,113.76,114.24,113.4,113.67,17707900.0,1,113.67
2002-01-18,113.0,113.85,112.67,113.15,17028200.0,1,113.15
2002-01-22,113.75,113.93,112.02,112.37,11691000.0,1,112.37
2002-01-23,112.63,113.55,112.02,113.23,12439100.0,1,113.23
2002-01-24,113.64,114.25,113.32,113.58,12163100.0,1,113.58
2002-01-25,113.12,114.18,113.04,113.55,12810700.0,1,113.55
2002-01-28,113.9,114.19,112.92,113.86,10589500.0,1,113.86
2002-01-29,113.85,114.13,110.05,110.28,27736100.0,1,110.28
2002-01-30,110.39,111.87,108.4,111.87,34712000.0,1,111.87
2002-01-31,112.15,113.3,111.62,113.18,19910100.0,1,113.18
2002-02-01,113.09,113.3,112.17,112.65,15838500.0,1,112.65
2002-02-04,112.23,112.23,109.45,109.85,24247500.0,1,109.85
2002-02-05,109.4,110.5,108.53,109.17,33614000.0,1,109.17
2002-02-06,109.65,109.74,108.06,108.7,29670400.0,1,108.7
2002-02-07,108.72,109.86,108.0,108.02,23450200.0,1,108.02
2002-02-08,108.63,110.75,108.3,110.09,19278100.0,1,110.09
2002-02-11,110.05,111.64,109.82,111.44,18792400.0,1,111.44
2002-02-12,110.96,111.71,110.03,111.09,13942500.0,1,111.09
2002-02-13,111.48,112.54,111.35,112.27,16791900.0,1,112.27
2002-02-14,112.51,112.97,111.59,112.06,20458200.0,1,112.06
2002-02-15,112.15,112.24,110.71,110.89,18394600.0,1,110.89
2002-02-19,110.15,110.3,108.61,108.76,15998300.0,1,108.76
2002-02-20,109.05,110.59,107.82,110.59,29247100.0,1,110.59
2002-02-21,109.93,110.63,108.26,108.3,26292800.0,1,108.3
2002-02-22,108.35,109.94,107.87,109.64,26572900.0,1,109.64
2002-02-25,109.75,111.81,109.7,111.45,17459600.0,1,111.45
2002-02-26,111.6,112.04,110.57,111.22,22362900.0,1,111.22
2002-02-27,111.96,112.86,110.65,111.65,28597900.0,1,111.65
2002-02-28,111.83,112.75,111.03,111.15,23755500.0,1,111.15
2002-03-01,111.72,113.85,111.51,113.74,26186600.0,1,113.74
2002-03-04,113.9,115.99,113.65,115.75,27187800.0,1,115.75
2002-03-05,115.33,116.4,114.97,115.38,22733500.0,1,115.38
2002-03-06,115.1,117.15,115.08,116.75,20169700.0,1,116.75
2002-03-07,117.36,117.5,115.57,116.5,19331900.0,1,116.5
2002-03-08,117.38,117.91,116.48,116.99,19930800.0,1,116.99
2002-03-11,116.89,117.9,116.43,117.24,15622100.0,1,117.24
2002-03-12,116.11,117.25,115.94,117.17,17155000.0,1,117.17
2002-03-13,116.63,116.75,115.64,116.04,17176600.0,1,116.04
2002-03-14,116.04,116.43,115.63,115.88,11169600.0,1,115.88
2002-03-15,115.97,116.95,115.9,116.65,21222100.0,1,116.65
2002-03-18,117.1,117.57,116.1,116.67,17558000.0,1,116.67
2002-03-19,117.3,117.74,116.82,117.45,17913600.0,1,117.45
2002-03-20,116.5,116.58,115.19,115.24,17128200.0,1,115.24
2002-03-21,115.3,115.83,114.12,115.29,26888800.0,1,115.29
2002-03-22,115.5,115.94,114.7,115.04,15235400.0,1,115.04
2002-03-25,115.09,115.36,113.3,113.61,17507200.0,1,113.61
2002-03-26,113.52,115.02,113.47,114.27,19950600.0,1,114.27
2002-03-27,114.03,115.01,113.76,114.57,19021400.0,1,114.57
2002-03-28,114.97,115.77,114.5,114.52,17535900.0,1,114.52
2002-04-01,114.23,115.1,113.5,114.57,17714000.0,1,114.57
2002-04-02,113.98,114.95,113.77,113.94,15596700.0,1,113.94
2002-04-03,114.01,114.22,112.16,113.14,25662700.0,1,113.14
2002-04-04,112.6,113.4,112.23,112.67,23561400.0,1,112.67
2002-04-05,113.19,113.63,112.18,112.69,19404900.0,1,112.69
2002-04-08,111.32,113.03,111.23,112.93,16476200.0,1,112.93
2002-04-09,113.19,113.19,111.93,112.14,15122700.0,1,112.14
2002-04-10,112.1,113.54,112.09,113.41,17204500.0,1,113.41
2002-04-11,112.89,113.05,110.5,110.59,25460200.0,1,110.59
2002-04-12,111.03,111.65,110.57,111.42,14950600.0,1,111.42
2002-04-15,111.62,111.86,110.2,110.57,17403600.0,1,110.57
2002-04-16,111.7,113.32,111.67,113.2,15098400.0,1,113.2
2002-04-17,113.39,113.67,112.6,112.96,12928600.0,1,112.96
2002-04-18,112.9,113.46,111.15,112.47,25219800.0,1,112.47
2002-04-19,113.2,113.24,112.56,112.88,10602500.0,1,112.88
2002-04-22,112.38,112.43,110.84,111.0,13924500.0,1,111.0
2002-04-23,111.09,111.48,110.17,110.52,16973800.0,1,110.52
2002-04-24,110.56,111.81,109.4,109.41,18903900.0,1,109.41
2002-04-25,109.21,109.74,108.72,109.47,25456900.0,1,109.47
2002-04-26,109.79,110.01,107.29,107.39,19770000.0,1,107.39
2002-04-29,107.93,108.26,106.63,106.86,17725600.0,1,106.86
2002-04-30,107.02,108.64,106.64,107.86,19475300.0,1,107.86
2002-05-01,107.97,109.25,106.8,109.18,24581100.0,1,109.18
2002-05-02,109.1,109.91,107.78,108.76,15667300.0,1,108.76
2002-05-03,108.6,108.76,107.2,107.58,18186000.0,1,107.58
2002-05-06,107.65,108.0,105.31,105.47,23911200.0,1,105.47
2002-05-07,106.11,106.32,104.9,105.1,22173500.0,1,105.1
2002-05-08,107.05,109.36,106.79,109.01,27918600.0,1,109.01
2002-05-09,108.65,109.1,107.58,107.75,18087300.0,1,107.75
2002-05-10,107.97,108.05,105.6,105.72,18959500.0,1,105.72
2002-05-13,106.22,107.95,105.8,107.87,14687000.0,1,107.87
2002-05-14,109.62,110.37,109.0,110.22,34224900.0,1,110.22
2002-05-15,109.5,110.91,109.29,109.79,29539200.0,1,109.79
2002-05-16,109.7,110.48,109.33,110.36,28097400.0,1,110.36
2002-05-17,110.66,111.25,110.1,110.9,27823700.0,1,110.9
2002-05-20,110.64,110.69,109.49,109.7,13834200.0,1,109.7
2002-05-21,110.11,110.49,108.32,108.7,16878100.0,1,108.7
2002-05-22,108.22,109.12,108.0,108.94,15845100.0,1,108.94
2002-05-23,109.26,110.36,108.48,110.1,13881600.0,1,110.1
2002-05-24,109.98,110.21,108.61,108.69,11876600.0,1,108.69
2002-05-28,109.05,109.13,107.45,108.1,24237200.0,1,108.1
