date,open,high,low,close,volume,bar_count,vwap
2010-02-11,12875200.0,13000000.0,12209600.0,12316800.0,0.329375,407,12580160.0
2010-02-12,12696000.0,12696000.0,12140800.0,12140800.0,0.33125,326,12464320.0
2010-02-16,11998400.0,12148800.0,11744000.0,11766400.0,0.289375,379,11918400.0
2010-02-17,11630400.0,11798400.0,11528000.0,11542400.0,0.28875,346,11669120.0
2010-02-18,11611200.0,11641600.0,11288000.0,11616000.0,0.263125,317,11463360.0
2010-02-19,11412800.0,11516800.0,11200000.0,11382400.0,0.281875,350,11365600.0
2010-02-22,11228800.0,11548800.0,11220800.0,11425600.0,0.19125,229,11435520.0
2010-02-23,11502400.0,12006400.0,11444800.0,11793600.0,0.331875,343,11797280.0
2010-02-24,11635200.0,11729600.0,11369600.0,11393600.0,0.409375,432,11534240.0
2010-02-25,11745600.0,12096000.0,11430400.0,11489600.0,0.35,354,11916480.0
2010-02-26,11520000.0,11630400.0,11320000.0,11320000.0,0.28375,221,11415360.0
2010-03-01,11235200.0,11243200.0,10832000.0,10867200.0,0.315,325,10976480.0
2010-03-02,10736000.0,10849600.0,10588800.0,10784000.0,0.131875,145,10739840.0
2010-03-03,10731200.0,10865600.0,10600000.0,10736000.0,0.17,141,10728320.0
2010-03-04,10761600.0,10873600.0,10611200.0,10627200.0,0.27625,258,10705280.0
2010-03-05,10547200.0,10547200.0,10124800.0,10177600.0,0.370625,354,10218080.0
2010-03-08,10110400.0,10129600.0,10032000.0,10094400.0,0.171875,154,10090400.0
2010-03-09,10193600.0,10203200.0,9760000.0,9924800.0,0.503125,490,9924160.0
2010-03-10,9832000.0,9849600.0,9617600.0,9665600.0,0.338125,303,9698880.0
2010-03-11,9715200.0,9792000.0,9577600.0,9585600.0,0.41,363,9653760.0
2010-03-12,9464000.0,9662400.0,9456000.0,9572800.0,0.335,291,9548640.0
2010-03-15,9638400.0,9822400.0,9564800.0,9630400.0,0.34,310,9738400.0
2010-03-16,9545600.0,9624000.0,9411200.0,9444800.0,0.301875,264,9494080.0
2010-03-17,9412800.0,9440000.0,9243200.0,9400000.0,0.44,359,9357600.0
2010-03-18,9345600.0,9408000.0,9249600.0,9281600.0,0.3525,308,9313280.0
2010-03-19,9180800.0,9537600.0,9180800.0,9452800.0,0.533125,432,9430880.0
2010-03-22,9544000.0,9584000.0,9073600.0,9190400.0,0.8275,713,9278720.0
2010-03-23,9128000.0,9252800.0,8976000.0,9008000.0,0.66625,446,9041600.0
2010-03-24,9057600.0,9182400.0,9028800.0,9104000.0,0.7725,606,9107040.0
2010-03-25,8904000.0,9190400.0,8800000.0,9132800.0,0.82,527,9004800.0
2010-03-26,9052800.0,9275200.0,8948800.0,9132800.0,0.576875,383,9140640.0
2010-03-29,8998400.0,9070400.0,8924800.0,9004800.0,0.464375,432,8987360.0
2010-03-30,8926400.0,9072000.0,8840000.0,8916800.0,0.315,266,8936000.0
2010-03-31,8985600.0,9083200.0,8888000.0,9016000.0,0.66375,520,8984160.0
2010-04-01,8907200.0,9236800.0,8755200.0,9068800.0,0.53625,438,8968000.0
2010-04-05,8990400.0,9043200.0,8728000.0,8780800.0,0.71125,562,8815200.0
2010-04-06,8857600.0,8888000.0,8635200.0,8713600.0,0.5725,503,8770560.0
2010-04-07,8776000.0,8907200.0,8656000.0,8782400.0,0.680625,554,8771040.0
2010-04-08,8849600.0,8971200.0,8678400.0,8707200.0,0.39875,375,8827360.0
2010-04-09,8696000.0,8763200.0,8548800.0,8564800.0,0.39625,371,8640160.0
2010-04-12,8539200.0,8585600.0,8470400.0,8536000.0,0.494375,306,8516960.0
2010-04-13,8564800.0,8611200.0,8315200.0,8315200.0,0.87,643,8461280.0
2010-04-14,8275200.0,8304000.0,8104000.0,8108800.0,0.898125,656,8212480.0
2010-04-15,8134400.0,8153600.0,7979200.0,8064000.0,0.784375,599,8021920.0
2010-04-16,8084800.0,8432000.0,8001600.0,8273600.0,1.49375,1306,8191520.0
2010-04-19,8374400.0,8593600.0,8230400.0,8288000.0,1.44375,1294,8405280.0
2010-04-20,8155200.0,8326400.0,7952000.0,7980800.0,0.875625,689,8174240.0
2010-04-21,8065600.0,8187200.0,7955200.0,8163200.0,0.966875,766,8072480.0
2010-04-22,8260800.0,8387200.0,7873600.0,8016000.0,1.91375,1712,8145440.0
2010-04-23,7905600.0,7977600.0,7777600.0,7801600.0,0.685,603,7860960.0
2010-04-26,7780800.0,7884800.0,7732800.0,7854400.0,0.77375,562,7830080.0
2010-04-27,7915200.0,8404800.0,7840000.0,8291200.0,1.759375,1407,8187520.0
2010-04-28,8193600.0,8516800.0,8132800.0,8310400.0,3.195,2217,8353760.0
2010-04-29,8161600.0,8208000.0,7849600.0,7880000.0,1.744375,1362,8001440.0
2010-04-30,7905600.0,8376000.0,7867200.0,8360000.0,1.588125,1179,8149440.0
2010-05-03,8257600.0,8262400.0,7888000.0,8004800.0,1.35875,836,8078880.0
2010-05-04,8147200.0,8886400.0,8147200.0,8700800.0,2.83,2058,8688160.0
2010-05-05,8780800.0,9144000.0,8688000.0,8824000.0,3.000625,2172,8925280.0
2010-05-06,8784000.0,12065600.0,7608000.0,9756800.0,4.616875,2925,9539040.0
2010-05-07,9968000.0,11048000.0,9598400.0,10428800.0,4.548125,3867,10232000.0
2010-05-10,9107200.0,9164800.0,8840000.0,8854400.0,3.2825,2338,8990400.0
2010-05-11,9088000.0,9168000.0,8513600.0,9059200.0,2.464375,1741,8803680.0
2010-05-12,8860800.0,8870400.0,8352000.0,8425600.0,1.753125,1227,8525280.0
2010-05-13,8400000.0,8819200.0,8286400.0,8755200.0,1.6275,1218,8563200.0
2010-05-14,8972800.0,9577600.0,8968000.0,9273600.0,2.505,1705,9304480.0
2010-05-17,9206400.0,9777600.0,9083200.0,9177600.0,1.678125,1344,9379520.0
2010-05-18,8980800.0,9760000.0,8902400.0,9659200.0,1.74625,1530,9357600.0
2010-05-19,9728000.0,10107200.0,9444800.0,9737600.0,3.526875,2911,9796320.0
2010-05-20,10272000.0,11040000.0,10230400.0,11040000.0,3.850625,3454,10579040.0
2010-05-21,11392000.0,11515200.0,10278400.0,10512000.0,4.545,3971,10769600.0
2010-05-24,10550400.0,10649600.0,10185600.0,10628800.0,2.49875,1963,10405920.0
2010-05-25,11337600.0,11651200.0,10376000.0,10403200.0,4.844375,4147,11126560.0
2010-05-26,10329600.0,11129600.0,10003200.0,10992000.0,2.48375,2024,10371200.0
2010-05-27,10200000.0,10396800.0,9644800.0,9684800.0,2.908125,2211,10006720.0
2010-05-28,9694400.0,10144000.0,9654400.0,9899200.0,2.976875,2439,9867360.0
2010-06-01,9979200.0,10216000.0,9475200.0,10156800.0,2.334375,1844,9783360.0
2010-06-02,9974400.0,10195200.0,9422400.0,9470400.0,1.778125,1448,9777440.0
2010-06-03,9387200.0,9534400.0,9128000.0,9216000.0,2.66,2175,9316320.0
2010-06-04,9753600.0,10200000.0,9403200.0,10099200.0,4.334375,3745,9787840.0
2010-06-07,9939200.0,10680000.0,9873600.0,10656000.0,3.1875,2746,10290240.0
2010-06-08,10779200.0,11148800.0,10518400.0,10867200.0,4.726875,3895,10866560.0
2010-06-09,10824000.0,11076800.0,10206400.0,10993600.0,3.505625,2568,10680640.0
2010-06-10,10720000.0,10851200.0,10011200.0,10185600.0,4.14625,3400,10372800.0
2010-06-11,10340800.0,10350400.0,9734400.0,9768000.0,3.316875,2641,10024960.0
2010-06-14,9489600.0,9808000.0,9288000.0,9792000.0,2.311875,1853,9542240.0
2010-06-15,9499200.0,9641600.0,8945600.0,9072000.0,2.670625,1886,9195040.0
2010-06-16,9059200.0,9204800.0,8736000.0,8921600.0,2.82375,2145,8907040.0
2010-06-17,8803200.0,9009600.0,8689600.0,8870400.0,1.82375,1165,8833280.0
2010-06-18,8715200.0,8825600.0,8568000.0,8734400.0,1.429375,1003,8718400.0
2010-06-21,8425600.0,9120000.0,8387200.0,8980800.0,4.173125,2429,8734400.0
2010-06-22,8977600.0,9232000.0,8673600.0,9153600.0,4.160625,2391,8945760.0
2010-06-23,9084800.0,9515200.0,9062400.0,9379200.0,3.415,2181,9290560.0
2010-06-24,9520000.0,9800000.0,9340800.0,9640000.0,2.943125,1756,9579200.0
2010-06-25,9638400.0,9968000.0,9528000.0,9752000.0,1.684375,1306,9739360.0
2010-06-28,9752000.0,10064000.0,9600000.0,9865600.0,2.015625,1463,9810720.0
2010-06-29,10281600.0,11214400.0,10249600.0,10972800.0,4.78875,3865,10819680.0
2010-06-30,10849600.0,11678400.0,10784000.0,11473600.0,4.134375,2953,11097760.0
2010-07-01,11537600.0,12265600.0,11318400.0,11600000.0,6.24,4326,11715840.0
2010-07-02,11553600.0,12020800.0,11427200.0,11702400.0,2.56625,1774,11695040.0
2010-07-06,11288000.0,11881600.0,10963200.0,11500800.0,3.890625,2558,11426400.0
2010-07-07,11540800.0,11596800.0,10292800.0,10457600.0,2.5375,1676,10956320.0
2010-07-08,10460800.0,10686400.0,10184000.0,10336000.0,2.4675,1597,10427840.0
2010-07-09,10334400.0,10712000.0,10022400.0,10022400.0,2.0725,1343,10190560.0
2010-07-12,10036800.0,10132800.0,9753600.0,9940800.0,1.73125,1346,9955200.0
2010-07-13,9680000.0,9894400.0,9200000.0,9236800.0,2.315625,1661,9612480.0
2010-07-14,9326400.0,9609600.0,9251200.0,9385600.0,2.0525,1650,9448640.0
2010-07-15,9320000.0,9745600.0,9227200.0,9345600.0,2.36,1722,9521440.0
2010-07-16,9489600.0,10176000.0,9440000.0,10140800.0,3.26625,2599,9934400.0
2010-07-19,10052800.0,10308800.0,9824000.0,9904000.0,3.35375,2625,10059840.0
2010-07-20,10334400.0,10452800.0,9272000.0,9340800.0,3.256875,2220,10008960.0
2010-07-21,9360000.0,9964800.0,9216000.0,9867200.0,2.635625,2082,9648160.0
2010-07-22,9592000.0,9592000.0,9035200.0,9305600.0,2.46125,1733,9218560.0
2010-07-23,9345600.0,9403200.0,8969600.0,8988800.0,3.251875,2513,9187040.0
2010-07-26,8960000.0,9080000.0,8760000.0,8784000.0,1.205625,925,8891200.0
2010-07-27,8668800.0,8897600.0,8620800.0,8792000.0,1.775,1282,8777440.0
2010-07-28,8784000.0,9081600.0,8692800.0,9001600.0,1.355625,1011,8923520.0
2010-07-29,8899200.0,9452800.0,8787200.0,9243200.0,3.228125,2420,9156640.0
2010-07-30,9409600.0,9577600.0,8960000.0,9120000.0,4.149375,3166,9238400.0
2010-08-02,8796800.0,8891200.0,8547200.0,8614400.0,2.666875,1673,8689440.0
2010-08-03,8654400.0,8841600.0,8619200.0,8702400.0,1.61125,1216,8724800.0
2010-08-04,8696000.0,8718400.0,8433600.0,8496000.0,1.315625,879,8555200.0
2010-08-05,8475200.0,8680000.0,8475200.0,8516800.0,1.39625,936,8551040.0
2010-08-06,8806400.0,8937600.0,8489600.0,8540800.0,1.975,1208,8726880.0
2010-08-09,8428800.0,8537600.0,8320000.0,8385600.0,0.854375,496,8409280.0
2010-08-10,8475200.0,8800000.0,8460800.0,8632000.0,1.915,1384,8632960.0
2010-08-11,8963200.0,9814400.0,8939200.0,9681600.0,2.20625,1394,9245280.0
