date,open,high,low,close,volume,bar_count,vwap
2010-02-11,0.2,0.22,0.2,0.22,6873600.0,122,0.2127213541666666
2010-02-12,0.21,0.22,0.21,0.22,17164800.0,348,0.214453125
2010-02-16,0.22,0.23,0.22,0.23,19123200.0,349,0.2223515625
2010-02-17,0.23,0.23,0.23,0.23,38131200.0,608,0.2278177083333334
2010-02-18,0.23,0.24,0.23,0.23,77491200.0,1503,0.2313072916666666
2010-02-19,0.23,0.24,0.23,0.23,92275200.0,1355,0.2333229166666666
2010-02-22,0.24,0.24,0.23,0.23,50764800.0,931,0.2320104166666666
2010-02-23,0.23,0.23,0.22,0.22,81945600.0,1409,0.2242890625
2010-02-24,0.23,0.23,0.23,0.23,70348800.0,1178,0.229796875
2010-02-25,0.23,0.23,0.22,0.23,90163200.0,1320,0.22303125
2010-02-26,0.23,0.23,0.23,0.23,57446400.0,953,0.2308880208333334
2010-03-01,0.24,0.24,0.24,0.24,27801600.0,489,0.2399348958333334
2010-03-02,0.24,0.25,0.24,0.24,47731200.0,738,0.2458619791666666
2010-03-03,0.25,0.25,0.24,0.25,47616000.0,716,0.245921875
2010-03-04,0.25,0.25,0.24,0.25,29337600.0,445,0.2457265625
2010-03-05,0.25,0.26,0.25,0.26,26649600.0,487,0.2562994791666665
2010-03-08,0.26,0.26,0.26,0.26,24307200.0,394,0.2608463541666665
2010-03-09,0.26,0.27,0.26,0.26,46118400.0,785,0.2655520833333335
2010-03-10,0.27,0.27,0.27,0.27,39936000.0,724,0.2702526041666665
2010-03-11,0.27,0.28,0.27,0.27,53568000.0,858,0.2709114583333335
2010-03-12,0.28,0.28,0.27,0.27,35788800.0,647,0.2744088541666665
2010-03-15,0.27,0.27,0.27,0.27,39936000.0,671,0.2705260416666665
2010-03-16,0.28,0.28,0.27,0.28,46272000.0,796,0.2758359375
2010-03-17,0.28,0.28,0.28,0.28,39513600.0,653,0.2804765625
2010-03-18,0.28,0.28,0.28,0.28,52070400.0,949,0.28134375
2010-03-19,0.29,0.29,0.27,0.28,39513600.0,635,0.2784192708333335
2010-03-22,0.27,0.29,0.27,0.29,57292800.0,901,0.2830078125
2010-03-23,0.29,0.29,0.28,0.29,55065600.0,857,0.2869296875
2010-03-24,0.29,0.29,0.29,0.29,88819200.0,1401,0.2872994791666665
2010-03-25,0.29,0.3,0.28,0.29,93580800.0,1505,0.2923359375
2010-03-26,0.29,0.29,0.28,0.29,83635200.0,1297,0.286375
2010-03-29,0.29,0.29,0.29,0.29,37632000.0,647,0.2911536458333335
2010-03-30,0.29,0.3,0.29,0.29,39552000.0,643,0.292328125
2010-03-31,0.29,0.29,0.29,0.29,58713600.0,922,0.2910364583333335
2010-04-01,0.29,0.3,0.28,0.29,116236800.0,1777,0.2906197916666665
2010-04-05,0.29,0.3,0.29,0.3,66662400.0,1187,0.2956770833333335
2010-04-06,0.29,0.3,0.29,0.3,58099200.0,1026,0.2977447916666665
2010-04-07,0.3,0.3,0.29,0.3,105792000.0,1911,0.2978541666666665
2010-04-08,0.3,0.3,0.29,0.3,68812800.0,1149,0.2956510416666665
2010-04-09,0.3,0.31,0.3,0.3,54912000.0,999,0.3013229166666665
2010-04-12,0.31,0.31,0.3,0.31,48153600.0,896,0.3061901041666665
2010-04-13,0.3,0.31,0.3,0.31,66662400.0,1131,0.3067057291666665
2010-04-14,0.32,0.32,0.31,0.32,60633600.0,1187,0.3168307291666665
2010-04-15,0.32,0.33,0.32,0.33,45196800.0,791,0.3240442708333335
2010-04-16,0.32,0.33,0.31,0.31,126681600.0,2244,0.3164453125
2010-04-19,0.31,0.32,0.3,0.31,108480000.0,2080,0.3099322916666665
2010-04-20,0.32,0.33,0.31,0.32,55910400.0,1000,0.3173385416666665
2010-04-21,0.32,0.33,0.32,0.32,83635200.0,1361,0.3220703125
2010-04-22,0.32,0.33,0.31,0.33,122227200.0,2192,0.3180260416666665
2010-04-23,0.33,0.33,0.32,0.33,76915200.0,1477,0.3295989583333335
2010-04-26,0.33,0.34,0.33,0.33,76454400.0,1312,0.3320026041666665
2010-04-27,0.33,0.33,0.31,0.31,132979200.0,2817,0.3184973958333335
2010-04-28,0.32,0.32,0.3,0.31,124761600.0,2452,0.3092838541666665
2010-04-29,0.32,0.33,0.32,0.33,84326400.0,1762,0.3231432291666665
2010-04-30,0.33,0.33,0.31,0.31,86937600.0,1605,0.3165963541666665
2010-05-03,0.31,0.32,0.31,0.32,50880000.0,895,0.3175390625
2010-05-04,0.31,0.31,0.28,0.29,135667200.0,2450,0.2928229166666665
2010-05-05,0.29,0.29,0.28,0.29,135897600.0,2367,0.2842864583333335
2010-05-06,0.29,0.29,0.18,0.26,215385600.0,3666,0.2698203125
2010-05-07,0.25,0.26,0.22,0.24,237196800.0,3377,0.2446953125
2010-05-10,0.27,0.28,0.27,0.28,164889600.0,2405,0.2728359375
2010-05-11,0.27,0.29,0.27,0.28,145804800.0,2644,0.2779635416666665
2010-05-12,0.28,0.29,0.28,0.29,106675200.0,1768,0.2850833333333335
2010-05-13,0.29,0.29,0.28,0.28,104179200.0,1909,0.2853854166666665
2010-05-14,0.27,0.27,0.25,0.26,148108800.0,2570,0.259625
2010-05-17,0.26,0.27,0.25,0.26,130675200.0,2485,0.2582135416666665
2010-05-18,0.27,0.27,0.25,0.25,189619200.0,3780,0.2581927083333335
