date,open,high,low,close,volume,bar_count,vwap
2010-06-29,1.27,1.67,1.17,1.59,277519500.0,74008,1.302866666666667
2010-06-30,1.67,2.03,1.55,1.59,253039500.0,93539,1.801333333333333
2010-07-01,1.66,1.73,1.35,1.46,121461000.0,41469,1.514
2010-07-02,1.47,1.55,1.25,1.28,75871500.0,27025,1.340133333333333
2010-07-06,1.29,1.33,1.06,1.07,101664000.0,34311,1.181
2010-07-07,1.09,1.11,1.0,1.05,102645000.0,34318,1.0478
2010-07-08,1.06,1.18,1.04,1.16,114526500.0,38759,1.105133333333333
2010-07-09,1.18,1.19,1.1,1.16,60061500.0,18962,1.151333333333333
2010-07-12,1.2,1.2,1.13,1.14,31176000.0,11120,1.165733333333333
2010-07-13,1.15,1.24,1.13,1.21,39439500.0,13285,1.1872
2010-07-14,1.21,1.34,1.18,1.32,62097000.0,20965,1.287933333333333
2010-07-15,1.32,1.43,1.27,1.33,55222500.0,17730,1.350066666666667
2010-07-16,1.33,1.42,1.33,1.38,37939500.0,13061,1.375533333333333
2010-07-19,1.42,1.48,1.39,1.46,35004000.0,9858,1.4518
2010-07-20,1.47,1.49,1.33,1.35,26229000.0,8401,1.3924
2010-07-21,1.36,1.41,1.3,1.35,18214500.0,5286,1.345866666666667
2010-07-22,1.35,1.42,1.35,1.4,13924500.0,3768,1.3962
2010-07-23,1.42,1.44,1.4,1.42,9603000.0,3011,1.421066666666667
2010-07-26,1.43,1.43,1.35,1.4,13167000.0,4359,1.396066666666667
2010-07-27,1.4,1.41,1.35,1.37,8658000.0,2870,1.376266666666667
2010-07-28,1.37,1.39,1.37,1.38,6801000.0,2254,1.381066666666667
2010-07-29,1.38,1.39,1.33,1.36,8734500.0,2364,1.346933333333333
2010-07-30,1.36,1.36,1.3,1.33,6258000.0,2085,1.329
2010-08-02,1.37,1.4,1.36,1.39,10213500.0,3347,1.3804
2010-08-03,1.38,1.46,1.36,1.46,17827500.0,5911,1.433866666666667
2010-08-04,1.49,1.49,1.34,1.42,13594500.0,3890,1.4228
2010-08-05,1.4,1.44,1.34,1.36,11722500.0,3734,1.368066666666667
2010-08-06,1.34,1.35,1.3,1.31,10542000.0,2985,1.3166
2010-08-09,1.33,1.33,1.3,1.31,10440000.0,3106,1.3092
2010-08-10,1.31,1.31,1.25,1.27,17506500.0,4299,1.2748
2010-08-11,1.24,1.26,1.18,1.19,11340000.0,3839,1.214266666666667
2010-08-12,1.19,1.21,1.16,1.17,10168500.0,3250,1.168333333333333
2010-08-13,1.18,1.24,1.18,1.22,9385500.0,2566,1.206533333333333
