date,open,high,low,close,volume,bar_count,vwap
2022-08-09,25.23,25.23,23.67,24.13,116184.0,477,24.192
2022-08-10,25.87,25.9,24.15,25.45,374204.0,1230,25.095
2022-08-11,25.75,25.96,24.36,24.52,487906.0,1646,25.001
2022-08-12,24.81,26.17,24.26,26.13,420387.0,1300,25.211
2022-08-15,26.45,27.88,26.35,27.35,859765.0,2957,27.195
2022-08-16,27.7,28.08,26.55,27.02,1315626.0,4568,27.28
2022-08-17,26.53,27.39,26.12,26.68,1029312.0,2915,26.666
2022-08-18,26.94,26.98,26.39,26.5,421510.0,1339,26.678
2022-08-19,25.98,26.11,25.15,25.7,755188.0,1765,25.592
2022-08-22,25.06,25.1,24.33,24.8,431130.0,1360,24.619
2022-08-23,24.99,25.94,24.55,25.65,557495.0,1599,25.453
2022-08-24,25.79,26.56,25.64,25.7,663625.0,2121,26.092
2022-08-25,26.38,26.45,25.0,25.58,561926.0,2126,25.514
2022-08-26,25.75,26.31,24.44,24.54,844654.0,2856,25.101
2022-08-29,23.84,24.46,23.58,24.13,664670.0,2386,24.013
2022-08-30,24.48,24.54,22.57,23.22,690762.0,2782,23.663
2022-08-31,23.57,23.59,22.49,22.92,611169.0,1873,23.065
2022-09-01,22.54,23.15,21.77,23.15,686020.0,2901,22.316
2022-09-02,23.61,23.73,22.09,22.27,544599.0,1641,22.844
2022-09-06,22.49,22.93,21.7,22.77,477630.0,1496,22.448
2022-09-07,22.59,23.92,22.51,23.92,530076.0,1785,23.382
2022-09-08,23.58,24.62,23.42,24.62,536018.0,1865,24.145
2022-09-09,24.9,25.94,24.85,25.93,918180.0,2684,25.521
2022-09-12,26.02,26.65,26.02,26.54,688451.0,2226,26.412
2022-09-13,25.02,25.59,24.71,24.93,949051.0,2867,25.111
2022-09-14,24.95,26.67,24.86,26.25,1033945.0,4150,25.93
2022-09-15,26.15,27.1,26.06,26.4,615279.0,2710,26.555
2022-09-16,25.82,26.36,25.33,26.32,529582.0,2364,25.787
2022-09-19,25.85,27.16,25.64,27.07,595956.0,2276,26.651
2022-09-20,26.77,27.6,26.6,27.0,698624.0,3086,27.077
2022-09-21,26.95,27.64,25.96,25.97,776205.0,3400,26.862
2022-09-22,25.83,26.0,24.03,24.38,856385.0,3579,24.704
2022-09-23,23.67,23.82,22.37,22.7,882202.0,3901,22.876
2022-09-26,22.25,23.75,22.1,22.78,671325.0,3149,23.04
2022-09-27,23.75,24.3,22.99,23.64,919129.0,3407,23.709
2022-09-28,23.62,24.36,22.95,24.22,792578.0,3124,23.564
2022-09-29,23.57,23.67,21.45,21.78,1048554.0,4558,22.172
2022-09-30,21.46,22.61,21.09,21.39,650740.0,3136,21.775
2022-10-03,20.05,20.13,18.45,18.62,1768763.0,7411,18.95
2022-10-04,19.56,20.26,18.55,19.47,2039789.0,7560,19.481
2022-10-05,18.88,19.06,17.53,18.38,1290250.0,4466,18.098
2022-10-06,18.27,18.81,17.78,18.11,1078109.0,4194,18.285
2022-10-07,17.61,17.65,16.25,16.38,1253601.0,4449,16.8
2022-10-10,16.46,16.77,15.84,16.34,887435.0,3858,16.392
2022-10-11,16.12,16.64,15.46,15.63,943458.0,3276,16.111
2022-10-12,15.51,15.93,15.1,15.72,1093614.0,4149,15.489
2022-10-13,14.74,16.32,14.52,16.2,1855737.0,5858,15.511
2022-10-14,16.43,16.66,14.26,14.36,1316458.0,5032,15.162
2022-10-17,14.89,16.11,14.83,15.87,846862.0,3265,15.614
2022-10-18,16.93,16.97,15.62,15.96,1467177.0,5426,16.098
2022-10-19,15.9,16.24,15.69,16.19,1102344.0,4950,15.999
2022-10-20,14.63,15.42,13.95,14.54,2829796.0,10582,14.615
2022-10-21,14.43,15.28,14.19,15.28,1231400.0,5640,14.764
2022-10-24,14.35,15.16,13.57,14.94,1921884.0,7411,14.232
2022-10-25,14.8,16.31,14.8,16.1,1560142.0,6436,15.788
2022-10-26,15.78,16.97,15.68,16.35,2002157.0,8657,16.553
2022-10-27,16.91,17.33,16.15,16.4,1318078.0,7292,16.56
2022-10-28,16.4,16.79,15.43,16.76,1861494.0,7630,16.231
2022-10-31,16.49,16.89,16.03,16.65,995462.0,4529,16.545
2022-11-01,17.37,17.7,16.63,16.68,1113101.0,5214,17.119
2022-11-02,16.46,16.66,15.24,15.26,1448654.0,7258,16.055
2022-11-03,14.86,15.91,14.75,15.29,1406499.0,7243,15.407
2022-11-04,16.06,16.17,13.98,14.46,1919931.0,8639,15.069
2022-11-07,14.57,14.6,13.32,13.37,1655304.0,6568,13.702
2022-11-08,13.04,13.17,12.31,12.78,2832729.0,10785,12.768
2022-11-09,12.69,13.21,11.36,11.4,3505949.0,14474,12.148
2022-11-10,12.56,12.68,11.63,12.66,4265965.0,17054,12.277
2022-11-11,12.18,13.22,11.84,13.15,2973835.0,12657,12.653
2022-11-14,12.86,13.14,12.2,12.67,1805720.0,8696,12.701
2022-11-15,13.14,13.63,12.77,13.01,2081864.0,11030,13.217
2022-11-16,12.7,12.81,12.12,12.26,1672870.0,7854,12.41
2022-11-17,11.94,12.16,11.65,11.88,1633926.0,7455,11.908
2022-11-18,12.04,12.06,11.22,11.58,2276433.0,9292,11.467
2022-11-21,11.15,11.24,10.36,10.4,2911224.0,10084,10.726
2022-11-22,10.46,10.67,10.23,10.57,1931185.0,7533,10.47
2022-11-23,10.92,11.85,10.82,11.82,3816752.0,12995,11.455
2022-11-25,11.99,11.99,11.56,11.78,1495748.0,5454,11.769
2022-11-28,11.48,12.31,11.4,11.78,2333269.0,7498,11.97
2022-11-29,11.97,12.11,11.38,11.58,1882769.0,6681,11.746
2022-11-30,11.75,12.91,11.55,12.88,2878785.0,11155,12.132
2022-12-01,13.13,13.32,12.61,12.91,1910731.0,7092,12.963
2022-12-02,12.59,13.04,12.53,12.91,1443682.0,4928,12.779
2022-12-05,12.36,12.53,11.47,11.68,2260093.0,7300,11.885
2022-12-06,11.55,11.76,10.99,11.43,1655134.0,5292,11.297
2022-12-07,10.96,11.37,10.69,10.87,1858765.0,6435,10.901
2022-12-08,10.63,10.93,10.36,10.78,2610192.0,7223,10.645
2022-12-09,10.79,11.61,10.77,11.29,2698886.0,7717,11.323
2022-12-12,11.0,11.11,10.19,10.22,3157109.0,8185,10.455
2022-12-13,10.86,10.87,9.23,9.6,6393051.0,16451,9.82
2022-12-14,9.47,9.64,9.09,9.22,4186674.0,11627,9.317
2022-12-15,8.92,9.58,8.87,9.31,4362945.0,11246,9.304
2022-12-16,9.45,9.57,8.61,8.63,4511492.0,11295,8.807
2022-12-19,8.95,9.06,8.26,8.59,5448086.0,11625,8.619
2022-12-20,8.21,8.43,7.51,7.51,7393726.0,18616,7.929
2022-12-21,7.64,7.78,7.35,7.49,6594660.0,14859,7.575
2022-12-22,7.36,7.41,6.27,6.49,14905427.0,27869,6.676
2022-12-23,6.57,6.74,6.15,6.31,13756373.0,21535,6.377
2022-12-27,5.87,6.04,5.2,5.23,19084291.0,31403,5.573
2022-12-28,5.33,5.74,5.17,5.48,20852032.0,31233,5.456
2022-12-29,6.05,6.28,5.83,6.15,14811990.0,25212,6.068
2022-12-30,6.01,6.34,5.99,6.25,9328104.0,14742,6.175
2023-01-03,5.88,5.91,4.85,5.09,23086781.0,37571,5.194
2023-01-04,5.17,5.56,5.06,5.48,15413265.0,24718,5.366
2023-01-05,5.25,5.35,5.02,5.25,11866101.0,15653,5.17
2023-01-06,4.72,5.54,4.64,5.44,19099991.0,25018,5.148
2023-01-09,5.87,6.19,5.73,5.92,15823874.0,19638,6.018
2023-01-10,6.01,6.15,5.56,5.86,12517485.0,18404,5.778
2023-01-11,6.1,6.38,5.98,6.17,14433898.0,19253,6.142
2023-01-12,6.11,6.24,5.71,6.19,13098736.0,17312,5.966
2023-01-13,5.67,6.12,5.6,6.1,16051191.0,19893,5.87
2023-01-17,6.35,6.8,6.3,6.78,14948327.0,17912,6.576
2023-01-18,7.17,7.2,6.43,6.58,16662515.0,22975,6.732
2023-01-19,6.46,6.67,6.23,6.44,11706252.0,16590,6.428
2023-01-20,6.56,6.93,6.46,6.92,9069310.0,14386,6.717
2023-01-23,7.12,7.85,6.99,7.72,14887166.0,24590,7.504
2023-01-24,7.67,7.94,7.51,7.74,10282015.0,18861,7.707
2023-01-25,7.57,7.93,7.26,7.78,9288288.0,17062,7.624
2023-01-26,9.03,9.14,8.61,9.05,16816992.0,26561,8.862
2023-01-27,9.24,10.78,9.13,10.55,23210218.0,44524,10.111
2023-01-30,10.56,10.71,9.52,9.55,17542966.0,31272,10.017
2023-01-31,9.36,10.2,9.21,10.1,13219356.0,24509,9.894
2023-02-01,10.16,11.03,9.81,10.82,14358272.0,29591,10.401
2023-02-02,11.35,12.19,10.92,11.43,18080056.0,38294,11.651
2023-02-03,11.04,12.4,11.01,11.58,16375476.0,39491,11.916
2023-02-06,11.86,12.27,11.56,12.03,12946100.0,31412,12.002
2023-02-07,12.18,12.27,11.53,12.21,16903593.0,37036,11.933
2023-02-08,12.14,12.77,11.98,12.63,16710101.0,40377,12.537
2023-02-09,13.23,13.82,12.94,13.19,17682250.0,32191,13.425
2023-02-10,12.69,13.07,11.8,12.16,16135659.0,31764,12.299
2023-02-13,11.95,12.12,11.33,11.96,9914023.0,17143,11.815
2023-02-14,11.71,13.37,11.49,13.32,15922255.0,31805,12.628
2023-02-15,13.56,13.84,13.01,13.78,12450685.0,24283,13.534
2023-02-16,13.46,14.12,12.59,12.62,18602601.0,34377,13.485
2023-02-17,12.41,13.2,12.18,13.2,24474723.0,34830,12.709
2023-02-21,12.87,13.32,12.13,12.15,13577708.0,29148,12.607
2023-02-22,12.19,12.58,11.63,12.46,14899020.0,28572,12.162
2023-02-23,12.74,12.87,12.04,12.56,15493672.0,27846,12.478
2023-02-24,12.04,12.17,11.71,12.08,10973776.0,21744,11.965
2023-02-27,12.56,13.24,12.5,13.07,17289542.0,29537,12.951
2023-02-28,13.37,13.41,12.7,12.9,12965650.0,23004,12.996
2023-03-01,12.93,13.02,12.21,12.6,11102353.0,20636,12.504
2023-03-02,11.11,11.77,11.05,11.5,13456601.0,22799,11.411
2023-03-03,11.85,12.36,11.68,12.13,7168295.0,14929,12.096
2023-03-06,12.18,12.19,11.61,11.74,8683119.0,15272,11.899
2023-03-07,11.53,11.79,11.05,11.19,10563456.0,17729,11.395
2023-03-08,10.94,11.07,10.49,10.69,10917331.0,18746,10.652
2023-03-09,10.53,10.96,9.84,9.89,18545801.0,24926,10.376
2023-03-10,10.05,10.34,9.49,9.92,17280540.0,27262,9.994
2023-03-13,9.4,10.25,9.1,10.0,16406859.0,29844,9.765
2023-03-14,10.25,10.8,10.24,10.77,11902469.0,18548,10.585
2023-03-15,10.55,10.67,10.12,10.5,12195861.0,22210,10.374
2023-03-16,10.51,10.98,10.37,10.82,10014990.0,17360,10.738
2023-03-17,10.85,11.01,10.22,10.47,6905091.0,12678,10.481
2023-03-20,10.29,11.02,10.14,10.74,9476514.0,15785,10.626
2023-03-21,11.15,11.99,11.13,11.95,9666241.0,18642,11.556
2023-03-22,12.11,12.24,11.34,11.36,10968594.0,20853,11.857
2023-03-23,11.73,12.09,11.14,11.47,11628907.0,19673,11.64
2023-03-24,11.41,11.46,11.0,11.3,8515061.0,14681,11.202
2023-03-27,11.65,11.91,11.25,11.42,8121110.0,13770,11.604
2023-03-28,11.43,11.46,10.84,11.19,7008206.0,12476,11.092
2023-03-29,11.51,11.72,11.2,11.59,8341207.0,13527,11.472
2023-03-30,11.75,11.89,11.64,11.72,8041742.0,12794,11.771
